x y z rvir redshift log_sSFR color
0.18211 0.02757 0.63337 0.00098 0.02199 -9.44 blue
0.19694 0.06924 0.73443 0.00130 0.02539 -9.56 blue
0.18870 0.03567 0.76831 0.00097 0.02631 -9.64 blue
0.12836 0.04865 0.69320 0.00100 0.02353 -11.73 red
0.10137 0.03868 0.69026 0.00159 0.02327 -11.65 red
0.06017 0.05691 0.80902 0.00101 0.02701 -10.58 blue
0.00232 0.02752 0.70597 0.00097 0.02352 -11.93 red
-0.00044 0.03070 0.69781 0.00125 0.02326 -9.87 blue
-0.02565 0.02247 0.66265 0.00131 0.02212 -12.06 red
-0.03868 0.03285 0.69203 0.00105 0.02311 -11.68 red
-0.07970 0.02501 0.61200 0.00145 0.02061 -10.52 blue
-0.08086 0.02884 0.66076 0.00106 0.02221 -12.11 red
-0.08637 0.02964 0.73346 0.00178 0.02459 -10.92 blue
-0.06602 0.02215 0.60351 0.00114 0.02028 -9.75 blue
-0.07315 0.03047 0.62052 0.00097 0.02087 -11.61 red
-0.09697 0.03609 0.68933 0.00123 0.02321 -11.78 red
-0.09573 0.03991 0.65584 0.00183 0.02213 -11.02 blue
-0.12148 0.05123 0.76134 0.00098 0.02569 -9.19 blue
-0.13155 0.04730 0.80503 0.00124 0.02713 -11.55 red
-0.11167 0.03122 0.69637 0.00102 0.02351 -9.67 blue
-0.10842 0.04306 0.69471 0.00128 0.02346 -11.22 blue
-0.11597 0.02823 0.70971 0.00201 0.02396 3.78 blue
-0.13240 0.04235 0.80301 0.00135 0.02706 -10.99 blue
-0.12621 0.04873 0.70932 0.00105 0.02403 -10.93 blue
-0.20396 0.03795 0.71611 0.00123 0.02480 -10.43 blue
0.23059 0.03879 0.59582 0.00107 0.02135 -11.80 red
0.20747 0.03648 0.61964 0.00133 0.02182 -9.86 blue
0.21927 -0.00196 0.54995 0.00133 0.01977 -11.45 blue
0.21199 0.00888 0.64148 0.00129 0.02251 -9.85 blue
0.21281 -0.01453 0.65359 0.00109 0.02290 -9.54 blue
0.23691 -0.01611 0.77710 0.00098 0.02699 -10.18 blue
0.17362 -0.00551 0.62537 0.00130 0.02164 -11.27 blue
0.22788 -0.02057 0.76737 0.00085 0.02660 -10.37 blue
0.18523 -0.01273 0.75581 0.00179 0.02587 -11.18 blue
0.17350 0.00560 0.73493 0.00152 0.02511 -10.24 blue
0.15551 -0.02115 0.60542 0.00083 0.02087 -11.34 blue
0.13972 -0.00830 0.71336 0.00098 0.02419 -9.77 blue
0.13595 -0.00779 0.61636 0.00089 0.02106 -9.98 blue
0.17227 0.00589 0.76758 0.00192 0.02614 -11.02 blue
0.12270 -0.05307 0.55385 0.00084 0.01903 -8.43 blue
0.13744 -0.01536 0.63115 0.00191 0.02155 -9.76 blue
0.11913 -0.01306 0.55221 0.00089 0.01888 -9.05 blue
0.11931 -0.04087 0.60049 0.00164 0.02048 -9.74 blue
0.11345 -0.05208 0.64316 0.00094 0.02184 -11.60 red
0.12805 -0.05507 0.76466 0.00112 0.02584 -10.42 blue
0.10741 -0.06937 0.56006 0.00134 0.01919 -12.61 red
0.12442 -0.02961 0.67167 0.00143 0.02278 -10.27 blue
0.14009 -0.01808 0.72460 0.00089 0.02456 -9.54 blue
0.09565 -0.05183 0.62966 0.00118 0.02131 -10.05 blue
0.10132 -0.05560 0.71236 0.00146 0.02402 -10.49 blue
0.08819 -0.05381 0.62802 0.00134 0.02123 -11.73 red
0.10754 -0.08241 0.65031 0.00119 0.02214 -10.15 blue
0.08376 -0.04035 0.56257 0.00122 0.01905 -10.07 blue
0.10469 -0.05075 0.71797 0.00102 0.02421 -10.31 blue
0.09433 -0.03979 0.80229 0.00118 0.02686 -12.36 red
0.08474 -0.02260 0.63743 0.00115 0.02146 -10.05 blue
0.08795 -0.02877 0.77973 0.00103 0.02609 -11.48 blue
0.05423 -0.03381 0.55990 0.00082 0.01883 -9.25 blue
0.06339 -0.01615 0.62352 0.00100 0.02092 -10.61 blue
0.06481 0.00443 0.66090 0.00134 0.02213 -10.48 blue
0.04601 -0.07563 0.65174 0.00091 0.02193 -11.00 blue
0.02509 -0.08658 0.71550 0.00103 0.02400 -9.98 blue
-0.14984 -0.08145 0.68207 0.00130 0.02341 -11.88 red
0.04742 -0.05705 0.71376 0.00145 0.02389 4.31 blue
0.02805 -0.07501 0.73406 0.00119 0.02457 -11.17 blue
0.03848 -0.05283 0.72966 0.00514 0.02438 -10.16 blue
0.03789 -0.05232 0.67451 0.00144 0.02258 -10.10 blue
-0.13427 -0.06687 0.65916 0.00105 0.02253 -12.00 red
-0.27093 -0.05180 0.74447 0.00125 0.02638 -12.28 red
0.01673 -0.01513 0.67013 0.00098 0.02235 -8.98 blue
-0.07716 -0.01965 0.71857 0.00084 0.02406 -9.82 blue
0.02993 0.00229 0.65970 0.00150 0.02201 4.41 blue
0.02501 0.00455 0.59917 0.00116 0.02002 -12.99 red
-0.01016 -0.00534 0.68502 0.00141 0.02282 -10.03 blue
-0.06007 0.01842 0.76477 0.00104 0.02551 -10.50 blue
-0.21582 0.01929 0.73234 0.00106 0.02539 -11.56 red
-0.25744 0.01834 0.75772 0.00109 0.02659 -9.52 blue
-0.27346 -0.07359 0.72178 0.00082 0.02577 -9.30 blue
-0.26019 -0.04961 0.60056 0.00104 0.02188 -9.30 blue
-0.27543 -0.07255 0.74813 0.00187 0.02659 -10.23 blue
0.03245 -0.08765 0.66603 0.00239 0.02241 -10.03 blue
0.18612 0.01340 0.77756 0.00137 0.02657 nan blue
-0.07349 0.02700 0.62988 0.00154 0.02117 nan blue
