NSAID x y z rvir redshift log_sSFR color
0 0.36496 -0.23012 0.46765 1.53402 0.02122 -10.48 blue
473143 0.15226 0.02221 0.64140 0.98302 0.02199 -9.44 blue
658116 0.16317 0.06333 0.74319 1.30218 0.02539 -9.56 blue
474659 0.15259 0.02988 0.77653 0.96897 0.02631 -9.64 blue
475451 0.09620 0.04435 0.69868 0.99771 0.02353 -11.73 red
476406 0.06916 0.03498 0.69442 1.59417 0.02327 -11.65 red
477554 0.02276 0.05387 0.81115 1.00999 0.02701 -10.58 red
479554 -0.03074 0.02599 0.70536 0.97419 0.02352 -11.93 red
666977 -0.03304 0.02925 0.69709 1.24579 0.02326 -9.87 blue
480988 -0.05672 0.02165 0.66075 1.30776 0.02212 -12.06 red
481320 -0.07091 0.03225 0.68950 1.05110 0.02311 -11.68 red
481694 -0.10822 0.02549 0.60759 1.45100 0.02061 -10.52 red
481753 -0.11162 0.02924 0.65625 1.06194 0.02221 -12.11 red
481770 -0.12057 0.03002 0.72860 1.77718 0.02459 -10.92 red
481797 -0.09421 0.02234 0.59974 1.14249 0.02028 -9.75 blue
481978 -0.10197 0.03078 0.61642 0.97267 0.02087 -11.61 red
482502 -0.12891 0.03679 0.68404 1.22853 0.02321 -11.78 red
482657 -0.12599 0.04064 0.65065 1.83211 0.02213 -11.02 red
672266 -0.15649 0.05232 0.75485 0.98351 0.02569 -9.19 blue
482791 -0.16871 0.04852 0.79800 1.24196 0.02713 -11.55 red
482844 -0.14403 0.03223 0.69035 1.01640 0.02351 -9.67 blue
483088 -0.14045 0.04400 0.68889 1.28038 0.02346 -11.22 red
483345 -0.14903 0.02931 0.70347 2.00983 0.02396 3.78 blue
483374 -0.16958 0.04359 0.79592 1.35328 0.02706 -10.99 red
483440 -0.15879 0.05003 0.70265 1.04885 0.02403 -10.93 red
484340 -0.23699 0.04096 0.70570 1.23311 0.02480 -10.43 blue
487398 0.63993 0.03333 0.51789 1.11454 0.02736 -9.49 blue
489060 0.43812 0.00697 0.39450 0.81251 0.01969 -9.41 blue
490506 0.54955 0.01149 0.62793 1.01694 0.02770 -9.65 blue
491839 0.47702 0.03471 0.61987 1.56277 0.02602 -10.76 red
491958 0.47556 0.04156 0.62617 1.00367 0.02617 -11.16 red
492137 0.48387 0.07194 0.65454 2.43254 0.02714 -12.08 red
492175 0.38886 0.00346 0.58188 0.99685 0.02331 -10.31 blue
492927 0.41479 0.01601 0.65950 1.36325 0.02590 -12.17 red
494659 0.29008 0.06463 0.51459 1.67978 0.01984 -11.67 red
494889 0.29226 0.02547 0.56715 1.03027 0.02130 -9.40 blue
496584 0.25752 0.03264 0.58332 1.04285 0.02129 4.51 blue
498106 0.20272 0.03243 0.60625 1.07067 0.02135 -11.80 red
498711 0.17844 0.03058 0.62893 1.33416 0.02182 -9.86 blue
499797 0.39043 -0.02159 0.63882 0.95730 0.02491 -9.77 blue
501825 0.48244 -0.04762 0.66606 1.33880 0.02735 -9.51 blue
501863 0.48598 -0.03105 0.66652 2.19791 0.02741 -11.00 red
502168 0.38918 -0.04954 0.68316 0.95523 0.02618 -9.70 blue
503496 0.30430 -0.04392 0.71700 1.26913 0.02593 -10.27 blue
503507 0.32302 -0.04675 0.73752 0.93791 0.02679 -9.31 blue
510441 0.52355 -0.03286 0.61704 1.10577 0.02690 -11.50 red
510704 0.46560 -0.05962 0.57447 0.95727 0.02468 -9.57 blue
511099 0.19270 -0.00796 0.55976 1.33118 0.01977 -11.45 red
656663 0.18130 0.00285 0.65087 1.29167 0.02251 -9.85 blue
515270 0.18103 -0.02060 0.66293 1.08884 0.02290 -9.54 blue
515381 0.19917 -0.02297 0.78745 0.98242 0.02699 -10.18 blue
515455 0.14344 -0.01066 0.63291 1.29576 0.02164 -11.27 red
516622 0.19052 -0.02721 0.77728 0.85298 0.02660 -10.37 blue
516803 0.14866 -0.01840 0.76373 1.78539 0.02587 -11.18 red
517132 0.13834 0.00022 0.74238 1.51719 0.02511 -10.24 blue
517957 0.12596 -0.02585 0.61207 0.82744 0.02087 -11.34 red
518117 0.10533 -0.01288 0.71918 0.98383 0.02419 -9.77 blue
518193 0.10620 -0.01209 0.62211 0.88667 0.02106 -9.98 blue
518405 0.13556 0.00047 0.77493 1.91937 0.02614 -11.02 red
660026 0.09495 -0.05693 0.55889 0.83844 0.01903 -8.43 blue
519386 0.10682 -0.01972 0.63692 1.90755 0.02155 -9.76 blue
519397 0.09235 -0.01685 0.55722 0.88739 0.01888 -9.05 blue
610991 0.08961 -0.04476 0.60536 1.64148 0.02048 -9.74 blue
520218 0.08148 -0.05592 0.64767 0.93842 0.02184 -11.60 red
520247 0.09020 -0.05949 0.76972 1.11869 0.02584 -10.42 blue
520540 0.07903 -0.07290 0.56431 1.34173 0.01919 -12.61 red
520787 0.09157 -0.03376 0.67674 1.42512 0.02278 -10.27 blue
520834 0.10495 -0.02269 0.73038 0.89349 0.02456 -9.54 blue
521564 0.06435 -0.05525 0.63334 1.18491 0.02131 -10.05 blue
521632 0.06599 -0.05932 0.71620 1.46378 0.02402 -10.49 blue
521641 0.05694 -0.05706 0.63134 1.33848 0.02123 -11.73 red
662437 0.07457 -0.08613 0.65443 1.19294 0.02214 -10.15 blue
522620 0.05593 -0.04337 0.56579 1.21925 0.01905 -10.07 blue
522647 0.06919 -0.05455 0.72197 1.01810 0.02421 -10.31 blue
523158 0.05507 -0.04355 0.80574 1.18478 0.02686 -12.36 red
523346 0.05373 -0.02580 0.64067 1.14981 0.02146 -10.05 blue
523384 0.05001 -0.03233 0.78294 1.02806 0.02609 -11.48 red
523846 0.02671 -0.03617 0.56174 0.81723 0.01883 -9.25 blue
523996 0.03321 -0.01885 0.62578 0.99632 0.02092 -10.61 red
524404 0.03330 0.00162 0.66325 1.34307 0.02213 -10.48 blue
533997 0.37602 -0.08516 0.60282 0.92333 0.02382 -9.39 blue
534683 0.34431 -0.08782 0.60393 0.95528 0.02333 -10.01 blue
536583 0.33164 -0.06475 0.71416 1.89584 0.02625 -12.42 red
536608 0.31981 -0.05958 0.73258 1.75211 0.02663 -11.50 red
537077 0.22492 -0.05554 0.57698 1.37304 0.02075 -9.69 blue
537703 0.01320 -0.07799 0.65295 0.90522 0.02193 -11.00 red
538012 -0.01097 -0.08861 0.71560 1.02971 0.02400 -9.98 blue
538546 -0.06116 -0.11080 0.76511 1.03040 0.02578 -9.76 blue
540411 -0.18394 -0.07953 0.67390 1.30056 0.02341 -11.88 red
540748 -0.23124 -0.08643 0.66150 0.90242 0.02351 -9.54 blue
694323 -0.30505 -0.09910 0.71121 1.13681 0.02593 -9.69 blue
541898 0.01207 -0.05958 0.71503 1.45447 0.02389 4.31 blue
542053 -0.00864 -0.07715 0.73432 1.18538 0.02457 -11.17 red
627767 0.00247 -0.05520 0.73049 5.13503 0.02438 -10.16 blue
542221 0.00452 -0.05456 0.67539 1.44293 0.02258 -10.10 blue
544544 -0.16699 -0.06525 0.65180 1.05102 0.02253 -12.00 red
546007 -0.30719 -0.04735 0.73056 1.25124 0.02638 -12.28 red
546692 -0.01558 -0.01689 0.67012 0.98002 0.02235 -8.98 blue
547797 -0.11175 -0.01944 0.71401 0.83520 0.02406 -9.82 blue
549578 -0.00152 0.00025 0.66038 1.50348 0.02201 4.41 blue
550151 -0.00349 0.00274 0.59969 1.16288 0.02002 -12.99 red
550624 -0.04292 -0.00654 0.68374 1.40853 0.02282 -10.03 blue
551280 -0.09605 0.01815 0.76109 1.03872 0.02551 -10.50 red
552816 -0.25001 0.02254 0.72129 1.06086 0.02539 -11.56 red
553120 -0.29281 0.02245 0.74465 1.08931 0.02659 -9.52 blue
553693 -0.30130 -0.08032 0.58433 1.35343 0.02208 -9.67 blue
554466 -0.39825 -0.09222 0.68393 0.97357 0.02647 -9.56 blue
554520 -0.37691 -0.09033 0.67436 4.49755 0.02585 -11.07 red
554907 -0.32634 -0.05211 0.49258 1.09855 0.01981 -9.73 blue
555698 -0.41638 -0.06391 0.50332 1.23542 0.02188 -10.05 blue
556981 -0.45723 -0.04703 0.46171 0.94835 0.02172 4.31 blue
557916 -0.30912 -0.06902 0.70770 0.82431 0.02577 -9.30 blue
558671 -0.28956 -0.04509 0.58732 1.04384 0.02188 -9.30 blue
683016 -0.39953 -0.03554 0.51925 1.49213 0.02187 -10.42 blue
562157 -0.49526 -0.03785 0.44628 1.06027 0.02225 -10.20 blue
565250 -0.36509 -0.01044 0.47148 3.30666 0.01991 -10.63 red
567176 -0.51183 -0.02272 0.47990 1.98742 0.02338 -9.96 blue
569087 -0.36351 0.00332 0.58662 0.87267 0.02299 -8.95 blue
573721 0.20880 -0.16738 0.58828 1.30063 0.02155 -10.96 red
573830 0.20349 -0.14957 0.59486 1.28149 0.02155 -10.54 red
574212 -0.08796 -0.29567 0.62987 1.50946 0.02336 -9.75 blue
626600 0.11524 -0.25685 0.62821 4.12955 0.02293 -10.25 blue
593900 -0.26503 -0.19121 0.62151 0.93768 0.02338 nan blue
694094 -0.22040 -0.14609 0.72080 1.56576 0.02553 -9.81 blue
545696 -0.31232 -0.06800 0.73393 1.87385 0.02659 -10.23 blue
631404 -0.38007 -0.17124 0.59928 4.87466 0.02429 -10.66 red
602330 0.29735 0.34488 0.61249 1.36173 0.02538 nan blue
602725 -0.00128 -0.08974 0.66654 2.39492 0.02241 -10.03 blue
539203 -0.10686 -0.11039 0.76797 1.40052 0.02603 -10.02 blue
610786 0.14908 0.00765 0.78558 1.36836 0.02657 nan blue
611574 -0.22035 0.11980 0.69046 1.49022 0.02444 -9.70 blue
126 0.38233 -0.22914 0.47223 1.18483 0.02165 -9.89 blue
648707 0.44544 -0.25419 0.55990 2.02418 0.02525 -10.09 blue
98 0.37525 -0.22159 0.47845 0.98134 0.02158 -11.21 red
357 0.33859 -0.20624 0.44911 0.96002 0.02000 -9.81 blue
356 0.34236 -0.20714 0.45245 1.19851 0.02016 -9.54 blue
34 0.37665 -0.23073 0.48892 0.91409 0.02196 -9.43 blue
243 0.43985 -0.25188 0.55185 0.81822 0.02492 -8.98 blue
87 0.37823 -0.22379 0.48244 1.17595 0.02176 -9.69 blue
240 0.37914 -0.21699 0.47683 1.14216 0.02156 -9.99 blue
310 0.34419 -0.20151 0.45011 1.74291 0.02008 -10.61 red
85 0.37715 -0.22402 0.48115 0.95124 0.02171 -9.96 blue
99 0.37622 -0.22170 0.47881 2.29282 0.02161 -11.26 red
599 0.42231 -0.25376 0.57296 1.23825 0.02513 -10.07 blue
307 0.45546 -0.26162 0.59224 1.01648 0.02630 -11.17 red
300 0.46519 -0.26681 0.60316 2.20157 0.02681 -11.13 red
