NSAID x y z rvir redshift log_sSFR color
473143 0.18211 0.02757 0.63337 0.98302 0.02199 -9.44 blue
658116 0.19694 0.06924 0.73443 1.30218 0.02539 -9.56 blue
474659 0.18870 0.03567 0.76831 0.96897 0.02631 -9.64 blue
475451 0.12836 0.04865 0.69320 0.99771 0.02353 -11.73 red
476406 0.10137 0.03868 0.69026 1.59417 0.02327 -11.65 red
477554 0.06017 0.05691 0.80902 1.00999 0.02701 -10.58 red
479554 0.00232 0.02752 0.70597 0.97419 0.02352 -11.93 red
666977 -0.00044 0.03070 0.69781 1.24579 0.02326 -9.87 blue
480988 -0.02565 0.02247 0.66265 1.30776 0.02212 -12.06 red
481320 -0.03868 0.03285 0.69203 1.05110 0.02311 -11.68 red
481694 -0.07970 0.02501 0.61200 1.45100 0.02061 -10.52 red
481753 -0.08086 0.02884 0.66076 1.06194 0.02221 -12.11 red
481770 -0.08637 0.02964 0.73346 1.77718 0.02459 -10.92 red
481797 -0.06602 0.02215 0.60351 1.14249 0.02028 -9.75 blue
481978 -0.07315 0.03047 0.62052 0.97267 0.02087 -11.61 red
482502 -0.09697 0.03609 0.68933 1.22853 0.02321 -11.78 red
482657 -0.09573 0.03991 0.65584 1.83211 0.02213 -11.02 red
672266 -0.12148 0.05123 0.76134 0.98351 0.02569 -9.19 blue
482791 -0.13155 0.04730 0.80503 1.24196 0.02713 -11.55 red
482844 -0.11167 0.03122 0.69637 1.01640 0.02351 -9.67 blue
483088 -0.10842 0.04306 0.69471 1.28038 0.02346 -11.22 red
483345 -0.11597 0.02823 0.70971 2.00983 0.02396 3.78 blue
483374 -0.13240 0.04235 0.80301 1.35328 0.02706 -10.99 red
483440 -0.12621 0.04873 0.70932 1.04885 0.02403 -10.93 red
484340 -0.20396 0.03795 0.71611 1.23311 0.02480 -10.43 blue
498106 0.23059 0.03879 0.59582 1.07067 0.02135 -11.80 red
498711 0.20747 0.03648 0.61964 1.33416 0.02182 -9.86 blue
511099 0.21927 -0.00196 0.54995 1.33118 0.01977 -11.45 red
656663 0.21199 0.00888 0.64148 1.29167 0.02251 -9.85 blue
515270 0.21281 -0.01453 0.65359 1.08884 0.02290 -9.54 blue
515381 0.23691 -0.01611 0.77710 0.98242 0.02699 -10.18 blue
515455 0.17362 -0.00551 0.62537 1.29576 0.02164 -11.27 red
516622 0.22788 -0.02057 0.76737 0.85298 0.02660 -10.37 blue
516803 0.18523 -0.01273 0.75581 1.78539 0.02587 -11.18 red
517132 0.17350 0.00560 0.73493 1.51719 0.02511 -10.24 blue
517957 0.15551 -0.02115 0.60542 0.82744 0.02087 -11.34 red
518117 0.13972 -0.00830 0.71336 0.98383 0.02419 -9.77 blue
518193 0.13595 -0.00779 0.61636 0.88667 0.02106 -9.98 blue
518405 0.17227 0.00589 0.76758 1.91937 0.02614 -11.02 red
660026 0.12270 -0.05307 0.55385 0.83844 0.01903 -8.43 blue
519386 0.13744 -0.01536 0.63115 1.90755 0.02155 -9.76 blue
519397 0.11913 -0.01306 0.55221 0.88739 0.01888 -9.05 blue
610991 0.11931 -0.04087 0.60049 1.64148 0.02048 -9.74 blue
520218 0.11345 -0.05208 0.64316 0.93842 0.02184 -11.60 red
520247 0.12805 -0.05507 0.76466 1.11869 0.02584 -10.42 blue
520540 0.10741 -0.06937 0.56006 1.34173 0.01919 -12.61 red
520787 0.12442 -0.02961 0.67167 1.42512 0.02278 -10.27 blue
520834 0.14009 -0.01808 0.72460 0.89349 0.02456 -9.54 blue
521564 0.09565 -0.05183 0.62966 1.18491 0.02131 -10.05 blue
521632 0.10132 -0.05560 0.71236 1.46378 0.02402 -10.49 blue
521641 0.08819 -0.05381 0.62802 1.33848 0.02123 -11.73 red
662437 0.10754 -0.08241 0.65031 1.19294 0.02214 -10.15 blue
522620 0.08376 -0.04035 0.56257 1.21925 0.01905 -10.07 blue
522647 0.10469 -0.05075 0.71797 1.01810 0.02421 -10.31 blue
523158 0.09433 -0.03979 0.80229 1.18478 0.02686 -12.36 red
523346 0.08474 -0.02260 0.63743 1.14981 0.02146 -10.05 blue
523384 0.08795 -0.02877 0.77973 1.02806 0.02609 -11.48 red
523846 0.05423 -0.03381 0.55990 0.81723 0.01883 -9.25 blue
523996 0.06339 -0.01615 0.62352 0.99632 0.02092 -10.61 red
524404 0.06481 0.00443 0.66090 1.34307 0.02213 -10.48 blue
537703 0.04601 -0.07563 0.65174 0.90522 0.02193 -11.00 red
538012 0.02509 -0.08658 0.71550 1.02971 0.02400 -9.98 blue
540411 -0.14984 -0.08145 0.68207 1.30056 0.02341 -11.88 red
541898 0.04742 -0.05705 0.71376 1.45447 0.02389 4.31 blue
542053 0.02805 -0.07501 0.73406 1.18538 0.02457 -11.17 red
627767 0.03848 -0.05283 0.72966 5.13503 0.02438 -10.16 blue
542221 0.03789 -0.05232 0.67451 1.44293 0.02258 -10.10 blue
544544 -0.13427 -0.06687 0.65916 1.05102 0.02253 -12.00 red
546007 -0.27093 -0.05180 0.74447 1.25124 0.02638 -12.28 red
546692 0.01673 -0.01513 0.67013 0.98002 0.02235 -8.98 blue
547797 -0.07716 -0.01965 0.71857 0.83520 0.02406 -9.82 blue
549578 0.02993 0.00229 0.65970 1.50348 0.02201 4.41 blue
550151 0.02501 0.00455 0.59917 1.16288 0.02002 -12.99 red
550624 -0.01016 -0.00534 0.68502 1.40853 0.02282 -10.03 blue
551280 -0.06007 0.01842 0.76477 1.03872 0.02551 -10.50 red
552816 -0.21582 0.01929 0.73234 1.06086 0.02539 -11.56 red
553120 -0.25744 0.01834 0.75772 1.08931 0.02659 -9.52 blue
557916 -0.27346 -0.07359 0.72178 0.82431 0.02577 -9.30 blue
558671 -0.26019 -0.04961 0.60056 1.04384 0.02188 -9.30 blue
545696 -0.27543 -0.07255 0.74813 1.87385 0.02659 -10.23 blue
602725 0.03245 -0.08765 0.66603 2.39492 0.02241 -10.03 blue
610786 0.18612 0.01340 0.77756 1.36836 0.02657 nan blue
670857 -0.07349 0.02700 0.62988 1.54226 0.02117 nan blue
671904 -0.10235 0.03611 0.68260 1.10468 0.02302 nan blue
672602 -0.12042 0.04262 0.71544 0.93960 0.02419 -11.48 red
