NSAID RA DEC redshift mstars sfr sfr_err rvir log_sSFR color
473143 166.822334 26.129681 0.02199 9.09 0.45 0.00 0.98302 -9.44 blue
658116 167.571834 29.044468 0.02539 9.84 1.89 0.00 1.30218 -9.56 blue
474659 169.279472 26.583829 0.02631 9.05 0.26 0.00 0.96897 -9.64 blue
475451 172.829578 28.271604 0.02353 9.13 0.00 1.00 0.99771 -11.73 red
476406 175.304532 27.665095 0.02327 10.24 0.04 1.00 1.59417 -11.65 red
477554 179.892476 28.716772 0.02701 9.18 0.04 0.00 1.00999 -10.58 red
479554 184.520332 27.011849 0.02352 9.07 0.00 1.00 0.97419 -11.93 red
666977 184.772843 27.298823 0.02326 9.73 0.74 0.00 1.24579 -9.87 blue
480988 187.212168 26.700086 0.02212 9.85 0.01 1.00 1.30776 -12.06 red
481320 188.333835 27.450561 0.02311 9.28 0.00 1.00 1.05110 -11.68 red
481694 193.049369 26.874792 0.02061 10.07 0.35 0.00 1.45100 -10.52 red
481753 192.564440 27.060298 0.02221 9.31 0.00 0.00 1.06194 -12.11 red
481770 192.260475 26.893121 0.02459 10.39 0.30 0.00 1.77718 -10.92 red
481797 191.718965 26.709253 0.02028 9.51 0.57 0.00 1.14249 -9.75 blue
481978 192.299235 27.385079 0.02087 9.06 0.00 1.00 0.97267 -11.61 red
482502 193.753489 27.483381 0.02321 9.70 0.01 1.00 1.22853 -11.78 red
482657 194.124227 27.940018 0.02213 10.43 0.25 0.00 1.83211 -11.02 red
672266 195.012589 28.240741 0.02569 9.10 0.81 0.00 0.98351 -9.19 blue
482791 195.212885 27.742979 0.02713 9.73 0.01 0.00 1.24196 -11.55 red
482844 194.955283 26.974277 0.02351 9.19 0.33 0.00 1.01640 -9.67 blue
483088 194.767316 27.959168 0.02346 9.80 0.04 1.00 1.28038 -11.22 red
483345 195.121458 26.675357 0.02396 10.52 199355364302738.25 -99.00 2.00983 3.78 blue
483374 195.275798 27.397815 0.02706 9.93 0.09 0.00 1.35328 -10.99 red
483440 196.173664 28.227555 0.02403 9.28 0.02 0.00 1.04885 -10.93 red
484340 202.558084 26.665608 0.02480 9.71 0.19 0.00 1.23311 -10.43 blue
498106 161.007658 26.435031 0.02135 9.33 0.00 1.00 1.07067 -11.80 red
498711 163.970958 26.578383 0.02182 9.89 1.08 0.00 1.33416 -9.86 blue
511099 161.058507 22.725655 0.01977 9.89 0.03 1.00 1.33118 -11.45 red
656663 164.613090 24.196066 0.02251 9.82 0.94 0.00 1.29167 -9.85 blue
515270 165.187847 22.287754 0.02290 9.38 0.69 0.00 1.08884 -9.54 blue
515381 166.334995 22.509018 0.02699 9.10 0.08 1.00 0.98242 -10.18 blue
515455 167.794629 23.336281 0.02164 9.83 0.04 1.00 1.29576 -11.27 red
516622 166.827589 22.230441 0.02660 8.68 0.02 1.00 0.85298 -10.37 blue
516803 169.737059 23.090137 0.02587 10.40 0.17 0.00 1.78539 -11.18 red
517132 170.107877 24.496200 0.02511 10.16 0.83 0.00 1.51719 -10.24 blue
517957 169.173619 22.024915 0.02087 8.58 0.00 1.00 0.82744 -11.34 red
518117 172.621832 23.635921 0.02419 9.10 0.21 0.00 0.98383 -9.77 blue
518193 171.153975 23.456456 0.02106 8.79 0.06 0.00 0.88667 -9.98 blue
518405 170.799933 24.565538 0.02614 10.48 0.29 0.00 1.91937 -11.02 red
660026 171.579512 18.836036 0.01903 8.61 1.52 0.00 0.83844 -8.43 blue
519386 171.389036 22.819030 0.02155 10.47 5.10 0.00 1.90755 -9.76 blue
519397 171.504859 22.867961 0.01888 8.78 0.54 0.00 0.88739 -9.05 blue
610991 172.752961 20.468907 0.02048 10.28 3.44 0.00 1.64148 -9.74 blue
520218 174.124205 19.832906 0.02184 8.95 0.00 1.00 0.93842 -11.60 red
520247 174.610867 20.365328 0.02584 9.46 0.11 0.00 1.11869 -10.42 blue
520540 173.432710 17.396259 0.01919 9.90 0.00 1.00 1.34173 -12.61 red
520787 173.424787 21.864574 0.02278 10.04 0.58 0.00 1.42512 -10.27 blue
520834 172.843899 22.901262 0.02456 8.81 0.19 0.00 0.89349 -9.54 blue
521564 175.575517 19.837742 0.02131 9.60 0.36 0.00 1.18491 -10.05 blue
521632 176.133820 20.106612 0.02402 10.09 0.40 0.00 1.46378 -10.49 blue
521641 176.269746 19.682059 0.02123 9.90 0.01 1.00 1.33848 -11.73 red
662437 174.968540 17.318085 0.02214 9.62 0.30 0.00 1.19294 -10.15 blue
522620 175.712442 20.442126 0.01905 9.67 0.41 0.00 1.21925 -10.07 blue
522647 175.891760 20.510587 0.02421 9.19 0.08 0.00 1.01810 -10.31 blue
523158 177.516272 21.782558 0.02686 9.61 0.00 1.00 1.18478 -12.36 red
523346 176.533828 22.539457 0.02146 9.53 0.30 0.00 1.14981 -10.05 blue
523384 177.767771 22.516043 0.02609 9.22 0.01 1.00 1.02806 -11.48 red
523846 178.806618 21.220307 0.01883 8.54 0.19 0.00 0.81723 -9.25 blue
523996 178.417978 23.169148 0.02092 9.13 0.03 0.00 0.99632 -10.61 red
524404 178.548672 25.035410 0.02213 9.91 0.27 0.00 1.34307 -10.48 blue
537703 180.511260 18.114249 0.02193 8.85 0.01 1.00 0.90522 -11.00 red
538012 182.636972 17.868306 0.02400 9.23 0.18 0.00 1.02971 -9.98 blue
540411 197.647295 17.543542 0.02341 9.84 0.01 1.00 1.30056 -11.88 red
541898 180.694887 20.163232 0.02389 10.08 242739458590377.03 -99.00 1.45447 4.31 blue
542053 182.430013 18.930377 0.02457 9.61 0.03 0.00 1.18538 -11.17 red
627767 181.514928 20.608069 0.02438 11.07 8.01 0.00 5.13503 -10.16 blue
542221 181.313518 20.310696 0.02258 10.06 0.91 0.00 1.44293 -10.10 blue
544544 196.828594 18.594681 0.02253 9.28 0.00 1.00 1.05102 -12.00 red
546007 205.955516 19.497985 0.02638 9.75 0.00 1.00 1.25124 -12.28 red
546692 183.173507 23.478520 0.02235 9.08 1.27 0.00 0.98002 -8.98 blue
547797 191.393415 23.072891 0.02406 8.61 0.06 0.00 0.83520 -9.82 blue
549578 181.867026 24.950536 0.02201 10.14 355040646327164.75 -99.00 1.50348 4.41 blue
550151 182.089980 25.190897 0.02002 9.55 0.00 1.00 1.16288 -12.99 red
550624 185.664056 24.330072 0.02282 10.01 0.95 0.00 1.40853 -10.03 blue
551280 189.731970 26.073094 0.02551 9.25 0.06 0.00 1.03872 -10.50 red
552816 202.920944 25.140465 0.02539 9.31 0.01 1.00 1.06086 -11.56 red
553120 205.460605 24.679793 0.02659 9.39 0.73 0.00 1.08931 -9.52 blue
557916 206.460696 17.697892 0.02577 8.58 0.19 0.00 0.82431 -9.30 blue
558671 209.418251 18.352671 0.02188 9.26 0.90 0.00 1.04384 -9.30 blue
545696 205.943948 18.023620 0.02659 10.46 1.67 0.00 1.87385 -10.23 blue
602725 181.835587 17.261568 0.02241 10.66 4.27 0.00 2.39492 -10.03 blue
610786 169.849419 25.009267 0.02657 9.95 -3038605070817869.00 -99.00 1.36836 nan blue
670857 192.201154 27.035816 0.02117 10.18 -1812080358152209.00 -99.00 1.54226 nan blue
671904 194.339527 27.475273 0.02302 9.42 -2119662264778429.50 -99.00 1.10468 nan blue
672602 195.524134 27.765133 0.02419 8.96 0.00 0.00 0.93960 -11.48 red
669040 189.430066 27.914664 0.02398 9.09 0.28 0.00 0.98182 -9.65 blue
670571 191.785983 27.793251 0.02485 10.41 -2557504323105255.50 -99.00 1.79906 nan blue
672633 195.560082 28.102142 0.01980 9.65 0.01 0.00 1.20556 -11.85 red
670585 191.797685 19.464333 0.02255 11.05 1.72 0.00 4.99014 -10.82 red
672377 195.182248 28.416057 0.02102 9.40 0.00 0.00 1.09822 -11.89 red
674000 198.247802 27.141525 0.02289 10.25 2.15 0.00 1.60523 -9.92 blue
673824 197.843740 29.619882 0.02530 8.79 -2949631395323892.50 -99.00 0.88722 nan blue
677622 207.194312 17.406279 0.02552 10.20 -2749872085827939.50 -99.00 1.55858 nan blue
671977 194.519689 27.688278 0.02405 6.30 -2497172919417754.00 -99.00 0.39110 nan blue
674262 198.908321 29.658842 0.02148 9.16 0.72 0.00 1.00874 -9.30 blue
671941 194.455857 29.045198 0.02300 8.12 0.08 0.00 0.71079 -9.21 blue
678404 208.900162 25.274995 0.02300 8.69 0.18 0.00 0.85832 -9.43 blue
677076 205.872974 22.096602 0.02713 9.70 2.22 0.00 1.22811 -9.36 blue
418461 203.965062 27.866838 0.02625 10.34 176163418395163.62 -99.00 1.69947 3.91 blue
418550 203.082019 28.317219 0.02503 10.13 0.29 0.00 1.49574 -10.68 red
