name x1 y1 z1 x2 y2 z2 RA DEC
2MASS-J13250381+2717189 -0.13387 0.03132 0.51114 -0.22026 0.05154 0.84100 201.265915 27.288528
2MASS-J13482237+2456498 -0.18258 0.01668 0.49654 -0.30041 0.02744 0.81698 207.092987 24.947247
FBQS.J1252+2913 -0.06726 0.04307 0.52324 -0.11067 0.07086 0.86092 193.104126 29.222553
FBQS.J130451.4+245445 -0.09556 0.00526 0.52058 -0.15723 0.00865 0.85654 196.214203 24.912752
HB89.1258+285 -0.08508 0.03605 0.52117 -0.13998 0.05932 0.85752 195.253586 28.329088
HB89.1259+281 -0.08637 0.03174 0.52124 -0.14211 0.05222 0.85763 195.367249 27.851826
J104241.27+250122.8 0.19554 0.01972 0.49146 0.32173 0.03244 0.80863 160.671967 25.023016
J113325.77+242327.8 0.09507 0.00038 0.52069 0.15643 0.00063 0.85673 173.357407 24.391071
J114903.47+220424.3 0.06375 -0.02324 0.52494 0.10489 -0.03825 0.86371 177.264481 22.073437
J120917.35+261613.1 0.01996 0.01395 0.52874 0.03283 0.02295 0.86997 182.322311 26.270311
J130100.86+281944.7 -0.08508 0.03605 0.52117 -0.13999 0.05932 0.85752 195.253601 28.329092
J131447.07+260624.1 -0.11470 0.01815 0.51641 -0.18872 0.02986 0.84967 198.696121 26.106720
J134356.74+253847.6 -0.17297 0.02161 0.49977 -0.28460 0.03556 0.82231 205.986435 25.646580
PG1116+215 0.12717 -0.02493 0.51319 0.20924 -0.04102 0.84439 169.785828 21.321667
PG1202+281 0.02901 0.02922 0.52770 0.04774 0.04808 0.86825 181.175995 27.903299
PG1222+216 -0.01286 -0.03132 0.52822 -0.02116 -0.05153 0.86911 186.226868 21.379539
PG1352+183 -0.20398 -0.04357 0.48647 -0.33562 -0.07168 0.80042 208.648697 18.088188
QSO-B1124+271 0.10481 0.02465 0.51824 0.17245 0.04057 0.85268 171.901596 26.914024
QSO-B1229+204 -0.02846 -0.04230 0.52684 -0.04682 -0.06960 0.86684 188.015045 20.158167
RX.J1303.7+2633 -0.09204 0.02018 0.52085 -0.15144 0.03320 0.85698 195.941589 26.553934
RXJ1125.0+2513 0.11152 0.00956 0.51733 0.18348 0.01574 0.85120 171.265381 25.217333
RXJ1154.1+2521 0.05165 0.00656 0.52674 0.08497 0.01079 0.86667 178.533081 25.362612
RXJ1210.7+2725 0.01674 0.02457 0.52847 0.02754 0.04043 0.86952 182.690170 27.426805
SDSS-J115552.80+292238.4 0.04631 0.04341 0.52548 0.07619 0.07142 0.86461 178.970001 29.377348
SDSS-J124129.64+285212.0 -0.04557 0.03870 0.52592 -0.07497 0.06367 0.86532 190.373535 28.870014
SDSS-J131802.01+262830.3 -0.12084 0.02223 0.51484 -0.19883 0.03658 0.84710 199.508392 26.475109
SDSS-J135424.90+243006.3 -0.19492 0.01470 0.49189 -0.32070 0.02419 0.80933 208.603760 24.501755
SDSS.J125846.67+242739.1 -0.08335 0.00010 0.52270 -0.13714 0.00017 0.86003 194.694412 24.460884
SDSSJ105958.82+251708.8 0.16162 0.01646 0.50376 0.26592 0.02709 0.82886 164.995499 25.285801
SDSSJ110052.33+283801.2 0.15518 0.04676 0.50388 0.25533 0.07694 0.82906 165.218002 28.633722
SDSSJ110307.57+291230.0 0.15003 0.05137 0.50499 0.24686 0.08452 0.83088 165.781601 29.208471
SDSSJ110612.25+292730.6 0.14380 0.05282 0.50665 0.23660 0.08691 0.83362 166.550995 29.458500
SDSSJ111754.31+263416.6 0.12457 0.02354 0.51390 0.20495 0.03874 0.84554 169.475998 26.571301
SDSSJ113457.62+255527.9 0.09076 0.01424 0.52127 0.14934 0.02343 0.85767 173.740494 25.924400
SDSSJ120720.99+262429.1 0.02394 0.01530 0.52854 0.03939 0.02517 0.86964 181.837494 26.408100
SDSSJ123604.02+264135.9 -0.03533 0.01823 0.52781 -0.05813 0.03000 0.86843 189.016495 26.693300
SDSSJ123734.52+253820.0 -0.03878 0.00860 0.52781 -0.06381 0.01415 0.86844 189.393829 25.638889
SDSSJ133045.15+281321.4 -0.14378 0.04131 0.50772 -0.23657 0.06797 0.83538 202.688126 28.222641
SDSSJ134246.89+184443.6 -0.17932 -0.04173 0.49625 -0.29505 -0.06867 0.81651 205.695007 18.745501
SDSSJ135625.55+251523.7 -0.19756 0.02229 0.49055 -0.32505 0.03668 0.80712 209.106003 25.256599
SDSSJ135712.61+170444.1 -0.21039 -0.05172 0.48293 -0.34616 -0.08510 0.79460 209.302505 17.078899
TON0694 -0.08960 0.03509 0.52048 -0.14742 0.05773 0.85638 195.804245 28.185497
