x y z dist_scaled dist_frac flux_norm wavelength redshift
-0.12711 0.02974 0.48533 0.50258 0.00000 1.058 1236.115 0.01682
-0.12730 0.02979 0.48605 0.50333 0.00188 1.053 1236.145 0.01684
-0.12749 0.02983 0.48677 0.50407 0.00375 1.005 1236.175 0.01687
-0.12767 0.02988 0.48749 0.50481 0.00563 0.980 1236.205 0.01689
-0.12786 0.02992 0.48821 0.50556 0.00751 0.718 1236.235 0.01692
-0.12805 0.02996 0.48892 0.50630 0.00938 0.896 1236.265 0.01694
-0.12824 0.03001 0.48964 0.50705 0.01126 1.329 1236.295 0.01697
-0.12843 0.03005 0.49036 0.50779 0.01313 0.701 1236.325 0.01699
-0.12861 0.03010 0.49108 0.50853 0.01501 1.056 1236.355 0.01701
-0.12880 0.03014 0.49180 0.50928 0.01689 0.757 1236.384 0.01704
-0.12899 0.03018 0.49252 0.51002 0.01876 0.789 1236.414 0.01706
-0.12918 0.03023 0.49323 0.51077 0.02064 0.626 1236.444 0.01709
-0.12937 0.03027 0.49395 0.51151 0.02252 0.538 1236.474 0.01711
-0.12956 0.03032 0.49467 0.51225 0.02440 0.405 1236.504 0.01714
-0.12974 0.03036 0.49539 0.51300 0.02627 1.005 1236.534 0.01716
-0.12993 0.03040 0.49611 0.51374 0.02815 0.937 1236.564 0.01719
-0.13012 0.03045 0.49683 0.51449 0.03003 0.871 1236.594 0.01721
-0.13031 0.03049 0.49755 0.51523 0.03190 0.804 1236.623 0.01724
-0.13050 0.03054 0.49826 0.51597 0.03378 0.535 1236.653 0.01726
-0.13068 0.03058 0.49898 0.51672 0.03566 1.069 1236.683 0.01729
-0.13087 0.03062 0.49970 0.51746 0.03754 1.071 1236.713 0.01731
-0.13106 0.03067 0.50042 0.51821 0.03941 0.733 1236.743 0.01733
-0.13125 0.03071 0.50114 0.51895 0.04129 1.607 1236.773 0.01736
-0.13144 0.03076 0.50186 0.51970 0.04317 0.604 1236.803 0.01738
-0.13163 0.03080 0.50258 0.52044 0.04505 1.009 1236.833 0.01741
-0.13181 0.03084 0.50330 0.52118 0.04692 0.874 1236.862 0.01743
-0.13200 0.03089 0.50401 0.52193 0.04880 0.941 1236.892 0.01746
-0.13219 0.03093 0.50473 0.52267 0.05068 0.941 1236.922 0.01748
-0.13238 0.03098 0.50545 0.52342 0.05256 1.075 1236.952 0.01751
-0.13257 0.03102 0.50617 0.52416 0.05444 1.074 1236.982 0.01753
-0.13276 0.03106 0.50689 0.52491 0.05631 1.408 1237.012 0.01756
-0.13294 0.03111 0.50761 0.52565 0.05819 1.409 1237.042 0.01758
-0.13313 0.03115 0.50833 0.52640 0.06007 1.137 1237.072 0.01760
-0.13332 0.03120 0.50905 0.52714 0.06195 1.335 1237.101 0.01763
-0.13351 0.03124 0.50977 0.52788 0.06383 0.796 1237.131 0.01765
-0.13370 0.03128 0.51049 0.52863 0.06571 1.201 1237.161 0.01768
-0.13389 0.03133 0.51120 0.52937 0.06758 1.272 1237.191 0.01770
-0.13407 0.03137 0.51192 0.53012 0.06946 0.746 1237.221 0.01773
-0.13426 0.03142 0.51264 0.53086 0.07134 1.073 1237.251 0.01775
-0.13445 0.03146 0.51336 0.53161 0.07322 0.822 1237.281 0.01778
-0.13464 0.03150 0.51408 0.53235 0.07510 0.624 1237.311 0.01780
-0.13483 0.03155 0.51480 0.53310 0.07698 0.875 1237.341 0.01783
-0.13502 0.03159 0.51552 0.53384 0.07886 0.924 1237.370 0.01785
-0.13520 0.03164 0.51624 0.53459 0.08074 0.724 1237.400 0.01788
-0.13539 0.03168 0.51696 0.53533 0.08261 1.530 1237.430 0.01790
-0.13558 0.03173 0.51768 0.53608 0.08449 1.130 1237.460 0.01792
-0.13577 0.03177 0.51840 0.53682 0.08637 0.879 1237.490 0.01795
-0.13596 0.03181 0.51912 0.53757 0.08825 1.033 1237.520 0.01797
-0.13615 0.03186 0.51984 0.53831 0.09013 1.145 1237.550 0.01800
-0.13633 0.03190 0.52056 0.53906 0.09201 0.639 1237.580 0.01802
-0.13652 0.03195 0.52127 0.53980 0.09389 1.148 1237.609 0.01805
-0.13671 0.03199 0.52199 0.54055 0.09577 0.988 1237.639 0.01807
-0.13690 0.03203 0.52271 0.54129 0.09765 1.024 1237.669 0.01810
-0.13709 0.03208 0.52343 0.54204 0.09953 1.261 1237.699 0.01812
-0.13728 0.03212 0.52415 0.54278 0.10141 0.864 1237.729 0.01815
-0.13746 0.03217 0.52487 0.54353 0.10329 1.573 1237.759 0.01817
-0.13765 0.03221 0.52559 0.54427 0.10517 0.751 1237.789 0.01819
-0.13784 0.03225 0.52631 0.54502 0.10705 0.792 1237.819 0.01822
-0.13803 0.03230 0.52703 0.54576 0.10893 1.022 1237.848 0.01824
-0.13822 0.03234 0.52775 0.54651 0.11081 1.008 1237.878 0.01827
-0.13841 0.03239 0.52847 0.54725 0.11269 1.209 1237.908 0.01829
-0.13860 0.03243 0.52919 0.54800 0.11457 1.018 1237.938 0.01832
-0.13878 0.03248 0.52991 0.54874 0.11645 1.231 1237.968 0.01834
-0.13897 0.03252 0.53063 0.54949 0.11833 1.291 1237.998 0.01837
-0.13916 0.03256 0.53135 0.55024 0.12021 1.072 1238.028 0.01839
-0.13935 0.03261 0.53207 0.55098 0.12209 0.955 1238.058 0.01842
-0.13954 0.03265 0.53279 0.55173 0.12397 0.838 1238.087 0.01844
-0.13973 0.03270 0.53351 0.55247 0.12585 1.095 1238.117 0.01847
-0.13992 0.03274 0.53423 0.55322 0.12773 0.840 1238.147 0.01849
-0.14010 0.03278 0.53495 0.55396 0.12961 0.994 1238.177 0.01851
-0.14029 0.03283 0.53567 0.55471 0.13149 0.945 1238.207 0.01854
-0.14048 0.03287 0.53639 0.55545 0.13338 0.844 1238.237 0.01856
-0.14067 0.03292 0.53711 0.55620 0.13526 1.150 1238.267 0.01859
-0.14086 0.03296 0.53783 0.55695 0.13714 1.050 1238.297 0.01861
-0.14105 0.03300 0.53855 0.55769 0.13902 1.153 1238.327 0.01864
-0.14124 0.03305 0.53927 0.55844 0.14090 1.152 1238.356 0.01866
-0.14142 0.03309 0.53999 0.55918 0.14278 0.900 1238.386 0.01869
-0.14161 0.03314 0.54071 0.55993 0.14466 0.850 1238.416 0.01871
-0.14180 0.03318 0.54143 0.56067 0.14654 1.154 1238.446 0.01874
-0.14199 0.03323 0.54215 0.56142 0.14843 0.851 1238.476 0.01876
-0.14218 0.03327 0.54287 0.56217 0.15031 0.900 1238.506 0.01878
-0.14237 0.03331 0.54359 0.56291 0.15219 0.849 1238.536 0.01881
-0.14256 0.03336 0.54431 0.56366 0.15407 0.592 1238.566 0.01883
-0.14274 0.03340 0.54503 0.56440 0.15595 0.390 1238.595 0.01886
-0.14293 0.03345 0.54575 0.56515 0.15783 0.748 1238.625 0.01888
-0.14312 0.03349 0.54647 0.56590 0.15972 1.004 1238.655 0.01891
-0.14331 0.03353 0.54719 0.56664 0.16160 0.908 1238.685 0.01893
-0.14350 0.03358 0.54791 0.56739 0.16348 0.603 1238.715 0.01896
-0.14369 0.03362 0.54863 0.56813 0.16536 1.165 1238.745 0.01898
-0.14388 0.03367 0.54935 0.56888 0.16724 1.366 1238.775 0.01901
-0.14407 0.03371 0.55008 0.56963 0.16913 0.803 1238.805 0.01903
-0.14425 0.03375 0.55080 0.57037 0.17101 1.062 1238.834 0.01905
-0.14444 0.03380 0.55152 0.57112 0.17289 0.446 1238.864 0.01908
-0.14463 0.03384 0.55224 0.57186 0.17477 1.060 1238.894 0.01910
-0.14482 0.03389 0.55296 0.57261 0.17665 0.906 1238.924 0.01913
-0.14501 0.03393 0.55368 0.57336 0.17854 1.111 1238.954 0.01915
-0.14520 0.03398 0.55440 0.57410 0.18042 1.063 1238.984 0.01918
-0.14539 0.03402 0.55512 0.57485 0.18230 1.216 1239.014 0.01920
-0.14558 0.03406 0.55584 0.57560 0.18419 0.860 1239.044 0.01923
-0.14576 0.03411 0.55656 0.57634 0.18607 0.860 1239.073 0.01925
-0.14595 0.03415 0.55728 0.57709 0.18795 1.266 1239.103 0.01928
-0.14614 0.03420 0.55800 0.57784 0.18983 1.009 1239.133 0.01930
-0.14633 0.03424 0.55872 0.57858 0.19172 0.958 1239.163 0.01933
-0.14652 0.03428 0.55944 0.57933 0.19360 1.009 1239.193 0.01935
-0.14671 0.03433 0.56017 0.58007 0.19548 1.267 1239.223 0.01937
-0.14690 0.03437 0.56089 0.58082 0.19737 1.112 1239.253 0.01940
-0.14709 0.03442 0.56161 0.58157 0.19925 0.749 1239.283 0.01942
-0.14727 0.03446 0.56233 0.58231 0.20113 1.314 1239.313 0.01945
-0.14746 0.03451 0.56305 0.58306 0.20302 0.851 1239.342 0.01947
-0.14765 0.03455 0.56377 0.58381 0.20490 0.820 1239.372 0.01950
-0.14784 0.03459 0.56449 0.58455 0.20678 0.622 1239.402 0.01952
-0.14803 0.03464 0.56521 0.58530 0.20867 1.036 1239.432 0.01955
-0.14822 0.03468 0.56593 0.58605 0.21055 1.244 1239.462 0.01957
-0.14841 0.03473 0.56665 0.58679 0.21243 1.178 1239.492 0.01960
-0.14860 0.03477 0.56738 0.58754 0.21432 0.975 1239.522 0.01962
-0.14879 0.03482 0.56810 0.58829 0.21620 1.112 1239.552 0.01964
-0.14897 0.03486 0.56882 0.58904 0.21809 1.045 1239.581 0.01967
-0.14916 0.03490 0.56954 0.58978 0.21997 1.251 1239.611 0.01969
-0.14935 0.03495 0.57026 0.59053 0.22185 1.319 1239.641 0.01972
-0.14954 0.03499 0.57098 0.59128 0.22374 1.942 1239.671 0.01974
-0.14973 0.03504 0.57170 0.59202 0.22562 1.175 1239.701 0.01977
-0.14992 0.03508 0.57242 0.59277 0.22751 0.971 1239.731 0.01979
-0.15011 0.03512 0.57315 0.59352 0.22939 0.763 1239.761 0.01982
