x y z dist_scaled dist_frac flux_norm wavelength redshift
-0.09074 0.00499 0.49430 0.50258 0.00000 0.978 1236.115 0.01682
-0.09087 0.00500 0.49503 0.50333 0.00188 1.090 1236.145 0.01684
-0.09101 0.00501 0.49576 0.50407 0.00375 1.190 1236.175 0.01687
-0.09114 0.00502 0.49649 0.50481 0.00563 1.087 1236.205 0.01689
-0.09127 0.00502 0.49722 0.50556 0.00751 1.010 1236.235 0.01692
-0.09141 0.00503 0.49796 0.50630 0.00938 1.084 1236.265 0.01694
-0.09154 0.00504 0.49869 0.50705 0.01126 1.010 1236.295 0.01697
-0.09168 0.00505 0.49942 0.50779 0.01313 1.046 1236.325 0.01699
-0.09181 0.00505 0.50015 0.50853 0.01501 1.035 1236.355 0.01701
-0.09195 0.00506 0.50088 0.50928 0.01689 1.131 1236.384 0.01704
-0.09208 0.00507 0.50161 0.51002 0.01876 0.757 1236.414 0.01706
-0.09221 0.00507 0.50235 0.51077 0.02064 1.023 1236.444 0.01709
-0.09235 0.00508 0.50308 0.51151 0.02252 0.902 1236.474 0.01711
-0.09248 0.00509 0.50381 0.51225 0.02440 0.903 1236.504 0.01714
-0.09262 0.00510 0.50454 0.51300 0.02627 1.048 1236.534 0.01716
-0.09275 0.00510 0.50527 0.51374 0.02815 1.083 1236.564 0.01719
-0.09289 0.00511 0.50601 0.51449 0.03003 1.131 1236.594 0.01721
-0.09302 0.00512 0.50674 0.51523 0.03190 0.722 1236.623 0.01724
-0.09315 0.00513 0.50747 0.51597 0.03378 1.229 1236.653 0.01726
-0.09329 0.00513 0.50820 0.51672 0.03566 1.145 1236.683 0.01729
-0.09342 0.00514 0.50893 0.51746 0.03754 0.867 1236.713 0.01731
-0.09356 0.00515 0.50967 0.51821 0.03941 1.059 1236.743 0.01733
-0.09369 0.00516 0.51040 0.51895 0.04129 0.951 1236.773 0.01736
-0.09383 0.00516 0.51113 0.51970 0.04317 0.975 1236.803 0.01738
-0.09396 0.00517 0.51186 0.52044 0.04505 1.012 1236.833 0.01741
-0.09410 0.00518 0.51259 0.52118 0.04692 0.867 1236.862 0.01743
-0.09423 0.00519 0.51333 0.52193 0.04880 0.867 1236.892 0.01746
-0.09436 0.00519 0.51406 0.52267 0.05068 0.891 1236.922 0.01748
-0.09450 0.00520 0.51479 0.52342 0.05256 0.939 1236.952 0.01751
-0.09463 0.00521 0.51552 0.52416 0.05444 1.156 1236.982 0.01753
-0.09477 0.00522 0.51625 0.52491 0.05631 0.904 1237.012 0.01756
-0.09490 0.00522 0.51699 0.52565 0.05819 0.939 1237.042 0.01758
-0.09504 0.00523 0.51772 0.52640 0.06007 0.951 1237.072 0.01760
-0.09517 0.00524 0.51845 0.52714 0.06195 0.951 1237.101 0.01763
-0.09531 0.00524 0.51918 0.52788 0.06383 1.193 1237.131 0.01765
-0.09544 0.00525 0.51992 0.52863 0.06571 1.095 1237.161 0.01768
-0.09557 0.00526 0.52065 0.52937 0.06758 1.192 1237.191 0.01770
-0.09571 0.00527 0.52138 0.53012 0.06946 1.120 1237.221 0.01773
-0.09584 0.00527 0.52211 0.53086 0.07134 1.073 1237.251 0.01775
-0.09598 0.00528 0.52285 0.53161 0.07322 1.059 1237.281 0.01778
-0.09611 0.00529 0.52358 0.53235 0.07510 1.060 1237.311 0.01780
-0.09625 0.00530 0.52431 0.53310 0.07698 0.986 1237.341 0.01783
-0.09638 0.00530 0.52504 0.53384 0.07886 0.757 1237.370 0.01785
-0.09652 0.00531 0.52578 0.53459 0.08074 0.806 1237.400 0.01788
-0.09665 0.00532 0.52651 0.53533 0.08261 1.192 1237.430 0.01790
-0.09678 0.00533 0.52724 0.53608 0.08449 1.024 1237.460 0.01792
-0.09692 0.00533 0.52797 0.53682 0.08637 1.036 1237.490 0.01795
-0.09705 0.00534 0.52871 0.53757 0.08825 1.036 1237.520 0.01797
-0.09719 0.00535 0.52944 0.53831 0.09013 1.121 1237.550 0.01800
-0.09732 0.00536 0.53017 0.53906 0.09201 0.868 1237.580 0.01802
-0.09746 0.00536 0.53090 0.53980 0.09389 0.890 1237.609 0.01805
-0.09759 0.00537 0.53164 0.54055 0.09577 1.181 1237.639 0.01807
-0.09773 0.00538 0.53237 0.54129 0.09765 0.890 1237.669 0.01810
-0.09786 0.00539 0.53310 0.54204 0.09953 0.964 1237.699 0.01812
-0.09799 0.00539 0.53384 0.54278 0.10141 0.844 1237.729 0.01815
-0.09813 0.00540 0.53457 0.54353 0.10329 0.867 1237.759 0.01817
-0.09826 0.00541 0.53530 0.54427 0.10517 1.036 1237.789 0.01819
-0.09840 0.00542 0.53603 0.54502 0.10705 0.891 1237.819 0.01822
-0.09853 0.00542 0.53677 0.54576 0.10893 1.059 1237.848 0.01824
-0.09867 0.00543 0.53750 0.54651 0.11081 1.073 1237.878 0.01827
-0.09880 0.00544 0.53823 0.54725 0.11269 0.963 1237.908 0.01829
-0.09894 0.00544 0.53897 0.54800 0.11457 1.070 1237.938 0.01832
-0.09907 0.00545 0.53970 0.54874 0.11645 1.037 1237.968 0.01834
-0.09921 0.00546 0.54043 0.54949 0.11833 0.987 1237.998 0.01837
-0.09934 0.00547 0.54117 0.55024 0.12021 0.952 1238.028 0.01839
-0.09948 0.00547 0.54190 0.55098 0.12209 0.879 1238.058 0.01842
-0.09961 0.00548 0.54263 0.55173 0.12397 0.905 1238.087 0.01844
