x y z dist_scaled dist_frac flux_norm wavelength redshift
-0.08201 0.03014 0.49493 0.50258 0.00000 1.122 1236.115 0.01682
-0.08213 0.03018 0.49566 0.50333 0.00188 0.914 1236.145 0.01684
-0.08225 0.03023 0.49639 0.50407 0.00375 1.153 1236.175 0.01687
-0.08237 0.03027 0.49713 0.50481 0.00563 1.071 1236.205 0.01689
-0.08250 0.03032 0.49786 0.50556 0.00751 1.064 1236.235 0.01692
-0.08262 0.03036 0.49859 0.50630 0.00938 1.090 1236.265 0.01694
-0.08274 0.03040 0.49932 0.50705 0.01126 1.019 1236.295 0.01697
-0.08286 0.03045 0.50006 0.50779 0.01313 1.009 1236.325 0.01699
-0.08298 0.03049 0.50079 0.50853 0.01501 1.031 1236.355 0.01701
-0.08310 0.03054 0.50152 0.50928 0.01689 1.031 1236.384 0.01704
-0.08322 0.03058 0.50225 0.51002 0.01876 0.895 1236.414 0.01706
-0.08335 0.03063 0.50299 0.51077 0.02064 0.827 1236.444 0.01709
-0.08347 0.03067 0.50372 0.51151 0.02252 0.971 1236.474 0.01711
-0.08359 0.03072 0.50445 0.51225 0.02440 0.986 1236.504 0.01714
-0.08371 0.03076 0.50519 0.51300 0.02627 1.048 1236.534 0.01716
-0.08383 0.03081 0.50592 0.51374 0.02815 0.986 1236.564 0.01719
-0.08395 0.03085 0.50665 0.51449 0.03003 0.843 1236.594 0.01721
-0.08407 0.03090 0.50738 0.51523 0.03190 1.062 1236.623 0.01724
-0.08420 0.03094 0.50812 0.51597 0.03378 0.994 1236.653 0.01726
-0.08432 0.03098 0.50885 0.51672 0.03566 1.063 1236.683 0.01729
-0.08444 0.03103 0.50958 0.51746 0.03754 1.259 1236.713 0.01731
-0.08456 0.03107 0.51032 0.51821 0.03941 0.881 1236.743 0.01733
-0.08468 0.03112 0.51105 0.51895 0.04129 1.062 1236.773 0.01736
-0.08480 0.03116 0.51178 0.51970 0.04317 1.002 1236.803 0.01738
-0.08492 0.03121 0.51251 0.52044 0.04505 1.091 1236.833 0.01741
-0.08505 0.03125 0.51325 0.52118 0.04692 0.963 1236.862 0.01743
-0.08517 0.03130 0.51398 0.52193 0.04880 0.941 1236.892 0.01746
-0.08529 0.03134 0.51471 0.52267 0.05068 1.000 1236.922 0.01748
-0.08541 0.03139 0.51545 0.52342 0.05256 0.879 1236.952 0.01751
-0.08553 0.03143 0.51618 0.52416 0.05444 0.933 1236.982 0.01753
-0.08565 0.03148 0.51691 0.52491 0.05631 0.789 1237.012 0.01756
-0.08577 0.03152 0.51765 0.52565 0.05819 0.872 1237.042 0.01758
-0.08590 0.03156 0.51838 0.52640 0.06007 1.023 1237.072 0.01760
-0.08602 0.03161 0.51911 0.52714 0.06195 0.894 1237.101 0.01763
-0.08614 0.03165 0.51985 0.52788 0.06383 0.948 1237.131 0.01765
-0.08626 0.03170 0.52058 0.52863 0.06571 0.849 1237.161 0.01768
-0.08638 0.03174 0.52131 0.52937 0.06758 0.948 1237.191 0.01770
-0.08650 0.03179 0.52205 0.53012 0.06946 0.934 1237.221 0.01773
-0.08663 0.03183 0.52278 0.53086 0.07134 0.964 1237.251 0.01775
-0.08675 0.03188 0.52351 0.53161 0.07322 0.994 1237.281 0.01778
-0.08687 0.03192 0.52425 0.53235 0.07510 0.896 1237.311 0.01780
-0.08699 0.03197 0.52498 0.53310 0.07698 0.858 1237.341 0.01783
