x y z dist_scaled dist_frac flux_norm wavelength redshift
0.18567 0.01872 0.46665 0.50258 0.00000 1.657 1236.115 0.01682
0.18594 0.01875 0.46735 0.50333 0.00188 1.067 1236.145 0.01684
0.18622 0.01878 0.46804 0.50407 0.00375 1.200 1236.175 0.01687
0.18649 0.01880 0.46873 0.50481 0.00563 1.017 1236.205 0.01689
0.18677 0.01883 0.46942 0.50556 0.00751 1.233 1236.235 0.01692
0.18704 0.01886 0.47011 0.50630 0.00938 0.626 1236.265 0.01694
0.18732 0.01889 0.47080 0.50705 0.01126 1.181 1236.295 0.01697
0.18759 0.01891 0.47149 0.50779 0.01313 1.164 1236.325 0.01699
0.18787 0.01894 0.47218 0.50853 0.01501 1.562 1236.355 0.01701
0.18814 0.01897 0.47287 0.50928 0.01689 1.299 1236.384 0.01704
0.18841 0.01900 0.47356 0.51002 0.01876 1.769 1236.414 0.01706
0.18869 0.01903 0.47425 0.51077 0.02064 1.279 1236.444 0.01709
0.18896 0.01905 0.47494 0.51151 0.02252 0.949 1236.474 0.01711
0.18924 0.01908 0.47563 0.51225 0.02440 1.028 1236.504 0.01714
0.18951 0.01911 0.47632 0.51300 0.02627 1.099 1236.534 0.01716
0.18979 0.01914 0.47702 0.51374 0.02815 1.012 1236.564 0.01719
0.19006 0.01916 0.47771 0.51449 0.03003 1.085 1236.594 0.01721
0.19034 0.01919 0.47840 0.51523 0.03190 1.554 1236.623 0.01724
0.19061 0.01922 0.47909 0.51597 0.03378 0.768 1236.653 0.01726
0.19089 0.01925 0.47978 0.51672 0.03566 1.236 1236.683 0.01729
0.19116 0.01927 0.48047 0.51746 0.03754 0.685 1236.713 0.01731
0.19144 0.01930 0.48116 0.51821 0.03941 1.294 1236.743 0.01733
0.19171 0.01933 0.48185 0.51895 0.04129 0.987 1236.773 0.01736
0.19199 0.01936 0.48254 0.51970 0.04317 1.059 1236.803 0.01738
0.19226 0.01939 0.48324 0.52044 0.04505 0.749 1236.833 0.01741
0.19254 0.01941 0.48393 0.52118 0.04692 1.126 1236.862 0.01743
0.19281 0.01944 0.48462 0.52193 0.04880 0.978 1236.892 0.01746
0.19309 0.01947 0.48531 0.52267 0.05068 0.816 1236.922 0.01748
0.19336 0.01950 0.48600 0.52342 0.05256 0.586 1236.952 0.01751
0.19364 0.01952 0.48669 0.52416 0.05444 0.960 1236.982 0.01753
0.19391 0.01955 0.48738 0.52491 0.05631 0.285 1237.012 0.01756
0.19419 0.01958 0.48807 0.52565 0.05819 0.659 1237.042 0.01758
0.19446 0.01961 0.48877 0.52640 0.06007 0.284 1237.072 0.01760
0.19474 0.01964 0.48946 0.52714 0.06195 0.355 1237.101 0.01763
0.19501 0.01966 0.49015 0.52788 0.06383 0.654 1237.131 0.01765
0.19529 0.01969 0.49084 0.52863 0.06571 0.134 1237.161 0.01768
0.19556 0.01972 0.49153 0.52937 0.06758 0.277 1237.191 0.01770
0.19584 0.01975 0.49222 0.53012 0.06946 0.281 1237.221 0.01773
0.19611 0.01977 0.49291 0.53086 0.07134 0.285 1237.251 0.01775
0.19639 0.01980 0.49361 0.53161 0.07322 0.136 1237.281 0.01778
0.19666 0.01983 0.49430 0.53235 0.07510 0.502 1237.311 0.01780
0.19694 0.01986 0.49499 0.53310 0.07698 0.648 1237.341 0.01783
0.19722 0.01988 0.49568 0.53384 0.07886 0.140 1237.370 0.01785
0.19749 0.01991 0.49637 0.53459 0.08074 -0.080 1237.400 0.01788
0.19777 0.01994 0.49706 0.53533 0.08261 -0.082 1237.430 0.01790
0.19804 0.01997 0.49775 0.53608 0.08449 0.059 1237.460 0.01792
0.19832 0.02000 0.49845 0.53682 0.08637 -0.013 1237.490 0.01795
0.19859 0.02002 0.49914 0.53757 0.08825 0.272 1237.520 0.01797
0.19887 0.02005 0.49983 0.53831 0.09013 -0.013 1237.550 0.01800
0.19914 0.02008 0.50052 0.53906 0.09201 0.201 1237.580 0.01802
0.19942 0.02011 0.50121 0.53980 0.09389 0.339 1237.609 0.01805
0.19969 0.02013 0.50191 0.54055 0.09577 0.339 1237.639 0.01807
0.19997 0.02016 0.50260 0.54129 0.09765 0.623 1237.669 0.01810
0.20024 0.02019 0.50329 0.54204 0.09953 0.481 1237.699 0.01812
0.20052 0.02022 0.50398 0.54278 0.10141 0.128 1237.729 0.01815
0.20079 0.02025 0.50467 0.54353 0.10329 0.408 1237.759 0.01817
0.20107 0.02027 0.50536 0.54427 0.10517 0.546 1237.789 0.01819
0.20134 0.02030 0.50606 0.54502 0.10705 0.407 1237.819 0.01822
0.20162 0.02033 0.50675 0.54576 0.10893 0.543 1237.848 0.01824
0.20189 0.02036 0.50744 0.54651 0.11081 0.470 1237.878 0.01827
0.20217 0.02038 0.50813 0.54725 0.11269 0.541 1237.908 0.01829
0.20245 0.02041 0.50882 0.54800 0.11457 0.474 1237.938 0.01832
0.20272 0.02044 0.50952 0.54874 0.11645 0.680 1237.968 0.01834
0.20300 0.02047 0.51021 0.54949 0.11833 0.681 1237.998 0.01837
0.20327 0.02050 0.51090 0.55024 0.12021 0.961 1238.028 0.01839
0.20355 0.02052 0.51159 0.55098 0.12209 0.335 1238.058 0.01842
