x y z dist_scaled dist_frac flux_norm wavelength redshift
0.12065 -0.02365 0.48689 0.50218 0.00000 0.965 1236.099 0.01680
0.12083 -0.02369 0.48762 0.50292 0.00188 0.960 1236.129 0.01683
0.12101 -0.02372 0.48834 0.50367 0.00375 1.035 1236.159 0.01685
0.12119 -0.02376 0.48906 0.50441 0.00563 0.950 1236.189 0.01688
0.12137 -0.02379 0.48978 0.50515 0.00750 1.011 1236.219 0.01690
0.12155 -0.02383 0.49050 0.50590 0.00938 1.012 1236.249 0.01693
0.12172 -0.02386 0.49122 0.50664 0.01126 0.929 1236.279 0.01695
0.12190 -0.02390 0.49194 0.50739 0.01313 1.020 1236.308 0.01698
0.12208 -0.02393 0.49267 0.50813 0.01501 1.004 1236.338 0.01700
0.12226 -0.02397 0.49339 0.50888 0.01689 1.041 1236.368 0.01703
0.12244 -0.02400 0.49411 0.50962 0.01876 1.037 1236.398 0.01705
0.12262 -0.02404 0.49483 0.51036 0.02064 1.022 1236.428 0.01708
0.12280 -0.02407 0.49555 0.51111 0.02252 1.002 1236.458 0.01710
0.12298 -0.02411 0.49627 0.51185 0.02440 0.970 1236.488 0.01712
0.12316 -0.02414 0.49700 0.51260 0.02627 1.023 1236.518 0.01715
0.12333 -0.02418 0.49772 0.51334 0.02815 1.024 1236.548 0.01717
0.12351 -0.02421 0.49844 0.51409 0.03003 1.076 1236.577 0.01720
0.12369 -0.02425 0.49916 0.51483 0.03190 1.120 1236.607 0.01722
0.12387 -0.02429 0.49988 0.51558 0.03378 1.069 1236.637 0.01725
0.12405 -0.02432 0.50061 0.51632 0.03566 0.997 1236.667 0.01727
0.12423 -0.02436 0.50133 0.51706 0.03754 0.975 1236.697 0.01730
0.12441 -0.02439 0.50205 0.51781 0.03941 0.992 1236.727 0.01732
0.12459 -0.02443 0.50277 0.51855 0.04129 1.005 1236.757 0.01735
0.12477 -0.02446 0.50349 0.51930 0.04317 1.014 1236.787 0.01737
0.12494 -0.02450 0.50422 0.52004 0.04505 0.994 1236.817 0.01740
0.12512 -0.02453 0.50494 0.52079 0.04692 0.987 1236.847 0.01742
0.12530 -0.02457 0.50566 0.52153 0.04880 0.943 1236.876 0.01744
0.12548 -0.02460 0.50638 0.52228 0.05068 1.016 1236.906 0.01747
0.12566 -0.02464 0.50710 0.52302 0.05256 0.990 1236.936 0.01749
0.12584 -0.02467 0.50783 0.52377 0.05444 1.021 1236.966 0.01752
0.12602 -0.02471 0.50855 0.52451 0.05631 1.017 1236.996 0.01754
0.12620 -0.02474 0.50927 0.52526 0.05819 1.024 1237.026 0.01757
0.12638 -0.02478 0.50999 0.52600 0.06007 1.021 1237.056 0.01759
0.12655 -0.02481 0.51071 0.52675 0.06195 1.003 1237.086 0.01762
0.12673 -0.02485 0.51144 0.52749 0.06383 1.002 1237.116 0.01764
0.12691 -0.02488 0.51216 0.52824 0.06571 1.009 1237.145 0.01767
0.12709 -0.02492 0.51288 0.52898 0.06758 0.952 1237.175 0.01769
0.12727 -0.02495 0.51360 0.52973 0.06946 0.992 1237.205 0.01771
0.12745 -0.02499 0.51433 0.53047 0.07134 1.008 1237.235 0.01774
0.12763 -0.02502 0.51505 0.53122 0.07322 0.964 1237.265 0.01776
0.12781 -0.02506 0.51577 0.53196 0.07510 0.976 1237.295 0.01779
0.12799 -0.02509 0.51649 0.53271 0.07698 0.988 1237.325 0.01781
0.12817 -0.02513 0.51722 0.53345 0.07886 1.017 1237.355 0.01784
0.12834 -0.02516 0.51794 0.53420 0.08074 0.978 1237.385 0.01786
0.12852 -0.02520 0.51866 0.53494 0.08261 0.999 1237.414 0.01789
0.12870 -0.02523 0.51938 0.53569 0.08449 0.976 1237.444 0.01791
0.12888 -0.02527 0.52011 0.53643 0.08637 1.006 1237.474 0.01794
0.12906 -0.02530 0.52083 0.53718 0.08825 1.040 1237.504 0.01796
0.12924 -0.02534 0.52155 0.53792 0.09013 0.981 1237.534 0.01799
0.12942 -0.02537 0.52227 0.53867 0.09201 1.006 1237.564 0.01801
0.12960 -0.02541 0.52300 0.53941 0.09389 0.963 1237.594 0.01803
0.12978 -0.02544 0.52372 0.54016 0.09577 1.030 1237.624 0.01806
0.12996 -0.02548 0.52444 0.54090 0.09765 1.035 1237.654 0.01808
0.13014 -0.02551 0.52517 0.54165 0.09953 0.997 1237.684 0.01811
0.13031 -0.02555 0.52589 0.54240 0.10141 1.022 1237.713 0.01813
0.13049 -0.02558 0.52661 0.54314 0.10329 0.961 1237.743 0.01816
0.13067 -0.02562 0.52733 0.54389 0.10517 0.993 1237.773 0.01818
0.13085 -0.02565 0.52806 0.54463 0.10705 1.030 1237.803 0.01821
0.13103 -0.02569 0.52878 0.54538 0.10893 1.016 1237.833 0.01823
0.13121 -0.02572 0.52950 0.54612 0.11081 1.017 1237.863 0.01826
0.13139 -0.02576 0.53023 0.54687 0.11269 1.055 1237.893 0.01828
0.13157 -0.02579 0.53095 0.54761 0.11457 1.001 1237.923 0.01830
0.13175 -0.02583 0.53167 0.54836 0.11645 1.021 1237.953 0.01833
0.13193 -0.02586 0.53239 0.54911 0.11833 0.973 1237.982 0.01835
0.13211 -0.02590 0.53312 0.54985 0.12021 0.973 1238.012 0.01838
0.13229 -0.02593 0.53384 0.55060 0.12209 0.974 1238.042 0.01840
0.13246 -0.02597 0.53456 0.55134 0.12397 0.950 1238.072 0.01843
0.13264 -0.02601 0.53529 0.55209 0.12585 0.993 1238.102 0.01845
0.13282 -0.02604 0.53601 0.55284 0.12773 1.040 1238.132 0.01848
0.13300 -0.02608 0.53673 0.55358 0.12961 1.042 1238.162 0.01850
0.13318 -0.02611 0.53746 0.55433 0.13149 0.989 1238.192 0.01853
0.13336 -0.02615 0.53818 0.55507 0.13337 0.990 1238.222 0.01855
0.13354 -0.02618 0.53890 0.55582 0.13526 0.964 1238.251 0.01858
0.13372 -0.02622 0.53963 0.55656 0.13714 0.990 1238.281 0.01860
0.13390 -0.02625 0.54035 0.55731 0.13902 1.041 1238.311 0.01862
0.13408 -0.02629 0.54107 0.55806 0.14090 1.032 1238.341 0.01865
0.13426 -0.02632 0.54180 0.55880 0.14278 1.012 1238.371 0.01867
0.13444 -0.02636 0.54252 0.55955 0.14466 0.941 1238.401 0.01870
0.13462 -0.02639 0.54324 0.56030 0.14654 0.993 1238.431 0.01872
0.13479 -0.02643 0.54397 0.56104 0.14842 0.957 1238.461 0.01875
0.13497 -0.02646 0.54469 0.56179 0.15031 0.983 1238.491 0.01877
0.13515 -0.02650 0.54541 0.56253 0.15219 0.976 1238.521 0.01880
0.13533 -0.02653 0.54614 0.56328 0.15407 0.947 1238.550 0.01882
0.13551 -0.02657 0.54686 0.56403 0.15595 1.001 1238.580 0.01885
0.13569 -0.02660 0.54758 0.56477 0.15783 0.924 1238.610 0.01887
0.13587 -0.02664 0.54831 0.56552 0.15971 0.892 1238.640 0.01889
0.13605 -0.02667 0.54903 0.56627 0.16160 0.887 1238.670 0.01892
0.13623 -0.02671 0.54976 0.56701 0.16348 0.898 1238.700 0.01894
0.13641 -0.02674 0.55048 0.56776 0.16536 0.950 1238.730 0.01897
0.13659 -0.02678 0.55120 0.56850 0.16724 0.856 1238.760 0.01899
0.13677 -0.02681 0.55193 0.56925 0.16912 0.891 1238.790 0.01902
0.13695 -0.02685 0.55265 0.57000 0.17101 0.907 1238.819 0.01904
0.13713 -0.02688 0.55337 0.57074 0.17289 0.863 1238.849 0.01907
0.13730 -0.02692 0.55410 0.57149 0.17477 0.915 1238.879 0.01909
0.13748 -0.02695 0.55482 0.57224 0.17665 0.904 1238.909 0.01912
0.13766 -0.02699 0.55555 0.57298 0.17854 0.876 1238.939 0.01914
0.13784 -0.02702 0.55627 0.57373 0.18042 0.894 1238.969 0.01917
0.13802 -0.02706 0.55699 0.57448 0.18230 0.893 1238.999 0.01919
0.13820 -0.02709 0.55772 0.57522 0.18418 0.944 1239.029 0.01921
0.13838 -0.02713 0.55844 0.57597 0.18607 0.977 1239.059 0.01924
0.13856 -0.02717 0.55916 0.57672 0.18795 0.899 1239.088 0.01926
0.13874 -0.02720 0.55989 0.57746 0.18983 0.856 1239.118 0.01929
0.13892 -0.02724 0.56061 0.57821 0.19172 0.829 1239.148 0.01931
0.13910 -0.02727 0.56134 0.57896 0.19360 0.907 1239.178 0.01934
0.13928 -0.02731 0.56206 0.57970 0.19548 0.873 1239.208 0.01936
0.13946 -0.02734 0.56279 0.58045 0.19737 0.825 1239.238 0.01939
0.13964 -0.02738 0.56351 0.58120 0.19925 0.845 1239.268 0.01941
0.13982 -0.02741 0.56423 0.58194 0.20113 0.836 1239.298 0.01944
0.14000 -0.02745 0.56496 0.58269 0.20302 0.909 1239.328 0.01946
0.14018 -0.02748 0.56568 0.58344 0.20490 0.901 1239.357 0.01949
0.14035 -0.02752 0.56641 0.58419 0.20678 0.978 1239.387 0.01951
0.14053 -0.02755 0.56713 0.58493 0.20867 0.953 1239.417 0.01953
0.14071 -0.02759 0.56785 0.58568 0.21055 0.943 1239.447 0.01956
0.14089 -0.02762 0.56858 0.58643 0.21243 0.924 1239.477 0.01958
0.14107 -0.02766 0.56930 0.58717 0.21432 0.955 1239.507 0.01961
0.14125 -0.02769 0.57003 0.58792 0.21620 0.859 1239.537 0.01963
0.14143 -0.02773 0.57075 0.58867 0.21809 0.938 1239.567 0.01966
0.14161 -0.02776 0.57148 0.58942 0.21997 0.893 1239.597 0.01968
0.14179 -0.02780 0.57220 0.59016 0.22185 0.917 1239.627 0.01971
0.14197 -0.02783 0.57293 0.59091 0.22374 0.836 1239.656 0.01973
0.14215 -0.02787 0.57365 0.59166 0.22562 0.821 1239.686 0.01976
0.14233 -0.02790 0.57437 0.59240 0.22751 0.911 1239.716 0.01978
0.14251 -0.02794 0.57510 0.59315 0.22939 0.862 1239.746 0.01980
0.14269 -0.02797 0.57582 0.59390 0.23127 0.897 1239.776 0.01983
