x y z dist_scaled dist_frac flux_norm wavelength redshift
-0.02702 -0.04017 0.50034 0.50267 0.00000 0.973 1236.119 0.01682
-0.02706 -0.04023 0.50108 0.50342 0.00188 0.868 1236.149 0.01685
-0.02710 -0.04029 0.50182 0.50416 0.00376 1.081 1236.179 0.01687
-0.02714 -0.04035 0.50256 0.50491 0.00564 1.001 1236.209 0.01690
-0.02718 -0.04041 0.50330 0.50565 0.00752 0.880 1236.239 0.01692
-0.02722 -0.04047 0.50404 0.50639 0.00940 1.039 1236.269 0.01694
-0.02726 -0.04053 0.50478 0.50714 0.01128 0.983 1236.299 0.01697
-0.02730 -0.04059 0.50552 0.50788 0.01316 1.118 1236.328 0.01699
-0.02734 -0.04065 0.50626 0.50863 0.01504 0.990 1236.358 0.01702
-0.02738 -0.04071 0.50700 0.50937 0.01692 1.125 1236.388 0.01704
-0.02742 -0.04077 0.50774 0.51012 0.01880 1.029 1236.418 0.01707
-0.02746 -0.04083 0.50848 0.51086 0.02068 1.220 1236.448 0.01709
-0.02750 -0.04089 0.50923 0.51160 0.02256 1.171 1236.478 0.01712
-0.02754 -0.04095 0.50997 0.51235 0.02444 1.052 1236.508 0.01714
-0.02758 -0.04101 0.51071 0.51309 0.02632 0.980 1236.538 0.01717
-0.02762 -0.04107 0.51145 0.51384 0.02820 1.225 1236.568 0.01719
-0.02766 -0.04113 0.51219 0.51458 0.03008 0.900 1236.597 0.01721
-0.02770 -0.04119 0.51293 0.51533 0.03196 0.963 1236.627 0.01724
-0.02774 -0.04125 0.51367 0.51607 0.03385 0.899 1236.657 0.01726
-0.02778 -0.04131 0.51441 0.51682 0.03573 1.049 1236.687 0.01729
-0.02782 -0.04136 0.51515 0.51756 0.03761 1.096 1236.717 0.01731
-0.02786 -0.04142 0.51590 0.51831 0.03949 1.016 1236.747 0.01734
-0.02790 -0.04148 0.51664 0.51905 0.04137 0.980 1236.777 0.01736
-0.02794 -0.04154 0.51738 0.51979 0.04325 1.146 1236.807 0.01739
-0.02799 -0.04160 0.51812 0.52054 0.04513 0.814 1236.837 0.01741
-0.02803 -0.04166 0.51886 0.52128 0.04701 0.967 1236.866 0.01744
-0.02807 -0.04172 0.51960 0.52203 0.04890 0.706 1236.896 0.01746
-0.02811 -0.04178 0.52034 0.52277 0.05078 0.931 1236.926 0.01749
-0.02815 -0.04184 0.52108 0.52352 0.05266 0.859 1236.956 0.01751
-0.02819 -0.04190 0.52183 0.52426 0.05454 0.965 1236.986 0.01753
-0.02823 -0.04196 0.52257 0.52501 0.05642 0.894 1237.016 0.01756
-0.02827 -0.04202 0.52331 0.52575 0.05830 0.988 1237.046 0.01758
-0.02831 -0.04208 0.52405 0.52650 0.06019 0.999 1237.076 0.01761
-0.02835 -0.04214 0.52479 0.52724 0.06207 0.916 1237.106 0.01763
-0.02839 -0.04220 0.52553 0.52799 0.06395 0.878 1237.135 0.01766
-0.02843 -0.04226 0.52627 0.52873 0.06583 1.082 1237.165 0.01768
-0.02847 -0.04232 0.52702 0.52948 0.06771 1.057 1237.195 0.01771
-0.02851 -0.04238 0.52776 0.53022 0.06960 1.167 1237.225 0.01773
-0.02855 -0.04244 0.52850 0.53097 0.07148 0.931 1237.255 0.01776
-0.02859 -0.04250 0.52924 0.53171 0.07336 0.953 1237.285 0.01778
-0.02863 -0.04256 0.52998 0.53246 0.07524 0.778 1237.315 0.01780
-0.02867 -0.04261 0.53072 0.53320 0.07713 1.027 1237.345 0.01783
-0.02871 -0.04267 0.53147 0.53395 0.07901 1.037 1237.375 0.01785
-0.02875 -0.04273 0.53221 0.53469 0.08089 1.079 1237.405 0.01788
-0.02879 -0.04279 0.53295 0.53544 0.08277 1.113 1237.434 0.01790
-0.02883 -0.04285 0.53369 0.53618 0.08466 1.078 1237.464 0.01793
-0.02887 -0.04291 0.53443 0.53693 0.08654 1.072 1237.494 0.01795
-0.02891 -0.04297 0.53517 0.53767 0.08842 0.899 1237.524 0.01798
-0.02895 -0.04303 0.53592 0.53842 0.09030 0.857 1237.554 0.01800
-0.02899 -0.04309 0.53666 0.53917 0.09219 1.007 1237.584 0.01803
-0.02903 -0.04315 0.53740 0.53991 0.09407 0.866 1237.614 0.01805
-0.02907 -0.04321 0.53814 0.54066 0.09595 0.985 1237.644 0.01808
-0.02911 -0.04327 0.53888 0.54140 0.09784 1.152 1237.674 0.01810
-0.02915 -0.04333 0.53963 0.54215 0.09972 0.925 1237.703 0.01812
-0.02919 -0.04339 0.54037 0.54289 0.10160 1.103 1237.733 0.01815
-0.02923 -0.04345 0.54111 0.54364 0.10349 1.047 1237.763 0.01817
