x y z dist_scaled dist_frac flux_norm wavelength redshift
0.10589 0.00908 0.49122 0.50258 0.00000 0.872 1236.115 0.01682
0.10604 0.00909 0.49194 0.50333 0.00188 1.016 1236.145 0.01684
0.10620 0.00911 0.49267 0.50407 0.00375 0.742 1236.175 0.01687
0.10636 0.00912 0.49340 0.50481 0.00563 0.849 1236.205 0.01689
0.10651 0.00913 0.49413 0.50556 0.00751 0.957 1236.235 0.01692
0.10667 0.00915 0.49485 0.50630 0.00938 0.901 1236.265 0.01694
0.10683 0.00916 0.49558 0.50705 0.01126 1.174 1236.295 0.01697
0.10698 0.00918 0.49631 0.50779 0.01313 0.972 1236.325 0.01699
0.10714 0.00919 0.49703 0.50853 0.01501 0.916 1236.355 0.01701
0.10730 0.00920 0.49776 0.50928 0.01689 0.825 1236.384 0.01704
0.10745 0.00922 0.49849 0.51002 0.01876 0.950 1236.414 0.01706
0.10761 0.00923 0.49922 0.51077 0.02064 0.985 1236.444 0.01709
0.10777 0.00924 0.49994 0.51151 0.02252 1.055 1236.474 0.01711
0.10792 0.00926 0.50067 0.51225 0.02440 1.106 1236.504 0.01714
0.10808 0.00927 0.50140 0.51300 0.02627 0.962 1236.534 0.01716
0.10824 0.00928 0.50212 0.51374 0.02815 1.250 1236.564 0.01719
0.10839 0.00930 0.50285 0.51449 0.03003 0.800 1236.594 0.01721
0.10855 0.00931 0.50358 0.51523 0.03190 0.979 1236.623 0.01724
0.10871 0.00932 0.50431 0.51597 0.03378 1.084 1236.653 0.01726
0.10886 0.00934 0.50503 0.51672 0.03566 0.672 1236.683 0.01729
0.10902 0.00935 0.50576 0.51746 0.03754 1.188 1236.713 0.01731
0.10918 0.00936 0.50649 0.51821 0.03941 1.061 1236.743 0.01733
0.10933 0.00938 0.50722 0.51895 0.04129 0.918 1236.773 0.01736
0.10949 0.00939 0.50794 0.51970 0.04317 0.900 1236.803 0.01738
0.10965 0.00940 0.50867 0.52044 0.04505 1.218 1236.833 0.01741
0.10981 0.00942 0.50940 0.52118 0.04692 1.146 1236.862 0.01743
0.10996 0.00943 0.51013 0.52193 0.04880 0.986 1236.892 0.01746
0.11012 0.00944 0.51085 0.52267 0.05068 0.985 1236.922 0.01748
0.11028 0.00946 0.51158 0.52342 0.05256 1.072 1236.952 0.01751
0.11043 0.00947 0.51231 0.52416 0.05444 0.894 1236.982 0.01753
0.11059 0.00948 0.51304 0.52491 0.05631 0.946 1237.012 0.01756
0.11075 0.00950 0.51376 0.52565 0.05819 0.998 1237.042 0.01758
0.11090 0.00951 0.51449 0.52640 0.06007 0.890 1237.072 0.01760
0.11106 0.00952 0.51522 0.52714 0.06195 0.917 1237.101 0.01763
0.11122 0.00954 0.51595 0.52788 0.06383 0.724 1237.131 0.01765
0.11137 0.00955 0.51668 0.52863 0.06571 1.002 1237.161 0.01768
0.11153 0.00957 0.51740 0.52937 0.06758 1.364 1237.191 0.01770
0.11169 0.00958 0.51813 0.53012 0.06946 0.923 1237.221 0.01773
0.11184 0.00959 0.51886 0.53086 0.07134 0.939 1237.251 0.01775
0.11200 0.00961 0.51959 0.53161 0.07322 0.799 1237.281 0.01778
0.11216 0.00962 0.52031 0.53235 0.07510 1.019 1237.311 0.01780
0.11232 0.00963 0.52104 0.53310 0.07698 1.128 1237.341 0.01783
0.11247 0.00965 0.52177 0.53384 0.07886 1.103 1237.370 0.01785
0.11263 0.00966 0.52250 0.53459 0.08074 1.310 1237.400 0.01788
0.11279 0.00967 0.52323 0.53533 0.08261 0.835 1237.430 0.01790
0.11294 0.00969 0.52396 0.53608 0.08449 0.797 1237.460 0.01792
0.11310 0.00970 0.52468 0.53682 0.08637 0.932 1237.490 0.01795
0.11326 0.00971 0.52541 0.53757 0.08825 1.007 1237.520 0.01797
0.11341 0.00973 0.52614 0.53831 0.09013 1.179 1237.550 0.01800
0.11357 0.00974 0.52687 0.53906 0.09201 0.940 1237.580 0.01802
0.11373 0.00975 0.52760 0.53980 0.09389 0.947 1237.609 0.01805
0.11388 0.00977 0.52832 0.54055 0.09577 0.972 1237.639 0.01807
0.11404 0.00978 0.52905 0.54129 0.09765 0.988 1237.669 0.01810
0.11420 0.00979 0.52978 0.54204 0.09953 1.124 1237.699 0.01812
0.11436 0.00981 0.53051 0.54278 0.10141 1.019 1237.729 0.01815
0.11451 0.00982 0.53124 0.54353 0.10329 0.882 1237.759 0.01817
0.11467 0.00983 0.53197 0.54427 0.10517 0.966 1237.789 0.01819
0.11483 0.00985 0.53269 0.54502 0.10705 1.119 1237.819 0.01822
0.11498 0.00986 0.53342 0.54576 0.10893 1.083 1237.848 0.01824
0.11514 0.00987 0.53415 0.54651 0.11081 0.878 1237.878 0.01827
0.11530 0.00989 0.53488 0.54725 0.11269 0.776 1237.908 0.01829
0.11545 0.00990 0.53561 0.54800 0.11457 1.079 1237.938 0.01832
0.11561 0.00992 0.53634 0.54874 0.11645 0.961 1237.968 0.01834
0.11577 0.00993 0.53706 0.54949 0.11833 1.231 1237.998 0.01837
0.11593 0.00994 0.53779 0.55024 0.12021 1.129 1238.028 0.01839
0.11608 0.00996 0.53852 0.55098 0.12209 0.923 1238.058 0.01842
0.11624 0.00997 0.53925 0.55173 0.12397 0.957 1238.087 0.01844
0.11640 0.00998 0.53998 0.55247 0.12585 1.124 1238.117 0.01847
