x y z dist_scaled dist_frac flux_norm wavelength redshift
0.14246 0.04878 0.47949 0.50258 0.00000 0.811 1236.115 0.01682
0.14267 0.04885 0.48020 0.50333 0.00188 1.010 1236.145 0.01684
0.14288 0.04892 0.48091 0.50407 0.00375 1.052 1236.175 0.01687
0.14309 0.04899 0.48162 0.50481 0.00563 0.810 1236.205 0.01689
0.14330 0.04907 0.48233 0.50556 0.00751 0.967 1236.235 0.01692
0.14351 0.04914 0.48304 0.50630 0.00938 0.931 1236.265 0.01694
0.14373 0.04921 0.48375 0.50705 0.01126 0.685 1236.295 0.01697
0.14394 0.04928 0.48446 0.50779 0.01313 0.736 1236.325 0.01699
0.14415 0.04935 0.48517 0.50853 0.01501 0.713 1236.355 0.01701
0.14436 0.04943 0.48588 0.50928 0.01689 0.628 1236.384 0.01704
0.14457 0.04950 0.48659 0.51002 0.01876 0.775 1236.414 0.01706
0.14478 0.04957 0.48730 0.51077 0.02064 0.858 1236.444 0.01709
0.14499 0.04964 0.48801 0.51151 0.02252 0.960 1236.474 0.01711
0.14520 0.04972 0.48872 0.51225 0.02440 0.972 1236.504 0.01714
0.14541 0.04979 0.48943 0.51300 0.02627 0.994 1236.534 0.01716
0.14562 0.04986 0.49014 0.51374 0.02815 0.961 1236.564 0.01719
0.14583 0.04993 0.49085 0.51449 0.03003 1.087 1236.594 0.01721
0.14605 0.05000 0.49156 0.51523 0.03190 1.040 1236.623 0.01724
0.14626 0.05008 0.49227 0.51597 0.03378 0.775 1236.653 0.01726
0.14647 0.05015 0.49298 0.51672 0.03566 0.568 1236.683 0.01729
0.14668 0.05022 0.49369 0.51746 0.03754 0.512 1236.713 0.01731
0.14689 0.05029 0.49440 0.51821 0.03941 0.241 1236.743 0.01733
0.14710 0.05037 0.49511 0.51895 0.04129 0.305 1236.773 0.01736
0.14731 0.05044 0.49582 0.51970 0.04317 0.241 1236.803 0.01738
0.14752 0.05051 0.49653 0.52044 0.04505 0.251 1236.833 0.01741
0.14773 0.05058 0.49724 0.52118 0.04692 0.345 1236.862 0.01743
0.14794 0.05065 0.49795 0.52193 0.04880 0.114 1236.892 0.01746
0.14816 0.05073 0.49866 0.52267 0.05068 0.125 1236.922 0.01748
0.14837 0.05080 0.49937 0.52342 0.05256 0.062 1236.952 0.01751
0.14858 0.05087 0.50008 0.52416 0.05444 0.074 1236.982 0.01753
0.14879 0.05094 0.50079 0.52491 0.05631 0.001 1237.012 0.01756
0.14900 0.05102 0.50150 0.52565 0.05819 -0.009 1237.042 0.01758
0.14921 0.05109 0.50221 0.52640 0.06007 -0.020 1237.072 0.01760
0.14942 0.05116 0.50292 0.52714 0.06195 0.032 1237.101 0.01763
0.14963 0.05123 0.50363 0.52788 0.06383 0.022 1237.131 0.01765
0.14984 0.05131 0.50434 0.52863 0.06571 -0.017 1237.161 0.01768
0.15005 0.05138 0.50506 0.52937 0.06758 0.060 1237.191 0.01770
0.15027 0.05145 0.50577 0.53012 0.06946 0.013 1237.221 0.01773
0.15048 0.05152 0.50648 0.53086 0.07134 0.001 1237.251 0.01775
0.15069 0.05159 0.50719 0.53161 0.07322 0.012 1237.281 0.01778
0.15090 0.05167 0.50790 0.53235 0.07510 0.045 1237.311 0.01780
0.15111 0.05174 0.50861 0.53310 0.07698 0.037 1237.341 0.01783
0.15132 0.05181 0.50932 0.53384 0.07886 0.066 1237.370 0.01785
0.15153 0.05188 0.51003 0.53459 0.08074 0.084 1237.400 0.01788
0.15174 0.05196 0.51074 0.53533 0.08261 0.156 1237.430 0.01790
0.15195 0.05203 0.51145 0.53608 0.08449 0.149 1237.460 0.01792
0.15217 0.05210 0.51216 0.53682 0.08637 0.328 1237.490 0.01795
0.15238 0.05217 0.51287 0.53757 0.08825 0.504 1237.520 0.01797
0.15259 0.05224 0.51358 0.53831 0.09013 0.758 1237.550 0.01800
0.15280 0.05232 0.51429 0.53906 0.09201 0.754 1237.580 0.01802
0.15301 0.05239 0.51500 0.53980 0.09389 0.996 1237.609 0.01805
0.15322 0.05246 0.51572 0.54055 0.09577 1.016 1237.639 0.01807
0.15343 0.05253 0.51643 0.54129 0.09765 1.045 1237.669 0.01810
