name x1 y1 z1 x2 y2 z2
1SAXJ1032.3+5051 0.13406 0.24325 0.45057 0.22058 0.40024 0.74136
2E-1058.1+1102 0.14787 -0.12042 0.49375 0.24331 -0.19814 0.81240
2MASS-J09311671+2628474 0.29752 0.05861 0.43383 0.48953 0.09643 0.71380
2MASS-J09512393+3542490 0.23952 0.12978 0.45381 0.39410 0.21354 0.74669
2MASS-J09591486+3203573 0.23710 0.09433 0.46373 0.39011 0.15520 0.76301
2MASS-J10131797+0500342 0.25076 -0.15359 0.44010 0.41259 -0.25272 0.72412
2MASS-J10512569+1247462 0.16689 -0.09957 0.49234 0.27459 -0.16382 0.81007
2MASS-J11321056+1335091 0.07762 -0.10163 0.51362 0.12772 -0.16721 0.84509
2MASS-J13250381+2717189 -0.15737 0.03321 0.50428 -0.25892 0.05465 0.82971
2MASS-J13482237+2456498 -0.20564 0.01968 0.48733 -0.33835 0.03237 0.80183
2MASS-J14042827+3353426 -0.21566 0.10633 0.47154 -0.35483 0.17496 0.77585
2MASS-J14294076+0321257 -0.30833 -0.15276 0.40219 -0.50731 -0.25135 0.66175
2MASS-J14312586+2442203 -0.28356 0.03693 0.44541 -0.46656 0.06076 0.73286
2MASS-J15412146+2817063 -0.37525 0.11091 0.35644 -0.61742 0.18249 0.58646
2MASSIJ1431258+244220 -0.28356 0.03693 0.44541 -0.46656 0.06076 0.73286
2MASX-J15442722+2743237 -0.38093 0.10831 0.35117 -0.62677 0.17820 0.57780
2MASX-J16194054+2543233 -0.42562 0.11769 0.29182 -0.70030 0.19365 0.48014
2XMM-J100420.0+051300 0.26862 -0.14752 0.43156 0.44197 -0.24272 0.71007
2XMM-J141348.3+440014 -0.20023 0.19696 0.44864 -0.32945 0.32407 0.73817
3C263 0.02545 0.34696 0.39891 0.04187 0.57088 0.65635
3C273 -0.05122 -0.20472 0.48541 -0.08427 -0.33684 0.79868
4C-13.41 0.25699 -0.08219 0.45537 0.42283 -0.13523 0.74925
4C57.27 -0.24434 0.34364 0.31995 -0.40202 0.56541 0.52644
4C63.22 -0.17785 0.36548 0.33905 -0.29263 0.60134 0.55786
87GB-142519.5+264555 -0.27281 0.05130 0.45067 -0.44886 0.08441 0.74152
CSO1022 -0.19114 0.12385 0.47779 -0.31449 0.20378 0.78614
CSO712 -0.20713 0.30225 0.38197 -0.34081 0.49730 0.62848
FBQS.J1252+2913 -0.09117 0.04345 0.51958 -0.15001 0.07150 0.85489
FBQS.J130451.4+245445 -0.12014 0.00629 0.51545 -0.19767 0.01034 0.84810
FBQSJ1010+3003 0.22363 0.07187 0.47433 0.36796 0.11825 0.78043
FBS1526+659 -0.16655 0.37922 0.32957 -0.27404 0.62395 0.54226
HB89.1258+285 -0.10902 0.03684 0.51664 -0.17938 0.06062 0.85006
HB89.1259+281 -0.11041 0.03255 0.51664 -0.18166 0.05356 0.85005
HS1102+3441 0.11525 0.09386 0.50801 0.18962 0.15443 0.83585
HS1700+6416 -0.22090 0.40463 0.26008 -0.36346 0.66575 0.42793
ICRF-J122011.8+020342 -0.03071 -0.20531 0.48689 -0.05053 -0.33781 0.80111
J080704.88+360353.5 0.37036 0.19226 0.32563 0.60937 0.31634 0.53577
J083220.08+243100.5 0.38781 0.07883 0.35150 0.63808 0.12970 0.57834
J083331.57+523405.4 0.25808 0.30018 0.35135 0.42463 0.49391 0.57810
J084159.13+140642.1 0.40020 -0.01848 0.34592 0.65847 -0.03040 0.56916
J084349.75+261910.7 0.36747 0.08633 0.37104 0.60462 0.14204 0.61050
J091728.56+271951.0 0.31678 0.07391 0.41755 0.52122 0.12160 0.68702
J1004P0513 0.26862 -0.14752 0.43156 0.44197 -0.24272 0.71007
J101730.98+470225.0 0.16568 0.21622 0.45383 0.27260 0.35575 0.74671
J102056.37+100332.7 0.23243 -0.11278 0.46197 0.38244 -0.18556 0.76011
J102512.86+480853.2 0.15158 0.22308 0.45543 0.24940 0.36705 0.74935
J102847.00+391800.4 0.17002 0.14695 0.47923 0.27975 0.24178 0.78850
J104241.27+250122.8 0.17227 0.01436 0.50028 0.28344 0.02362 0.82314
J104335.86+115129.1 0.18413 -0.10545 0.48491 0.30297 -0.17350 0.79785
J105220.63+101751.7 0.16641 -0.12220 0.48738 0.27381 -0.20105 0.80191
J110236.65+052117.0 0.14587 -0.16866 0.48004 0.24000 -0.27750 0.78984
J110631.05+351051.3 0.11264 0.10049 0.50732 0.18533 0.16534 0.83472
J110631.05+351051.3-COPY 0.11264 0.10049 0.50732 0.18533 0.16534 0.83472
J112439.42+113117.2 0.09502 -0.11904 0.50691 0.15635 -0.19586 0.83406
J112632.91+120437.3 0.09063 -0.11437 0.50879 0.14911 -0.18817 0.83714
J113325.77+242327.8 0.07012 -0.00281 0.52463 0.11537 -0.00463 0.86320
J113524.05+074502.5 0.07182 -0.15425 0.50121 0.11818 -0.25379 0.82467
J114046.06+113649.5 0.05896 -0.12049 0.51202 0.09701 -0.19825 0.84246
J114434.72+070516.4 0.05104 -0.16112 0.50159 0.08399 -0.26510 0.82530
J114903.47+220424.3 0.03812 -0.02575 0.52730 0.06272 -0.04236 0.86760
J115709.77+090607.3 0.02217 -0.14416 0.50881 0.03647 -0.23720 0.83717
J115722.44+114040.7 0.02151 -0.12114 0.51480 0.03539 -0.19932 0.84704
J120917.35+261613.1 -0.00498 0.01240 0.52913 -0.00819 0.02040 0.87061
J122137.93+043026.1 -0.03393 -0.18423 0.49504 -0.05583 -0.30313 0.81452
J122330.78+154507.3 -0.03693 -0.08385 0.52131 -0.06076 -0.13797 0.85774
J123113.12+120307.2 -0.05486 -0.11673 0.51335 -0.09026 -0.19207 0.84464
J130100.86+281944.7 -0.10902 0.03684 0.51664 -0.17938 0.06062 0.85006
J131447.07+260624.1 -0.13876 0.01960 0.51041 -0.22832 0.03226 0.83981
J133356.38+313355.3 -0.16722 0.07472 0.49661 -0.27513 0.12294 0.81709
J133912.37+535527.3 -0.12218 0.26709 0.44034 -0.20104 0.43945 0.72451
J134447.56+554656.8 -0.12332 0.28272 0.43014 -0.20291 0.46518 0.70774
J135426.08+144151.4 -0.23154 -0.07069 0.47070 -0.38096 -0.11631 0.77446
