name x1 y1 z1 x2 y2 z2
2MASS-J13250381+2717189 -0.13387 0.03132 0.51114 -0.22026 0.05154 0.84100
2MASS-J13482237+2456498 -0.18258 0.01668 0.49654 -0.30041 0.02744 0.81698
FBQS.J1252+2913 -0.06726 0.04307 0.52324 -0.11067 0.07086 0.86092
FBQS.J130451.4+245445 -0.09556 0.00526 0.52058 -0.15723 0.00865 0.85654
HB89.1258+285 -0.08508 0.03605 0.52117 -0.13998 0.05932 0.85752
HB89.1259+281 -0.08637 0.03174 0.52124 -0.14211 0.05222 0.85763
J104241.27+250122.8 0.19554 0.01972 0.49146 0.32173 0.03244 0.80863
J113325.77+242327.8 0.09507 0.00038 0.52069 0.15643 0.00063 0.85673
J114903.47+220424.3 0.06375 -0.02324 0.52494 0.10489 -0.03825 0.86371
J120917.35+261613.1 0.01996 0.01395 0.52874 0.03283 0.02295 0.86997
J130100.86+281944.7 -0.08508 0.03605 0.52117 -0.13998 0.05932 0.85752
J131447.07+260624.1 -0.11470 0.01815 0.51641 -0.18872 0.02986 0.84967
PG1116+215 0.12717 -0.02493 0.51319 0.20924 -0.04102 0.84439
PG1202+281 0.02901 0.02922 0.52770 0.04774 0.04808 0.86825
PG1222+216 -0.01286 -0.03132 0.52822 -0.02116 -0.05153 0.86911
PG1352+183 -0.20398 -0.04357 0.48647 -0.33562 -0.07168 0.80042
QSO-B1124+271 0.10481 0.02465 0.51824 0.17245 0.04057 0.85268
QSO-B1229+204 -0.02846 -0.04230 0.52684 -0.04682 -0.06960 0.86684
RX.J1303.7+2633 -0.09204 0.02018 0.52085 -0.15144 0.03320 0.85698
SDSS-J115552.80+292238.4 0.04631 0.04341 0.52548 0.07619 0.07142 0.86461
SDSS-J124129.64+285212.0 -0.04557 0.03870 0.52592 -0.07497 0.06367 0.86532
SDSS-J131802.01+262830.3 -0.12084 0.02223 0.51484 -0.19883 0.03658 0.84710
SDSS-J135424.90+243006.3 -0.19492 0.01470 0.49189 -0.32070 0.02419 0.80933
SDSS.J125846.67+242739.1 -0.08335 0.00010 0.52270 -0.13714 0.00017 0.86003
SDSSJ105958.82+251708.8 0.16162 0.01646 0.50376 0.26592 0.02709 0.82886
SDSSJ110052.33+283801.2 0.15518 0.04676 0.50388 0.25533 0.07694 0.82906
SDSSJ110307.57+291230.0 0.15003 0.05137 0.50499 0.24686 0.08452 0.83088
SDSSJ110612.25+292730.6 0.14380 0.05282 0.50665 0.23660 0.08691 0.83362
SDSSJ111754.31+263416.6 0.12457 0.02354 0.51390 0.20495 0.03874 0.84554
SDSSJ113457.62+255527.9 0.09076 0.01424 0.52127 0.14934 0.02343 0.85767
SDSSJ120720.99+262429.1 0.02394 0.01530 0.52854 0.03939 0.02517 0.86964
SDSSJ123604.02+264135.9 -0.03533 0.01823 0.52781 -0.05813 0.03000 0.86843
SDSSJ133045.15+281321.4 -0.14378 0.04131 0.50772 -0.23657 0.06797 0.83538
SDSSJ134246.89+184443.6 -0.17932 -0.04173 0.49625 -0.29505 -0.06867 0.81651
SDSSJ135625.55+251523.7 -0.19756 0.02229 0.49055 -0.32505 0.03668 0.80712
SDSSJ135712.61+170444.1 -0.21039 -0.05172 0.48293 -0.34616 -0.08510 0.79460
TON0694 -0.08960 0.03509 0.52048 -0.14742 0.05773 0.85638
