x y z dist_scaled dist_frac flux_norm wavelength redshift
0.12733 0.23104 0.42795 0.50273 0.00000 1.640 1574.240 0.01682
0.12751 0.23137 0.42856 0.50344 0.00181 1.021 1574.277 0.01685
0.12769 0.23170 0.42917 0.50416 0.00362 1.104 1574.314 0.01687
0.12788 0.23203 0.42978 0.50488 0.00543 1.001 1574.350 0.01689
0.12806 0.23236 0.43039 0.50560 0.00724 1.190 1574.387 0.01692
0.12824 0.23269 0.43101 0.50631 0.00906 1.570 1574.424 0.01694
0.12842 0.23302 0.43162 0.50703 0.01087 1.193 1574.461 0.01697
0.12860 0.23335 0.43223 0.50775 0.01268 1.139 1574.497 0.01699
0.12878 0.23368 0.43284 0.50847 0.01449 1.196 1574.534 0.01701
0.12897 0.23401 0.43345 0.50918 0.01630 0.926 1574.571 0.01704
0.12915 0.23434 0.43406 0.50990 0.01811 0.980 1574.607 0.01706
0.12933 0.23467 0.43467 0.51062 0.01992 1.197 1574.644 0.01708
0.12951 0.23500 0.43528 0.51134 0.02174 1.088 1574.681 0.01711
0.12969 0.23533 0.43589 0.51206 0.02355 0.872 1574.718 0.01713
0.12988 0.23566 0.43650 0.51277 0.02536 0.870 1574.754 0.01715
0.13006 0.23599 0.43712 0.51349 0.02717 1.360 1574.791 0.01718
0.13024 0.23632 0.43773 0.51421 0.02898 1.087 1574.828 0.01720
0.13042 0.23665 0.43834 0.51493 0.03080 0.870 1574.864 0.01723
0.13060 0.23698 0.43895 0.51565 0.03261 0.978 1574.901 0.01725
0.13078 0.23731 0.43956 0.51636 0.03442 1.413 1574.938 0.01727
0.13097 0.23764 0.44017 0.51708 0.03623 0.705 1574.975 0.01730
0.13115 0.23797 0.44078 0.51780 0.03804 1.029 1575.011 0.01732
0.13133 0.23830 0.44139 0.51852 0.03986 0.921 1575.048 0.01734
0.13151 0.23863 0.44201 0.51924 0.04167 0.868 1575.085 0.01737
0.13169 0.23896 0.44262 0.51995 0.04348 1.083 1575.121 0.01739
0.13188 0.23929 0.44323 0.52067 0.04529 1.138 1575.158 0.01742
0.13206 0.23962 0.44384 0.52139 0.04711 0.972 1575.195 0.01744
0.13224 0.23995 0.44445 0.52211 0.04892 0.862 1575.232 0.01746
0.13242 0.24028 0.44506 0.52283 0.05073 0.915 1575.268 0.01749
0.13260 0.24061 0.44567 0.52355 0.05254 1.134 1575.305 0.01751
0.13279 0.24094 0.44629 0.52426 0.05436 1.025 1575.342 0.01753
0.13297 0.24127 0.44690 0.52498 0.05617 0.808 1575.378 0.01756
0.13315 0.24160 0.44751 0.52570 0.05798 0.701 1575.415 0.01758
0.13333 0.24193 0.44812 0.52642 0.05980 0.971 1575.452 0.01761
0.13351 0.24226 0.44873 0.52714 0.06161 1.133 1575.489 0.01763
0.13370 0.24259 0.44934 0.52786 0.06342 1.135 1575.525 0.01765
0.13388 0.24292 0.44995 0.52857 0.06524 0.709 1575.562 0.01768
0.13406 0.24325 0.45057 0.52929 0.06705 0.874 1575.599 0.01770
0.13424 0.24358 0.45118 0.53001 0.06886 1.497 1575.635 0.01772
0.13442 0.24391 0.45179 0.53073 0.07068 0.935 1575.672 0.01775
0.13461 0.24424 0.45240 0.53145 0.07249 1.334 1575.709 0.01777
0.13479 0.24457 0.45301 0.53217 0.07430 0.984 1575.746 0.01780
0.13497 0.24490 0.45362 0.53289 0.07612 1.054 1575.782 0.01782
0.13515 0.24523 0.45424 0.53360 0.07793 1.056 1575.819 0.01784
0.13533 0.24556 0.45485 0.53432 0.07974 1.005 1575.856 0.01787
0.13552 0.24589 0.45546 0.53504 0.08156 0.950 1575.892 0.01789
0.13570 0.24622 0.45607 0.53576 0.08337 0.938 1575.929 0.01791
0.13588 0.24655 0.45668 0.53648 0.08518 0.933 1575.966 0.01794
0.13606 0.24688 0.45730 0.53720 0.08700 0.558 1576.003 0.01796
0.13624 0.24721 0.45791 0.53792 0.08881 0.724 1576.039 0.01798
0.13643 0.24754 0.45852 0.53864 0.09063 0.778 1576.076 0.01801
0.13661 0.24787 0.45913 0.53935 0.09244 1.309 1576.113 0.01803
0.13679 0.24820 0.45974 0.54007 0.09426 0.983 1576.149 0.01806
0.13697 0.24853 0.46036 0.54079 0.09607 1.358 1576.186 0.01808
0.13715 0.24886 0.46097 0.54151 0.09788 0.808 1576.223 0.01810
0.13734 0.24919 0.46158 0.54223 0.09970 0.810 1576.260 0.01813
0.13752 0.24952 0.46219 0.54295 0.10151 1.133 1576.296 0.01815
0.13770 0.24985 0.46280 0.54367 0.10333 1.297 1576.333 0.01817
0.13788 0.25018 0.46342 0.54439 0.10514 0.861 1576.370 0.01820
0.13806 0.25051 0.46403 0.54511 0.10696 1.024 1576.406 0.01822
0.13825 0.25084 0.46464 0.54582 0.10877 0.700 1576.443 0.01825
0.13843 0.25117 0.46525 0.54654 0.11059 1.243 1576.480 0.01827
0.13861 0.25151 0.46586 0.54726 0.11240 0.973 1576.517 0.01829
0.13879 0.25184 0.46648 0.54798 0.11422 1.348 1576.553 0.01832
0.13898 0.25217 0.46709 0.54870 0.11603 1.073 1576.590 0.01834
0.13916 0.25250 0.46770 0.54942 0.11785 1.127 1576.627 0.01836
0.13934 0.25283 0.46831 0.55014 0.11966 1.072 1576.663 0.01839
0.13952 0.25316 0.46892 0.55086 0.12148 0.854 1576.700 0.01841
0.13970 0.25349 0.46954 0.55158 0.12329 1.015 1576.737 0.01844
0.13989 0.25382 0.47015 0.55230 0.12511 0.797 1576.774 0.01846
0.14007 0.25415 0.47076 0.55302 0.12692 1.123 1576.810 0.01848
0.14025 0.25448 0.47137 0.55374 0.12874 0.910 1576.847 0.01851
0.14043 0.25481 0.47199 0.55446 0.13055 0.908 1576.884 0.01853
0.14061 0.25514 0.47260 0.55517 0.13237 0.583 1576.920 0.01855
0.14080 0.25547 0.47321 0.55589 0.13418 1.014 1576.957 0.01858
0.14098 0.25580 0.47382 0.55661 0.13600 0.852 1576.994 0.01860
0.14116 0.25613 0.47444 0.55733 0.13782 1.014 1577.031 0.01863
0.14134 0.25646 0.47505 0.55805 0.13963 0.853 1577.067 0.01865
0.14153 0.25679 0.47566 0.55877 0.14145 1.559 1577.104 0.01867
0.14171 0.25713 0.47627 0.55949 0.14326 0.964 1577.141 0.01870
0.14189 0.25746 0.47689 0.56021 0.14508 1.231 1577.177 0.01872
0.14207 0.25779 0.47750 0.56093 0.14689 1.122 1577.214 0.01874
0.14225 0.25812 0.47811 0.56165 0.14871 0.849 1577.251 0.01877
0.14244 0.25845 0.47872 0.56237 0.15053 0.794 1577.287 0.01879
0.14262 0.25878 0.47934 0.56309 0.15234 1.496 1577.324 0.01881
0.14280 0.25911 0.47995 0.56381 0.15416 1.281 1577.361 0.01884
0.14298 0.25944 0.48056 0.56453 0.15598 0.737 1577.398 0.01886
0.14317 0.25977 0.48117 0.56525 0.15779 0.793 1577.434 0.01889
0.14335 0.26010 0.48179 0.56597 0.15961 0.955 1577.471 0.01891
0.14353 0.26043 0.48240 0.56669 0.16143 1.117 1577.508 0.01893
0.14371 0.26076 0.48301 0.56741 0.16324 1.062 1577.544 0.01896
0.14390 0.26109 0.48363 0.56813 0.16506 1.493 1577.581 0.01898
0.14408 0.26143 0.48424 0.56885 0.16688 1.280 1577.618 0.01900
