x y z dist_scaled dist_frac flux_norm wavelength redshift
0.25489 -0.13998 0.40950 0.50225 0.00000 0.994 1574.216 0.01681
0.25525 -0.14018 0.41009 0.50296 0.00181 0.952 1574.253 0.01683
0.25562 -0.14038 0.41067 0.50368 0.00362 0.859 1574.289 0.01685
0.25598 -0.14058 0.41126 0.50440 0.00543 0.831 1574.326 0.01688
0.25634 -0.14078 0.41184 0.50512 0.00724 0.869 1574.363 0.01690
0.25671 -0.14098 0.41243 0.50584 0.00906 1.239 1574.399 0.01693
0.25707 -0.14118 0.41301 0.50655 0.01087 1.028 1574.436 0.01695
0.25744 -0.14138 0.41360 0.50727 0.01268 0.941 1574.473 0.01697
0.25780 -0.14158 0.41418 0.50799 0.01449 0.545 1574.510 0.01700
0.25817 -0.14178 0.41477 0.50871 0.01630 0.879 1574.546 0.01702
0.25853 -0.14198 0.41535 0.50942 0.01811 0.983 1574.583 0.01704
0.25889 -0.14218 0.41594 0.51014 0.01992 0.920 1574.620 0.01707
0.25926 -0.14238 0.41652 0.51086 0.02174 1.358 1574.656 0.01709
0.25962 -0.14258 0.41711 0.51158 0.02355 1.108 1574.693 0.01712
0.25999 -0.14278 0.41769 0.51230 0.02536 0.942 1574.730 0.01714
0.26035 -0.14298 0.41828 0.51301 0.02717 1.233 1574.767 0.01716
0.26072 -0.14318 0.41886 0.51373 0.02898 0.838 1574.803 0.01719
0.26108 -0.14338 0.41945 0.51445 0.03080 0.775 1574.840 0.01721
0.26144 -0.14358 0.42003 0.51517 0.03261 1.421 1574.877 0.01723
0.26181 -0.14378 0.42062 0.51589 0.03442 1.130 1574.913 0.01726
0.26217 -0.14398 0.42121 0.51660 0.03623 1.171 1574.950 0.01728
0.26254 -0.14418 0.42179 0.51732 0.03804 1.005 1574.987 0.01731
0.26290 -0.14438 0.42238 0.51804 0.03986 0.661 1575.024 0.01733
0.26327 -0.14458 0.42296 0.51876 0.04167 0.985 1575.060 0.01735
0.26363 -0.14478 0.42355 0.51948 0.04348 1.130 1575.097 0.01738
0.26400 -0.14498 0.42413 0.52019 0.04529 1.026 1575.134 0.01740
0.26436 -0.14518 0.42472 0.52091 0.04711 1.068 1575.170 0.01742
0.26472 -0.14538 0.42530 0.52163 0.04892 0.964 1575.207 0.01745
0.26509 -0.14558 0.42589 0.52235 0.05073 1.027 1575.244 0.01747
0.26545 -0.14578 0.42648 0.52307 0.05254 0.839 1575.281 0.01749
0.26582 -0.14598 0.42706 0.52379 0.05436 0.964 1575.317 0.01752
0.26618 -0.14618 0.42765 0.52450 0.05617 1.047 1575.354 0.01754
0.26655 -0.14638 0.42823 0.52522 0.05798 0.922 1575.391 0.01757
0.26691 -0.14658 0.42882 0.52594 0.05980 1.046 1575.427 0.01759
0.26728 -0.14678 0.42940 0.52666 0.06161 1.026 1575.464 0.01761
0.26764 -0.14698 0.42999 0.52738 0.06342 1.297 1575.501 0.01764
0.26801 -0.14718 0.43058 0.52810 0.06524 0.965 1575.537 0.01766
0.26837 -0.14738 0.43116 0.52881 0.06705 0.983 1575.574 0.01768
0.26873 -0.14758 0.43175 0.52953 0.06886 0.937 1575.611 0.01771
0.26910 -0.14778 0.43233 0.53025 0.07068 0.994 1575.648 0.01773
0.26946 -0.14798 0.43292 0.53097 0.07249 0.850 1575.684 0.01776
0.26983 -0.14819 0.43350 0.53169 0.07430 1.138 1575.721 0.01778
0.27019 -0.14839 0.43409 0.53241 0.07612 0.852 1575.758 0.01780
0.27056 -0.14859 0.43468 0.53313 0.07793 0.938 1575.794 0.01783
0.27092 -0.14879 0.43526 0.53384 0.07974 1.225 1575.831 0.01785
0.27129 -0.14899 0.43585 0.53456 0.08156 1.024 1575.868 0.01787
0.27165 -0.14919 0.43643 0.53528 0.08337 0.938 1575.905 0.01790
0.27202 -0.14939 0.43702 0.53600 0.08518 0.880 1575.941 0.01792
0.27238 -0.14959 0.43761 0.53672 0.08700 1.109 1575.978 0.01795
0.27275 -0.14979 0.43819 0.53744 0.08881 1.108 1576.015 0.01797
0.27311 -0.14999 0.43878 0.53816 0.09063 0.849 1576.051 0.01799
0.27348 -0.15019 0.43936 0.53887 0.09244 1.108 1576.088 0.01802
0.27384 -0.15039 0.43995 0.53959 0.09426 1.136 1576.125 0.01804
0.27421 -0.15059 0.44054 0.54031 0.09607 1.021 1576.162 0.01806
0.27457 -0.15079 0.44112 0.54103 0.09788 0.705 1576.198 0.01809
0.27494 -0.15099 0.44171 0.54175 0.09970 1.050 1576.235 0.01811
0.27530 -0.15119 0.44229 0.54247 0.10151 1.194 1576.272 0.01814
0.27566 -0.15139 0.44288 0.54319 0.10333 0.936 1576.308 0.01816
