x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.02414 0.32923 0.37852 0.50225 0.00000 0.623 0.046 1574.216 0.01681
0.02418 0.32970 0.37906 0.50296 0.00181 0.664 0.047 1574.253 0.01683
0.02421 0.33017 0.37960 0.50368 0.00362 0.562 0.043 1574.289 0.01685
0.02425 0.33064 0.38015 0.50440 0.00543 0.640 0.046 1574.326 0.01688
0.02428 0.33111 0.38069 0.50512 0.00724 0.562 0.043 1574.363 0.01690
0.02432 0.33158 0.38123 0.50584 0.00906 0.677 0.047 1574.399 0.01693
0.02435 0.33205 0.38177 0.50655 0.01087 0.599 0.045 1574.436 0.01695
0.02439 0.33252 0.38231 0.50727 0.01268 0.650 0.046 1574.473 0.01697
0.02442 0.33299 0.38285 0.50799 0.01449 0.758 0.050 1574.510 0.01700
0.02446 0.33346 0.38339 0.50871 0.01630 0.880 0.054 1574.546 0.01702
0.02449 0.33393 0.38393 0.50942 0.01811 0.937 0.056 1574.583 0.01704
0.02452 0.33440 0.38447 0.51014 0.01992 1.001 0.058 1574.620 0.01707
0.02456 0.33487 0.38501 0.51086 0.02174 0.947 0.056 1574.656 0.01709
0.02459 0.33534 0.38555 0.51158 0.02355 0.984 0.057 1574.693 0.01712
0.02463 0.33581 0.38610 0.51230 0.02536 0.957 0.056 1574.730 0.01714
0.02466 0.33628 0.38664 0.51301 0.02717 0.916 0.055 1574.767 0.01716
0.02470 0.33675 0.38718 0.51373 0.02898 0.923 0.055 1574.803 0.01719
0.02473 0.33722 0.38772 0.51445 0.03080 1.015 0.058 1574.840 0.01721
0.02477 0.33770 0.38826 0.51517 0.03261 0.981 0.057 1574.877 0.01723
0.02480 0.33817 0.38880 0.51589 0.03442 1.008 0.058 1574.913 0.01726
0.02483 0.33864 0.38934 0.51660 0.03623 0.981 0.057 1574.950 0.01728
0.02487 0.33911 0.38988 0.51732 0.03804 0.974 0.057 1574.987 0.01731
0.02490 0.33958 0.39042 0.51804 0.03986 0.977 0.057 1575.024 0.01733
0.02494 0.34005 0.39097 0.51876 0.04167 1.058 0.059 1575.060 0.01735
0.02497 0.34052 0.39151 0.51948 0.04348 1.038 0.059 1575.097 0.01738
0.02501 0.34099 0.39205 0.52019 0.04529 1.109 0.061 1575.134 0.01740
0.02504 0.34146 0.39259 0.52091 0.04711 1.136 0.061 1575.170 0.01742
0.02508 0.34193 0.39313 0.52163 0.04892 0.987 0.057 1575.207 0.01745
0.02511 0.34240 0.39367 0.52235 0.05073 0.987 0.057 1575.244 0.01747
0.02515 0.34287 0.39421 0.52307 0.05254 0.986 0.057 1575.281 0.01749
0.02518 0.34334 0.39475 0.52379 0.05436 1.000 0.058 1575.317 0.01752
0.02521 0.34382 0.39530 0.52450 0.05617 0.998 0.058 1575.354 0.01754
0.02525 0.34429 0.39584 0.52522 0.05798 1.048 0.059 1575.391 0.01757
0.02528 0.34476 0.39638 0.52594 0.05980 0.940 0.056 1575.427 0.01759
0.02532 0.34523 0.39692 0.52666 0.06161 0.923 0.055 1575.464 0.01761
0.02535 0.34570 0.39746 0.52738 0.06342 0.888 0.054 1575.501 0.01764
0.02539 0.34617 0.39800 0.52810 0.06524 0.749 0.050 1575.537 0.01766
0.02542 0.34664 0.39854 0.52881 0.06705 0.766 0.050 1575.574 0.01768
0.02546 0.34711 0.39909 0.52953 0.06886 0.658 0.047 1575.611 0.01771
0.02549 0.34758 0.39963 0.53025 0.07068 0.670 0.047 1575.648 0.01773
0.02553 0.34805 0.40017 0.53097 0.07249 0.726 0.049 1575.684 0.01776
0.02556 0.34852 0.40071 0.53169 0.07430 0.741 0.050 1575.721 0.01778
0.02559 0.34900 0.40125 0.53241 0.07612 0.819 0.052 1575.758 0.01780
0.02563 0.34947 0.40179 0.53313 0.07793 0.798 0.052 1575.794 0.01783
0.02566 0.34994 0.40234 0.53384 0.07974 0.847 0.053 1575.831 0.01785
0.02570 0.35041 0.40288 0.53456 0.08156 0.927 0.056 1575.868 0.01787
0.02573 0.35088 0.40342 0.53528 0.08337 0.819 0.052 1575.905 0.01790
0.02577 0.35135 0.40396 0.53600 0.08518 0.957 0.056 1575.941 0.01792
0.02580 0.35182 0.40450 0.53672 0.08700 0.883 0.054 1575.978 0.01795
0.02584 0.35229 0.40504 0.53744 0.08881 0.849 0.053 1576.015 0.01797
0.02587 0.35276 0.40559 0.53816 0.09063 0.873 0.054 1576.051 0.01799
0.02591 0.35324 0.40613 0.53887 0.09244 0.998 0.058 1576.088 0.01802
