x y z dist_scaled dist_frac flux_norm
0.21240 0.06826 0.45051 0.50273 0.00000 1.032
0.21271 0.06836 0.45115 0.50344 0.00181 0.872
0.21301 0.06845 0.45180 0.50416 0.00362 1.101
0.21331 0.06855 0.45244 0.50488 0.00543 0.988
0.21362 0.06865 0.45308 0.50560 0.00724 1.022
0.21392 0.06875 0.45372 0.50631 0.00906 0.942
0.21422 0.06884 0.45437 0.50703 0.01087 0.976
0.21453 0.06894 0.45501 0.50775 0.01268 1.206
0.21483 0.06904 0.45565 0.50847 0.01449 0.880
0.21513 0.06914 0.45630 0.50918 0.01630 1.127
0.21544 0.06923 0.45694 0.50990 0.01811 0.997
0.21574 0.06933 0.45758 0.51062 0.01992 0.801
0.21604 0.06943 0.45823 0.51134 0.02174 1.031
0.21635 0.06953 0.45887 0.51206 0.02355 1.164
0.21665 0.06962 0.45951 0.51277 0.02536 0.786
0.21695 0.06972 0.46016 0.51349 0.02717 0.952
0.21726 0.06982 0.46080 0.51421 0.02898 0.953
0.21756 0.06992 0.46144 0.51493 0.03080 1.004
0.21786 0.07001 0.46209 0.51565 0.03261 1.039
0.21817 0.07011 0.46273 0.51636 0.03442 0.842
0.21847 0.07021 0.46337 0.51708 0.03623 1.027
0.21877 0.07031 0.46402 0.51780 0.03804 0.962
0.21908 0.07040 0.46466 0.51852 0.03986 0.831
0.21938 0.07050 0.46530 0.51924 0.04167 0.749
0.21968 0.07060 0.46595 0.51995 0.04348 0.884
0.21999 0.07070 0.46659 0.52067 0.04529 0.818
0.22029 0.07079 0.46724 0.52139 0.04711 1.071
0.22059 0.07089 0.46788 0.52211 0.04892 0.922
0.22090 0.07099 0.46852 0.52283 0.05073 0.923
0.22120 0.07109 0.46917 0.52355 0.05254 1.294
0.22150 0.07118 0.46981 0.52426 0.05436 0.959
0.22181 0.07128 0.47045 0.52498 0.05617 1.104
0.22211 0.07138 0.47110 0.52570 0.05798 0.910
0.22241 0.07148 0.47174 0.52642 0.05980 1.134
0.22272 0.07157 0.47239 0.52714 0.06161 1.086
0.22302 0.07167 0.47303 0.52786 0.06342 1.056
0.22332 0.07177 0.47367 0.52857 0.06524 0.830
0.22363 0.07187 0.47432 0.52929 0.06705 0.792
0.22393 0.07196 0.47496 0.53001 0.06886 1.081
0.22424 0.07206 0.47560 0.53073 0.07068 0.821
0.22454 0.07216 0.47625 0.53145 0.07249 0.963
0.22484 0.07226 0.47689 0.53217 0.07430 1.090
0.22515 0.07235 0.47754 0.53289 0.07612 1.086
0.22545 0.07245 0.47818 0.53360 0.07793 0.852
0.22575 0.07255 0.47882 0.53432 0.07974 1.007
