x y z dist_scaled dist_frac flux_norm
0.25499 -0.14004 0.40967 0.50246 0.00000 1.016
0.25536 -0.14024 0.41026 0.50318 0.00181 0.789
0.25572 -0.14044 0.41084 0.50389 0.00362 0.832
0.25609 -0.14064 0.41143 0.50461 0.00543 0.803
0.25645 -0.14084 0.41201 0.50533 0.00724 1.114
0.25682 -0.14104 0.41260 0.50605 0.00906 1.063
0.25718 -0.14124 0.41318 0.50677 0.01087 0.987
0.25754 -0.14144 0.41377 0.50748 0.01268 0.719
0.25791 -0.14164 0.41435 0.50820 0.01449 0.760
0.25827 -0.14184 0.41494 0.50892 0.01630 0.842
0.25864 -0.14204 0.41552 0.50964 0.01811 0.985
0.25900 -0.14224 0.41611 0.51035 0.01992 0.984
0.25937 -0.14244 0.41670 0.51107 0.02174 1.230
0.25973 -0.14264 0.41728 0.51179 0.02355 1.025
0.26010 -0.14284 0.41787 0.51251 0.02536 1.107
0.26046 -0.14304 0.41845 0.51323 0.02717 1.046
0.26082 -0.14324 0.41904 0.51394 0.02898 0.863
0.26119 -0.14344 0.41962 0.51466 0.03080 0.861
0.26155 -0.14364 0.42021 0.51538 0.03261 1.353
0.26192 -0.14384 0.42079 0.51610 0.03442 1.088
0.26228 -0.14404 0.42138 0.51682 0.03623 1.169
0.26265 -0.14424 0.42197 0.51754 0.03804 0.925
0.26301 -0.14444 0.42255 0.51825 0.03986 0.619
0.26338 -0.14464 0.42314 0.51897 0.04167 1.087
0.26374 -0.14484 0.42372 0.51969 0.04348 1.006
0.26410 -0.14504 0.42431 0.52041 0.04529 1.005
0.26447 -0.14524 0.42489 0.52113 0.04711 1.087
0.26483 -0.14544 0.42548 0.52185 0.04892 1.006
0.26520 -0.14564 0.42606 0.52256 0.05073 0.965
0.26556 -0.14584 0.42665 0.52328 0.05254 0.802
0.26593 -0.14604 0.42724 0.52400 0.05436 1.209
0.26629 -0.14624 0.42782 0.52472 0.05617 0.781
0.26666 -0.14644 0.42841 0.52544 0.05798 1.025
0.26702 -0.14664 0.42899 0.52616 0.05980 0.963
0.26739 -0.14684 0.42958 0.52687 0.06161 0.944
