x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.32159 -0.13107 0.36347 0.50270 0.00000 0.781 0.261 1574.239 0.01682
-0.32205 -0.13125 0.36399 0.50342 0.00181 1.003 0.283 1574.276 0.01685
-0.32251 -0.13144 0.36450 0.50413 0.00362 0.871 0.271 1574.312 0.01687
-0.32297 -0.13163 0.36502 0.50485 0.00543 1.053 0.287 1574.349 0.01689
-0.32342 -0.13182 0.36554 0.50557 0.00724 1.137 0.295 1574.386 0.01692
-0.32388 -0.13200 0.36606 0.50629 0.00906 1.226 0.303 1574.422 0.01694
-0.32434 -0.13219 0.36658 0.50700 0.01087 0.961 0.280 1574.459 0.01696
-0.32480 -0.13238 0.36710 0.50772 0.01268 0.697 0.253 1574.496 0.01699
-0.32526 -0.13256 0.36762 0.50844 0.01449 0.567 0.238 1574.533 0.01701
-0.32572 -0.13275 0.36814 0.50916 0.01630 1.048 0.287 1574.569 0.01704
-0.32618 -0.13294 0.36866 0.50988 0.01811 0.779 0.263 1574.606 0.01706
-0.32664 -0.13313 0.36918 0.51059 0.01992 1.398 0.318 1574.643 0.01708
-0.32710 -0.13331 0.36969 0.51131 0.02174 1.170 0.300 1574.680 0.01711
-0.32756 -0.13350 0.37021 0.51203 0.02355 0.826 0.267 1574.716 0.01713
-0.32802 -0.13369 0.37073 0.51275 0.02536 0.870 0.272 1574.753 0.01715
-0.32848 -0.13387 0.37125 0.51347 0.02717 0.742 0.258 1574.790 0.01718
-0.32894 -0.13406 0.37177 0.51418 0.02898 1.007 0.285 1574.826 0.01720
-0.32940 -0.13425 0.37229 0.51490 0.03080 1.008 0.285 1574.863 0.01723
-0.32985 -0.13444 0.37281 0.51562 0.03261 0.831 0.265 1574.900 0.01725
-0.33031 -0.13462 0.37333 0.51634 0.03442 1.011 0.284 1574.937 0.01727
-0.33077 -0.13481 0.37385 0.51706 0.03623 0.479 0.226 1574.973 0.01730
-0.33123 -0.13500 0.37437 0.51778 0.03804 1.276 0.308 1575.010 0.01732
-0.33169 -0.13519 0.37489 0.51849 0.03986 1.407 0.320 1575.047 0.01734
-0.33215 -0.13537 0.37541 0.51921 0.04167 1.010 0.285 1575.083 0.01737
-0.33261 -0.13556 0.37593 0.51993 0.04348 0.832 0.268 1575.120 0.01739
-0.33307 -0.13575 0.37645 0.52065 0.04529 0.831 0.269 1575.157 0.01742
-0.33353 -0.13593 0.37696 0.52137 0.04711 1.144 0.298 1575.194 0.01744
-0.33399 -0.13612 0.37748 0.52209 0.04892 1.056 0.290 1575.230 0.01746
-0.33445 -0.13631 0.37800 0.52280 0.05073 1.231 0.306 1575.267 0.01749
-0.33491 -0.13650 0.37852 0.52352 0.05254 0.792 0.265 1575.304 0.01751
