x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.22632 -0.21508 0.39337 0.50222 0.00000 0.989 0.215 1574.214 0.01681
0.22665 -0.21539 0.39393 0.50294 0.00181 0.959 0.215 1574.251 0.01683
0.22697 -0.21570 0.39449 0.50365 0.00362 1.089 0.222 1574.288 0.01685
0.22730 -0.21601 0.39506 0.50437 0.00543 0.839 0.203 1574.325 0.01688
0.22762 -0.21631 0.39562 0.50509 0.00724 1.197 0.231 1574.361 0.01690
0.22794 -0.21662 0.39618 0.50581 0.00906 0.893 0.207 1574.398 0.01692
0.22827 -0.21693 0.39674 0.50653 0.01087 1.222 0.232 1574.435 0.01695
0.22859 -0.21724 0.39731 0.50724 0.01268 0.809 0.200 1574.471 0.01697
0.22891 -0.21754 0.39787 0.50796 0.01449 0.945 0.211 1574.508 0.01700
0.22924 -0.21785 0.39843 0.50868 0.01630 0.918 0.208 1574.545 0.01702
0.22956 -0.21816 0.39899 0.50940 0.01811 0.999 0.215 1574.582 0.01704
0.22988 -0.21846 0.39956 0.51012 0.01992 0.998 0.215 1574.618 0.01707
0.23021 -0.21877 0.40012 0.51083 0.02174 1.325 0.238 1574.655 0.01709
0.23053 -0.21908 0.40068 0.51155 0.02355 0.914 0.208 1574.692 0.01711
0.23085 -0.21939 0.40124 0.51227 0.02536 1.186 0.228 1574.728 0.01714
0.23118 -0.21969 0.40180 0.51299 0.02717 1.184 0.228 1574.765 0.01716
0.23150 -0.22000 0.40237 0.51371 0.02898 1.265 0.234 1574.802 0.01719
0.23182 -0.22031 0.40293 0.51442 0.03080 1.126 0.224 1574.839 0.01721
0.23215 -0.22062 0.40349 0.51514 0.03261 1.045 0.217 1574.875 0.01723
0.23247 -0.22093 0.40405 0.51586 0.03442 0.962 0.211 1574.912 0.01726
0.23280 -0.22123 0.40462 0.51658 0.03623 0.934 0.208 1574.949 0.01728
0.23312 -0.22154 0.40518 0.51730 0.03804 0.879 0.204 1574.986 0.01730
0.23344 -0.22185 0.40574 0.51801 0.03986 1.040 0.216 1575.022 0.01733
0.23377 -0.22216 0.40631 0.51873 0.04167 0.931 0.208 1575.059 0.01735
0.23409 -0.22246 0.40687 0.51945 0.04348 0.769 0.194 1575.096 0.01738
0.23441 -0.22277 0.40743 0.52017 0.04529 0.956 0.209 1575.132 0.01740
0.23474 -0.22308 0.40799 0.52089 0.04711 0.901 0.205 1575.169 0.01742
0.23506 -0.22339 0.40856 0.52161 0.04892 0.767 0.193 1575.206 0.01745
0.23539 -0.22369 0.40912 0.52232 0.05073 1.008 0.213 1575.243 0.01747
0.23571 -0.22400 0.40968 0.52304 0.05254 1.033 0.215 1575.279 0.01749
0.23603 -0.22431 0.41024 0.52376 0.05436 1.327 0.236 1575.316 0.01752
0.23636 -0.22462 0.41081 0.52448 0.05617 0.897 0.204 1575.353 0.01754
0.23668 -0.22492 0.41137 0.52520 0.05798 1.136 0.222 1575.389 0.01757
0.23700 -0.22523 0.41193 0.52592 0.05980 0.796 0.226 1575.426 0.01759
0.23733 -0.22554 0.41249 0.52664 0.06161 0.983 0.259 1575.463 0.01761
0.23765 -0.22585 0.41306 0.52735 0.06342 1.316 0.287 1575.500 0.01764
0.23798 -0.22616 0.41362 0.52807 0.06524 0.981 0.258 1575.536 0.01766
0.23830 -0.22646 0.41418 0.52879 0.06705 1.313 0.287 1575.573 0.01768
0.23862 -0.22677 0.41475 0.52951 0.06886 1.273 0.284 1575.610 0.01771
0.23895 -0.22708 0.41531 0.53023 0.07068 0.866 0.248 1575.646 0.01773
0.23927 -0.22739 0.41587 0.53095 0.07249 1.050 0.264 1575.683 0.01776
0.23959 -0.22769 0.41644 0.53167 0.07430 0.975 0.258 1575.720 0.01778
0.23992 -0.22800 0.41700 0.53238 0.07612 0.973 0.257 1575.757 0.01780
0.24024 -0.22831 0.41756 0.53310 0.07793 0.972 0.257 1575.793 0.01783
0.24057 -0.22862 0.41812 0.53382 0.07974 0.825 0.243 1575.830 0.01785
0.24089 -0.22893 0.41869 0.53454 0.08156 1.339 0.287 1575.867 0.01787
0.24121 -0.22923 0.41925 0.53526 0.08337 1.154 0.273 1575.904 0.01790
0.24154 -0.22954 0.41981 0.53598 0.08518 0.567 0.215 1575.940 0.01792
0.24186 -0.22985 0.42038 0.53670 0.08700 0.896 0.249 1575.977 0.01794
0.24219 -0.23016 0.42094 0.53742 0.08881 0.639 0.223 1576.014 0.01797
0.24251 -0.23046 0.42150 0.53814 0.09063 1.151 0.272 1576.050 0.01799
0.24283 -0.23077 0.42207 0.53885 0.09244 0.931 0.252 1576.087 0.01802
0.24316 -0.23108 0.42263 0.53957 0.09426 1.004 0.258 1576.124 0.01804
0.24348 -0.23139 0.42319 0.54029 0.09607 1.111 0.268 1576.161 0.01806
0.24381 -0.23170 0.42376 0.54101 0.09788 0.892 0.248 1576.197 0.01809
0.24413 -0.23200 0.42432 0.54173 0.09970 0.600 0.218 1576.234 0.01811
0.24445 -0.23231 0.42488 0.54245 0.10151 1.036 0.261 1576.271 0.01813
0.24478 -0.23262 0.42544 0.54317 0.10333 0.890 0.248 1576.307 0.01816
0.24510 -0.23293 0.42601 0.54389 0.10514 1.580 0.304 1576.344 0.01818
