x y z dist_scaled dist_frac absorption
0.22645 -0.21520 0.39358 0.50249 0.00000 0.271
0.22677 -0.21550 0.39414 0.50320 0.00181 0.082
0.22709 -0.21581 0.39470 0.50392 0.00362 -0.145
0.22742 -0.21612 0.39527 0.50464 0.00543 0.040
0.22774 -0.21643 0.39583 0.50536 0.00724 0.095
0.22806 -0.21673 0.39639 0.50607 0.00906 -0.062
0.22839 -0.21704 0.39695 0.50679 0.01087 0.070
0.22871 -0.21735 0.39751 0.50751 0.01268 0.202
0.22903 -0.21766 0.39808 0.50823 0.01449 0.044
0.22936 -0.21796 0.39864 0.50895 0.01630 0.229
0.22968 -0.21827 0.39920 0.50966 0.01811 -0.189
0.23000 -0.21858 0.39976 0.51038 0.01992 -0.162
0.23033 -0.21889 0.40033 0.51110 0.02174 0.153
0.23065 -0.21919 0.40089 0.51182 0.02355 -0.133
0.23097 -0.21950 0.40145 0.51253 0.02536 -0.262
0.23130 -0.21981 0.40201 0.51325 0.02717 -0.079
0.23162 -0.22012 0.40258 0.51397 0.02898 0.001
0.23194 -0.22042 0.40314 0.51469 0.03080 -0.103
0.23227 -0.22073 0.40370 0.51541 0.03261 0.080
0.23259 -0.22104 0.40426 0.51612 0.03442 0.004
0.23291 -0.22135 0.40482 0.51684 0.03623 0.134
0.23324 -0.22165 0.40539 0.51756 0.03804 0.083
0.23356 -0.22196 0.40595 0.51828 0.03986 0.188
0.23389 -0.22227 0.40651 0.51900 0.04167 0.187
0.23421 -0.22258 0.40707 0.51972 0.04348 0.138
0.23453 -0.22288 0.40764 0.52043 0.04529 0.189
0.23486 -0.22319 0.40820 0.52115 0.04711 0.164
0.23518 -0.22350 0.40876 0.52187 0.04892 0.268
0.23550 -0.22381 0.40932 0.52259 0.05073 -0.220
0.23583 -0.22411 0.40989 0.52331 0.05254 -0.243
0.23615 -0.22442 0.41045 0.52402 0.05436 0.220
0.23648 -0.22473 0.41101 0.52474 0.05617 -0.010
0.23680 -0.22504 0.41158 0.52546 0.05798 0.020
0.23712 -0.22534 0.41214 0.52618 0.05980 0.059
0.23745 -0.22565 0.41270 0.52690 0.06161 -0.154
0.23777 -0.22596 0.41326 0.52762 0.06342 0.060
0.23809 -0.22627 0.41383 0.52833 0.06524 -0.187
0.23842 -0.22658 0.41439 0.52905 0.06705 -0.220
0.23874 -0.22688 0.41495 0.52977 0.06886 0.063
0.23907 -0.22719 0.41551 0.53049 0.07068 -0.006
0.23939 -0.22750 0.41608 0.53121 0.07249 0.242
0.23971 -0.22781 0.41664 0.53193 0.07430 0.103
0.24004 -0.22811 0.41720 0.53265 0.07612 -0.038
0.24036 -0.22842 0.41777 0.53336 0.07793 0.032
0.24068 -0.22873 0.41833 0.53408 0.07974 -0.213
0.24101 -0.22904 0.41889 0.53480 0.08156 -0.001
0.24133 -0.22935 0.41945 0.53552 0.08337 0.210
0.24166 -0.22965 0.42002 0.53624 0.08518 0.421
0.24198 -0.22996 0.42058 0.53696 0.08700 0.281
0.24230 -0.23027 0.42114 0.53768 0.08881 0.000
0.24263 -0.23058 0.42171 0.53840 0.09063 -0.105
0.24295 -0.23088 0.42227 0.53911 0.09244 -0.034
0.24328 -0.23119 0.42283 0.53983 0.09426 0.423
0.24360 -0.23150 0.42340 0.54055 0.09607 -0.102
0.24392 -0.23181 0.42396 0.54127 0.09788 0.353
0.24425 -0.23212 0.42452 0.54199 0.09970 0.004
0.24457 -0.23242 0.42508 0.54271 0.10151 0.284
0.24490 -0.23273 0.42565 0.54343 0.10333 -0.380
0.24522 -0.23304 0.42621 0.54415 0.10514 -0.169
0.24554 -0.23335 0.42677 0.54487 0.10696 0.216
0.24587 -0.23366 0.42734 0.54559 0.10877 0.148
0.24619 -0.23396 0.42790 0.54630 0.11059 0.148
0.24652 -0.23427 0.42846 0.54702 0.11240 0.043
0.24684 -0.23458 0.42903 0.54774 0.11422 0.114
0.24716 -0.23489 0.42959 0.54846 0.11603 0.219
0.24749 -0.23520 0.43015 0.54918 0.11785 -0.233
0.24781 -0.23550 0.43072 0.54990 0.11966 -0.127
0.24814 -0.23581 0.43128 0.55062 0.12148 0.360
0.24846 -0.23612 0.43184 0.55134 0.12329 0.117
0.24878 -0.23643 0.43241 0.55206 0.12511 -0.126
0.24911 -0.23674 0.43297 0.55278 0.12692 0.151
0.24943 -0.23704 0.43353 0.55350 0.12874 -0.403
0.24976 -0.23735 0.43410 0.55422 0.13055 -0.090
0.25008 -0.23766 0.43466 0.55494 0.13237 0.257
0.25041 -0.23797 0.43522 0.55565 0.13418 0.118
0.25073 -0.23828 0.43579 0.55637 0.13600 0.049
0.25105 -0.23858 0.43635 0.55709 0.13782 0.120
0.25138 -0.23889 0.43692 0.55781 0.13963 -0.053
0.25170 -0.23920 0.43748 0.55853 0.14145 0.327
0.25203 -0.23951 0.43804 0.55925 0.14326 0.154
0.25235 -0.23982 0.43861 0.55997 0.14508 0.258
0.25268 -0.24012 0.43917 0.56069 0.14689 -0.051
0.25300 -0.24043 0.43973 0.56141 0.14871 0.399
0.25332 -0.24074 0.44030 0.56213 0.15053 0.159
0.25365 -0.24105 0.44086 0.56285 0.15234 -0.357
0.25397 -0.24136 0.44142 0.56357 0.15416 0.058
0.25430 -0.24167 0.44199 0.56429 0.15598 0.161
0.25462 -0.24197 0.44255 0.56501 0.15779 0.402
0.25495 -0.24228 0.44312 0.56573 0.15961 0.093
0.25527 -0.24259 0.44368 0.56645 0.16143 -0.011
0.25559 -0.24290 0.44424 0.56717 0.16324 -0.148
0.25592 -0.24321 0.44481 0.56789 0.16506 -0.147
0.25624 -0.24352 0.44537 0.56861 0.16688 0.129
0.25657 -0.24382 0.44593 0.56933 0.16869 -0.043
0.25689 -0.24413 0.44650 0.57005 0.17051 0.094
0.25722 -0.24444 0.44706 0.57077 0.17233 -0.213
0.25754 -0.24475 0.44763 0.57149 0.17414 0.027
0.25787 -0.24506 0.44819 0.57221 0.17596 -0.110
0.25819 -0.24537 0.44875 0.57293 0.17778 0.062
0.25851 -0.24567 0.44932 0.57365 0.17959 0.199
0.25884 -0.24598 0.44988 0.57437 0.18141 -0.075
0.25916 -0.24629 0.45045 0.57509 0.18323 -0.150
0.25949 -0.24660 0.45101 0.57581 0.18505 0.024
0.25981 -0.24691 0.45157 0.57653 0.18686 -0.114
0.26014 -0.24722 0.45214 0.57725 0.18868 -0.239
0.26046 -0.24752 0.45270 0.57797 0.19050 -0.103
0.26079 -0.24783 0.45327 0.57869 0.19232 -0.460
0.26111 -0.24814 0.45383 0.57941 0.19413 0.140
0.26143 -0.24845 0.45439 0.58013 0.19595 0.154
0.26176 -0.24876 0.45496 0.58085 0.19777 0.014
0.26208 -0.24907 0.45552 0.58157 0.19959 -0.053
0.26241 -0.24937 0.45609 0.58229 0.20141 0.062
0.26273 -0.24968 0.45665 0.58301 0.20322 0.167
0.26306 -0.24999 0.45722 0.58373 0.20504 -0.070
0.26338 -0.25030 0.45778 0.58445 0.20686 0.338
0.26371 -0.25061 0.45834 0.58517 0.20868 -0.140
0.26403 -0.25092 0.45891 0.58589 0.21050 0.131
0.26436 -0.25123 0.45947 0.58661 0.21231 0.096
0.26468 -0.25153 0.46004 0.58733 0.21413 -0.090
0.26501 -0.25184 0.46060 0.58805 0.21595 0.241
0.26533 -0.25215 0.46117 0.58877 0.21777 -0.198
0.26566 -0.25246 0.46173 0.58949 0.21959 -0.142
0.26598 -0.25277 0.46229 0.59022 0.22141 0.332
0.26630 -0.25308 0.46286 0.59094 0.22323 -0.119
0.26663 -0.25339 0.46342 0.59166 0.22504 -0.077
0.26695 -0.25369 0.46399 0.59238 0.22686 0.245
0.26728 -0.25400 0.46455 0.59310 0.22868 0.228
0.26760 -0.25431 0.46512 0.59382 0.23050 0.346
0.26793 -0.25462 0.46568 0.59454 0.23232 -0.010
0.26825 -0.25493 0.46625 0.59526 0.23414 0.289
0.26858 -0.25524 0.46681 0.59598 0.23596 0.088
0.26890 -0.25555 0.46738 0.59670 0.23778 0.182
0.26923 -0.25586 0.46794 0.59742 0.23960 -0.047
0.26955 -0.25616 0.46850 0.59814 0.24142 -0.206
0.26988 -0.25647 0.46907 0.59886 0.24324 -0.113
0.27020 -0.25678 0.46963 0.59959 0.24505 -0.126
0.27053 -0.25709 0.47020 0.60031 0.24687 -0.063
0.27085 -0.25740 0.47076 0.60103 0.24869 0.135
0.27118 -0.25771 0.47133 0.60175 0.25051 -0.174
0.27150 -0.25802 0.47189 0.60247 0.25233 0.413
0.27183 -0.25833 0.47246 0.60319 0.25415 -0.016
0.27215 -0.25863 0.47302 0.60391 0.25597 0.146
0.27248 -0.25894 0.47359 0.60463 0.25779 -0.433
0.27280 -0.25925 0.47415 0.60535 0.25961 -0.012
0.27313 -0.25956 0.47472 0.60607 0.26143 0.020
0.27345 -0.25987 0.47528 0.60680 0.26325 -0.034
0.27378 -0.26018 0.47585 0.60752 0.26507 0.192
0.27410 -0.26049 0.47641 0.60824 0.26689 0.146
0.27443 -0.26080 0.47698 0.60896 0.26871 -0.088
0.27475 -0.26111 0.47754 0.60968 0.27053 0.243
0.27508 -0.26141 0.47811 0.61040 0.27235 0.075
0.27540 -0.26172 0.47867 0.61112 0.27417 0.008
0.27573 -0.26203 0.47924 0.61184 0.27599 -0.093
0.27605 -0.26234 0.47980 0.61257 0.27782 -0.093
0.27638 -0.26265 0.48037 0.61329 0.27964 0.076
0.27670 -0.26296 0.48093 0.61401 0.28146 -0.128
0.27703 -0.26327 0.48150 0.61473 0.28328 0.209
