x y z dist_scaled dist_frac flux_norm
-0.07934 0.35931 0.34215 0.50246 0.00000 1.005
-0.07945 0.35982 0.34264 0.50318 0.00181 1.132
-0.07956 0.36033 0.34313 0.50389 0.00362 0.999
-0.07968 0.36085 0.34362 0.50461 0.00543 0.900
-0.07979 0.36136 0.34411 0.50533 0.00724 0.887
-0.07990 0.36187 0.34460 0.50605 0.00906 0.874
-0.08002 0.36239 0.34509 0.50677 0.01087 1.096
-0.08013 0.36290 0.34557 0.50748 0.01268 1.030
-0.08024 0.36341 0.34606 0.50820 0.01449 1.133
-0.08036 0.36393 0.34655 0.50892 0.01630 1.067
-0.08047 0.36444 0.34704 0.50964 0.01811 0.873
-0.08058 0.36495 0.34753 0.51035 0.01992 0.808
-0.08070 0.36547 0.34802 0.51107 0.02174 1.101
-0.08081 0.36598 0.34851 0.51179 0.02355 1.108
-0.08092 0.36649 0.34900 0.51251 0.02536 0.980
-0.08104 0.36701 0.34949 0.51323 0.02717 0.935
-0.08115 0.36752 0.34997 0.51394 0.02898 0.995
-0.08126 0.36803 0.35046 0.51466 0.03080 0.878
-0.08138 0.36855 0.35095 0.51538 0.03261 0.918
-0.08149 0.36906 0.35144 0.51610 0.03442 1.132
-0.08160 0.36958 0.35193 0.51682 0.03623 0.984
-0.08172 0.37009 0.35242 0.51754 0.03804 0.704
-0.08183 0.37060 0.35291 0.51825 0.03986 1.010
-0.08194 0.37112 0.35340 0.51897 0.04167 0.957
-0.08206 0.37163 0.35389 0.51969 0.04348 0.985
-0.08217 0.37214 0.35438 0.52041 0.04529 1.125
-0.08228 0.37266 0.35487 0.52113 0.04711 0.858
-0.08240 0.37317 0.35535 0.52185 0.04892 1.110
-0.08251 0.37368 0.35584 0.52256 0.05073 1.137
-0.08262 0.37420 0.35633 0.52328 0.05254 1.023
-0.08274 0.37471 0.35682 0.52400 0.05436 1.061
-0.08285 0.37523 0.35731 0.52472 0.05617 1.069
-0.08296 0.37574 0.35780 0.52544 0.05798 1.066
-0.08308 0.37625 0.35829 0.52616 0.05980 1.033
-0.08319 0.37677 0.35878 0.52687 0.06161 1.250
-0.08331 0.37728 0.35927 0.52759 0.06342 1.167
-0.08342 0.37779 0.35976 0.52831 0.06524 0.936
-0.08353 0.37831 0.36025 0.52903 0.06705 1.232
-0.08365 0.37882 0.36074 0.52975 0.06886 0.912
-0.08376 0.37934 0.36123 0.53047 0.07068 0.881
-0.08387 0.37985 0.36172 0.53119 0.07249 0.953
-0.08399 0.38036 0.36221 0.53191 0.07430 0.939
-0.08410 0.38088 0.36269 0.53262 0.07612 1.050
-0.08421 0.38139 0.36318 0.53334 0.07793 1.072
-0.08433 0.38191 0.36367 0.53406 0.07974 0.813
-0.08444 0.38242 0.36416 0.53478 0.08156 1.009
-0.08455 0.38293 0.36465 0.53550 0.08337 0.993
-0.08467 0.38345 0.36514 0.53622 0.08518 0.897
-0.08478 0.38396 0.36563 0.53694 0.08700 0.961
-0.08489 0.38448 0.36612 0.53766 0.08881 0.942
-0.08501 0.38499 0.36661 0.53837 0.09063 0.850
-0.08512 0.38550 0.36710 0.53909 0.09244 0.843
-0.08523 0.38602 0.36759 0.53981 0.09426 0.822
-0.08535 0.38653 0.36808 0.54053 0.09607 0.892
-0.08546 0.38705 0.36857 0.54125 0.09788 0.965
-0.08558 0.38756 0.36906 0.54197 0.09970 0.787
-0.08569 0.38808 0.36955 0.54269 0.10151 0.743
-0.08580 0.38859 0.37004 0.54341 0.10333 0.939
-0.08592 0.38910 0.37053 0.54413 0.10514 1.031
-0.08603 0.38962 0.37102 0.54485 0.10696 1.170
-0.08614 0.39013 0.37151 0.54557 0.10877 1.045
-0.08626 0.39065 0.37200 0.54628 0.11059 1.015
-0.08637 0.39116 0.37249 0.54700 0.11240 0.929
-0.08648 0.39168 0.37298 0.54772 0.11422 0.852
-0.08660 0.39219 0.37347 0.54844 0.11603 0.841
-0.08671 0.39270 0.37396 0.54916 0.11785 0.960
-0.08682 0.39322 0.37445 0.54988 0.11966 1.041
-0.08694 0.39373 0.37494 0.55060 0.12148 1.048
-0.08705 0.39425 0.37543 0.55132 0.12329 0.917
-0.08717 0.39476 0.37592 0.55204 0.12511 0.896
-0.08728 0.39528 0.37641 0.55276 0.12692 0.986
-0.08739 0.39579 0.37690 0.55348 0.12874 0.910
-0.08751 0.39631 0.37739 0.55420 0.13055 0.981
-0.08762 0.39682 0.37788 0.55492 0.13237 0.988
-0.08773 0.39733 0.37837 0.55564 0.13418 1.077
-0.08785 0.39785 0.37886 0.55636 0.13600 0.902
-0.08796 0.39836 0.37935 0.55708 0.13782 0.945
-0.08807 0.39888 0.37984 0.55780 0.13963 0.906
-0.08819 0.39939 0.38033 0.55852 0.14145 1.013
-0.08830 0.39991 0.38082 0.55924 0.14326 0.857
-0.08842 0.40042 0.38131 0.55995 0.14508 1.008
-0.08853 0.40094 0.38180 0.56067 0.14689 0.989
-0.08864 0.40145 0.38229 0.56139 0.14871 0.995
-0.08876 0.40197 0.38278 0.56211 0.15053 0.957
-0.08887 0.40248 0.38327 0.56283 0.15234 1.071
-0.08898 0.40300 0.38376 0.56355 0.15416 1.078
-0.08910 0.40351 0.38425 0.56427 0.15598 0.916
-0.08921 0.40403 0.38474 0.56499 0.15779 1.020
-0.08932 0.40454 0.38523 0.56571 0.15961 0.965
-0.08944 0.40506 0.38572 0.56643 0.16143 0.814
-0.08955 0.40557 0.38621 0.56715 0.16324 0.864
-0.08967 0.40608 0.38670 0.56787 0.16506 1.108
-0.08978 0.40660 0.38719 0.56859 0.16688 1.000
-0.08989 0.40711 0.38768 0.56931 0.16869 1.173
-0.09001 0.40763 0.38817 0.57003 0.17051 1.022
-0.09012 0.40814 0.38866 0.57075 0.17233 1.054
-0.09023 0.40866 0.38915 0.57147 0.17414 0.948
-0.09035 0.40917 0.38964 0.57219 0.17596 1.041
-0.09046 0.40969 0.39013 0.57291 0.17778 0.927
-0.09057 0.41020 0.39062 0.57363 0.17959 0.873
-0.09069 0.41072 0.39111 0.57435 0.18141 0.974
-0.09080 0.41123 0.39160 0.57507 0.18323 0.886
-0.09092 0.41175 0.39209 0.57579 0.18505 0.824
-0.09103 0.41226 0.39258 0.57651 0.18686 0.883
-0.09114 0.41278 0.39307 0.57723 0.18868 0.967
-0.09126 0.41329 0.39356 0.57796 0.19050 1.101
-0.09137 0.41381 0.39405 0.57868 0.19232 1.057
-0.09148 0.41432 0.39454 0.57940 0.19413 1.046
-0.09160 0.41484 0.39503 0.58012 0.19595 1.035
-0.09171 0.41536 0.39553 0.58084 0.19777 1.109
-0.09183 0.41587 0.39602 0.58156 0.19959 1.014
-0.09194 0.41639 0.39651 0.58228 0.20141 0.911
-0.09205 0.41690 0.39700 0.58300 0.20322 0.842
-0.09217 0.41742 0.39749 0.58372 0.20504 1.201
-0.09228 0.41793 0.39798 0.58444 0.20686 1.031
-0.09239 0.41845 0.39847 0.58516 0.20868 0.762
-0.09251 0.41896 0.39896 0.58588 0.21050 1.002
-0.09262 0.41948 0.39945 0.58660 0.21231 0.875
-0.09274 0.41999 0.39994 0.58732 0.21413 0.998
-0.09285 0.42051 0.40043 0.58804 0.21595 1.070
-0.09296 0.42102 0.40092 0.58876 0.21777 1.094
-0.09308 0.42154 0.40141 0.58948 0.21959 1.069
-0.09319 0.42205 0.40190 0.59020 0.22141 0.985
-0.09331 0.42257 0.40240 0.59093 0.22323 1.054
-0.09342 0.42308 0.40289 0.59165 0.22504 1.090
-0.09353 0.42360 0.40338 0.59237 0.22686 1.056
-0.09365 0.42412 0.40387 0.59309 0.22868 0.864
-0.09376 0.42463 0.40436 0.59381 0.23050 1.158
-0.09387 0.42515 0.40485 0.59453 0.23232 0.907
-0.09399 0.42566 0.40534 0.59525 0.23414 0.966
-0.09410 0.42618 0.40583 0.59597 0.23596 0.982
-0.09422 0.42669 0.40632 0.59669 0.23778 1.001
-0.09433 0.42721 0.40681 0.59741 0.23960 1.121
-0.09444 0.42772 0.40730 0.59813 0.24142 0.981
-0.09456 0.42824 0.40780 0.59886 0.24323 0.918
-0.09467 0.42876 0.40829 0.59958 0.24505 1.047
-0.09479 0.42927 0.40878 0.60030 0.24687 0.885
-0.09490 0.42979 0.40927 0.60102 0.24869 0.939
-0.09501 0.43030 0.40976 0.60174 0.25051 0.969
