x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.19024 0.28520 0.36769 0.50273 0.00000 1.001 0.079 1574.240 0.01682
0.19052 0.28561 0.36822 0.50344 0.00181 0.932 0.076 1574.277 0.01685
0.19079 0.28602 0.36874 0.50416 0.00362 0.902 0.075 1574.314 0.01687
0.19106 0.28643 0.36927 0.50488 0.00543 0.877 0.074 1574.350 0.01689
0.19133 0.28683 0.36979 0.50560 0.00724 0.910 0.076 1574.387 0.01692
0.19160 0.28724 0.37032 0.50631 0.00906 0.937 0.077 1574.424 0.01694
0.19187 0.28765 0.37084 0.50703 0.01087 0.970 0.078 1574.461 0.01697
0.19215 0.28805 0.37137 0.50775 0.01268 0.875 0.074 1574.497 0.01699
0.19242 0.28846 0.37189 0.50847 0.01449 0.915 0.076 1574.534 0.01701
0.19269 0.28887 0.37242 0.50918 0.01630 1.032 0.081 1574.571 0.01704
0.19296 0.28928 0.37294 0.50990 0.01811 0.853 0.073 1574.607 0.01706
0.19323 0.28968 0.37347 0.51062 0.01992 1.080 0.083 1574.644 0.01708
0.19350 0.29009 0.37399 0.51134 0.02174 1.010 0.080 1574.681 0.01711
0.19378 0.29050 0.37452 0.51206 0.02355 0.908 0.076 1574.718 0.01713
0.19405 0.29091 0.37504 0.51277 0.02536 0.864 0.074 1574.754 0.01715
0.19432 0.29131 0.37557 0.51349 0.02717 0.904 0.076 1574.791 0.01718
0.19459 0.29172 0.37609 0.51421 0.02898 0.964 0.078 1574.828 0.01720
0.19486 0.29213 0.37662 0.51493 0.03080 1.101 0.084 1574.864 0.01723
0.19513 0.29253 0.37714 0.51565 0.03261 0.907 0.076 1574.901 0.01725
0.19541 0.29294 0.37767 0.51636 0.03442 1.058 0.082 1574.938 0.01727
0.19568 0.29335 0.37819 0.51708 0.03623 0.962 0.078 1574.975 0.01730
0.19595 0.29376 0.37872 0.51780 0.03804 1.041 0.082 1575.011 0.01732
0.19622 0.29416 0.37924 0.51852 0.03986 1.036 0.082 1575.048 0.01734
0.19649 0.29457 0.37977 0.51924 0.04167 1.057 0.082 1575.085 0.01737
0.19676 0.29498 0.38029 0.51995 0.04348 1.104 0.084 1575.121 0.01739
0.19704 0.29539 0.38082 0.52067 0.04529 0.843 0.074 1575.158 0.01742
0.19731 0.29579 0.38134 0.52139 0.04711 0.844 0.074 1575.195 0.01744
0.19758 0.29620 0.38187 0.52211 0.04892 1.075 0.083 1575.232 0.01746
0.19785 0.29661 0.38240 0.52283 0.05073 0.892 0.076 1575.268 0.01749
0.19812 0.29702 0.38292 0.52355 0.05254 0.900 0.076 1575.305 0.01751
0.19840 0.29742 0.38345 0.52426 0.05436 0.774 0.071 1575.342 0.01753
0.19867 0.29783 0.38397 0.52498 0.05617 0.984 0.080 1575.378 0.01756
0.19894 0.29824 0.38450 0.52570 0.05798 0.770 0.071 1575.415 0.01758
0.19921 0.29865 0.38502 0.52642 0.05980 0.839 0.074 1575.452 0.01761
0.19948 0.29905 0.38555 0.52714 0.06161 0.841 0.074 1575.489 0.01763
0.19975 0.29946 0.38607 0.52786 0.06342 0.876 0.076 1575.525 0.01765
0.20003 0.29987 0.38660 0.52857 0.06524 0.906 0.077 1575.562 0.01768
0.20030 0.30028 0.38712 0.52929 0.06705 1.023 0.082 1575.599 0.01770
0.20057 0.30068 0.38765 0.53001 0.06886 0.921 0.078 1575.635 0.01772
0.20084 0.30109 0.38818 0.53073 0.07068 0.902 0.077 1575.672 0.01775
0.20111 0.30150 0.38870 0.53145 0.07249 0.862 0.075 1575.709 0.01777
0.20139 0.30191 0.38923 0.53217 0.07430 1.012 0.082 1575.746 0.01780
0.20166 0.30232 0.38975 0.53289 0.07612 0.842 0.074 1575.782 0.01782
0.20193 0.30272 0.39028 0.53360 0.07793 0.903 0.077 1575.819 0.01784
0.20220 0.30313 0.39080 0.53432 0.07974 0.948 0.079 1575.856 0.01787
0.20247 0.30354 0.39133 0.53504 0.08156 0.906 0.077 1575.892 0.01789
0.20275 0.30395 0.39185 0.53576 0.08337 0.925 0.078 1575.929 0.01791
0.20302 0.30435 0.39238 0.53648 0.08518 1.023 0.082 1575.966 0.01794
0.20329 0.30476 0.39291 0.53720 0.08700 0.960 0.080 1576.003 0.01796
0.20356 0.30517 0.39343 0.53792 0.08881 1.150 0.087 1576.039 0.01798
0.20383 0.30558 0.39396 0.53864 0.09063 0.995 0.081 1576.076 0.01801
0.20411 0.30598 0.39448 0.53935 0.09244 0.949 0.079 1576.113 0.01803
0.20438 0.30639 0.39501 0.54007 0.09426 0.815 0.074 1576.149 0.01806
0.20465 0.30680 0.39553 0.54079 0.09607 0.904 0.078 1576.186 0.01808
0.20492 0.30721 0.39606 0.54151 0.09788 0.878 0.077 1576.223 0.01810
0.20519 0.30762 0.39659 0.54223 0.09970 0.933 0.079 1576.260 0.01813
0.20547 0.30802 0.39711 0.54295 0.10151 0.954 0.080 1576.296 0.01815
0.20574 0.30843 0.39764 0.54367 0.10333 0.901 0.078 1576.333 0.01817
0.20601 0.30884 0.39816 0.54439 0.10514 0.916 0.078 1576.370 0.01820
0.20628 0.30925 0.39869 0.54511 0.10696 0.937 0.079 1576.406 0.01822
0.20655 0.30966 0.39922 0.54582 0.10877 0.924 0.079 1576.443 0.01825
0.20683 0.31006 0.39974 0.54654 0.11059 1.015 0.083 1576.480 0.01827
0.20710 0.31047 0.40027 0.54726 0.11240 0.961 0.080 1576.517 0.01829
0.20737 0.31088 0.40079 0.54798 0.11422 1.072 0.085 1576.553 0.01832
0.20764 0.31129 0.40132 0.54870 0.11603 1.087 0.086 1576.590 0.01834
0.20792 0.31170 0.40185 0.54942 0.11785 1.068 0.085 1576.627 0.01836
0.20819 0.31210 0.40237 0.55014 0.11966 0.938 0.080 1576.663 0.01839
0.20846 0.31251 0.40290 0.55086 0.12148 1.036 0.084 1576.700 0.01841
0.20873 0.31292 0.40342 0.55158 0.12329 0.954 0.080 1576.737 0.01844
0.20900 0.31333 0.40395 0.55230 0.12511 1.031 0.084 1576.774 0.01846
0.20928 0.31374 0.40448 0.55302 0.12692 1.025 0.083 1576.810 0.01848
0.20955 0.31414 0.40500 0.55374 0.12874 0.916 0.079 1576.847 0.01851
0.20982 0.31455 0.40553 0.55446 0.13055 0.896 0.078 1576.884 0.01853
0.21009 0.31496 0.40605 0.55517 0.13237 1.189 0.090 1576.920 0.01855
0.21037 0.31537 0.40658 0.55589 0.13418 1.008 0.083 1576.957 0.01858
0.21064 0.31578 0.40711 0.55661 0.13600 0.989 0.082 1576.994 0.01860
0.21091 0.31618 0.40763 0.55733 0.13782 1.088 0.086 1577.031 0.01863
0.21118 0.31659 0.40816 0.55805 0.13963 0.957 0.081 1577.067 0.01865
0.21145 0.31700 0.40869 0.55877 0.14145 1.000 0.083 1577.104 0.01867
0.21173 0.31741 0.40921 0.55949 0.14326 1.057 0.085 1577.141 0.01870
0.21200 0.31782 0.40974 0.56021 0.14508 1.009 0.083 1577.177 0.01872
0.21227 0.31823 0.41026 0.56093 0.14689 0.919 0.080 1577.214 0.01874
0.21254 0.31863 0.41079 0.56165 0.14871 1.019 0.084 1577.251 0.01877
0.21282 0.31904 0.41132 0.56237 0.15053 0.957 0.081 1577.287 0.01879
0.21309 0.31945 0.41184 0.56309 0.15234 0.986 0.083 1577.324 0.01881
0.21336 0.31986 0.41237 0.56381 0.15416 0.867 0.077 1577.361 0.01884
0.21363 0.32027 0.41290 0.56453 0.15598 0.995 0.083 1577.398 0.01886
0.21391 0.32068 0.41342 0.56525 0.15779 0.989 0.083 1577.434 0.01889
0.21418 0.32108 0.41395 0.56597 0.15961 0.871 0.078 1577.471 0.01891
0.21445 0.32149 0.41448 0.56669 0.16143 1.120 0.088 1577.508 0.01893
0.21472 0.32190 0.41500 0.56741 0.16324 0.887 0.079 1577.544 0.01896
0.21500 0.32231 0.41553 0.56813 0.16506 1.172 0.090 1577.581 0.01898
0.21527 0.32272 0.41605 0.56885 0.16688 1.073 0.086 1577.618 0.01900
0.21554 0.32313 0.41658 0.56957 0.16869 0.968 0.082 1577.655 0.01903
0.21581 0.32353 0.41711 0.57029 0.17051 1.175 0.091 1577.691 0.01905
0.21608 0.32394 0.41763 0.57101 0.17233 1.005 0.084 1577.728 0.01908
0.21636 0.32435 0.41816 0.57173 0.17414 1.049 0.086 1577.765 0.01910
0.21663 0.32476 0.41869 0.57245 0.17596 1.207 0.092 1577.801 0.01912
0.21690 0.32517 0.41921 0.57317 0.17778 0.930 0.081 1577.838 0.01915
0.21717 0.32558 0.41974 0.57389 0.17959 1.160 0.090 1577.875 0.01917
0.21745 0.32598 0.42027 0.57461 0.18141 1.125 0.089 1577.912 0.01919
0.21772 0.32639 0.42079 0.57533 0.18323 1.026 0.085 1577.948 0.01922
0.21799 0.32680 0.42132 0.57605 0.18505 1.078 0.087 1577.985 0.01924
0.21826 0.32721 0.42185 0.57677 0.18686 0.870 0.078 1578.022 0.01927
0.21854 0.32762 0.42237 0.57749 0.18868 0.814 0.076 1578.058 0.01929
0.21881 0.32803 0.42290 0.57821 0.19050 0.988 0.084 1578.095 0.01931
0.21908 0.32844 0.42343 0.57893 0.19232 1.075 0.087 1578.132 0.01934
0.21935 0.32884 0.42395 0.57965 0.19413 1.062 0.087 1578.169 0.01936
0.21963 0.32925 0.42448 0.58037 0.19595 1.057 0.087 1578.205 0.01938
0.21990 0.32966 0.42501 0.58109 0.19777 1.101 0.088 1578.242 0.01941
0.22017 0.33007 0.42553 0.58181 0.19959 1.059 0.087 1578.279 0.01943
0.22045 0.33048 0.42606 0.58253 0.20141 1.056 0.087 1578.315 0.01946
0.22072 0.33089 0.42659 0.58325 0.20322 1.081 0.088 1578.352 0.01948
0.22099 0.33130 0.42712 0.58397 0.20504 0.919 0.081 1578.389 0.01950
0.22126 0.33171 0.42764 0.58469 0.20686 0.961 0.083 1578.426 0.01953
0.22154 0.33211 0.42817 0.58541 0.20868 1.077 0.088 1578.462 0.01955
0.22181 0.33252 0.42870 0.58613 0.21050 1.151 0.091 1578.499 0.01957
0.22208 0.33293 0.42922 0.58685 0.21231 0.731 0.072 1578.536 0.01960
0.22235 0.33334 0.42975 0.58757 0.21413 0.888 0.080 1578.572 0.01962
0.22263 0.33375 0.43028 0.58829 0.21595 0.993 0.084 1578.609 0.01964
0.22290 0.33416 0.43080 0.58901 0.21777 1.141 0.091 1578.646 0.01967
0.22317 0.33457 0.43133 0.58973 0.21959 0.930 0.082 1578.683 0.01969
0.22344 0.33498 0.43186 0.59046 0.22141 0.950 0.083 1578.719 0.01972
0.22372 0.33538 0.43239 0.59118 0.22323 1.001 0.074 1578.756 0.01974
0.22399 0.33579 0.43291 0.59190 0.22504 1.019 0.074 1578.793 0.01976
0.22426 0.33620 0.43344 0.59262 0.22686 0.883 0.069 1578.829 0.01979
0.22454 0.33661 0.43397 0.59334 0.22868 1.001 0.074 1578.866 0.01981
0.22481 0.33702 0.43449 0.59406 0.23050 1.090 0.077 1578.903 0.01983
0.22508 0.33743 0.43502 0.59478 0.23232 1.073 0.077 1578.940 0.01986
0.22535 0.33784 0.43555 0.59550 0.23414 1.024 0.075 1578.976 0.01988
0.22563 0.33825 0.43608 0.59622 0.23596 1.032 0.075 1579.013 0.01991
0.22590 0.33866 0.43660 0.59694 0.23778 1.044 0.076 1579.050 0.01993
0.22617 0.33906 0.43713 0.59766 0.23960 0.957 0.072 1579.086 0.01995
0.22644 0.33947 0.43766 0.59838 0.24142 0.872 0.069 1579.123 0.01998
0.22672 0.33988 0.43818 0.59910 0.24324 0.909 0.071 1579.160 0.02000
0.22699 0.34029 0.43871 0.59983 0.24505 0.898 0.070 1579.197 0.02002
0.22726 0.34070 0.43924 0.60055 0.24687 1.171 0.080 1579.233 0.02005
0.22754 0.34111 0.43977 0.60127 0.24869 1.016 0.075 1579.270 0.02007
0.22781 0.34152 0.44029 0.60199 0.25051 1.047 0.076 1579.307 0.02010
0.22808 0.34193 0.44082 0.60271 0.25233 0.917 0.071 1579.343 0.02012
0.22835 0.34234 0.44135 0.60343 0.25415 1.012 0.075 1579.380 0.02014
