x y z dist_scaled dist_frac flux_norm wavelength redshift
-0.21121 0.31726 0.32782 0.50273 0.00000 0.987 1574.240 0.01682
-0.21151 0.31772 0.32829 0.50344 0.00181 1.001 1574.277 0.01685
-0.21181 0.31817 0.32876 0.50416 0.00362 0.976 1574.314 0.01687
-0.21211 0.31862 0.32923 0.50488 0.00543 0.952 1574.350 0.01689
-0.21241 0.31908 0.32970 0.50560 0.00724 0.918 1574.387 0.01692
-0.21271 0.31953 0.33016 0.50631 0.00906 0.892 1574.424 0.01694
-0.21302 0.31998 0.33063 0.50703 0.01087 0.816 1574.461 0.01697
-0.21332 0.32043 0.33110 0.50775 0.01268 0.778 1574.497 0.01699
-0.21362 0.32089 0.33157 0.50847 0.01449 0.924 1574.534 0.01701
-0.21392 0.32134 0.33204 0.50918 0.01630 0.866 1574.571 0.01704
-0.21422 0.32179 0.33250 0.50990 0.01811 0.779 1574.607 0.01706
-0.21452 0.32225 0.33297 0.51062 0.01992 0.846 1574.644 0.01708
-0.21482 0.32270 0.33344 0.51134 0.02174 0.916 1574.681 0.01711
-0.21513 0.32315 0.33391 0.51206 0.02355 0.950 1574.718 0.01713
-0.21543 0.32360 0.33438 0.51277 0.02536 1.015 1574.754 0.01715
-0.21573 0.32406 0.33485 0.51349 0.02717 0.950 1574.791 0.01718
-0.21603 0.32451 0.33531 0.51421 0.02898 0.916 1574.828 0.01720
-0.21633 0.32496 0.33578 0.51493 0.03080 0.916 1574.864 0.01723
-0.21663 0.32542 0.33625 0.51565 0.03261 0.863 1574.901 0.01725
-0.21694 0.32587 0.33672 0.51636 0.03442 0.892 1574.938 0.01727
-0.21724 0.32632 0.33719 0.51708 0.03623 0.997 1574.975 0.01730
-0.21754 0.32678 0.33765 0.51780 0.03804 0.925 1575.011 0.01732
-0.21784 0.32723 0.33812 0.51852 0.03986 0.922 1575.048 0.01734
-0.21814 0.32768 0.33859 0.51924 0.04167 0.983 1575.085 0.01737
-0.21844 0.32814 0.33906 0.51995 0.04348 0.919 1575.121 0.01739
-0.21875 0.32859 0.33953 0.52067 0.04529 1.012 1575.158 0.01742
-0.21905 0.32904 0.34000 0.52139 0.04711 0.965 1575.195 0.01744
-0.21935 0.32950 0.34046 0.52211 0.04892 0.811 1575.232 0.01746
-0.21965 0.32995 0.34093 0.52283 0.05073 0.916 1575.268 0.01749
-0.21995 0.33040 0.34140 0.52355 0.05254 0.953 1575.305 0.01751
-0.22025 0.33086 0.34187 0.52426 0.05436 0.935 1575.342 0.01753
-0.22056 0.33131 0.34234 0.52498 0.05617 0.897 1575.378 0.01756
-0.22086 0.33176 0.34281 0.52570 0.05798 0.887 1575.415 0.01758
-0.22116 0.33222 0.34327 0.52642 0.05980 0.957 1575.452 0.01761
-0.22146 0.33267 0.34374 0.52714 0.06161 0.979 1575.489 0.01763
-0.22176 0.33312 0.34421 0.52786 0.06342 0.957 1575.525 0.01765
-0.22207 0.33358 0.34468 0.52857 0.06524 0.898 1575.562 0.01768
-0.22237 0.33403 0.34515 0.52929 0.06705 0.950 1575.599 0.01770
-0.22267 0.33448 0.34562 0.53001 0.06886 0.868 1575.635 0.01772
-0.22297 0.33494 0.34609 0.53073 0.07068 0.897 1575.672 0.01775
-0.22327 0.33539 0.34655 0.53145 0.07249 0.927 1575.709 0.01777
-0.22358 0.33584 0.34702 0.53217 0.07430 0.972 1575.746 0.01780
-0.22388 0.33630 0.34749 0.53289 0.07612 0.958 1575.782 0.01782
-0.22418 0.33675 0.34796 0.53360 0.07793 0.922 1575.819 0.01784
-0.22448 0.33720 0.34843 0.53432 0.07974 1.077 1575.856 0.01787
-0.22478 0.33766 0.34890 0.53504 0.08156 0.849 1575.892 0.01789
-0.22508 0.33811 0.34937 0.53576 0.08337 1.017 1575.929 0.01791
-0.22539 0.33856 0.34983 0.53648 0.08518 0.893 1575.966 0.01794
-0.22569 0.33902 0.35030 0.53720 0.08700 0.939 1576.003 0.01796
-0.22599 0.33947 0.35077 0.53792 0.08881 0.892 1576.039 0.01798
-0.22629 0.33993 0.35124 0.53864 0.09063 1.054 1576.076 0.01801
-0.22659 0.34038 0.35171 0.53935 0.09244 1.045 1576.113 0.01803
-0.22690 0.34083 0.35218 0.54007 0.09426 0.914 1576.149 0.01806
-0.22720 0.34129 0.35265 0.54079 0.09607 0.999 1576.186 0.01808
-0.22750 0.34174 0.35312 0.54151 0.09788 0.969 1576.223 0.01810
-0.22780 0.34219 0.35358 0.54223 0.09970 0.998 1576.260 0.01813
-0.22810 0.34265 0.35405 0.54295 0.10151 0.876 1576.296 0.01815
-0.22841 0.34310 0.35452 0.54367 0.10333 1.041 1576.333 0.01817
-0.22871 0.34356 0.35499 0.54439 0.10514 1.035 1576.370 0.01820
-0.22901 0.34401 0.35546 0.54511 0.10696 1.043 1576.406 0.01822
-0.22931 0.34446 0.35593 0.54582 0.10877 1.020 1576.443 0.01825
-0.22962 0.34492 0.35640 0.54654 0.11059 1.011 1576.480 0.01827
-0.22992 0.34537 0.35687 0.54726 0.11240 0.822 1576.517 0.01829
-0.23022 0.34582 0.35734 0.54798 0.11422 0.883 1576.553 0.01832
-0.23052 0.34628 0.35780 0.54870 0.11603 0.918 1576.590 0.01834
-0.23082 0.34673 0.35827 0.54942 0.11785 0.996 1576.627 0.01836
-0.23113 0.34719 0.35874 0.55014 0.11966 0.910 1576.663 0.01839
-0.23143 0.34764 0.35921 0.55086 0.12148 0.989 1576.700 0.01841
-0.23173 0.34809 0.35968 0.55158 0.12329 1.066 1576.737 0.01844
-0.23203 0.34855 0.36015 0.55230 0.12511 0.933 1576.774 0.01846
-0.23233 0.34900 0.36062 0.55302 0.12692 1.005 1576.810 0.01848
-0.23264 0.34946 0.36109 0.55374 0.12874 0.938 1576.847 0.01851
-0.23294 0.34991 0.36156 0.55446 0.13055 0.920 1576.884 0.01853
-0.23324 0.35036 0.36203 0.55517 0.13237 0.920 1576.920 0.01855
-0.23354 0.35082 0.36250 0.55589 0.13418 0.894 1576.957 0.01858
-0.23385 0.35127 0.36296 0.55661 0.13600 0.919 1576.994 0.01860
-0.23415 0.35173 0.36343 0.55733 0.13782 0.873 1577.031 0.01863
-0.23445 0.35218 0.36390 0.55805 0.13963 0.913 1577.067 0.01865
-0.23475 0.35263 0.36437 0.55877 0.14145 0.919 1577.104 0.01867
-0.23505 0.35309 0.36484 0.55949 0.14326 0.921 1577.141 0.01870
-0.23536 0.35354 0.36531 0.56021 0.14508 0.992 1577.177 0.01872
-0.23566 0.35400 0.36578 0.56093 0.14689 1.015 1577.214 0.01874
-0.23596 0.35445 0.36625 0.56165 0.14871 1.072 1577.251 0.01877
-0.23626 0.35490 0.36672 0.56237 0.15053 1.009 1577.287 0.01879
-0.23657 0.35536 0.36719 0.56309 0.15234 1.031 1577.324 0.01881
-0.23687 0.35581 0.36766 0.56381 0.15416 0.936 1577.361 0.01884
-0.23717 0.35627 0.36813 0.56453 0.15598 0.953 1577.398 0.01886
-0.23747 0.35672 0.36860 0.56525 0.15779 1.033 1577.434 0.01889
-0.23778 0.35718 0.36906 0.56597 0.15961 1.032 1577.471 0.01891
-0.23808 0.35763 0.36953 0.56669 0.16143 0.934 1577.508 0.01893
-0.23838 0.35808 0.37000 0.56741 0.16324 0.891 1577.544 0.01896
-0.23868 0.35854 0.37047 0.56813 0.16506 1.031 1577.581 0.01898
-0.23899 0.35899 0.37094 0.56885 0.16688 1.013 1577.618 0.01900
-0.23929 0.35945 0.37141 0.56957 0.16869 1.015 1577.655 0.01903
-0.23959 0.35990 0.37188 0.57029 0.17051 0.892 1577.691 0.01905
-0.23989 0.36036 0.37235 0.57101 0.17233 1.049 1577.728 0.01908
-0.24020 0.36081 0.37282 0.57173 0.17414 0.928 1577.765 0.01910
-0.24050 0.36126 0.37329 0.57245 0.17596 0.968 1577.801 0.01912
-0.24080 0.36172 0.37376 0.57317 0.17778 0.984 1577.838 0.01915
-0.24110 0.36217 0.37423 0.57389 0.17959 0.929 1577.875 0.01917
-0.24141 0.36263 0.37470 0.57461 0.18141 0.940 1577.912 0.01919
-0.24171 0.36308 0.37517 0.57533 0.18323 0.974 1577.948 0.01922
-0.24201 0.36354 0.37564 0.57605 0.18505 1.022 1577.985 0.01924
-0.24231 0.36399 0.37611 0.57677 0.18686 1.013 1578.022 0.01927
