x y z dist_scaled dist_frac absorption
-0.21121 0.31726 0.32782 0.50273 0.00000 0.013
-0.21151 0.31772 0.32829 0.50344 0.00181 -0.001
-0.21181 0.31817 0.32876 0.50416 0.00362 0.024
-0.21211 0.31862 0.32923 0.50488 0.00543 0.048
-0.21241 0.31908 0.32970 0.50560 0.00724 0.082
-0.21271 0.31953 0.33016 0.50631 0.00906 0.108
-0.21302 0.31998 0.33063 0.50703 0.01087 0.184
-0.21332 0.32043 0.33110 0.50775 0.01268 0.222
-0.21362 0.32089 0.33157 0.50847 0.01449 0.076
-0.21392 0.32134 0.33204 0.50918 0.01630 0.134
-0.21422 0.32179 0.33250 0.50990 0.01811 0.221
-0.21452 0.32225 0.33297 0.51062 0.01992 0.154
-0.21482 0.32270 0.33344 0.51134 0.02174 0.084
-0.21513 0.32315 0.33391 0.51206 0.02355 0.050
-0.21543 0.32360 0.33438 0.51277 0.02536 -0.015
-0.21573 0.32406 0.33485 0.51349 0.02717 0.050
-0.21603 0.32451 0.33531 0.51421 0.02898 0.084
-0.21633 0.32496 0.33578 0.51493 0.03080 0.084
-0.21663 0.32542 0.33625 0.51565 0.03261 0.137
-0.21694 0.32587 0.33672 0.51636 0.03442 0.108
-0.21724 0.32632 0.33719 0.51708 0.03623 0.003
-0.21754 0.32678 0.33765 0.51780 0.03804 0.075
-0.21784 0.32723 0.33812 0.51852 0.03986 0.078
-0.21814 0.32768 0.33859 0.51924 0.04167 0.017
-0.21844 0.32814 0.33906 0.51995 0.04348 0.081
-0.21875 0.32859 0.33953 0.52067 0.04529 -0.012
-0.21905 0.32904 0.34000 0.52139 0.04711 0.035
-0.21935 0.32950 0.34046 0.52211 0.04892 0.189
-0.21965 0.32995 0.34093 0.52283 0.05073 0.084
-0.21995 0.33040 0.34140 0.52355 0.05254 0.047
-0.22025 0.33086 0.34187 0.52426 0.05436 0.065
-0.22056 0.33131 0.34234 0.52498 0.05617 0.103
-0.22086 0.33176 0.34281 0.52570 0.05798 0.113
-0.22116 0.33222 0.34327 0.52642 0.05980 0.043
-0.22146 0.33267 0.34374 0.52714 0.06161 0.021
-0.22176 0.33312 0.34421 0.52786 0.06342 0.043
-0.22207 0.33358 0.34468 0.52857 0.06524 0.102
-0.22237 0.33403 0.34515 0.52929 0.06705 0.050
-0.22267 0.33448 0.34562 0.53001 0.06886 0.132
-0.22297 0.33494 0.34609 0.53073 0.07068 0.103
-0.22327 0.33539 0.34655 0.53145 0.07249 0.073
-0.22358 0.33584 0.34702 0.53217 0.07430 0.028
-0.22388 0.33630 0.34749 0.53289 0.07612 0.042
-0.22418 0.33675 0.34796 0.53360 0.07793 0.078
-0.22448 0.33720 0.34843 0.53432 0.07974 -0.077
-0.22478 0.33766 0.34890 0.53504 0.08156 0.151
-0.22508 0.33811 0.34937 0.53576 0.08337 -0.017
-0.22539 0.33856 0.34983 0.53648 0.08518 0.107
-0.22569 0.33902 0.35030 0.53720 0.08700 0.061
-0.22599 0.33947 0.35077 0.53792 0.08881 0.108
-0.22629 0.33993 0.35124 0.53864 0.09063 -0.054
-0.22659 0.34038 0.35171 0.53935 0.09244 -0.045
-0.22690 0.34083 0.35218 0.54007 0.09426 0.086
-0.22720 0.34129 0.35265 0.54079 0.09607 0.001
-0.22750 0.34174 0.35312 0.54151 0.09788 0.031
-0.22780 0.34219 0.35358 0.54223 0.09970 0.002
-0.22810 0.34265 0.35405 0.54295 0.10151 0.124
-0.22841 0.34310 0.35452 0.54367 0.10333 -0.041
-0.22871 0.34356 0.35499 0.54439 0.10514 -0.035
-0.22901 0.34401 0.35546 0.54511 0.10696 -0.043
-0.22931 0.34446 0.35593 0.54582 0.10877 -0.020
-0.22962 0.34492 0.35640 0.54654 0.11059 -0.011
-0.22992 0.34537 0.35687 0.54726 0.11240 0.178
-0.23022 0.34582 0.35734 0.54798 0.11422 0.117
-0.23052 0.34628 0.35780 0.54870 0.11603 0.082
-0.23082 0.34673 0.35827 0.54942 0.11785 0.004
-0.23113 0.34719 0.35874 0.55014 0.11966 0.090
-0.23143 0.34764 0.35921 0.55086 0.12148 0.011
-0.23173 0.34809 0.35968 0.55158 0.12329 -0.066
-0.23203 0.34855 0.36015 0.55230 0.12511 0.067
-0.23233 0.34900 0.36062 0.55302 0.12692 -0.005
-0.23264 0.34946 0.36109 0.55374 0.12874 0.062
-0.23294 0.34991 0.36156 0.55446 0.13055 0.080
-0.23324 0.35036 0.36203 0.55517 0.13237 0.080
-0.23354 0.35082 0.36250 0.55589 0.13418 0.106
-0.23385 0.35127 0.36296 0.55661 0.13600 0.081
-0.23415 0.35173 0.36343 0.55733 0.13782 0.127
-0.23445 0.35218 0.36390 0.55805 0.13963 0.087
-0.23475 0.35263 0.36437 0.55877 0.14145 0.081
-0.23505 0.35309 0.36484 0.55949 0.14326 0.079
-0.23536 0.35354 0.36531 0.56021 0.14508 0.008
-0.23566 0.35400 0.36578 0.56093 0.14689 -0.015
-0.23596 0.35445 0.36625 0.56165 0.14871 -0.072
-0.23626 0.35490 0.36672 0.56237 0.15053 -0.009
-0.23657 0.35536 0.36719 0.56309 0.15234 -0.031
-0.23687 0.35581 0.36766 0.56381 0.15416 0.064
-0.23717 0.35627 0.36813 0.56453 0.15598 0.047
-0.23747 0.35672 0.36860 0.56525 0.15779 -0.033
-0.23778 0.35718 0.36906 0.56597 0.15961 -0.032
-0.23808 0.35763 0.36953 0.56669 0.16143 0.066
-0.23838 0.35808 0.37000 0.56741 0.16324 0.109
-0.23868 0.35854 0.37047 0.56813 0.16506 -0.031
-0.23899 0.35899 0.37094 0.56885 0.16688 -0.013
-0.23929 0.35945 0.37141 0.56957 0.16869 -0.015
-0.23959 0.35990 0.37188 0.57029 0.17051 0.108
-0.23989 0.36036 0.37235 0.57101 0.17233 -0.049
-0.24020 0.36081 0.37282 0.57173 0.17414 0.072
-0.24050 0.36126 0.37329 0.57245 0.17596 0.032
-0.24080 0.36172 0.37376 0.57317 0.17778 0.016
-0.24110 0.36217 0.37423 0.57389 0.17959 0.071
-0.24141 0.36263 0.37470 0.57461 0.18141 0.060
-0.24171 0.36308 0.37517 0.57533 0.18323 0.026
-0.24201 0.36354 0.37564 0.57605 0.18505 -0.022
-0.24231 0.36399 0.37611 0.57677 0.18686 -0.013
-0.24262 0.36445 0.37658 0.57749 0.18868 -0.047
-0.24292 0.36490 0.37705 0.57821 0.19050 0.008
-0.24322 0.36535 0.37752 0.57893 0.19232 -0.083
-0.24352 0.36581 0.37799 0.57965 0.19413 -0.066
-0.24383 0.36626 0.37846 0.58037 0.19595 -0.059
-0.24413 0.36672 0.37892 0.58109 0.19777 -0.056
-0.24443 0.36717 0.37939 0.58181 0.19959 0.007
-0.24473 0.36763 0.37986 0.58253 0.20141 0.001
-0.24504 0.36808 0.38033 0.58325 0.20322 0.061
-0.24534 0.36854 0.38080 0.58397 0.20504 0.009
-0.24564 0.36899 0.38127 0.58469 0.20686 0.019
-0.24594 0.36945 0.38174 0.58541 0.20868 -0.123
-0.24625 0.36990 0.38221 0.58613 0.21050 -0.034
-0.24655 0.37035 0.38268 0.58685 0.21231 -0.017
-0.24685 0.37081 0.38315 0.58757 0.21413 -0.051
-0.24716 0.37126 0.38362 0.58829 0.21595 -0.006
-0.24746 0.37172 0.38409 0.58901 0.21777 -0.026
-0.24776 0.37217 0.38456 0.58973 0.21959 0.066
-0.24806 0.37263 0.38503 0.59046 0.22141 0.085
-0.24837 0.37308 0.38550 0.59118 0.22323 0.076
-0.24867 0.37354 0.38597 0.59190 0.22504 -0.074
-0.24897 0.37399 0.38644 0.59262 0.22686 -0.013
-0.24927 0.37445 0.38691 0.59334 0.22868 0.053
-0.24958 0.37490 0.38738 0.59406 0.23050 -0.014
-0.24988 0.37536 0.38785 0.59478 0.23232 -0.011
-0.25018 0.37581 0.38832 0.59550 0.23414 -0.016
-0.25049 0.37627 0.38879 0.59622 0.23596 -0.096
-0.25079 0.37672 0.38926 0.59694 0.23778 0.073
-0.25109 0.37718 0.38973 0.59766 0.23960 -0.003
-0.25139 0.37763 0.39020 0.59838 0.24142 0.037
-0.25170 0.37809 0.39067 0.59910 0.24324 -0.063
-0.25200 0.37854 0.39114 0.59983 0.24505 0.022
-0.25230 0.37900 0.39161 0.60055 0.24687 0.171
-0.25261 0.37945 0.39208 0.60127 0.24869 -0.000
-0.25291 0.37991 0.39255 0.60199 0.25051 0.007
-0.25321 0.38036 0.39302 0.60271 0.25233 -0.072
-0.25351 0.38082 0.39349 0.60343 0.25415 0.032
-0.25382 0.38127 0.39396 0.60415 0.25597 -0.041
-0.25412 0.38173 0.39443 0.60487 0.25779 -0.034
-0.25442 0.38218 0.39490 0.60559 0.25961 -0.039
-0.25473 0.38264 0.39537 0.60631 0.26143 -0.053
-0.25503 0.38309 0.39584 0.60704 0.26325 -0.031
-0.25533 0.38355 0.39632 0.60776 0.26507 -0.063
-0.25564 0.38400 0.39679 0.60848 0.26689 -0.037
-0.25594 0.38446 0.39726 0.60920 0.26871 -0.019
-0.25624 0.38491 0.39773 0.60992 0.27053 0.012
-0.25654 0.38537 0.39820 0.61064 0.27235 -0.062
-0.25685 0.38582 0.39867 0.61136 0.27417 -0.063
-0.25715 0.38628 0.39914 0.61209 0.27599 0.050
-0.25745 0.38673 0.39961 0.61281 0.27782 0.019
-0.25776 0.38719 0.40008 0.61353 0.27964 -0.056
-0.25806 0.38764 0.40055 0.61425 0.28146 -0.068
-0.25836 0.38810 0.40102 0.61497 0.28328 -0.053
-0.25867 0.38856 0.40149 0.61569 0.28510 -0.118
-0.25897 0.38901 0.40196 0.61641 0.28692 -0.066
-0.25927 0.38947 0.40243 0.61714 0.28874 -0.105
-0.25958 0.38992 0.40290 0.61786 0.29056 -0.030
-0.25988 0.39038 0.40337 0.61858 0.29238 0.001
-0.26018 0.39083 0.40384 0.61930 0.29420 0.034
-0.26048 0.39129 0.40431 0.62002 0.29602 -0.041
-0.26079 0.39174 0.40478 0.62074 0.29785 0.000
-0.26109 0.39220 0.40525 0.62146 0.29967 0.064
-0.26139 0.39265 0.40572 0.62219 0.30149 0.046
-0.26170 0.39311 0.40619 0.62291 0.30331 -0.076
-0.26200 0.39356 0.40667 0.62363 0.30513 0.045
-0.26230 0.39402 0.40714 0.62435 0.30695 0.095
-0.26261 0.39448 0.40761 0.62507 0.30877 0.019
-0.26291 0.39493 0.40808 0.62580 0.31060 -0.053
-0.26321 0.39539 0.40855 0.62652 0.31242 -0.049
