x y z dist_scaled dist_frac flux_norm
-0.18212 0.37432 0.28182 0.50270 0.00000 1.013
-0.18238 0.37485 0.28222 0.50342 0.00181 1.007
-0.18264 0.37539 0.28262 0.50413 0.00362 1.008
-0.18290 0.37592 0.28303 0.50485 0.00543 1.000
-0.18316 0.37646 0.28343 0.50557 0.00724 0.961
-0.18342 0.37699 0.28383 0.50629 0.00906 0.955
-0.18368 0.37753 0.28423 0.50700 0.01087 0.939
-0.18394 0.37806 0.28464 0.50772 0.01268 0.931
-0.18420 0.37860 0.28504 0.50844 0.01449 1.012
-0.18446 0.37913 0.28544 0.50916 0.01630 0.928
-0.18472 0.37967 0.28584 0.50988 0.01811 0.908
-0.18498 0.38020 0.28625 0.51059 0.01992 0.901
-0.18524 0.38073 0.28665 0.51131 0.02174 0.982
-0.18550 0.38127 0.28705 0.51203 0.02355 1.042
-0.18576 0.38180 0.28745 0.51275 0.02536 0.997
-0.18602 0.38234 0.28786 0.51347 0.02717 0.989
-0.18628 0.38287 0.28826 0.51418 0.02898 0.994
-0.18654 0.38341 0.28866 0.51490 0.03080 1.029
-0.18680 0.38394 0.28906 0.51562 0.03261 1.071
-0.18706 0.38448 0.28947 0.51634 0.03442 1.011
-0.18732 0.38501 0.28987 0.51706 0.03623 0.972
-0.18758 0.38555 0.29027 0.51778 0.03804 0.978
-0.18784 0.38608 0.29067 0.51849 0.03986 1.001
-0.18810 0.38662 0.29108 0.51921 0.04167 1.041
-0.18836 0.38715 0.29148 0.51993 0.04348 1.056
-0.18862 0.38769 0.29188 0.52065 0.04529 1.028
-0.18888 0.38822 0.29229 0.52137 0.04711 1.058
-0.18914 0.38876 0.29269 0.52209 0.04892 0.971
-0.18940 0.38929 0.29309 0.52280 0.05073 0.979
-0.18966 0.38983 0.29349 0.52352 0.05254 0.982
-0.18992 0.39036 0.29390 0.52424 0.05436 1.026
-0.19018 0.39090 0.29430 0.52496 0.05617 0.961
-0.19044 0.39143 0.29470 0.52568 0.05798 1.008
-0.19070 0.39197 0.29510 0.52640 0.05980 0.917
-0.19097 0.39250 0.29551 0.52711 0.06161 0.912
-0.19123 0.39304 0.29591 0.52783 0.06342 0.956
-0.19149 0.39357 0.29631 0.52855 0.06524 0.964
-0.19175 0.39411 0.29672 0.52927 0.06705 0.943
-0.19201 0.39464 0.29712 0.52999 0.06886 0.981
-0.19227 0.39518 0.29752 0.53071 0.07068 0.934
-0.19253 0.39571 0.29792 0.53143 0.07249 0.922
-0.19279 0.39625 0.29833 0.53214 0.07430 0.920
