x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.15051 0.15557 0.45344 0.50246 0.00000 0.807 0.070 1574.227 0.01681
-0.15072 0.15579 0.45409 0.50318 0.00181 0.962 0.076 1574.263 0.01684
-0.15094 0.15601 0.45474 0.50389 0.00362 1.037 0.079 1574.300 0.01686
-0.15115 0.15623 0.45539 0.50461 0.00543 0.865 0.073 1574.337 0.01689
-0.15137 0.15645 0.45603 0.50533 0.00724 0.884 0.073 1574.374 0.01691
-0.15158 0.15668 0.45668 0.50605 0.00906 1.009 0.078 1574.410 0.01693
-0.15180 0.15690 0.45733 0.50677 0.01087 1.072 0.081 1574.447 0.01696
-0.15201 0.15712 0.45798 0.50748 0.01268 0.905 0.074 1574.484 0.01698
-0.15223 0.15734 0.45863 0.50820 0.01449 0.981 0.077 1574.520 0.01700
-0.15245 0.15757 0.45927 0.50892 0.01630 0.907 0.075 1574.557 0.01703
-0.15266 0.15779 0.45992 0.50964 0.01811 1.007 0.079 1574.594 0.01705
-0.15288 0.15801 0.46057 0.51035 0.01992 1.046 0.080 1574.631 0.01708
-0.15309 0.15823 0.46122 0.51107 0.02174 1.015 0.079 1574.667 0.01710
-0.15331 0.15846 0.46186 0.51179 0.02355 1.003 0.079 1574.704 0.01712
-0.15352 0.15868 0.46251 0.51251 0.02536 1.129 0.083 1574.741 0.01715
-0.15374 0.15890 0.46316 0.51323 0.02717 0.992 0.078 1574.777 0.01717
-0.15395 0.15912 0.46381 0.51394 0.02898 1.000 0.079 1574.814 0.01719
-0.15417 0.15934 0.46446 0.51466 0.03080 0.976 0.078 1574.851 0.01722
-0.15438 0.15957 0.46511 0.51538 0.03261 0.996 0.078 1574.888 0.01724
-0.15460 0.15979 0.46575 0.51610 0.03442 0.977 0.078 1574.924 0.01726
-0.15481 0.16001 0.46640 0.51682 0.03623 0.903 0.075 1574.961 0.01729
-0.15503 0.16023 0.46705 0.51754 0.03804 0.929 0.076 1574.998 0.01731
-0.15524 0.16046 0.46770 0.51825 0.03986 0.975 0.078 1575.034 0.01734
-0.15546 0.16068 0.46835 0.51897 0.04167 1.008 0.079 1575.071 0.01736
-0.15567 0.16090 0.46899 0.51969 0.04348 0.972 0.078 1575.108 0.01738
-0.15589 0.16112 0.46964 0.52041 0.04529 1.057 0.081 1575.145 0.01741
-0.15610 0.16135 0.47029 0.52113 0.04711 1.022 0.080 1575.181 0.01743
-0.15632 0.16157 0.47094 0.52185 0.04892 1.053 0.081 1575.218 0.01745
-0.15653 0.16179 0.47159 0.52256 0.05073 0.990 0.079 1575.255 0.01748
-0.15675 0.16201 0.47224 0.52328 0.05254 1.001 0.079 1575.292 0.01750
-0.15696 0.16224 0.47288 0.52400 0.05436 0.922 0.076 1575.328 0.01753
-0.15718 0.16246 0.47353 0.52472 0.05617 0.970 0.078 1575.365 0.01755
-0.15739 0.16268 0.47418 0.52544 0.05798 1.031 0.080 1575.402 0.01757
-0.15761 0.16290 0.47483 0.52616 0.05980 1.177 0.086 1575.438 0.01760
-0.15782 0.16313 0.47548 0.52687 0.06161 0.911 0.076 1575.475 0.01762
-0.15804 0.16335 0.47613 0.52759 0.06342 0.902 0.075 1575.512 0.01764
-0.15825 0.16357 0.47677 0.52831 0.06524 1.048 0.081 1575.549 0.01767
-0.15847 0.16379 0.47742 0.52903 0.06705 1.243 0.089 1575.585 0.01769
-0.15868 0.16402 0.47807 0.52975 0.06886 0.989 0.079 1575.622 0.01772
-0.15890 0.16424 0.47872 0.53047 0.07068 1.031 0.081 1575.659 0.01774
-0.15912 0.16446 0.47937 0.53119 0.07249 1.017 0.080 1575.695 0.01776
-0.15933 0.16468 0.48002 0.53191 0.07430 0.857 0.074 1575.732 0.01779
-0.15955 0.16491 0.48067 0.53262 0.07612 0.946 0.077 1575.769 0.01781
-0.15976 0.16513 0.48131 0.53334 0.07793 0.926 0.077 1575.806 0.01783
-0.15998 0.16535 0.48196 0.53406 0.07974 0.893 0.075 1575.842 0.01786
-0.16019 0.16557 0.48261 0.53478 0.08156 0.775 0.074 1575.879 0.01788
-0.16041 0.16580 0.48326 0.53550 0.08337 0.704 0.067 1575.916 0.01791
-0.16062 0.16602 0.48391 0.53622 0.08518 0.583 0.069 1575.952 0.01793
-0.16084 0.16624 0.48456 0.53694 0.08700 0.402 0.062 1575.989 0.01795
-0.16105 0.16646 0.48521 0.53766 0.08881 0.323 0.057 1576.026 0.01798
-0.16127 0.16669 0.48586 0.53837 0.09063 0.191 0.047 1576.063 0.01800
-0.16148 0.16691 0.48650 0.53909 0.09244 0.190 0.047 1576.099 0.01802
-0.16170 0.16713 0.48715 0.53981 0.09426 0.125 0.041 1576.136 0.01805
-0.16191 0.16735 0.48780 0.54053 0.09607 0.085 0.036 1576.173 0.01807
-0.16213 0.16758 0.48845 0.54125 0.09788 0.085 0.037 1576.210 0.01809
-0.16235 0.16780 0.48910 0.54197 0.09970 0.039 0.030 1576.246 0.01812
-0.16256 0.16802 0.48975 0.54269 0.10151 0.071 0.035 1576.283 0.01814
-0.16278 0.16824 0.49040 0.54341 0.10333 0.117 0.041 1576.320 0.01817
-0.16299 0.16847 0.49105 0.54413 0.10514 0.190 0.048 1576.356 0.01819
-0.16321 0.16869 0.49170 0.54485 0.10696 0.159 0.045 1576.393 0.01821
-0.16342 0.16891 0.49235 0.54557 0.10877 0.219 0.050 1576.430 0.01824
-0.16364 0.16914 0.49299 0.54628 0.11059 0.285 0.055 1576.467 0.01826
-0.16385 0.16936 0.49364 0.54700 0.11240 0.191 0.047 1576.503 0.01828
-0.16407 0.16958 0.49429 0.54772 0.11422 0.245 0.052 1576.540 0.01831
-0.16428 0.16980 0.49494 0.54844 0.11603 0.339 0.059 1576.577 0.01833
-0.16450 0.17003 0.49559 0.54916 0.11785 0.254 0.053 1576.613 0.01836
-0.16472 0.17025 0.49624 0.54988 0.11966 0.182 0.047 1576.650 0.01838
-0.16493 0.17047 0.49689 0.55060 0.12148 0.075 0.034 1576.687 0.01840
-0.16515 0.17069 0.49754 0.55132 0.12329 0.067 0.034 1576.724 0.01843
-0.16536 0.17092 0.49819 0.55204 0.12511 -0.009 0.023 1576.760 0.01845
-0.16558 0.17114 0.49884 0.55276 0.12692 0.030 0.029 1576.797 0.01847
-0.16579 0.17136 0.49949 0.55348 0.12874 0.043 0.029 1576.834 0.01850
-0.16601 0.17159 0.50014 0.55420 0.13055 0.021 0.026 1576.871 0.01852
-0.16622 0.17181 0.50078 0.55492 0.13237 0.048 0.031 1576.907 0.01855
