x y z dist_scaled dist_frac flux_norm
-0.37545 -0.05684 0.32868 0.50222 0.00000 0.917
-0.37599 -0.05692 0.32915 0.50294 0.00181 1.113
-0.37652 -0.05700 0.32962 0.50365 0.00362 1.014
-0.37706 -0.05709 0.33009 0.50437 0.00543 0.986
-0.37760 -0.05717 0.33056 0.50509 0.00724 1.110
-0.37813 -0.05725 0.33103 0.50581 0.00906 1.294
-0.37867 -0.05733 0.33150 0.50653 0.01087 1.070
-0.37921 -0.05741 0.33197 0.50724 0.01268 1.053
-0.37974 -0.05749 0.33244 0.50796 0.01449 1.149
-0.38028 -0.05757 0.33291 0.50868 0.01630 1.181
-0.38082 -0.05765 0.33338 0.50940 0.01811 1.012
-0.38135 -0.05774 0.33385 0.51012 0.01992 0.935
-0.38189 -0.05782 0.33432 0.51083 0.02174 0.940
-0.38243 -0.05790 0.33479 0.51155 0.02355 0.757
-0.38296 -0.05798 0.33526 0.51227 0.02536 0.772
-0.38350 -0.05806 0.33573 0.51299 0.02717 0.761
-0.38404 -0.05814 0.33620 0.51371 0.02898 0.769
-0.38457 -0.05822 0.33667 0.51442 0.03080 0.704
-0.38511 -0.05830 0.33714 0.51514 0.03261 0.751
-0.38565 -0.05839 0.33761 0.51586 0.03442 0.863
-0.38618 -0.05847 0.33808 0.51658 0.03623 0.791
-0.38672 -0.05855 0.33855 0.51730 0.03804 0.808
-0.38726 -0.05863 0.33902 0.51801 0.03986 0.765
-0.38779 -0.05871 0.33949 0.51873 0.04167 0.776
-0.38833 -0.05879 0.33996 0.51945 0.04348 0.833
-0.38887 -0.05887 0.34043 0.52017 0.04529 0.766
-0.38941 -0.05895 0.34090 0.52089 0.04711 0.853
-0.38994 -0.05904 0.34137 0.52161 0.04892 0.836
-0.39048 -0.05912 0.34184 0.52232 0.05073 0.729
-0.39102 -0.05920 0.34231 0.52304 0.05254 0.644
-0.39155 -0.05928 0.34278 0.52376 0.05436 0.688
-0.39209 -0.05936 0.34325 0.52448 0.05617 0.703
-0.39263 -0.05944 0.34372 0.52520 0.05798 0.734
-0.39317 -0.05952 0.34419 0.52592 0.05980 0.822
-0.39370 -0.05961 0.34466 0.52664 0.06161 0.741
-0.39424 -0.05969 0.34513 0.52735 0.06342 0.729
-0.39478 -0.05977 0.34560 0.52807 0.06524 0.870
