x y z dist_scaled dist_frac absorption
-0.37583 -0.05690 0.32901 0.50273 0.00000 -0.112
-0.37636 -0.05698 0.32948 0.50344 0.00181 -0.057
-0.37690 -0.05706 0.32995 0.50416 0.00362 0.020
-0.37744 -0.05714 0.33042 0.50488 0.00543 -0.050
-0.37797 -0.05722 0.33089 0.50560 0.00724 -0.315
-0.37851 -0.05731 0.33136 0.50631 0.00906 -0.075
-0.37905 -0.05739 0.33183 0.50703 0.01087 -0.063
-0.37958 -0.05747 0.33230 0.50775 0.01268 -0.078
-0.38012 -0.05755 0.33277 0.50847 0.01449 -0.207
-0.38066 -0.05763 0.33324 0.50918 0.01630 -0.022
-0.38119 -0.05771 0.33371 0.50990 0.01811 0.076
-0.38173 -0.05779 0.33418 0.51062 0.01992 0.061
-0.38227 -0.05787 0.33465 0.51134 0.02174 0.217
-0.38280 -0.05796 0.33512 0.51206 0.02355 0.298
-0.38334 -0.05804 0.33559 0.51277 0.02536 0.164
-0.38388 -0.05812 0.33606 0.51349 0.02717 0.251
-0.38441 -0.05820 0.33653 0.51421 0.02898 0.269
-0.38495 -0.05828 0.33700 0.51493 0.03080 0.216
-0.38549 -0.05836 0.33747 0.51565 0.03261 0.191
-0.38602 -0.05844 0.33794 0.51636 0.03442 0.217
-0.38656 -0.05852 0.33841 0.51708 0.03623 0.185
-0.38710 -0.05861 0.33888 0.51780 0.03804 0.193
-0.38763 -0.05869 0.33935 0.51852 0.03986 0.260
-0.38817 -0.05877 0.33982 0.51924 0.04167 0.185
-0.38871 -0.05885 0.34029 0.51995 0.04348 0.188
-0.38925 -0.05893 0.34076 0.52067 0.04529 0.171
-0.38978 -0.05901 0.34123 0.52139 0.04711 0.206
-0.39032 -0.05909 0.34170 0.52211 0.04892 0.244
-0.39086 -0.05917 0.34217 0.52283 0.05073 0.376
-0.39139 -0.05926 0.34264 0.52355 0.05254 0.283
-0.39193 -0.05934 0.34311 0.52426 0.05436 0.303
-0.39247 -0.05942 0.34358 0.52498 0.05617 0.253
-0.39300 -0.05950 0.34405 0.52570 0.05798 0.157
-0.39354 -0.05958 0.34452 0.52642 0.05980 0.305
-0.39408 -0.05966 0.34499 0.52714 0.06161 0.250
-0.39462 -0.05974 0.34546 0.52786 0.06342 0.167
-0.39515 -0.05982 0.34593 0.52857 0.06524 0.104
-0.39569 -0.05991 0.34640 0.52929 0.06705 0.125
-0.39623 -0.05999 0.34687 0.53001 0.06886 0.161
-0.39676 -0.06007 0.34734 0.53073 0.07068 -0.022
-0.39730 -0.06015 0.34781 0.53145 0.07249 0.123
-0.39784 -0.06023 0.34828 0.53217 0.07430 0.116
-0.39838 -0.06031 0.34875 0.53289 0.07612 0.040
-0.39891 -0.06039 0.34922 0.53360 0.07793 0.167
-0.39945 -0.06048 0.34969 0.53432 0.07974 -0.077
-0.39999 -0.06056 0.35016 0.53504 0.08156 -0.026
-0.40052 -0.06064 0.35063 0.53576 0.08337 -0.018
-0.40106 -0.06072 0.35110 0.53648 0.08518 -0.052
-0.40160 -0.06080 0.35157 0.53720 0.08700 0.083
-0.40214 -0.06088 0.35204 0.53792 0.08881 0.066
-0.40267 -0.06096 0.35251 0.53864 0.09063 -0.061
-0.40321 -0.06104 0.35298 0.53935 0.09244 0.013
-0.40375 -0.06113 0.35345 0.54007 0.09426 0.045
-0.40429 -0.06121 0.35392 0.54079 0.09607 0.068
-0.40482 -0.06129 0.35439 0.54151 0.09788 0.050
-0.40536 -0.06137 0.35487 0.54223 0.09970 -0.054
-0.40590 -0.06145 0.35534 0.54295 0.10151 -0.104
-0.40644 -0.06153 0.35581 0.54367 0.10333 -0.005
-0.40697 -0.06161 0.35628 0.54439 0.10514 0.004
-0.40751 -0.06170 0.35675 0.54511 0.10696 -0.132
-0.40805 -0.06178 0.35722 0.54582 0.10877 0.110
-0.40859 -0.06186 0.35769 0.54654 0.11059 -0.025
-0.40912 -0.06194 0.35816 0.54726 0.11240 -0.013
-0.40966 -0.06202 0.35863 0.54798 0.11422 -0.007
-0.41020 -0.06210 0.35910 0.54870 0.11603 -0.128
-0.41074 -0.06218 0.35957 0.54942 0.11785 0.112
-0.41127 -0.06227 0.36004 0.55014 0.11966 -0.019
-0.41181 -0.06235 0.36051 0.55086 0.12148 -0.084
-0.41235 -0.06243 0.36098 0.55158 0.12329 -0.012
-0.41289 -0.06251 0.36145 0.55230 0.12511 0.090
-0.41342 -0.06259 0.36193 0.55302 0.12692 0.121
-0.41396 -0.06267 0.36240 0.55374 0.12874 0.072
-0.41450 -0.06275 0.36287 0.55446 0.13055 0.098
-0.41504 -0.06284 0.36334 0.55517 0.13237 0.059
-0.41558 -0.06292 0.36381 0.55589 0.13418 0.045
-0.41611 -0.06300 0.36428 0.55661 0.13600 -0.024
-0.41665 -0.06308 0.36475 0.55733 0.13782 0.027
-0.41719 -0.06316 0.36522 0.55805 0.13963 0.028
-0.41773 -0.06324 0.36569 0.55877 0.14145 -0.131
-0.41827 -0.06332 0.36616 0.55949 0.14326 0.140
-0.41880 -0.06341 0.36663 0.56021 0.14508 0.131
-0.41934 -0.06349 0.36710 0.56093 0.14689 0.047
-0.41988 -0.06357 0.36758 0.56165 0.14871 0.033
-0.42042 -0.06365 0.36805 0.56237 0.15053 0.024
-0.42096 -0.06373 0.36852 0.56309 0.15234 0.050
-0.42149 -0.06381 0.36899 0.56381 0.15416 0.080
-0.42203 -0.06389 0.36946 0.56453 0.15598 0.171
-0.42257 -0.06398 0.36993 0.56525 0.15779 -0.003
-0.42311 -0.06406 0.37040 0.56597 0.15961 0.072
-0.42365 -0.06414 0.37087 0.56669 0.16143 0.044
-0.42418 -0.06422 0.37134 0.56741 0.16324 0.064
-0.42472 -0.06430 0.37181 0.56813 0.16506 -0.076
-0.42526 -0.06438 0.37229 0.56885 0.16688 -0.150
-0.42580 -0.06446 0.37276 0.56957 0.16869 -0.071
-0.42634 -0.06455 0.37323 0.57029 0.17051 -0.045
-0.42687 -0.06463 0.37370 0.57101 0.17233 0.104
-0.42741 -0.06471 0.37417 0.57173 0.17414 -0.050
-0.42795 -0.06479 0.37464 0.57245 0.17596 -0.049
-0.42849 -0.06487 0.37511 0.57317 0.17778 0.034
-0.42903 -0.06495 0.37558 0.57389 0.17959 0.011
-0.42957 -0.06503 0.37606 0.57461 0.18141 0.018
-0.43010 -0.06512 0.37653 0.57533 0.18323 0.078
-0.43064 -0.06520 0.37700 0.57605 0.18505 0.054
-0.43118 -0.06528 0.37747 0.57677 0.18686 -0.014
-0.43172 -0.06536 0.37794 0.57749 0.18868 0.011
-0.43226 -0.06544 0.37841 0.57821 0.19050 -0.031
-0.43280 -0.06552 0.37888 0.57893 0.19232 0.015
-0.43333 -0.06561 0.37935 0.57965 0.19413 0.020
-0.43387 -0.06569 0.37983 0.58037 0.19595 -0.103
-0.43441 -0.06577 0.38030 0.58109 0.19777 -0.002
-0.43495 -0.06585 0.38077 0.58181 0.19959 -0.019
-0.43549 -0.06593 0.38124 0.58253 0.20141 0.029
-0.43603 -0.06601 0.38171 0.58325 0.20322 -0.070
-0.43657 -0.06609 0.38218 0.58397 0.20504 -0.103
-0.43710 -0.06618 0.38265 0.58469 0.20686 0.054
-0.43764 -0.06626 0.38313 0.58541 0.20868 -0.002
-0.43818 -0.06634 0.38360 0.58613 0.21050 0.091
-0.43872 -0.06642 0.38407 0.58685 0.21231 0.173
-0.43926 -0.06650 0.38454 0.58757 0.21413 0.124
-0.43980 -0.06658 0.38501 0.58829 0.21595 0.003
-0.44034 -0.06667 0.38548 0.58901 0.21777 -0.067
-0.44087 -0.06675 0.38596 0.58973 0.21959 -0.001
-0.44141 -0.06683 0.38643 0.59046 0.22141 0.105
-0.44195 -0.06691 0.38690 0.59118 0.22323 0.011
-0.44249 -0.06699 0.38737 0.59190 0.22504 0.063
-0.44303 -0.06707 0.38784 0.59262 0.22686 0.082
-0.44357 -0.06715 0.38831 0.59334 0.22868 -0.117
-0.44411 -0.06724 0.38879 0.59406 0.23050 -0.020
-0.44465 -0.06732 0.38926 0.59478 0.23232 -0.040
-0.44518 -0.06740 0.38973 0.59550 0.23414 -0.092
-0.44572 -0.06748 0.39020 0.59622 0.23596 0.026
-0.44626 -0.06756 0.39067 0.59694 0.23778 0.038
-0.44680 -0.06764 0.39114 0.59766 0.23960 -0.013
-0.44734 -0.06773 0.39162 0.59838 0.24142 -0.078
-0.44788 -0.06781 0.39209 0.59910 0.24324 0.033
