x y z dist_scaled dist_frac absorption
-0.36417 0.21065 0.27434 0.50225 0.00000 0.016
-0.36469 0.21095 0.27473 0.50296 0.00181 0.073
-0.36521 0.21125 0.27512 0.50368 0.00362 0.049
-0.36573 0.21155 0.27551 0.50440 0.00543 -0.067
-0.36625 0.21185 0.27590 0.50512 0.00724 0.029
-0.36677 0.21216 0.27630 0.50584 0.00906 0.097
-0.36729 0.21246 0.27669 0.50655 0.01087 -0.049
-0.36781 0.21276 0.27708 0.50727 0.01268 -0.005
-0.36833 0.21306 0.27747 0.50799 0.01449 0.062
-0.36885 0.21336 0.27786 0.50871 0.01630 -0.109
-0.36937 0.21366 0.27826 0.50942 0.01811 0.085
-0.36989 0.21396 0.27865 0.51014 0.01992 -0.082
-0.37041 0.21426 0.27904 0.51086 0.02174 -0.040
-0.37093 0.21456 0.27943 0.51158 0.02355 -0.010
-0.37145 0.21486 0.27982 0.51230 0.02536 -0.081
-0.37198 0.21517 0.28022 0.51301 0.02717 0.011
-0.37250 0.21547 0.28061 0.51373 0.02898 0.050
-0.37302 0.21577 0.28100 0.51445 0.03080 0.000
-0.37354 0.21607 0.28139 0.51517 0.03261 -0.035
-0.37406 0.21637 0.28178 0.51589 0.03442 0.111
-0.37458 0.21667 0.28218 0.51660 0.03623 -0.024
-0.37510 0.21697 0.28257 0.51732 0.03804 -0.078
-0.37562 0.21727 0.28296 0.51804 0.03986 0.034
-0.37614 0.21757 0.28335 0.51876 0.04167 0.060
-0.37666 0.21788 0.28375 0.51948 0.04348 0.063
-0.37718 0.21818 0.28414 0.52019 0.04529 -0.040
-0.37770 0.21848 0.28453 0.52091 0.04711 0.213
-0.37822 0.21878 0.28492 0.52163 0.04892 0.012
-0.37874 0.21908 0.28531 0.52235 0.05073 0.087
-0.37926 0.21938 0.28571 0.52307 0.05254 0.052
-0.37979 0.21968 0.28610 0.52379 0.05436 0.115
-0.38031 0.21998 0.28649 0.52450 0.05617 0.054
-0.38083 0.22029 0.28688 0.52522 0.05798 -0.039
-0.38135 0.22059 0.28728 0.52594 0.05980 -0.002
-0.38187 0.22089 0.28767 0.52666 0.06161 -0.073
-0.38239 0.22119 0.28806 0.52738 0.06342 0.058
-0.38291 0.22149 0.28845 0.52810 0.06524 -0.028
-0.38343 0.22179 0.28885 0.52881 0.06705 -0.049
-0.38395 0.22209 0.28924 0.52953 0.06886 -0.006
-0.38447 0.22240 0.28963 0.53025 0.07068 -0.022
-0.38499 0.22270 0.29002 0.53097 0.07249 0.055
