x y z dist_scaled dist_frac flux_norm
0.23615 -0.22038 0.38456 0.50222 0.00000 0.844
0.23649 -0.22070 0.38511 0.50294 0.00181 0.919
0.23683 -0.22101 0.38566 0.50365 0.00362 0.897
0.23717 -0.22133 0.38621 0.50437 0.00543 0.890
0.23750 -0.22164 0.38676 0.50509 0.00724 0.770
0.23784 -0.22195 0.38731 0.50581 0.00906 0.943
0.23818 -0.22227 0.38786 0.50653 0.01087 1.003
0.23852 -0.22258 0.38841 0.50724 0.01268 0.928
0.23885 -0.22290 0.38896 0.50796 0.01449 1.071
0.23919 -0.22322 0.38951 0.50868 0.01630 0.823
0.23953 -0.22353 0.39006 0.50940 0.01811 1.132
0.23987 -0.22385 0.39061 0.51012 0.01992 0.966
0.24020 -0.22416 0.39116 0.51083 0.02174 1.079
0.24054 -0.22448 0.39171 0.51155 0.02355 0.846
0.24088 -0.22479 0.39226 0.51227 0.02536 1.095
0.24122 -0.22511 0.39281 0.51299 0.02717 0.831
0.24155 -0.22542 0.39336 0.51371 0.02898 0.862
0.24189 -0.22574 0.39391 0.51442 0.03080 0.840
0.24223 -0.22605 0.39446 0.51514 0.03261 0.983
0.24257 -0.22637 0.39501 0.51586 0.03442 0.946
0.24291 -0.22668 0.39556 0.51658 0.03623 1.180
0.24324 -0.22700 0.39611 0.51730 0.03804 1.082
0.24358 -0.22731 0.39666 0.51801 0.03986 1.135
0.24392 -0.22763 0.39721 0.51873 0.04167 1.181
0.24426 -0.22794 0.39776 0.51945 0.04348 1.009
0.24459 -0.22826 0.39831 0.52017 0.04529 0.951
0.24493 -0.22857 0.39886 0.52089 0.04711 1.036
0.24527 -0.22889 0.39941 0.52161 0.04892 1.057
0.24561 -0.22920 0.39996 0.52232 0.05073 0.957
0.24595 -0.22952 0.40051 0.52304 0.05254 0.854
0.24628 -0.22983 0.40106 0.52376 0.05436 1.121
0.24662 -0.23015 0.40161 0.52448 0.05617 1.026
0.24696 -0.23046 0.40216 0.52520 0.05798 1.057
0.24730 -0.23078 0.40271 0.52592 0.05980 0.983
0.24763 -0.23109 0.40326 0.52664 0.06161 0.885
0.24797 -0.23141 0.40381 0.52735 0.06342 0.866
0.24831 -0.23172 0.40436 0.52807 0.06524 0.826
0.24865 -0.23204 0.40491 0.52879 0.06705 1.074
