x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.09685 -0.02737 0.49255 0.50273 0.00000 0.904 0.046 1574.240 0.01682
0.09699 -0.02740 0.49325 0.50344 0.00181 1.007 0.049 1574.277 0.01685
0.09713 -0.02744 0.49395 0.50416 0.00362 0.915 0.047 1574.314 0.01687
0.09727 -0.02748 0.49466 0.50488 0.00543 0.993 0.049 1574.350 0.01689
0.09741 -0.02752 0.49536 0.50560 0.00724 1.045 0.050 1574.387 0.01692
0.09754 -0.02756 0.49606 0.50631 0.00906 0.898 0.046 1574.424 0.01694
0.09768 -0.02760 0.49677 0.50703 0.01087 1.001 0.049 1574.461 0.01697
0.09782 -0.02764 0.49747 0.50775 0.01268 0.953 0.048 1574.497 0.01699
0.09796 -0.02768 0.49817 0.50847 0.01449 0.960 0.048 1574.534 0.01701
0.09810 -0.02772 0.49888 0.50918 0.01630 1.037 0.050 1574.571 0.01704
0.09824 -0.02776 0.49958 0.50990 0.01811 0.943 0.048 1574.607 0.01706
0.09837 -0.02780 0.50028 0.51062 0.01992 0.917 0.047 1574.644 0.01708
0.09851 -0.02783 0.50099 0.51134 0.02174 0.956 0.048 1574.681 0.01711
0.09865 -0.02787 0.50169 0.51206 0.02355 1.040 0.050 1574.718 0.01713
0.09879 -0.02791 0.50239 0.51277 0.02536 0.942 0.048 1574.754 0.01715
0.09893 -0.02795 0.50310 0.51349 0.02717 0.952 0.048 1574.791 0.01718
0.09907 -0.02799 0.50380 0.51421 0.02898 0.874 0.046 1574.828 0.01720
0.09920 -0.02803 0.50450 0.51493 0.03080 0.923 0.047 1574.864 0.01723
0.09934 -0.02807 0.50521 0.51565 0.03261 0.951 0.048 1574.901 0.01725
0.09948 -0.02811 0.50591 0.51636 0.03442 1.096 0.051 1574.938 0.01727
0.09962 -0.02815 0.50661 0.51708 0.03623 0.971 0.048 1574.975 0.01730
0.09976 -0.02819 0.50732 0.51780 0.03804 0.976 0.048 1575.011 0.01732
0.09990 -0.02823 0.50802 0.51852 0.03986 1.075 0.051 1575.048 0.01734
0.10003 -0.02826 0.50872 0.51924 0.04167 0.984 0.049 1575.085 0.01737
0.10017 -0.02830 0.50943 0.51995 0.04348 0.967 0.048 1575.121 0.01739
0.10031 -0.02834 0.51013 0.52067 0.04529 0.958 0.048 1575.158 0.01742
0.10045 -0.02838 0.51084 0.52139 0.04711 1.162 0.053 1575.195 0.01744
0.10059 -0.02842 0.51154 0.52211 0.04892 1.116 0.052 1575.232 0.01746
0.10073 -0.02846 0.51224 0.52283 0.05073 0.914 0.047 1575.268 0.01749
0.10086 -0.02850 0.51295 0.52355 0.05254 0.917 0.047 1575.305 0.01751
0.10100 -0.02854 0.51365 0.52426 0.05436 0.991 0.049 1575.342 0.01753
0.10114 -0.02858 0.51435 0.52498 0.05617 1.137 0.052 1575.378 0.01756
0.10128 -0.02862 0.51506 0.52570 0.05798 1.061 0.051 1575.415 0.01758
0.10142 -0.02866 0.51576 0.52642 0.05980 0.995 0.049 1575.452 0.01761
0.10156 -0.02869 0.51647 0.52714 0.06161 0.936 0.047 1575.489 0.01763
0.10169 -0.02873 0.51717 0.52786 0.06342 0.993 0.049 1575.525 0.01765
0.10183 -0.02877 0.51787 0.52857 0.06524 1.088 0.051 1575.562 0.01768
0.10197 -0.02881 0.51858 0.52929 0.06705 0.970 0.048 1575.599 0.01770
0.10211 -0.02885 0.51928 0.53001 0.06886 0.942 0.048 1575.635 0.01772
0.10225 -0.02889 0.51999 0.53073 0.07068 1.003 0.049 1575.672 0.01775
0.10239 -0.02893 0.52069 0.53145 0.07249 0.972 0.048 1575.709 0.01777
0.10253 -0.02897 0.52139 0.53217 0.07430 1.097 0.051 1575.746 0.01780
0.10266 -0.02901 0.52210 0.53289 0.07612 1.033 0.050 1575.782 0.01782
0.10280 -0.02905 0.52280 0.53360 0.07793 0.924 0.047 1575.819 0.01784
0.10294 -0.02909 0.52351 0.53432 0.07974 0.978 0.049 1575.856 0.01787
0.10308 -0.02912 0.52421 0.53504 0.08156 0.992 0.049 1575.892 0.01789
0.10322 -0.02916 0.52491 0.53576 0.08337 0.978 0.049 1575.929 0.01791
0.10336 -0.02920 0.52562 0.53648 0.08518 0.937 0.048 1575.966 0.01794
0.10349 -0.02924 0.52632 0.53720 0.08700 0.895 0.047 1576.003 0.01796
0.10363 -0.02928 0.52703 0.53792 0.08881 0.912 0.047 1576.039 0.01798
0.10377 -0.02932 0.52773 0.53864 0.09063 1.004 0.049 1576.076 0.01801
0.10391 -0.02936 0.52844 0.53935 0.09244 0.956 0.048 1576.113 0.01803
0.10405 -0.02940 0.52914 0.54007 0.09426 1.001 0.049 1576.149 0.01806
0.10419 -0.02944 0.52984 0.54079 0.09607 0.945 0.048 1576.186 0.01808
0.10433 -0.02948 0.53055 0.54151 0.09788 0.977 0.049 1576.223 0.01810
0.10446 -0.02952 0.53125 0.54223 0.09970 0.966 0.048 1576.260 0.01813
0.10460 -0.02956 0.53196 0.54295 0.10151 0.972 0.049 1576.296 0.01815
0.10474 -0.02959 0.53266 0.54367 0.10333 0.925 0.047 1576.333 0.01817
0.10488 -0.02963 0.53337 0.54439 0.10514 1.060 0.051 1576.370 0.01820
0.10502 -0.02967 0.53407 0.54511 0.10696 1.064 0.051 1576.406 0.01822
0.10516 -0.02971 0.53477 0.54582 0.10877 1.011 0.050 1576.443 0.01825
0.10530 -0.02975 0.53548 0.54654 0.11059 1.039 0.050 1576.480 0.01827
0.10543 -0.02979 0.53618 0.54726 0.11240 0.992 0.049 1576.517 0.01829
0.10557 -0.02983 0.53689 0.54798 0.11422 1.022 0.050 1576.553 0.01832
0.10571 -0.02987 0.53759 0.54870 0.11603 1.017 0.050 1576.590 0.01834
0.10585 -0.02991 0.53830 0.54942 0.11785 1.001 0.049 1576.627 0.01836
0.10599 -0.02995 0.53900 0.55014 0.11966 0.918 0.047 1576.663 0.01839
0.10613 -0.02999 0.53971 0.55086 0.12148 1.038 0.050 1576.700 0.01841
0.10627 -0.03003 0.54041 0.55158 0.12329 1.024 0.050 1576.737 0.01844
0.10640 -0.03006 0.54112 0.55230 0.12511 0.957 0.048 1576.774 0.01846
0.10654 -0.03010 0.54182 0.55302 0.12692 0.982 0.049 1576.810 0.01848
0.10668 -0.03014 0.54253 0.55374 0.12874 1.067 0.051 1576.847 0.01851
0.10682 -0.03018 0.54323 0.55446 0.13055 1.050 0.051 1576.884 0.01853
0.10696 -0.03022 0.54394 0.55517 0.13237 0.991 0.049 1576.920 0.01855
0.10710 -0.03026 0.54464 0.55589 0.13418 0.973 0.049 1576.957 0.01858
0.10724 -0.03030 0.54535 0.55661 0.13600 0.955 0.048 1576.994 0.01860
0.10737 -0.03034 0.54605 0.55733 0.13782 0.953 0.048 1577.031 0.01863
0.10751 -0.03038 0.54676 0.55805 0.13963 1.041 0.050 1577.067 0.01865
0.10765 -0.03042 0.54746 0.55877 0.14145 0.941 0.048 1577.104 0.01867
0.10779 -0.03046 0.54816 0.55949 0.14326 0.974 0.049 1577.141 0.01870
0.10793 -0.03050 0.54887 0.56021 0.14508 0.867 0.046 1577.177 0.01872
0.10807 -0.03053 0.54957 0.56093 0.14689 0.919 0.047 1577.214 0.01874
0.10821 -0.03057 0.55028 0.56165 0.14871 0.957 0.048 1577.251 0.01877
0.10834 -0.03061 0.55099 0.56237 0.15053 0.955 0.048 1577.287 0.01879
0.10848 -0.03065 0.55169 0.56309 0.15234 0.845 0.045 1577.324 0.01881
0.10862 -0.03069 0.55240 0.56381 0.15416 0.983 0.049 1577.361 0.01884
0.10876 -0.03073 0.55310 0.56453 0.15598 1.001 0.050 1577.398 0.01886
0.10890 -0.03077 0.55381 0.56525 0.15779 0.981 0.049 1577.434 0.01889
0.10904 -0.03081 0.55451 0.56597 0.15961 1.037 0.050 1577.471 0.01891
0.10918 -0.03085 0.55522 0.56669 0.16143 1.130 0.053 1577.508 0.01893
0.10931 -0.03089 0.55592 0.56741 0.16324 1.073 0.051 1577.544 0.01896
0.10945 -0.03093 0.55663 0.56813 0.16506 1.015 0.050 1577.581 0.01898
0.10959 -0.03097 0.55733 0.56885 0.16688 0.970 0.049 1577.618 0.01900
0.10973 -0.03100 0.55804 0.56957 0.16869 1.006 0.050 1577.655 0.01903
0.10987 -0.03104 0.55874 0.57029 0.17051 1.001 0.050 1577.691 0.01905
0.11001 -0.03108 0.55945 0.57101 0.17233 0.870 0.046 1577.728 0.01908
0.11015 -0.03112 0.56015 0.57173 0.17414 0.999 0.050 1577.765 0.01910
0.11029 -0.03116 0.56086 0.57245 0.17596 0.919 0.048 1577.801 0.01912
0.11042 -0.03120 0.56156 0.57317 0.17778 0.974 0.049 1577.838 0.01915
0.11056 -0.03124 0.56227 0.57389 0.17959 0.927 0.048 1577.875 0.01917
0.11070 -0.03128 0.56297 0.57461 0.18141 0.970 0.049 1577.912 0.01919
0.11084 -0.03132 0.56368 0.57533 0.18323 0.980 0.049 1577.948 0.01922
0.11098 -0.03136 0.56439 0.57605 0.18505 1.029 0.050 1577.985 0.01924
0.11112 -0.03140 0.56509 0.57677 0.18686 0.994 0.049 1578.022 0.01927
0.11126 -0.03144 0.56580 0.57749 0.18868 0.964 0.049 1578.058 0.01929
0.11140 -0.03147 0.56650 0.57821 0.19050 1.070 0.051 1578.095 0.01931
0.11153 -0.03151 0.56721 0.57893 0.19232 0.901 0.047 1578.132 0.01934
0.11167 -0.03155 0.56791 0.57965 0.19413 1.013 0.050 1578.169 0.01936
0.11181 -0.03159 0.56862 0.58037 0.19595 1.026 0.050 1578.205 0.01938
0.11195 -0.03163 0.56933 0.58109 0.19777 1.044 0.051 1578.242 0.01941
0.11209 -0.03167 0.57003 0.58181 0.19959 0.951 0.048 1578.279 0.01943
0.11223 -0.03171 0.57074 0.58253 0.20141 0.984 0.049 1578.315 0.01946
0.11237 -0.03175 0.57144 0.58325 0.20322 0.959 0.049 1578.352 0.01948
0.11251 -0.03179 0.57215 0.58397 0.20504 1.068 0.051 1578.389 0.01950
0.11264 -0.03183 0.57285 0.58469 0.20686 0.995 0.050 1578.426 0.01953
0.11278 -0.03187 0.57356 0.58541 0.20868 0.891 0.047 1578.462 0.01955
0.11292 -0.03191 0.57427 0.58613 0.21050 1.019 0.050 1578.499 0.01957
0.11306 -0.03195 0.57497 0.58685 0.21231 1.016 0.050 1578.536 0.01960
0.11320 -0.03198 0.57568 0.58757 0.21413 1.034 0.051 1578.572 0.01962
0.11334 -0.03202 0.57638 0.58829 0.21595 1.048 0.051 1578.609 0.01964
0.11348 -0.03206 0.57709 0.58901 0.21777 0.963 0.049 1578.646 0.01967
0.11362 -0.03210 0.57780 0.58973 0.21959 1.036 0.051 1578.683 0.01969
0.11376 -0.03214 0.57850 0.59046 0.22141 1.080 0.052 1578.719 0.01972
0.11389 -0.03218 0.57921 0.59118 0.22323 0.973 0.049 1578.756 0.01974
0.11403 -0.03222 0.57991 0.59190 0.22504 1.088 0.052 1578.793 0.01976
0.11417 -0.03226 0.58062 0.59262 0.22686 0.911 0.048 1578.829 0.01979
0.11431 -0.03230 0.58133 0.59334 0.22868 1.009 0.050 1578.866 0.01981
0.11445 -0.03234 0.58203 0.59406 0.23050 0.871 0.046 1578.903 0.01983
0.11459 -0.03238 0.58274 0.59478 0.23232 0.861 0.046 1578.940 0.01986
0.11473 -0.03242 0.58344 0.59550 0.23414 0.877 0.047 1578.976 0.01988
0.11487 -0.03246 0.58415 0.59622 0.23596 0.867 0.046 1579.013 0.01991
0.11500 -0.03249 0.58486 0.59694 0.23778 0.945 0.048 1579.050 0.01993
0.11514 -0.03253 0.58556 0.59766 0.23960 1.042 0.051 1579.086 0.01995
0.11528 -0.03257 0.58627 0.59838 0.24142 0.955 0.049 1579.123 0.01998
0.11542 -0.03261 0.58698 0.59910 0.24324 1.000 0.050 1579.160 0.02000
0.11556 -0.03265 0.58768 0.59983 0.24505 1.066 0.051 1579.197 0.02002
0.11570 -0.03269 0.58839 0.60055 0.24687 1.012 0.050 1579.233 0.02005
0.11584 -0.03273 0.58909 0.60127 0.24869 0.956 0.049 1579.270 0.02007
0.11598 -0.03277 0.58980 0.60199 0.25051 1.064 0.051 1579.307 0.02010
0.11612 -0.03281 0.59051 0.60271 0.25233 1.057 0.051 1579.343 0.02012
0.11625 -0.03285 0.59121 0.60343 0.25415 1.037 0.051 1579.380 0.02014
0.11639 -0.03289 0.59192 0.60415 0.25597 1.034 0.051 1579.417 0.02017
0.11653 -0.03293 0.59263 0.60487 0.25779 1.045 0.051 1579.454 0.02019
0.11667 -0.03297 0.59333 0.60559 0.25961 0.976 0.049 1579.490 0.02021
0.11681 -0.03300 0.59404 0.60631 0.26143 1.012 0.050 1579.527 0.02024
0.11695 -0.03304 0.59475 0.60704 0.26325 0.941 0.048 1579.564 0.02026
0.11709 -0.03308 0.59545 0.60776 0.26507 1.021 0.050 1579.600 0.02029
0.11723 -0.03312 0.59616 0.60848 0.26689 1.001 0.050 1579.637 0.02031
0.11737 -0.03316 0.59687 0.60920 0.26871 1.134 0.053 1579.674 0.02033
0.11751 -0.03320 0.59757 0.60992 0.27053 1.024 0.051 1579.711 0.02036
0.11764 -0.03324 0.59828 0.61064 0.27235 0.971 0.049 1579.747 0.02038
0.11778 -0.03328 0.59899 0.61136 0.27417 1.073 0.052 1579.784 0.02040
0.11792 -0.03332 0.59969 0.61209 0.27599 1.082 0.052 1579.821 0.02043
0.11806 -0.03336 0.60040 0.61281 0.27782 1.038 0.051 1579.857 0.02045
0.11820 -0.03340 0.60111 0.61353 0.27964 0.949 0.049 1579.894 0.02047
0.11834 -0.03344 0.60181 0.61425 0.28146 0.886 0.047 1579.931 0.02050
0.11848 -0.03348 0.60252 0.61497 0.28328 0.916 0.048 1579.968 0.02052
0.11862 -0.03352 0.60323 0.61569 0.28510 0.925 0.048 1580.004 0.02055
0.11876 -0.03355 0.60393 0.61641 0.28692 0.904 0.048 1580.041 0.02057
0.11890 -0.03359 0.60464 0.61714 0.28874 0.926 0.048 1580.078 0.02059
0.11903 -0.03363 0.60535 0.61786 0.29056 0.987 0.050 1580.114 0.02062
0.11917 -0.03367 0.60606 0.61858 0.29238 0.926 0.048 1580.151 0.02064
0.11931 -0.03371 0.60676 0.61930 0.29420 1.027 0.051 1580.188 0.02066
0.11945 -0.03375 0.60747 0.62002 0.29602 0.933 0.048 1580.225 0.02069
0.11959 -0.03379 0.60818 0.62074 0.29785 0.993 0.050 1580.261 0.02071
0.11973 -0.03383 0.60888 0.62146 0.29967 1.049 0.051 1580.298 0.02074
0.11987 -0.03387 0.60959 0.62219 0.30149 1.011 0.050 1580.335 0.02076
0.12001 -0.03391 0.61030 0.62291 0.30331 1.068 0.052 1580.371 0.02078
0.12015 -0.03395 0.61100 0.62363 0.30513 0.970 0.049 1580.408 0.02081
0.12029 -0.03399 0.61171 0.62435 0.30695 1.043 0.051 1580.445 0.02083
0.12042 -0.03403 0.61242 0.62507 0.30877 0.834 0.046 1580.482 0.02085
0.12056 -0.03407 0.61313 0.62580 0.31060 0.984 0.050 1580.518 0.02088
0.12070 -0.03410 0.61383 0.62652 0.31242 0.848 0.046 1580.555 0.02090
0.12084 -0.03414 0.61454 0.62724 0.31424 0.951 0.049 1580.592 0.02093
0.12098 -0.03418 0.61525 0.62796 0.31606 0.871 0.047 1580.628 0.02095
0.12112 -0.03422 0.61596 0.62868 0.31788 0.983 0.050 1580.665 0.02097
0.12126 -0.03426 0.61666 0.62941 0.31971 0.929 0.048 1580.702 0.02100
0.12140 -0.03430 0.61737 0.63013 0.32153 0.953 0.049 1580.739 0.02102
0.12154 -0.03434 0.61808 0.63085 0.32335 0.911 0.048 1580.775 0.02104
0.12168 -0.03438 0.61879 0.63157 0.32517 1.046 0.051 1580.812 0.02107
0.12182 -0.03442 0.61949 0.63229 0.32699 0.994 0.050 1580.849 0.02109
0.12195 -0.03446 0.62020 0.63302 0.32882 0.899 0.048 1580.885 0.02112
0.12209 -0.03450 0.62091 0.63374 0.33064 1.008 0.050 1580.922 0.02114
0.12223 -0.03454 0.62161 0.63446 0.33246 0.910 0.048 1580.959 0.02116
0.12237 -0.03458 0.62232 0.63518 0.33428 1.024 0.051 1580.996 0.02119
0.12251 -0.03462 0.62303 0.63590 0.33611 0.952 0.049 1581.032 0.02121
0.12265 -0.03465 0.62374 0.63663 0.33793 0.970 0.050 1581.069 0.02123
0.12279 -0.03469 0.62445 0.63735 0.33975 0.895 0.048 1581.106 0.02126
0.12293 -0.03473 0.62515 0.63807 0.34158 0.963 0.049 1581.142 0.02128
0.12307 -0.03477 0.62586 0.63879 0.34340 0.935 0.049 1581.179 0.02130
0.12321 -0.03481 0.62657 0.63952 0.34522 1.014 0.051 1581.216 0.02133
0.12335 -0.03485 0.62728 0.64024 0.34704 0.955 0.049 1581.253 0.02135
0.12349 -0.03489 0.62798 0.64096 0.34887 0.951 0.049 1581.289 0.02138
0.12362 -0.03493 0.62869 0.64168 0.35069 0.909 0.048 1581.326 0.02140
0.12376 -0.03497 0.62940 0.64240 0.35251 1.008 0.051 1581.363 0.02142
0.12390 -0.03501 0.63011 0.64313 0.35434 0.993 0.050 1581.399 0.02145
0.12404 -0.03505 0.63081 0.64385 0.35616 0.982 0.050 1581.436 0.02147
0.12418 -0.03509 0.63152 0.64457 0.35798 0.929 0.049 1581.473 0.02149
0.12432 -0.03513 0.63223 0.64529 0.35981 1.024 0.055 1581.510 0.02152
0.12446 -0.03517 0.63294 0.64602 0.36163 0.846 0.057 1581.546 0.02154
0.12460 -0.03521 0.63365 0.64674 0.36345 1.002 0.062 1581.583 0.02157
0.12474 -0.03524 0.63435 0.64746 0.36528 1.080 0.064 1581.620 0.02159
0.12488 -0.03528 0.63506 0.64818 0.36710 0.933 0.059 1581.656 0.02161
0.12502 -0.03532 0.63577 0.64891 0.36892 1.015 0.062 1581.693 0.02164
0.12516 -0.03536 0.63648 0.64963 0.37075 1.058 0.063 1581.730 0.02166
0.12529 -0.03540 0.63719 0.65035 0.37257 0.863 0.057 1581.767 0.02168
0.12543 -0.03544 0.63789 0.65108 0.37440 0.924 0.059 1581.803 0.02171
0.12557 -0.03548 0.63860 0.65180 0.37622 1.006 0.062 1581.840 0.02173
0.12571 -0.03552 0.63931 0.65252 0.37804 1.057 0.063 1581.877 0.02176
0.12585 -0.03556 0.64002 0.65324 0.37987 0.991 0.061 1581.913 0.02178
0.12599 -0.03560 0.64073 0.65397 0.38169 0.929 0.059 1581.950 0.02180
0.12613 -0.03564 0.64144 0.65469 0.38352 1.175 0.067 1581.987 0.02183
0.12627 -0.03568 0.64214 0.65541 0.38534 0.855 0.057 1582.024 0.02185
0.12641 -0.03572 0.64285 0.65613 0.38716 1.000 0.062 1582.060 0.02187
