x y z dist_scaled dist_frac flux_norm wavelength redshift
-0.02714 -0.15742 0.47667 0.50273 0.00000 1.114 1574.240 0.01682
-0.02718 -0.15764 0.47735 0.50344 0.00181 0.939 1574.277 0.01685
-0.02722 -0.15787 0.47803 0.50416 0.00362 0.806 1574.314 0.01687
-0.02726 -0.15809 0.47871 0.50488 0.00543 0.908 1574.350 0.01689
-0.02730 -0.15832 0.47939 0.50560 0.00724 1.032 1574.387 0.01692
-0.02734 -0.15854 0.48007 0.50631 0.00906 0.942 1574.424 0.01694
-0.02737 -0.15877 0.48075 0.50703 0.01087 0.952 1574.461 0.01697
-0.02741 -0.15899 0.48143 0.50775 0.01268 1.006 1574.497 0.01699
-0.02745 -0.15922 0.48212 0.50847 0.01449 1.019 1574.534 0.01701
-0.02749 -0.15944 0.48280 0.50918 0.01630 1.022 1574.571 0.01704
-0.02753 -0.15967 0.48348 0.50990 0.01811 0.990 1574.607 0.01706
-0.02757 -0.15989 0.48416 0.51062 0.01992 0.889 1574.644 0.01708
-0.02761 -0.16012 0.48484 0.51134 0.02174 0.985 1574.681 0.01711
-0.02765 -0.16034 0.48552 0.51206 0.02355 1.106 1574.718 0.01713
-0.02768 -0.16056 0.48620 0.51277 0.02536 0.968 1574.754 0.01715
-0.02772 -0.16079 0.48688 0.51349 0.02717 0.982 1574.791 0.01718
-0.02776 -0.16101 0.48756 0.51421 0.02898 1.058 1574.828 0.01720
-0.02780 -0.16124 0.48824 0.51493 0.03080 0.999 1574.864 0.01723
-0.02784 -0.16146 0.48892 0.51565 0.03261 0.874 1574.901 0.01725
-0.02788 -0.16169 0.48960 0.51636 0.03442 1.090 1574.938 0.01727
-0.02792 -0.16191 0.49028 0.51708 0.03623 1.047 1574.975 0.01730
-0.02796 -0.16214 0.49096 0.51780 0.03804 1.052 1575.011 0.01732
-0.02799 -0.16236 0.49165 0.51852 0.03986 0.959 1575.048 0.01734
-0.02803 -0.16259 0.49233 0.51924 0.04167 0.823 1575.085 0.01737
-0.02807 -0.16281 0.49301 0.51995 0.04348 1.045 1575.121 0.01739
-0.02811 -0.16304 0.49369 0.52067 0.04529 0.947 1575.158 0.01742
-0.02815 -0.16326 0.49437 0.52139 0.04711 0.914 1575.195 0.01744
-0.02819 -0.16349 0.49505 0.52211 0.04892 1.006 1575.232 0.01746
-0.02823 -0.16371 0.49573 0.52283 0.05073 0.994 1575.268 0.01749
-0.02827 -0.16394 0.49641 0.52355 0.05254 1.064 1575.305 0.01751
-0.02830 -0.16416 0.49709 0.52426 0.05436 1.020 1575.342 0.01753
-0.02834 -0.16439 0.49777 0.52498 0.05617 1.198 1575.378 0.01756
-0.02838 -0.16461 0.49846 0.52570 0.05798 0.939 1575.415 0.01758
-0.02842 -0.16484 0.49914 0.52642 0.05980 1.073 1575.452 0.01761
-0.02846 -0.16506 0.49982 0.52714 0.06161 0.906 1575.489 0.01763
-0.02850 -0.16529 0.50050 0.52786 0.06342 0.976 1575.525 0.01765
-0.02854 -0.16551 0.50118 0.52857 0.06524 0.889 1575.562 0.01768
-0.02858 -0.16574 0.50186 0.52929 0.06705 0.911 1575.599 0.01770
-0.02861 -0.16596 0.50254 0.53001 0.06886 0.889 1575.635 0.01772
-0.02865 -0.16619 0.50322 0.53073 0.07068 0.943 1575.672 0.01775
-0.02869 -0.16641 0.50391 0.53145 0.07249 1.066 1575.709 0.01777
-0.02873 -0.16664 0.50459 0.53217 0.07430 1.039 1575.746 0.01780
-0.02877 -0.16686 0.50527 0.53289 0.07612 0.990 1575.782 0.01782
-0.02881 -0.16709 0.50595 0.53360 0.07793 1.011 1575.819 0.01784
-0.02885 -0.16731 0.50663 0.53432 0.07974 0.925 1575.856 0.01787
-0.02889 -0.16754 0.50731 0.53504 0.08156 0.817 1575.892 0.01789
-0.02893 -0.16776 0.50799 0.53576 0.08337 0.978 1575.929 0.01791
-0.02896 -0.16799 0.50868 0.53648 0.08518 1.144 1575.966 0.01794
-0.02900 -0.16821 0.50936 0.53720 0.08700 0.939 1576.003 0.01796
-0.02904 -0.16844 0.51004 0.53792 0.08881 0.903 1576.039 0.01798
-0.02908 -0.16866 0.51072 0.53864 0.09063 0.978 1576.076 0.01801
-0.02912 -0.16889 0.51140 0.53935 0.09244 1.081 1576.113 0.01803
-0.02916 -0.16911 0.51208 0.54007 0.09426 0.873 1576.149 0.01806
-0.02920 -0.16934 0.51277 0.54079 0.09607 0.981 1576.186 0.01808
-0.02924 -0.16956 0.51345 0.54151 0.09788 0.873 1576.223 0.01810
-0.02927 -0.16979 0.51413 0.54223 0.09970 0.851 1576.260 0.01813
-0.02931 -0.17001 0.51481 0.54295 0.10151 0.809 1576.296 0.01815
-0.02935 -0.17024 0.51549 0.54367 0.10333 0.873 1576.333 0.01817
-0.02939 -0.17046 0.51617 0.54439 0.10514 0.901 1576.370 0.01820
-0.02943 -0.17069 0.51686 0.54511 0.10696 1.015 1576.406 0.01822
-0.02947 -0.17091 0.51754 0.54582 0.10877 0.958 1576.443 0.01825
-0.02951 -0.17114 0.51822 0.54654 0.11059 0.729 1576.480 0.01827
-0.02955 -0.17136 0.51890 0.54726 0.11240 0.865 1576.517 0.01829
-0.02958 -0.17159 0.51958 0.54798 0.11422 0.651 1576.553 0.01832
-0.02962 -0.17181 0.52026 0.54870 0.11603 0.900 1576.590 0.01834
-0.02966 -0.17204 0.52095 0.54942 0.11785 1.007 1576.627 0.01836
-0.02970 -0.17227 0.52163 0.55014 0.11966 1.092 1576.663 0.01839
-0.02974 -0.17249 0.52231 0.55086 0.12148 1.006 1576.700 0.01841
-0.02978 -0.17272 0.52299 0.55158 0.12329 1.034 1576.737 0.01844
-0.02982 -0.17294 0.52367 0.55230 0.12511 0.934 1576.774 0.01846
-0.02986 -0.17317 0.52436 0.55302 0.12692 1.048 1576.810 0.01848
-0.02990 -0.17339 0.52504 0.55374 0.12874 1.047 1576.847 0.01851
-0.02993 -0.17362 0.52572 0.55446 0.13055 1.068 1576.884 0.01853
-0.02997 -0.17384 0.52640 0.55517 0.13237 0.905 1576.920 0.01855
-0.03001 -0.17407 0.52708 0.55589 0.13418 0.940 1576.957 0.01858
-0.03005 -0.17429 0.52777 0.55661 0.13600 1.046 1576.994 0.01860
-0.03009 -0.17452 0.52845 0.55733 0.13782 0.932 1577.031 0.01863
-0.03013 -0.17474 0.52913 0.55805 0.13963 0.910 1577.067 0.01865
-0.03017 -0.17497 0.52981 0.55877 0.14145 0.988 1577.104 0.01867
-0.03021 -0.17519 0.53050 0.55949 0.14326 0.803 1577.141 0.01870
-0.03025 -0.17542 0.53118 0.56021 0.14508 1.058 1577.177 0.01872
-0.03028 -0.17564 0.53186 0.56093 0.14689 0.867 1577.214 0.01874
-0.03032 -0.17587 0.53254 0.56165 0.14871 1.128 1577.251 0.01877
-0.03036 -0.17609 0.53323 0.56237 0.15053 0.937 1577.287 0.01879
-0.03040 -0.17632 0.53391 0.56309 0.15234 1.028 1577.324 0.01881
