x y z dist_scaled dist_frac flux_norm
-0.25919 0.32445 0.28250 0.50225 0.00000 1.145
-0.25956 0.32492 0.28290 0.50296 0.00181 0.943
-0.25993 0.32538 0.28330 0.50368 0.00362 1.010
-0.26030 0.32584 0.28371 0.50440 0.00543 1.014
-0.26067 0.32631 0.28411 0.50512 0.00724 0.994
-0.26104 0.32677 0.28451 0.50584 0.00906 0.926
-0.26141 0.32723 0.28492 0.50655 0.01087 1.045
-0.26178 0.32770 0.28532 0.50727 0.01268 0.987
-0.26215 0.32816 0.28573 0.50799 0.01449 1.020
-0.26252 0.32863 0.28613 0.50871 0.01630 0.914
-0.26289 0.32909 0.28653 0.50942 0.01811 0.952
-0.26326 0.32955 0.28694 0.51014 0.01992 0.932
-0.26363 0.33002 0.28734 0.51086 0.02174 1.060
-0.26400 0.33048 0.28774 0.51158 0.02355 1.055
-0.26437 0.33094 0.28815 0.51230 0.02536 0.945
-0.26474 0.33141 0.28855 0.51301 0.02717 1.021
-0.26511 0.33187 0.28896 0.51373 0.02898 0.982
-0.26548 0.33234 0.28936 0.51445 0.03080 0.924
-0.26585 0.33280 0.28976 0.51517 0.03261 0.881
-0.26623 0.33326 0.29017 0.51589 0.03442 1.028
-0.26660 0.33373 0.29057 0.51660 0.03623 0.989
-0.26697 0.33419 0.29098 0.51732 0.03804 0.998
-0.26734 0.33465 0.29138 0.51804 0.03986 0.898
-0.26771 0.33512 0.29178 0.51876 0.04167 0.945
-0.26808 0.33558 0.29219 0.51948 0.04348 0.935
-0.26845 0.33605 0.29259 0.52019 0.04529 0.996
-0.26882 0.33651 0.29299 0.52091 0.04711 0.872
-0.26919 0.33697 0.29340 0.52163 0.04892 1.170
-0.26956 0.33744 0.29380 0.52235 0.05073 0.857
-0.26993 0.33790 0.29421 0.52307 0.05254 1.041
-0.27030 0.33837 0.29461 0.52379 0.05436 1.154
-0.27067 0.33883 0.29501 0.52450 0.05617 1.087
-0.27104 0.33929 0.29542 0.52522 0.05798 1.129
-0.27141 0.33976 0.29582 0.52594 0.05980 1.044
-0.27179 0.34022 0.29623 0.52666 0.06161 0.911
-0.27216 0.34069 0.29663 0.52738 0.06342 0.954
-0.27253 0.34115 0.29704 0.52810 0.06524 0.938
-0.27290 0.34162 0.29744 0.52881 0.06705 1.005
-0.27327 0.34208 0.29784 0.52953 0.06886 0.971
-0.27364 0.34254 0.29825 0.53025 0.07068 1.019
-0.27401 0.34301 0.29865 0.53097 0.07249 1.013
-0.27438 0.34347 0.29906 0.53169 0.07430 0.965
-0.27475 0.34394 0.29946 0.53241 0.07612 0.937
-0.27512 0.34440 0.29986 0.53313 0.07793 0.887
-0.27549 0.34486 0.30027 0.53384 0.07974 0.988
-0.27586 0.34533 0.30067 0.53456 0.08156 0.966
-0.27623 0.34579 0.30108 0.53528 0.08337 1.055
-0.27661 0.34626 0.30148 0.53600 0.08518 0.900
-0.27698 0.34672 0.30189 0.53672 0.08700 0.860
-0.27735 0.34719 0.30229 0.53744 0.08881 0.936
-0.27772 0.34765 0.30269 0.53816 0.09063 0.917
-0.27809 0.34811 0.30310 0.53887 0.09244 0.969
-0.27846 0.34858 0.30350 0.53959 0.09426 0.894
-0.27883 0.34904 0.30391 0.54031 0.09607 1.097
-0.27920 0.34951 0.30431 0.54103 0.09788 0.996
-0.27957 0.34997 0.30472 0.54175 0.09970 1.032
-0.27994 0.35044 0.30512 0.54247 0.10151 1.097
-0.28032 0.35090 0.30552 0.54319 0.10333 1.045
-0.28069 0.35137 0.30593 0.54391 0.10514 1.184
-0.28106 0.35183 0.30633 0.54463 0.10696 0.942
-0.28143 0.35229 0.30674 0.54535 0.10877 0.950
-0.28180 0.35276 0.30714 0.54606 0.11059 0.894
-0.28217 0.35322 0.30755 0.54678 0.11240 1.047
-0.28254 0.35369 0.30795 0.54750 0.11422 0.907
-0.28291 0.35415 0.30836 0.54822 0.11603 0.911
-0.28328 0.35462 0.30876 0.54894 0.11785 0.920
-0.28366 0.35508 0.30916 0.54966 0.11966 0.990
-0.28403 0.35555 0.30957 0.55038 0.12148 0.906
-0.28440 0.35601 0.30997 0.55110 0.12329 1.003
-0.28477 0.35648 0.31038 0.55182 0.12511 0.914
-0.28514 0.35694 0.31078 0.55254 0.12692 0.942
-0.28551 0.35741 0.31119 0.55326 0.12874 1.057
-0.28588 0.35787 0.31159 0.55398 0.13055 1.020
-0.28625 0.35833 0.31200 0.55470 0.13237 1.015
-0.28662 0.35880 0.31240 0.55541 0.13418 1.149
-0.28700 0.35926 0.31281 0.55613 0.13600 1.102
-0.28737 0.35973 0.31321 0.55685 0.13782 1.041
-0.28774 0.36019 0.31362 0.55757 0.13963 1.041
-0.28811 0.36066 0.31402 0.55829 0.14145 1.022
-0.28848 0.36112 0.31442 0.55901 0.14326 0.915
-0.28885 0.36159 0.31483 0.55973 0.14508 0.975
-0.28922 0.36205 0.31523 0.56045 0.14689 0.970
-0.28960 0.36252 0.31564 0.56117 0.14871 0.679
-0.28997 0.36298 0.31604 0.56189 0.15053 1.020
-0.29034 0.36345 0.31645 0.56261 0.15234 0.923
-0.29071 0.36391 0.31685 0.56333 0.15416 1.024
-0.29108 0.36438 0.31726 0.56405 0.15598 0.927
-0.29145 0.36484 0.31766 0.56477 0.15779 1.092
-0.29182 0.36531 0.31807 0.56549 0.15961 1.087
-0.29220 0.36577 0.31847 0.56621 0.16143 0.949
-0.29257 0.36624 0.31888 0.56693 0.16324 1.068
-0.29294 0.36670 0.31928 0.56765 0.16506 1.040
-0.29331 0.36717 0.31969 0.56837 0.16688 0.980
-0.29368 0.36763 0.32009 0.56909 0.16869 0.961
-0.29405 0.36810 0.32050 0.56981 0.17051 0.988
-0.29442 0.36856 0.32090 0.57053 0.17233 0.933
-0.29480 0.36903 0.32131 0.57125 0.17414 0.946
-0.29517 0.36949 0.32171 0.57197 0.17596 0.992
-0.29554 0.36996 0.32212 0.57269 0.17778 0.881
-0.29591 0.37042 0.32252 0.57341 0.17959 1.106
-0.29628 0.37089 0.32293 0.57413 0.18141 0.876
-0.29665 0.37135 0.32333 0.57485 0.18323 1.009
-0.29702 0.37182 0.32374 0.57557 0.18505 0.967
-0.29740 0.37228 0.32414 0.57629 0.18686 1.031
-0.29777 0.37275 0.32455 0.57701 0.18868 0.953
-0.29814 0.37321 0.32495 0.57773 0.19050 0.893
-0.29851 0.37368 0.32536 0.57845 0.19232 0.984
-0.29888 0.37414 0.32576 0.57917 0.19413 0.988
-0.29925 0.37461 0.32617 0.57989 0.19595 0.965
-0.29963 0.37508 0.32657 0.58061 0.19777 0.988
-0.30000 0.37554 0.32698 0.58133 0.19959 1.024
-0.30037 0.37601 0.32738 0.58205 0.20141 1.056
-0.30074 0.37647 0.32779 0.58277 0.20322 0.859
-0.30111 0.37694 0.32819 0.58349 0.20504 0.946
-0.30149 0.37740 0.32860 0.58421 0.20686 0.950
-0.30186 0.37787 0.32900 0.58493 0.20868 0.941
-0.30223 0.37833 0.32941 0.58565 0.21050 1.004
-0.30260 0.37880 0.32981 0.58637 0.21231 0.972
-0.30297 0.37926 0.33022 0.58709 0.21413 1.068
