x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.36227 0.23045 0.26053 0.50222 0.00000 66.185 549.062 1574.214 0.01681
-0.36279 0.23078 0.26091 0.50294 0.00181 366.065 419.284 1574.251 0.01683
-0.36331 0.23111 0.26128 0.50365 0.00362 -124.603 255.318 1574.288 0.01685
-0.36382 0.23144 0.26165 0.50437 0.00543 -33.394 205.718 1574.325 0.01688
-0.36434 0.23176 0.26202 0.50509 0.00724 27.061 188.134 1574.361 0.01690
-0.36486 0.23209 0.26240 0.50581 0.00906 -72.092 149.113 1574.398 0.01692
-0.36538 0.23242 0.26277 0.50653 0.01087 105.890 154.075 1574.435 0.01695
-0.36590 0.23275 0.26314 0.50724 0.01268 -55.352 117.726 1574.471 0.01697
-0.36641 0.23308 0.26351 0.50796 0.01449 19.282 116.308 1574.508 0.01700
-0.36693 0.23341 0.26388 0.50868 0.01630 80.822 114.626 1574.545 0.01702
-0.36745 0.23374 0.26426 0.50940 0.01811 -40.390 90.334 1574.582 0.01704
-0.36797 0.23407 0.26463 0.51012 0.01992 -11.534 84.030 1574.618 0.01707
-0.36849 0.23440 0.26500 0.51083 0.02174 -33.955 78.634 1574.655 0.01709
-0.36900 0.23473 0.26537 0.51155 0.02355 -32.498 73.965 1574.692 0.01711
-0.36952 0.23506 0.26575 0.51227 0.02536 34.820 76.138 1574.728 0.01714
-0.37004 0.23539 0.26612 0.51299 0.02717 -28.381 66.294 1574.765 0.01716
-0.37056 0.23572 0.26649 0.51371 0.02898 -30.813 63.107 1574.802 0.01719
-0.37108 0.23605 0.26686 0.51442 0.03080 -29.511 60.262 1574.839 0.01721
-0.37159 0.23638 0.26724 0.51514 0.03261 66.532 71.568 1574.875 0.01723
-0.37211 0.23671 0.26761 0.51586 0.03442 -9.626 55.401 1574.912 0.01726
-0.37263 0.23704 0.26798 0.51658 0.03623 -26.555 53.310 1574.949 0.01728
-0.37315 0.23737 0.26835 0.51730 0.03804 27.040 59.753 1574.986 0.01730
-0.37367 0.23769 0.26873 0.51801 0.03986 30.046 54.110 1575.022 0.01733
-0.37418 0.23802 0.26910 0.51873 0.04167 23.278 56.344 1575.059 0.01735
-0.37470 0.23835 0.26947 0.51945 0.04348 7.553 54.168 1575.096 0.01738
-0.37522 0.23868 0.26985 0.52017 0.04529 -3.718 45.247 1575.132 0.01740
-0.37574 0.23901 0.27022 0.52089 0.04711 1.313 45.511 1575.169 0.01742
-0.37626 0.23934 0.27059 0.52161 0.04892 61.805 55.699 1575.206 0.01745
-0.37677 0.23967 0.27096 0.52232 0.05073 7.134 48.531 1575.243 0.01747
-0.37729 0.24000 0.27134 0.52304 0.05254 -17.972 42.154 1575.279 0.01749
-0.37781 0.24033 0.27171 0.52376 0.05436 46.719 48.819 1575.316 0.01752
-0.37833 0.24066 0.27208 0.52448 0.05617 -29.361 38.929 1575.353 0.01754
-0.37885 0.24099 0.27245 0.52520 0.05798 -5.574 38.108 1575.389 0.01757
-0.37937 0.24132 0.27283 0.52592 0.05980 6.498 41.398 1575.426 0.01759
-0.37988 0.24165 0.27320 0.52664 0.06161 17.054 42.558 1575.463 0.01761
-0.38040 0.24198 0.27357 0.52735 0.06342 5.616 35.934 1575.500 0.01764
-0.38092 0.24231 0.27395 0.52807 0.06524 -17.186 35.294 1575.536 0.01766
-0.38144 0.24264 0.27432 0.52879 0.06705 -5.894 35.458 1575.573 0.01768
-0.38196 0.24297 0.27469 0.52951 0.06886 -5.560 34.122 1575.610 0.01771
-0.38248 0.24330 0.27506 0.53023 0.07068 -16.047 33.586 1575.646 0.01773
-0.38299 0.24363 0.27544 0.53095 0.07249 5.090 36.038 1575.683 0.01776
-0.38351 0.24396 0.27581 0.53167 0.07430 -6.149 35.515 1575.720 0.01778
-0.38403 0.24429 0.27618 0.53238 0.07612 24.318 39.865 1575.757 0.01780
-0.38455 0.24462 0.27655 0.53310 0.07793 -7.011 31.716 1575.793 0.01783
-0.38507 0.24495 0.27693 0.53382 0.07974 13.213 34.110 1575.830 0.01785
-0.38559 0.24528 0.27730 0.53454 0.08156 -15.962 30.923 1575.867 0.01787
