x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.06759 0.26132 0.42408 0.50270 0.00000 0.720 0.106 1574.239 0.01682
0.06769 0.26169 0.42469 0.50342 0.00181 0.953 0.106 1574.276 0.01685
0.06779 0.26207 0.42529 0.50413 0.00362 0.773 0.102 1574.312 0.01687
0.06788 0.26244 0.42590 0.50485 0.00543 1.006 0.108 1574.349 0.01689
0.06798 0.26281 0.42651 0.50557 0.00724 0.773 0.102 1574.386 0.01692
0.06808 0.26319 0.42711 0.50629 0.00906 0.784 0.110 1574.422 0.01694
0.06817 0.26356 0.42772 0.50700 0.01087 0.783 0.110 1574.459 0.01696
0.06827 0.26393 0.42832 0.50772 0.01268 0.890 0.103 1574.496 0.01699
0.06837 0.26431 0.42893 0.50844 0.01449 0.933 0.105 1574.533 0.01701
0.06846 0.26468 0.42953 0.50916 0.01630 0.976 0.107 1574.569 0.01704
0.06856 0.26505 0.43014 0.50988 0.01811 0.880 0.102 1574.606 0.01706
0.06866 0.26543 0.43075 0.51059 0.01992 1.062 0.111 1574.643 0.01708
0.06875 0.26580 0.43135 0.51131 0.02174 0.892 0.109 1574.680 0.01711
0.06885 0.26617 0.43196 0.51203 0.02355 0.988 0.114 1574.716 0.01713
0.06895 0.26655 0.43256 0.51275 0.02536 1.128 0.115 1574.753 0.01715
0.06904 0.26692 0.43317 0.51347 0.02717 1.033 0.110 1574.790 0.01718
0.06914 0.26729 0.43377 0.51418 0.02898 1.107 0.108 1574.826 0.01720
0.06924 0.26767 0.43438 0.51490 0.03080 1.140 0.109 1574.863 0.01723
0.06933 0.26804 0.43499 0.51562 0.03261 1.162 0.110 1574.900 0.01725
0.06943 0.26841 0.43559 0.51634 0.03442 0.938 0.105 1574.937 0.01727
0.06953 0.26879 0.43620 0.51706 0.03623 1.024 0.104 1574.973 0.01730
0.06962 0.26916 0.43680 0.51778 0.03804 0.927 0.111 1575.010 0.01732
0.06972 0.26953 0.43741 0.51849 0.03986 0.852 0.107 1575.047 0.01734
0.06981 0.26991 0.43802 0.51921 0.04167 0.906 0.117 1575.083 0.01737
0.06991 0.27028 0.43862 0.51993 0.04348 0.875 0.109 1575.120 0.01739
0.07001 0.27065 0.43923 0.52065 0.04529 1.003 0.109 1575.157 0.01742
0.07010 0.27103 0.43983 0.52137 0.04711 0.822 0.106 1575.194 0.01744
0.07020 0.27140 0.44044 0.52209 0.04892 0.908 0.104 1575.230 0.01746
0.07030 0.27177 0.44105 0.52280 0.05073 1.100 0.114 1575.267 0.01749
0.07039 0.27215 0.44165 0.52352 0.05254 0.972 0.108 1575.304 0.01751
0.07049 0.27252 0.44226 0.52424 0.05436 0.976 0.108 1575.340 0.01753
0.07059 0.27289 0.44286 0.52496 0.05617 0.735 0.107 1575.377 0.01756
0.07068 0.27327 0.44347 0.52568 0.05798 1.061 0.111 1575.414 0.01758
0.07078 0.27364 0.44408 0.52640 0.05980 0.854 0.115 1575.451 0.01760
0.07088 0.27401 0.44468 0.52711 0.06161 0.945 0.106 1575.487 0.01763
0.07097 0.27439 0.44529 0.52783 0.06342 1.074 0.106 1575.524 0.01765
0.07107 0.27476 0.44589 0.52855 0.06524 1.053 0.112 1575.561 0.01768
0.07117 0.27513 0.44650 0.52927 0.06705 0.872 0.109 1575.598 0.01770
0.07126 0.27551 0.44711 0.52999 0.06886 0.916 0.112 1575.634 0.01772
0.07136 0.27588 0.44771 0.53071 0.07068 1.009 0.110 1575.671 0.01775
0.07146 0.27626 0.44832 0.53143 0.07249 0.982 0.108 1575.708 0.01777
0.07155 0.27663 0.44893 0.53214 0.07430 0.860 0.109 1575.744 0.01779
0.07165 0.27700 0.44953 0.53286 0.07612 1.021 0.104 1575.781 0.01782
0.07175 0.27738 0.45014 0.53358 0.07793 1.165 0.111 1575.818 0.01784
0.07184 0.27775 0.45075 0.53430 0.07974 1.021 0.110 1575.855 0.01787
0.07194 0.27812 0.45135 0.53502 0.08156 0.949 0.113 1575.891 0.01789
0.07204 0.27850 0.45196 0.53574 0.08337 0.985 0.108 1575.928 0.01791
0.07213 0.27887 0.45256 0.53646 0.08518 0.886 0.110 1575.965 0.01794
0.07223 0.27924 0.45317 0.53718 0.08700 0.892 0.103 1576.001 0.01796
0.07233 0.27962 0.45378 0.53790 0.08881 1.027 0.111 1576.038 0.01798
0.07242 0.27999 0.45438 0.53861 0.09063 0.972 0.108 1576.075 0.01801
0.07252 0.28037 0.45499 0.53933 0.09244 0.854 0.108 1576.112 0.01803
0.07262 0.28074 0.45560 0.54005 0.09426 1.070 0.107 1576.148 0.01806
0.07271 0.28111 0.45620 0.54077 0.09607 1.135 0.110 1576.185 0.01808
0.07281 0.28149 0.45681 0.54149 0.09788 0.931 0.106 1576.222 0.01810
