x y z dist_scaled dist_frac flux_norm
0.25371 -0.17026 0.39918 0.50270 0.00000 1.041
0.25408 -0.17051 0.39975 0.50342 0.00181 1.057
0.25444 -0.17075 0.40032 0.50413 0.00362 0.870
0.25480 -0.17099 0.40089 0.50485 0.00543 1.015
0.25516 -0.17124 0.40146 0.50557 0.00724 0.813
0.25553 -0.17148 0.40203 0.50629 0.00906 0.861
0.25589 -0.17172 0.40260 0.50700 0.01087 1.064
0.25625 -0.17196 0.40317 0.50772 0.01268 1.096
0.25661 -0.17221 0.40374 0.50844 0.01449 0.974
0.25697 -0.17245 0.40431 0.50916 0.01630 0.877
0.25734 -0.17269 0.40488 0.50988 0.01811 0.974
0.25770 -0.17294 0.40545 0.51059 0.01992 0.774
0.25806 -0.17318 0.40602 0.51131 0.02174 0.989
0.25842 -0.17342 0.40659 0.51203 0.02355 0.938
0.25879 -0.17367 0.40716 0.51275 0.02536 0.857
0.25915 -0.17391 0.40773 0.51347 0.02717 1.190
0.25951 -0.17415 0.40830 0.51418 0.02898 1.074
0.25987 -0.17440 0.40887 0.51490 0.03080 0.976
0.26024 -0.17464 0.40944 0.51562 0.03261 0.871
0.26060 -0.17488 0.41001 0.51634 0.03442 0.933
0.26096 -0.17513 0.41058 0.51706 0.03623 0.963
0.26132 -0.17537 0.41115 0.51778 0.03804 0.910
0.26169 -0.17561 0.41172 0.51849 0.03986 1.103
0.26205 -0.17586 0.41229 0.51921 0.04167 0.869
0.26241 -0.17610 0.41286 0.51993 0.04348 0.937
0.26277 -0.17634 0.41343 0.52065 0.04529 1.007
0.26314 -0.17659 0.41400 0.52137 0.04711 1.016
0.26350 -0.17683 0.41457 0.52209 0.04892 0.862
0.26386 -0.17707 0.41515 0.52280 0.05073 0.769
0.26422 -0.17732 0.41572 0.52352 0.05254 0.838
0.26459 -0.17756 0.41629 0.52424 0.05436 0.732
0.26495 -0.17780 0.41686 0.52496 0.05617 0.917
0.26531 -0.17805 0.41743 0.52568 0.05798 0.867
0.26567 -0.17829 0.41800 0.52640 0.05980 0.840
0.26604 -0.17853 0.41857 0.52711 0.06161 0.798
0.26640 -0.17878 0.41914 0.52783 0.06342 0.787
0.26676 -0.17902 0.41971 0.52855 0.06524 0.834
0.26713 -0.17926 0.42028 0.52927 0.06705 0.932
0.26749 -0.17951 0.42085 0.52999 0.06886 0.891
0.26785 -0.17975 0.42142 0.53071 0.07068 0.945
0.26821 -0.17999 0.42199 0.53143 0.07249 0.752
0.26858 -0.18024 0.42256 0.53214 0.07430 0.782
0.26894 -0.18048 0.42313 0.53286 0.07612 1.063
0.26930 -0.18072 0.42370 0.53358 0.07793 0.947
0.26966 -0.18097 0.42428 0.53430 0.07974 0.961
0.27003 -0.18121 0.42485 0.53502 0.08156 1.028
0.27039 -0.18145 0.42542 0.53574 0.08337 1.065
0.27075 -0.18170 0.42599 0.53646 0.08518 1.082
0.27112 -0.18194 0.42656 0.53718 0.08700 0.872
0.27148 -0.18218 0.42713 0.53790 0.08881 0.960
0.27184 -0.18243 0.42770 0.53861 0.09063 1.023
0.27220 -0.18267 0.42827 0.53933 0.09244 1.039
0.27257 -0.18292 0.42884 0.54005 0.09426 0.977
0.27293 -0.18316 0.42941 0.54077 0.09607 1.049
0.27329 -0.18340 0.42998 0.54149 0.09788 1.016
0.27366 -0.18365 0.43056 0.54221 0.09970 0.938
0.27402 -0.18389 0.43113 0.54293 0.10151 1.030
0.27438 -0.18413 0.43170 0.54365 0.10333 0.939
0.27474 -0.18438 0.43227 0.54437 0.10514 0.825
0.27511 -0.18462 0.43284 0.54509 0.10696 1.059
0.27547 -0.18486 0.43341 0.54581 0.10877 0.786
