x y z dist_scaled dist_frac absorption
0.16422 -0.07262 0.46931 0.50249 0.00000 0.272
0.16445 -0.07272 0.46998 0.50320 0.00181 -0.184
0.16468 -0.07283 0.47065 0.50392 0.00362 -0.146
0.16492 -0.07293 0.47132 0.50464 0.00543 0.012
0.16515 -0.07303 0.47199 0.50536 0.00724 0.070
0.16539 -0.07314 0.47266 0.50607 0.00906 -0.407
0.16562 -0.07324 0.47333 0.50679 0.01087 0.128
0.16586 -0.07335 0.47400 0.50751 0.01268 -0.072
0.16609 -0.07345 0.47467 0.50823 0.01449 -0.053
0.16633 -0.07355 0.47534 0.50895 0.01630 0.025
0.16656 -0.07366 0.47601 0.50966 0.01811 0.003
0.16680 -0.07376 0.47668 0.51038 0.01992 0.222
0.16703 -0.07386 0.47735 0.51110 0.02174 -0.168
0.16726 -0.07397 0.47802 0.51182 0.02355 0.094
0.16750 -0.07407 0.47870 0.51253 0.02536 -0.133
0.16773 -0.07418 0.47937 0.51325 0.02717 0.062
0.16797 -0.07428 0.48004 0.51397 0.02898 0.106
0.16820 -0.07438 0.48071 0.51469 0.03080 -0.055
0.16844 -0.07449 0.48138 0.51541 0.03261 0.173
0.16867 -0.07459 0.48205 0.51612 0.03442 0.104
0.16891 -0.07469 0.48272 0.51684 0.03623 0.028
0.16914 -0.07480 0.48339 0.51756 0.03804 0.066
0.16938 -0.07490 0.48406 0.51828 0.03986 0.130
0.16961 -0.07501 0.48473 0.51900 0.04167 0.149
0.16985 -0.07511 0.48540 0.51972 0.04348 0.002
0.17008 -0.07521 0.48607 0.52043 0.04529 0.243
0.17031 -0.07532 0.48674 0.52115 0.04711 -0.013
0.17055 -0.07542 0.48741 0.52187 0.04892 0.500
0.17078 -0.07553 0.48808 0.52259 0.05073 0.220
0.17102 -0.07563 0.48876 0.52331 0.05254 0.243
0.17125 -0.07573 0.48943 0.52402 0.05436 0.257
0.17149 -0.07584 0.49010 0.52474 0.05617 0.589
0.17172 -0.07594 0.49077 0.52546 0.05798 0.504
0.17196 -0.07604 0.49144 0.52618 0.05980 0.278
0.17219 -0.07615 0.49211 0.52690 0.06161 0.388
0.17243 -0.07625 0.49278 0.52762 0.06342 0.614
0.17266 -0.07636 0.49345 0.52833 0.06524 0.606
0.17290 -0.07646 0.49412 0.52905 0.06705 0.590
0.17313 -0.07656 0.49479 0.52977 0.06886 0.506
0.17337 -0.07667 0.49547 0.53049 0.07068 0.628
0.17360 -0.07677 0.49614 0.53121 0.07249 0.447
0.17384 -0.07687 0.49681 0.53193 0.07430 0.480
0.17407 -0.07698 0.49748 0.53265 0.07612 0.253
0.17431 -0.07708 0.49815 0.53336 0.07793 0.329
0.17454 -0.07719 0.49882 0.53408 0.07974 0.207
0.17478 -0.07729 0.49949 0.53480 0.08156 0.112
0.17501 -0.07739 0.50016 0.53552 0.08337 0.404
0.17525 -0.07750 0.50084 0.53624 0.08518 0.169
0.17548 -0.07760 0.50151 0.53696 0.08700 -0.034
0.17572 -0.07771 0.50218 0.53768 0.08881 -0.029
0.17595 -0.07781 0.50285 0.53840 0.09063 0.042
0.17619 -0.07791 0.50352 0.53911 0.09244 -0.081
0.17642 -0.07802 0.50419 0.53983 0.09426 -0.206
0.17666 -0.07812 0.50486 0.54055 0.09607 0.200
0.17689 -0.07823 0.50553 0.54127 0.09788 -0.141
0.17713 -0.07833 0.50621 0.54199 0.09970 0.056
0.17736 -0.07843 0.50688 0.54271 0.10151 -0.151
0.17760 -0.07854 0.50755 0.54343 0.10333 -0.132
0.17783 -0.07864 0.50822 0.54415 0.10514 -0.038
0.17807 -0.07874 0.50889 0.54487 0.10696 0.174
0.17830 -0.07885 0.50956 0.54559 0.10877 0.093
0.17854 -0.07895 0.51024 0.54630 0.11059 0.111
0.17877 -0.07906 0.51091 0.54702 0.11240 0.191
0.17901 -0.07916 0.51158 0.54774 0.11422 0.190
0.17924 -0.07926 0.51225 0.54846 0.11603 -0.021
0.17948 -0.07937 0.51292 0.54918 0.11785 0.127
0.17971 -0.07947 0.51359 0.54990 0.11966 0.255
0.17995 -0.07958 0.51427 0.55062 0.12148 -0.088
0.18018 -0.07968 0.51494 0.55134 0.12329 0.058
0.18042 -0.07978 0.51561 0.55206 0.12511 0.283
0.18065 -0.07989 0.51628 0.55278 0.12692 0.347
0.18089 -0.07999 0.51695 0.55350 0.12874 0.269
0.18112 -0.08010 0.51762 0.55422 0.13055 0.138
0.18136 -0.08020 0.51830 0.55494 0.13237 -0.042
0.18159 -0.08030 0.51897 0.55565 0.13418 0.155
0.18183 -0.08041 0.51964 0.55637 0.13600 0.069
0.18206 -0.08051 0.52031 0.55709 0.13782 -0.028
0.18230 -0.08062 0.52098 0.55781 0.13963 0.101
0.18253 -0.08072 0.52166 0.55853 0.14145 0.068
0.18277 -0.08082 0.52233 0.55925 0.14326 0.050
0.18300 -0.08093 0.52300 0.55997 0.14508 0.068
0.18324 -0.08103 0.52367 0.56069 0.14689 0.053
0.18347 -0.08114 0.52434 0.56141 0.14871 -0.099
0.18371 -0.08124 0.52502 0.56213 0.15053 0.101
0.18394 -0.08134 0.52569 0.56285 0.15234 -0.032
0.18418 -0.08145 0.52636 0.56357 0.15416 0.049
0.18441 -0.08155 0.52703 0.56429 0.15598 -0.001
0.18465 -0.08166 0.52771 0.56501 0.15779 0.031
0.18488 -0.08176 0.52838 0.56573 0.15961 0.077
0.18512 -0.08186 0.52905 0.56645 0.16143 0.077
0.18535 -0.08197 0.52972 0.56717 0.16324 0.197
0.18559 -0.08207 0.53039 0.56789 0.16506 -0.391
0.18582 -0.08218 0.53107 0.56861 0.16688 -0.165
0.18606 -0.08228 0.53174 0.56933 0.16869 -0.222
0.18629 -0.08238 0.53241 0.57005 0.17051 0.001
0.18653 -0.08249 0.53308 0.57077 0.17233 -0.108
0.18677 -0.08259 0.53376 0.57149 0.17414 0.075
0.18700 -0.08270 0.53443 0.57221 0.17596 -0.118
0.18724 -0.08280 0.53510 0.57293 0.17778 -0.056
