x y z dist_scaled dist_frac flux_norm wavelength redshift
-0.23766 0.01151 0.44258 0.50249 0.00000 0.869 1574.228 0.01682
-0.23800 0.01152 0.44321 0.50320 0.00181 0.534 1574.265 0.01684
-0.23834 0.01154 0.44384 0.50392 0.00362 0.793 1574.301 0.01686
-0.23868 0.01155 0.44448 0.50464 0.00543 0.610 1574.338 0.01689
-0.23902 0.01157 0.44511 0.50536 0.00724 0.523 1574.375 0.01691
-0.23936 0.01159 0.44574 0.50607 0.00906 0.328 1574.412 0.01693
-0.23970 0.01160 0.44637 0.50679 0.01087 0.090 1574.448 0.01696
-0.24004 0.01162 0.44701 0.50751 0.01268 0.057 1574.485 0.01698
-0.24038 0.01164 0.44764 0.50823 0.01449 0.035 1574.522 0.01700
-0.24072 0.01165 0.44827 0.50895 0.01630 0.047 1574.558 0.01703
-0.24105 0.01167 0.44890 0.50966 0.01811 0.036 1574.595 0.01705
-0.24139 0.01169 0.44953 0.51038 0.01992 0.079 1574.632 0.01708
-0.24173 0.01170 0.45017 0.51110 0.02174 0.004 1574.669 0.01710
-0.24207 0.01172 0.45080 0.51182 0.02355 0.058 1574.705 0.01712
-0.24241 0.01174 0.45143 0.51253 0.02536 0.069 1574.742 0.01715
-0.24275 0.01175 0.45206 0.51325 0.02717 0.059 1574.779 0.01717
-0.24309 0.01177 0.45270 0.51397 0.02898 0.145 1574.815 0.01719
-0.24343 0.01178 0.45333 0.51469 0.03080 0.178 1574.852 0.01722
-0.24377 0.01180 0.45396 0.51541 0.03261 0.340 1574.889 0.01724
-0.24411 0.01182 0.45459 0.51612 0.03442 0.450 1574.926 0.01727
-0.24445 0.01183 0.45523 0.51684 0.03623 0.439 1574.962 0.01729
-0.24479 0.01185 0.45586 0.51756 0.03804 0.722 1574.999 0.01731
-0.24513 0.01187 0.45649 0.51828 0.03986 0.690 1575.036 0.01734
-0.24547 0.01188 0.45712 0.51900 0.04167 0.885 1575.072 0.01736
-0.24581 0.01190 0.45776 0.51972 0.04348 0.908 1575.109 0.01738
-0.24615 0.01192 0.45839 0.52043 0.04529 1.095 1575.146 0.01741
-0.24649 0.01193 0.45902 0.52115 0.04711 0.888 1575.183 0.01743
-0.24683 0.01195 0.45965 0.52187 0.04892 0.888 1575.219 0.01746
-0.24717 0.01197 0.46029 0.52259 0.05073 0.953 1575.256 0.01748
-0.24751 0.01198 0.46092 0.52331 0.05254 1.008 1575.293 0.01750
-0.24785 0.01200 0.46155 0.52402 0.05436 1.085 1575.329 0.01753
-0.24819 0.01201 0.46218 0.52474 0.05617 1.042 1575.366 0.01755
-0.24853 0.01203 0.46282 0.52546 0.05798 0.955 1575.403 0.01757
-0.24887 0.01205 0.46345 0.52618 0.05980 0.857 1575.440 0.01760
-0.24921 0.01206 0.46408 0.52690 0.06161 1.186 1575.476 0.01762
-0.24955 0.01208 0.46471 0.52762 0.06342 0.968 1575.513 0.01765
-0.24989 0.01210 0.46535 0.52833 0.06524 0.936 1575.550 0.01767
-0.25023 0.01211 0.46598 0.52905 0.06705 1.013 1575.586 0.01769
-0.25057 0.01213 0.46661 0.52977 0.06886 1.068 1575.623 0.01772
-0.25091 0.01215 0.46725 0.53049 0.07068 0.958 1575.660 0.01774
-0.25125 0.01216 0.46788 0.53121 0.07249 1.112 1575.697 0.01776
-0.25158 0.01218 0.46851 0.53193 0.07430 0.916 1575.733 0.01779
-0.25192 0.01220 0.46914 0.53265 0.07612 1.081 1575.770 0.01781
-0.25226 0.01221 0.46978 0.53336 0.07793 1.060 1575.807 0.01783
-0.25260 0.01223 0.47041 0.53408 0.07974 0.951 1575.843 0.01786
-0.25294 0.01224 0.47104 0.53480 0.08156 1.082 1575.880 0.01788
-0.25328 0.01226 0.47168 0.53552 0.08337 0.940 1575.917 0.01791
-0.25362 0.01228 0.47231 0.53624 0.08518 0.974 1575.954 0.01793
-0.25396 0.01229 0.47294 0.53696 0.08700 0.952 1575.990 0.01795
-0.25430 0.01231 0.47358 0.53768 0.08881 1.138 1576.027 0.01798
-0.25464 0.01233 0.47421 0.53840 0.09063 0.891 1576.064 0.01800
-0.25498 0.01234 0.47484 0.53911 0.09244 1.128 1576.100 0.01802
-0.25532 0.01236 0.47548 0.53983 0.09426 0.975 1576.137 0.01805
-0.25566 0.01238 0.47611 0.54055 0.09607 1.145 1576.174 0.01807
-0.25600 0.01239 0.47674 0.54127 0.09788 1.174 1576.211 0.01810
-0.25634 0.01241 0.47738 0.54199 0.09970 1.074 1576.247 0.01812
-0.25668 0.01243 0.47801 0.54271 0.10151 1.163 1576.284 0.01814
-0.25702 0.01244 0.47864 0.54343 0.10333 1.009 1576.321 0.01817
-0.25736 0.01246 0.47927 0.54415 0.10514 1.108 1576.357 0.01819
-0.25770 0.01248 0.47991 0.54487 0.10696 0.855 1576.394 0.01821
-0.25804 0.01249 0.48054 0.54559 0.10877 1.000 1576.431 0.01824
-0.25838 0.01251 0.48117 0.54630 0.11059 1.011 1576.468 0.01826
-0.25872 0.01252 0.48181 0.54702 0.11240 0.788 1576.504 0.01829
-0.25906 0.01254 0.48244 0.54774 0.11422 0.879 1576.541 0.01831
-0.25941 0.01256 0.48307 0.54846 0.11603 0.802 1576.578 0.01833
-0.25975 0.01257 0.48371 0.54918 0.11785 0.978 1576.614 0.01836
-0.26009 0.01259 0.48434 0.54990 0.11966 0.901 1576.651 0.01838
-0.26043 0.01261 0.48498 0.55062 0.12148 0.944 1576.688 0.01840
-0.26077 0.01262 0.48561 0.55134 0.12329 0.933 1576.725 0.01843
-0.26111 0.01264 0.48624 0.55206 0.12511 1.086 1576.761 0.01845
-0.26145 0.01266 0.48688 0.55278 0.12692 0.843 1576.798 0.01848
-0.26179 0.01267 0.48751 0.55350 0.12874 0.866 1576.835 0.01850
-0.26213 0.01269 0.48814 0.55422 0.13055 0.910 1576.871 0.01852
-0.26247 0.01271 0.48878 0.55494 0.13237 1.076 1576.908 0.01855
-0.26281 0.01272 0.48941 0.55565 0.13418 0.922 1576.945 0.01857
-0.26315 0.01274 0.49004 0.55637 0.13600 0.866 1576.982 0.01859
-0.26349 0.01276 0.49068 0.55709 0.13782 0.835 1577.018 0.01862
-0.26383 0.01277 0.49131 0.55781 0.13963 0.864 1577.055 0.01864
-0.26417 0.01279 0.49195 0.55853 0.14145 0.871 1577.092 0.01866
-0.26451 0.01280 0.49258 0.55925 0.14326 0.967 1577.128 0.01869
-0.26485 0.01282 0.49321 0.55997 0.14508 0.803 1577.165 0.01871
-0.26519 0.01284 0.49385 0.56069 0.14689 1.140 1577.202 0.01874
-0.26553 0.01285 0.49448 0.56141 0.14871 1.083 1577.239 0.01876
-0.26587 0.01287 0.49511 0.56213 0.15053 0.930 1577.275 0.01878
-0.26621 0.01289 0.49575 0.56285 0.15234 0.946 1577.312 0.01881
-0.26655 0.01290 0.49638 0.56357 0.15416 0.955 1577.349 0.01883
-0.26689 0.01292 0.49702 0.56429 0.15598 1.082 1577.385 0.01885
-0.26723 0.01294 0.49765 0.56501 0.15779 1.128 1577.422 0.01888
-0.26757 0.01295 0.49828 0.56573 0.15961 0.884 1577.459 0.01890
-0.26791 0.01297 0.49892 0.56645 0.16143 1.036 1577.496 0.01893
-0.26825 0.01299 0.49955 0.56717 0.16324 0.940 1577.532 0.01895
-0.26859 0.01300 0.50019 0.56789 0.16506 0.876 1577.569 0.01897
-0.26893 0.01302 0.50082 0.56861 0.16688 1.147 1577.606 0.01900
-0.26927 0.01304 0.50145 0.56933 0.16869 1.081 1577.642 0.01902
-0.26961 0.01305 0.50209 0.57005 0.17051 0.884 1577.679 0.01904
-0.26996 0.01307 0.50272 0.57077 0.17233 0.762 1577.716 0.01907
-0.27030 0.01308 0.50336 0.57149 0.17414 0.878 1577.753 0.01909
-0.27064 0.01310 0.50399 0.57221 0.17596 0.933 1577.789 0.01912
-0.27098 0.01312 0.50462 0.57293 0.17778 1.008 1577.826 0.01914
-0.27132 0.01313 0.50526 0.57365 0.17959 0.811 1577.863 0.01916
-0.27166 0.01315 0.50589 0.57437 0.18141 0.805 1577.899 0.01919
-0.27200 0.01317 0.50653 0.57509 0.18323 0.971 1577.936 0.01921
-0.27234 0.01318 0.50716 0.57581 0.18505 1.032 1577.973 0.01923
-0.27268 0.01320 0.50780 0.57653 0.18686 1.088 1578.010 0.01926
-0.27302 0.01322 0.50843 0.57725 0.18868 0.888 1578.046 0.01928
-0.27336 0.01323 0.50906 0.57797 0.19050 1.055 1578.083 0.01931
-0.27370 0.01325 0.50970 0.57869 0.19232 1.011 1578.120 0.01933
-0.27404 0.01327 0.51033 0.57941 0.19413 0.922 1578.156 0.01935
-0.27438 0.01328 0.51097 0.58013 0.19595 0.810 1578.193 0.01938
-0.27472 0.01330 0.51160 0.58085 0.19777 1.100 1578.230 0.01940
-0.27506 0.01332 0.51224 0.58157 0.19959 1.033 1578.267 0.01942
-0.27540 0.01333 0.51287 0.58229 0.20141 1.089 1578.303 0.01945
-0.27575 0.01335 0.51350 0.58301 0.20322 1.178 1578.340 0.01947
-0.27609 0.01337 0.51414 0.58373 0.20504 0.933 1578.377 0.01949
-0.27643 0.01338 0.51477 0.58445 0.20686 1.012 1578.413 0.01952
-0.27677 0.01340 0.51541 0.58517 0.20868 1.013 1578.450 0.01954
-0.27711 0.01341 0.51604 0.58589 0.21050 0.980 1578.487 0.01957
-0.27745 0.01343 0.51668 0.58661 0.21231 0.959 1578.524 0.01959
-0.27779 0.01345 0.51731 0.58733 0.21413 0.960 1578.560 0.01961
-0.27813 0.01346 0.51795 0.58805 0.21595 0.926 1578.597 0.01964
-0.27847 0.01348 0.51858 0.58877 0.21777 0.746 1578.634 0.01966
-0.27881 0.01350 0.51922 0.58949 0.21959 0.635 1578.670 0.01968
-0.27915 0.01351 0.51985 0.59022 0.22141 0.646 1578.707 0.01971
-0.27949 0.01353 0.52049 0.59094 0.22323 0.578 1578.744 0.01973
-0.27983 0.01355 0.52112 0.59166 0.22504 0.511 1578.781 0.01976
-0.28018 0.01356 0.52175 0.59238 0.22686 0.444 1578.817 0.01978
-0.28052 0.01358 0.52239 0.59310 0.22868 0.477 1578.854 0.01980
-0.28086 0.01360 0.52302 0.59382 0.23050 0.444 1578.891 0.01983
-0.28120 0.01361 0.52366 0.59454 0.23232 0.410 1578.927 0.01985
-0.28154 0.01363 0.52429 0.59526 0.23414 0.454 1578.964 0.01987
-0.28188 0.01365 0.52493 0.59598 0.23596 0.600 1579.001 0.01990
-0.28222 0.01366 0.52556 0.59670 0.23778 0.633 1579.038 0.01992
-0.28256 0.01368 0.52620 0.59742 0.23960 0.813 1579.074 0.01995
-0.28290 0.01370 0.52683 0.59814 0.24142 0.689 1579.111 0.01997
-0.28324 0.01371 0.52747 0.59886 0.24324 0.914 1579.148 0.01999
-0.28358 0.01373 0.52810 0.59959 0.24505 0.824 1579.184 0.02002
-0.28393 0.01374 0.52874 0.60031 0.24687 0.846 1579.221 0.02004
-0.28427 0.01376 0.52937 0.60103 0.24869 0.913 1579.258 0.02006
-0.28461 0.01378 0.53001 0.60175 0.25051 0.891 1579.294 0.02009
-0.28495 0.01379 0.53064 0.60247 0.25233 1.183 1579.331 0.02011
-0.28529 0.01381 0.53128 0.60319 0.25415 1.025 1579.368 0.02014
-0.28563 0.01383 0.53191 0.60391 0.25597 0.867 1579.405 0.02016
-0.28597 0.01384 0.53255 0.60463 0.25779 0.890 1579.441 0.02018
-0.28631 0.01386 0.53318 0.60535 0.25961 0.935 1579.478 0.02021
-0.28665 0.01388 0.53382 0.60607 0.26143 0.912 1579.515 0.02023
-0.28700 0.01389 0.53445 0.60680 0.26325 1.070 1579.551 0.02025
-0.28734 0.01391 0.53509 0.60752 0.26507 0.970 1579.588 0.02028
-0.28768 0.01393 0.53573 0.60824 0.26689 1.093 1579.625 0.02030
-0.28802 0.01394 0.53636 0.60896 0.26871 0.958 1579.662 0.02032
-0.28836 0.01396 0.53700 0.60968 0.27053 0.847 1579.698 0.02035
-0.28870 0.01398 0.53763 0.61040 0.27235 0.802 1579.735 0.02037
-0.28904 0.01399 0.53827 0.61112 0.27417 0.993 1579.772 0.02040
-0.28938 0.01401 0.53890 0.61184 0.27599 1.150 1579.808 0.02042
-0.28972 0.01403 0.53954 0.61257 0.27782 1.017 1579.845 0.02044
-0.29007 0.01404 0.54017 0.61329 0.27964 0.837 1579.882 0.02047
-0.29041 0.01406 0.54081 0.61401 0.28146 1.230 1579.919 0.02049
-0.29075 0.01408 0.54144 0.61473 0.28328 1.073 1579.955 0.02051
-0.29109 0.01409 0.54208 0.61545 0.28510 1.018 1579.992 0.02054
-0.29143 0.01411 0.54271 0.61617 0.28692 0.985 1580.029 0.02056
-0.29177 0.01412 0.54335 0.61689 0.28874 0.861 1580.065 0.02059
-0.29211 0.01414 0.54399 0.61762 0.29056 0.949 1580.102 0.02061
-0.29245 0.01416 0.54462 0.61834 0.29238 1.310 1580.139 0.02063
-0.29280 0.01417 0.54526 0.61906 0.29420 1.074 1580.176 0.02066
-0.29314 0.01419 0.54589 0.61978 0.29602 1.029 1580.212 0.02068
-0.29348 0.01421 0.54653 0.62050 0.29785 0.905 1580.249 0.02070
-0.29382 0.01422 0.54716 0.62122 0.29967 1.232 1580.286 0.02073
-0.29416 0.01424 0.54780 0.62195 0.30149 1.030 1580.322 0.02075
-0.29450 0.01426 0.54843 0.62267 0.30331 0.906 1580.359 0.02078
-0.29484 0.01427 0.54907 0.62339 0.30513 1.008 1580.396 0.02080
-0.29519 0.01429 0.54971 0.62411 0.30695 0.805 1580.433 0.02082
-0.29553 0.01431 0.55034 0.62483 0.30877 1.098 1580.469 0.02085
-0.29587 0.01432 0.55098 0.62555 0.31060 0.974 1580.506 0.02087
-0.29621 0.01434 0.55161 0.62628 0.31242 1.019 1580.543 0.02089
-0.29655 0.01436 0.55225 0.62700 0.31424 0.941 1580.579 0.02092
-0.29689 0.01437 0.55288 0.62772 0.31606 1.054 1580.616 0.02094
-0.29723 0.01439 0.55352 0.62844 0.31788 0.972 1580.653 0.02096
-0.29757 0.01441 0.55416 0.62916 0.31971 1.069 1580.690 0.02099
-0.29792 0.01442 0.55479 0.62989 0.32153 0.986 1580.726 0.02101
-0.29826 0.01444 0.55543 0.63061 0.32335 1.095 1580.763 0.02104
-0.29860 0.01446 0.55606 0.63133 0.32517 1.022 1580.800 0.02106
-0.29894 0.01447 0.55670 0.63205 0.32699 1.072 1580.836 0.02108
-0.29928 0.01449 0.55734 0.63277 0.32882 1.031 1580.873 0.02111
-0.29962 0.01450 0.55797 0.63350 0.33064 1.111 1580.910 0.02113
-0.29997 0.01452 0.55861 0.63422 0.33246 0.962 1580.947 0.02115
-0.30031 0.01454 0.55924 0.63494 0.33428 0.920 1580.983 0.02118
-0.30065 0.01455 0.55988 0.63566 0.33611 1.125 1581.020 0.02120
-0.30099 0.01457 0.56052 0.63639 0.33793 1.012 1581.057 0.02123
-0.30133 0.01459 0.56115 0.63711 0.33975 0.917 1581.093 0.02125
-0.30167 0.01460 0.56179 0.63783 0.34158 1.039 1581.130 0.02127
-0.30201 0.01462 0.56242 0.63855 0.34340 0.884 1581.167 0.02130
-0.30236 0.01464 0.56306 0.63927 0.34522 0.880 1581.204 0.02132
-0.30270 0.01465 0.56370 0.64000 0.34704 1.267 1581.240 0.02134
-0.30304 0.01467 0.56433 0.64072 0.34887 0.952 1581.277 0.02137
-0.30338 0.01469 0.56497 0.64144 0.35069 1.014 1581.314 0.02139
-0.30372 0.01470 0.56561 0.64216 0.35251 1.150 1581.350 0.02142
-0.30406 0.01472 0.56624 0.64289 0.35434 1.052 1581.387 0.02144
-0.30441 0.01474 0.56688 0.64361 0.35616 1.304 1581.424 0.02146
-0.30475 0.01475 0.56752 0.64433 0.35798 1.058 1581.461 0.02149
-0.30509 0.01477 0.56815 0.64505 0.35981 0.921 1581.497 0.02151
-0.30543 0.01479 0.56879 0.64578 0.36163 1.022 1581.534 0.02153
-0.30577 0.01480 0.56942 0.64650 0.36345 0.977 1581.571 0.02156
-0.30612 0.01482 0.57006 0.64722 0.36528 0.864 1581.607 0.02158
-0.30646 0.01484 0.57070 0.64794 0.36710 0.989 1581.644 0.02161
-0.30680 0.01485 0.57133 0.64867 0.36892 1.125 1581.681 0.02163
-0.30714 0.01487 0.57197 0.64939 0.37075 0.967 1581.718 0.02165
-0.30748 0.01489 0.57261 0.65011 0.37257 0.889 1581.754 0.02168
-0.30782 0.01490 0.57324 0.65083 0.37440 0.991 1581.791 0.02170
-0.30817 0.01492 0.57388 0.65156 0.37622 0.763 1581.828 0.02172
-0.30851 0.01493 0.57452 0.65228 0.37804 1.079 1581.864 0.02175
-0.30885 0.01495 0.57515 0.65300 0.37987 0.819 1581.901 0.02177
-0.30919 0.01497 0.57579 0.65373 0.38169 0.899 1581.938 0.02179
-0.30953 0.01498 0.57643 0.65445 0.38352 1.149 1581.975 0.02182
-0.30988 0.01500 0.57706 0.65517 0.38534 0.822 1582.011 0.02184
-0.31022 0.01502 0.57770 0.65589 0.38716 0.936 1582.048 0.02187
-0.31056 0.01503 0.57834 0.65662 0.38899 1.004 1582.085 0.02189
