x y z dist_scaled dist_frac absorption
0.22910 0.23436 0.38052 0.50220 0.00000 0.055
0.23122 0.23653 0.38404 0.50685 0.01179 0.325
0.23335 0.23870 0.38757 0.51151 0.02359 0.762
0.23547 0.24088 0.39111 0.51617 0.03539 -0.170
0.23760 0.24305 0.39464 0.52083 0.04719 0.024
0.23973 0.24523 0.39817 0.52549 0.05900 -0.324
0.24185 0.24741 0.40170 0.53016 0.07081 0.118
0.24398 0.24958 0.40524 0.53482 0.08262 -0.181
0.24611 0.25176 0.40877 0.53949 0.09443 -0.054
0.24824 0.25394 0.41231 0.54415 0.10625 -0.100
0.25037 0.25612 0.41584 0.54882 0.11807 -0.058
0.25250 0.25829 0.41938 0.55349 0.12989 -0.059
0.25463 0.26047 0.42292 0.55816 0.14171 0.661
0.25676 0.26265 0.42646 0.56283 0.15354 0.689
0.25889 0.26483 0.43000 0.56750 0.16537 0.767
0.26102 0.26701 0.43354 0.57217 0.17720 0.987
0.26315 0.26919 0.43708 0.57685 0.18903 0.803
0.26528 0.27138 0.44062 0.58152 0.20087 0.894
0.26742 0.27356 0.44416 0.58620 0.21271 0.400
0.26955 0.27574 0.44771 0.59087 0.22455 0.228
0.27168 0.27792 0.45125 0.59555 0.23640 0.465
0.27382 0.28011 0.45480 0.60023 0.24824 0.212
0.27595 0.28229 0.45834 0.60491 0.26009 0.472
0.27809 0.28447 0.46189 0.60959 0.27195 0.553
0.28023 0.28666 0.46544 0.61427 0.28380 0.002
0.28236 0.28884 0.46899 0.61896 0.29566 0.217
0.28450 0.29103 0.47253 0.62364 0.30752 -0.123
0.28664 0.29322 0.47608 0.62833 0.31939 0.128
0.28877 0.29540 0.47964 0.63301 0.33125 -0.043
0.29091 0.29759 0.48319 0.63770 0.34312 0.131
0.29305 0.29978 0.48674 0.64239 0.35499 -0.131
0.29519 0.30197 0.49029 0.64708 0.36687 -0.562
0.29733 0.30416 0.49385 0.65177 0.37875 0.463
0.29947 0.30635 0.49740 0.65646 0.39063 -0.184
0.30161 0.30854 0.50096 0.66115 0.40251 -0.052
0.30375 0.31073 0.50451 0.66584 0.41439 0.463
0.30589 0.31292 0.50807 0.67054 0.42628 0.637
0.30804 0.31511 0.51163 0.67523 0.43817 0.810
0.31018 0.31730 0.51519 0.67993 0.45006 0.813
0.31232 0.31949 0.51875 0.68463 0.46196 0.725
0.31446 0.32169 0.52231 0.68933 0.47386 0.547
0.31661 0.32388 0.52587 0.69403 0.48576 0.676
0.31875 0.32607 0.52943 0.69873 0.49766 0.676
0.32090 0.32827 0.53299 0.70343 0.50957 0.308
0.32304 0.33046 0.53656 0.70813 0.52148 -0.010
0.32519 0.33266 0.54012 0.71284 0.53339 -0.195
0.32734 0.33485 0.54368 0.71754 0.54530 0.211
0.32948 0.33705 0.54725 0.72225 0.55722 -0.165
0.33163 0.33924 0.55082 0.72696 0.56914 -0.354
0.33378 0.34144 0.55438 0.73166 0.58106 0.104
0.33593 0.34364 0.55795 0.73637 0.59299 -0.036
0.33807 0.34584 0.56152 0.74108 0.60491 0.472
0.34022 0.34804 0.56509 0.74580 0.61684 -0.290
0.34237 0.35024 0.56866 0.75051 0.62878 -0.250
0.34452 0.35243 0.57223 0.75522 0.64071 -0.207
0.34667 0.35464 0.57581 0.75994 0.65265 0.019
0.34883 0.35684 0.57938 0.76465 0.66459 0.017
0.35098 0.35904 0.58295 0.76937 0.67653 0.102
0.35313 0.36124 0.58653 0.77409 0.68848 0.338
0.35528 0.36344 0.59010 0.77880 0.70043 -0.075
0.35744 0.36564 0.59368 0.78352 0.71238 0.128
0.35959 0.36785 0.59726 0.78824 0.72433 0.527
0.36174 0.37005 0.60083 0.79297 0.73629 -0.013
0.36390 0.37225 0.60441 0.79769 0.74825 0.381
0.36605 0.37446 0.60799 0.80241 0.76021 0.048
0.36821 0.37666 0.61157 0.80714 0.77217 -0.236
0.37036 0.37887 0.61515 0.81186 0.78414 -0.040
0.37252 0.38107 0.61873 0.81659 0.79611 0.214
0.37468 0.38328 0.62232 0.82132 0.80808 0.225
0.37683 0.38549 0.62590 0.82605 0.82006 0.430
0.37899 0.38769 0.62948 0.83078 0.83204 0.002
0.38115 0.38990 0.63307 0.83551 0.84402 -0.101
0.38331 0.39211 0.63665 0.84024 0.85600 0.263
0.38547 0.39432 0.64024 0.84497 0.86799 0.011
0.38763 0.39653 0.64383 0.84971 0.87997 0.404
0.38979 0.39874 0.64742 0.85444 0.89196 -0.218
0.39195 0.40095 0.65100 0.85918 0.90396 0.393
0.39411 0.40316 0.65459 0.86392 0.91595 0.457
0.39627 0.40537 0.65818 0.86866 0.92795 0.145
0.39843 0.40758 0.66178 0.87340 0.93995 0.038
0.40060 0.40980 0.66537 0.87814 0.95196 0.432
0.40276 0.41201 0.66896 0.88288 0.96396 -0.015
0.40492 0.41422 0.67255 0.88762 0.97597 -0.028
0.40709 0.41643 0.67615 0.89236 0.98799 -0.091
0.40925 0.41865 0.67974 0.89711 1.00000 -0.451
