x y z dist_scaled dist_frac absorption
0.21861 0.21963 0.39525 0.50225 0.00000 0.181
0.21893 0.21994 0.39582 0.50296 0.00181 0.157
0.21924 0.22025 0.39638 0.50368 0.00362 0.050
0.21955 0.22057 0.39695 0.50440 0.00543 0.264
0.21986 0.22088 0.39751 0.50512 0.00724 0.037
0.22018 0.22120 0.39808 0.50584 0.00906 0.203
0.22049 0.22151 0.39864 0.50655 0.01087 -0.096
0.22080 0.22182 0.39921 0.50727 0.01268 0.095
0.22111 0.22214 0.39977 0.50799 0.01449 -0.049
0.22142 0.22245 0.40034 0.50871 0.01630 -0.086
0.22174 0.22276 0.40090 0.50942 0.01811 -0.014
0.22205 0.22308 0.40147 0.51014 0.01992 -0.098
0.22236 0.22339 0.40203 0.51086 0.02174 -0.050
0.22267 0.22371 0.40260 0.51158 0.02355 0.009
0.22299 0.22402 0.40316 0.51230 0.02536 -0.027
0.22330 0.22433 0.40373 0.51301 0.02717 -0.028
0.22361 0.22465 0.40429 0.51373 0.02898 0.068
0.22392 0.22496 0.40486 0.51445 0.03080 0.056
0.22424 0.22528 0.40542 0.51517 0.03261 -0.089
0.22455 0.22559 0.40599 0.51589 0.03442 0.079
0.22486 0.22590 0.40655 0.51660 0.03623 0.199
0.22517 0.22622 0.40712 0.51732 0.03804 -0.005
0.22549 0.22653 0.40768 0.51804 0.03986 -0.029
0.22580 0.22685 0.40825 0.51876 0.04167 0.103
0.22611 0.22716 0.40881 0.51948 0.04348 0.139
0.22643 0.22747 0.40938 0.52019 0.04529 -0.103
0.22674 0.22779 0.40994 0.52091 0.04711 0.054
0.22705 0.22810 0.41051 0.52163 0.04892 0.018
0.22736 0.22842 0.41107 0.52235 0.05073 -0.223
0.22768 0.22873 0.41164 0.52307 0.05254 -0.007
0.22799 0.22904 0.41220 0.52379 0.05436 -0.394
0.22830 0.22936 0.41277 0.52450 0.05617 0.017
0.22861 0.22967 0.41333 0.52522 0.05798 -0.068
0.22893 0.22999 0.41390 0.52594 0.05980 0.209
0.22924 0.23030 0.41446 0.52666 0.06161 0.136
0.22955 0.23062 0.41503 0.52738 0.06342 -0.081
0.22986 0.23093 0.41559 0.52810 0.06524 0.160
0.23018 0.23124 0.41616 0.52881 0.06705 0.027
0.23049 0.23156 0.41673 0.52953 0.06886 0.183
0.23080 0.23187 0.41729 0.53025 0.07068 -0.047
0.23112 0.23219 0.41786 0.53097 0.07249 0.013
0.23143 0.23250 0.41842 0.53169 0.07430 -0.108
0.23174 0.23281 0.41899 0.53241 0.07612 0.049
0.23205 0.23313 0.41955 0.53313 0.07793 0.133
0.23237 0.23344 0.42012 0.53384 0.07974 -0.036
0.23268 0.23376 0.42068 0.53456 0.08156 0.120
0.23299 0.23407 0.42125 0.53528 0.08337 0.060
0.23331 0.23439 0.42182 0.53600 0.08518 -0.026
0.23362 0.23470 0.42238 0.53672 0.08700 0.168
0.23393 0.23501 0.42295 0.53744 0.08881 -0.063
0.23424 0.23533 0.42351 0.53816 0.09063 0.094
0.23456 0.23564 0.42408 0.53887 0.09244 0.130
0.23487 0.23596 0.42464 0.53959 0.09426 0.033
0.23518 0.23627 0.42521 0.54031 0.09607 -0.040
0.23550 0.23659 0.42577 0.54103 0.09788 0.129
0.23581 0.23690 0.42634 0.54175 0.09970 0.079
0.23612 0.23721 0.42691 0.54247 0.10151 0.030
0.23643 0.23753 0.42747 0.54319 0.10333 -0.031
0.23675 0.23784 0.42804 0.54391 0.10514 0.102
0.23706 0.23816 0.42860 0.54463 0.10696 -0.057
0.23737 0.23847 0.42917 0.54535 0.10877 0.076
0.23769 0.23879 0.42974 0.54606 0.11059 0.271
0.23800 0.23910 0.43030 0.54678 0.11240 0.174
0.23831 0.23942 0.43087 0.54750 0.11422 0.296
0.23862 0.23973 0.43143 0.54822 0.11603 0.308
0.23894 0.24004 0.43200 0.54894 0.11785 0.345
0.23925 0.24036 0.43257 0.54966 0.11966 0.088
0.23956 0.24067 0.43313 0.55038 0.12148 -0.035
0.23988 0.24099 0.43370 0.55110 0.12329 0.246
0.24019 0.24130 0.43426 0.55182 0.12511 0.148
0.24050 0.24162 0.43483 0.55254 0.12692 0.221
0.24082 0.24193 0.43540 0.55326 0.12874 0.025
0.24113 0.24225 0.43596 0.55398 0.13055 0.086
0.24144 0.24256 0.43653 0.55470 0.13237 0.110
0.24176 0.24288 0.43709 0.55541 0.13418 -0.001
0.24207 0.24319 0.43766 0.55613 0.13600 0.121
0.24238 0.24350 0.43823 0.55685 0.13782 -0.185
0.24270 0.24382 0.43879 0.55757 0.13963 -0.063
0.24301 0.24413 0.43936 0.55829 0.14145 -0.136
0.24332 0.24445 0.43992 0.55901 0.14326 -0.186
0.24363 0.24476 0.44049 0.55973 0.14508 0.083
0.24395 0.24508 0.44106 0.56045 0.14689 -0.027
0.24426 0.24539 0.44162 0.56117 0.14871 -0.015
0.24457 0.24571 0.44219 0.56189 0.15053 0.219
0.24489 0.24602 0.44276 0.56261 0.15234 0.169
0.24520 0.24634 0.44332 0.56333 0.15416 0.070
0.24551 0.24665 0.44389 0.56405 0.15598 -0.274
0.24583 0.24697 0.44446 0.56477 0.15779 -0.164
0.24614 0.24728 0.44502 0.56549 0.15961 -0.041
0.24645 0.24760 0.44559 0.56621 0.16143 -0.103
0.24677 0.24791 0.44615 0.56693 0.16324 -0.005
0.24708 0.24823 0.44672 0.56765 0.16506 0.044
0.24739 0.24854 0.44729 0.56837 0.16688 0.241
0.24771 0.24885 0.44785 0.56909 0.16869 0.217
0.24802 0.24917 0.44842 0.56981 0.17051 -0.104
0.24833 0.24948 0.44899 0.57053 0.17233 0.006
0.24865 0.24980 0.44955 0.57125 0.17414 -0.044
0.24896 0.25011 0.45012 0.57197 0.17596 -0.057
0.24927 0.25043 0.45069 0.57269 0.17778 -0.193
0.24959 0.25074 0.45125 0.57341 0.17959 -0.218
0.24990 0.25106 0.45182 0.57413 0.18141 0.053
0.25021 0.25137 0.45239 0.57485 0.18323 0.090
0.25053 0.25169 0.45295 0.57557 0.18505 0.078
0.25084 0.25200 0.45352 0.57629 0.18686 0.102
0.25115 0.25232 0.45409 0.57701 0.18868 0.064
0.25147 0.25263 0.45465 0.57773 0.19050 -0.147
0.25178 0.25295 0.45522 0.57845 0.19232 0.039
0.25210 0.25326 0.45579 0.57917 0.19413 -0.098
0.25241 0.25358 0.45635 0.57989 0.19595 0.150
0.25272 0.25389 0.45692 0.58061 0.19777 0.051
0.25304 0.25421 0.45749 0.58133 0.19959 -0.049
0.25335 0.25452 0.45805 0.58205 0.20141 0.012
0.25366 0.25484 0.45862 0.58277 0.20322 0.248
0.25398 0.25515 0.45919 0.58349 0.20504 0.110
0.25429 0.25547 0.45976 0.58421 0.20686 -0.250
0.25460 0.25578 0.46032 0.58493 0.20868 0.123
0.25492 0.25610 0.46089 0.58565 0.21050 -0.002
0.25523 0.25641 0.46146 0.58637 0.21231 0.122
0.25554 0.25673 0.46202 0.58709 0.21413 0.258
0.25586 0.25704 0.46259 0.58781 0.21595 -0.016
0.25617 0.25736 0.46316 0.58853 0.21777 -0.041
0.25649 0.25767 0.46372 0.58925 0.21959 0.046
0.25680 0.25799 0.46429 0.58997 0.22141 0.183
0.25711 0.25830 0.46486 0.59070 0.22323 -0.067
0.25743 0.25862 0.46543 0.59142 0.22504 0.195
0.25774 0.25893 0.46599 0.59214 0.22686 0.070
0.25805 0.25925 0.46656 0.59286 0.22868 -0.068
0.25837 0.25956 0.46713 0.59358 0.23050 0.106
0.25868 0.25988 0.46769 0.59430 0.23232 0.093
0.25899 0.26019 0.46826 0.59502 0.23414 0.018
0.25931 0.26051 0.46883 0.59574 0.23596 0.092
0.25962 0.26082 0.46940 0.59646 0.23778 0.042
0.25994 0.26114 0.46996 0.59718 0.23960 0.129
0.26025 0.26146 0.47053 0.59790 0.24142 0.016
0.26056 0.26177 0.47110 0.59862 0.24324 0.004
0.26088 0.26209 0.47167 0.59934 0.24505 0.242
0.26119 0.26240 0.47223 0.60007 0.24687 0.091
0.26150 0.26272 0.47280 0.60079 0.24869 0.041
0.26182 0.26303 0.47337 0.60151 0.25051 -0.072
0.26213 0.26335 0.47394 0.60223 0.25233 -0.035
0.26245 0.26366 0.47450 0.60295 0.25415 0.115
0.26276 0.26398 0.47507 0.60367 0.25597 0.315
0.26307 0.26429 0.47564 0.60439 0.25779 0.101
0.26339 0.26461 0.47620 0.60511 0.25961 0.139
0.26370 0.26492 0.47677 0.60583 0.26143 0.051
0.26402 0.26524 0.47734 0.60656 0.26325 0.088
0.26433 0.26555 0.47791 0.60728 0.26507 0.226
0.26464 0.26587 0.47848 0.60800 0.26689 -0.088
0.26496 0.26618 0.47904 0.60872 0.26871 -0.051
0.26527 0.26650 0.47961 0.60944 0.27053 -0.139
0.26559 0.26682 0.48018 0.61016 0.27235 0.226
0.26590 0.26713 0.48075 0.61088 0.27417 -0.114
0.26621 0.26745 0.48131 0.61160 0.27599 0.150
0.26653 0.26776 0.48188 0.61233 0.27782 0.149
0.26684 0.26808 0.48245 0.61305 0.27964 0.124
0.26716 0.26839 0.48302 0.61377 0.28146 0.048
0.26747 0.26871 0.48358 0.61449 0.28328 -0.016
0.26778 0.26902 0.48415 0.61521 0.28510 -0.193
0.26810 0.26934 0.48472 0.61593 0.28692 0.059
0.26841 0.26965 0.48529 0.61665 0.28874 0.210
0.26873 0.26997 0.48586 0.61738 0.29056 0.108
0.26904 0.27029 0.48642 0.61810 0.29238 0.058
0.26935 0.27060 0.48699 0.61882 0.29420 0.070
0.26967 0.27092 0.48756 0.61954 0.29602 0.019
0.26998 0.27123 0.48813 0.62026 0.29785 0.019
0.27030 0.27155 0.48869 0.62098 0.29967 -0.082
0.27061 0.27186 0.48926 0.62171 0.30149 -0.096
0.27092 0.27218 0.48983 0.62243 0.30331 -0.058
0.27124 0.27249 0.49040 0.62315 0.30513 0.157
0.27155 0.27281 0.49097 0.62387 0.30695 0.042
0.27187 0.27313 0.49153 0.62459 0.30877 -0.098
0.27218 0.27344 0.49210 0.62531 0.31060 0.244
0.27250 0.27376 0.49267 0.62604 0.31242 0.016
0.27281 0.27407 0.49324 0.62676 0.31424 0.270
0.27312 0.27439 0.49381 0.62748 0.31606 -0.099
0.27344 0.27470 0.49438 0.62820 0.31788 -0.036
0.27375 0.27502 0.49494 0.62892 0.31971 0.142
0.27407 0.27534 0.49551 0.62965 0.32153 0.078
0.27438 0.27565 0.49608 0.63037 0.32335 0.040
0.27469 0.27597 0.49665 0.63109 0.32517 0.204
0.27501 0.27628 0.49722 0.63181 0.32699 0.089
0.27532 0.27660 0.49778 0.63253 0.32882 0.280
0.27564 0.27691 0.49835 0.63326 0.33064 -0.039
0.27595 0.27723 0.49892 0.63398 0.33246 -0.027
0.27627 0.27755 0.49949 0.63470 0.33428 -0.130
0.27658 0.27786 0.50006 0.63542 0.33611 -0.015
0.27690 0.27818 0.50063 0.63614 0.33793 0.124
0.27721 0.27849 0.50119 0.63687 0.33975 0.111
0.27752 0.27881 0.50176 0.63759 0.34158 0.022
0.27784 0.27913 0.50233 0.63831 0.34340 -0.055
0.27815 0.27944 0.50290 0.63903 0.34522 -0.004
0.27847 0.27976 0.50347 0.63976 0.34704 -0.043
0.27878 0.28007 0.50404 0.64048 0.34887 0.123
0.27910 0.28039 0.50460 0.64120 0.35069 0.072
0.27941 0.28070 0.50517 0.64192 0.35251 -0.016
0.27972 0.28102 0.50574 0.64265 0.35434 0.010
0.28004 0.28134 0.50631 0.64337 0.35616 -0.177
0.28035 0.28165 0.50688 0.64409 0.35798 -0.268
0.28067 0.28197 0.50745 0.64481 0.35981 -0.018
0.28098 0.28228 0.50802 0.64554 0.36163 0.049
0.28130 0.28260 0.50858 0.64626 0.36345 0.124
