x y z dist_scaled dist_frac flux_norm
0.29297 -0.12708 0.38823 0.50270 0.00000 1.197
0.29339 -0.12726 0.38879 0.50342 0.00181 1.051
0.29381 -0.12744 0.38934 0.50413 0.00362 0.903
0.29423 -0.12762 0.38990 0.50485 0.00543 0.955
0.29464 -0.12780 0.39045 0.50557 0.00724 0.809
0.29506 -0.12798 0.39100 0.50629 0.00906 1.007
0.29548 -0.12816 0.39156 0.50700 0.01087 1.254
0.29590 -0.12835 0.39211 0.50772 0.01268 1.006
0.29632 -0.12853 0.39267 0.50844 0.01449 1.105
0.29674 -0.12871 0.39322 0.50916 0.01630 1.155
0.29716 -0.12889 0.39378 0.50988 0.01811 1.204
0.29757 -0.12907 0.39433 0.51059 0.01992 0.562
0.29799 -0.12925 0.39488 0.51131 0.02174 1.058
0.29841 -0.12944 0.39544 0.51203 0.02355 1.307
0.29883 -0.12962 0.39599 0.51275 0.02536 1.459
0.29925 -0.12980 0.39655 0.51347 0.02717 1.113
0.29967 -0.12998 0.39710 0.51418 0.02898 0.866
0.30008 -0.13016 0.39766 0.51490 0.03080 1.017
0.30050 -0.13034 0.39821 0.51562 0.03261 0.818
0.30092 -0.13052 0.39877 0.51634 0.03442 1.067
0.30134 -0.13071 0.39932 0.51706 0.03623 0.768
0.30176 -0.13089 0.39988 0.51778 0.03804 1.118
0.30218 -0.13107 0.40043 0.51849 0.03986 0.969
0.30260 -0.13125 0.40099 0.51921 0.04167 0.770
0.30301 -0.13143 0.40154 0.51993 0.04348 1.069
0.30343 -0.13161 0.40210 0.52065 0.04529 1.370
0.30385 -0.13180 0.40265 0.52137 0.04711 0.770
0.30427 -0.13198 0.40320 0.52209 0.04892 1.123
0.30469 -0.13216 0.40376 0.52280 0.05073 1.124
0.30511 -0.13234 0.40431 0.52352 0.05254 0.925
0.30553 -0.13252 0.40487 0.52424 0.05436 1.454
0.30595 -0.13270 0.40542 0.52496 0.05617 0.733
0.30636 -0.13289 0.40598 0.52568 0.05798 0.910
0.30678 -0.13307 0.40653 0.52640 0.05980 0.917
0.30720 -0.13325 0.40709 0.52711 0.06161 1.008
0.30762 -0.13343 0.40764 0.52783 0.06342 0.976
0.30804 -0.13361 0.40820 0.52855 0.06524 0.430
0.30846 -0.13379 0.40875 0.52927 0.06705 1.090
0.30888 -0.13398 0.40931 0.52999 0.06886 0.735
0.30930 -0.13416 0.40986 0.53071 0.07068 0.809
0.30971 -0.13434 0.41042 0.53143 0.07249 1.050
0.31013 -0.13452 0.41097 0.53214 0.07430 0.824
0.31055 -0.13470 0.41153 0.53286 0.07612 1.116
0.31097 -0.13488 0.41208 0.53358 0.07793 0.950
0.31139 -0.13507 0.41264 0.53430 0.07974 0.826
0.31181 -0.13525 0.41319 0.53502 0.08156 0.700
0.31223 -0.13543 0.41375 0.53574 0.08337 0.899
0.31265 -0.13561 0.41430 0.53646 0.08518 0.950
0.31307 -0.13579 0.41486 0.53718 0.08700 1.093
0.31348 -0.13597 0.41542 0.53790 0.08881 0.785
0.31390 -0.13616 0.41597 0.53861 0.09063 1.091
0.31432 -0.13634 0.41653 0.53933 0.09244 1.194
0.31474 -0.13652 0.41708 0.54005 0.09426 1.144
0.31516 -0.13670 0.41764 0.54077 0.09607 1.043
0.31558 -0.13688 0.41819 0.54149 0.09788 0.994
0.31600 -0.13706 0.41875 0.54221 0.09970 1.045
0.31642 -0.13725 0.41930 0.54293 0.10151 0.891
0.31684 -0.13743 0.41986 0.54365 0.10333 0.790
0.31726 -0.13761 0.42041 0.54437 0.10514 0.586
0.31768 -0.13779 0.42097 0.54509 0.10696 1.046
0.31809 -0.13797 0.42152 0.54581 0.10877 1.047
0.31851 -0.13816 0.42208 0.54652 0.11059 1.406
0.31893 -0.13834 0.42264 0.54724 0.11240 0.691
0.31935 -0.13852 0.42319 0.54796 0.11422 0.949
0.31977 -0.13870 0.42375 0.54868 0.11603 0.948
0.32019 -0.13888 0.42430 0.54940 0.11785 0.795
0.32061 -0.13906 0.42486 0.55012 0.11966 0.953
0.32103 -0.13925 0.42541 0.55084 0.12148 0.846
0.32145 -0.13943 0.42597 0.55156 0.12329 1.052
0.32187 -0.13961 0.42652 0.55228 0.12511 1.206
0.32229 -0.13979 0.42708 0.55300 0.12692 0.794
0.32271 -0.13997 0.42764 0.55372 0.12874 1.105
0.32313 -0.14016 0.42819 0.55444 0.13055 1.103
0.32355 -0.14034 0.42875 0.55516 0.13237 0.896
0.32396 -0.14052 0.42930 0.55588 0.13418 0.536
0.32438 -0.14070 0.42986 0.55660 0.13600 0.898
0.32480 -0.14088 0.43041 0.55732 0.13782 0.537
0.32522 -0.14107 0.43097 0.55804 0.13963 0.951
0.32564 -0.14125 0.43153 0.55876 0.14145 1.005
0.32606 -0.14143 0.43208 0.55948 0.14326 0.902
0.32648 -0.14161 0.43264 0.56019 0.14508 0.955
0.32690 -0.14179 0.43319 0.56091 0.14689 0.903
0.32732 -0.14197 0.43375 0.56163 0.14871 1.163
0.32774 -0.14216 0.43430 0.56235 0.15053 1.267
0.32816 -0.14234 0.43486 0.56307 0.15234 0.851
0.32858 -0.14252 0.43542 0.56379 0.15416 0.956
0.32900 -0.14270 0.43597 0.56451 0.15598 1.060
0.32942 -0.14288 0.43653 0.56523 0.15779 1.010
0.32984 -0.14307 0.43708 0.56595 0.15961 0.957
0.33026 -0.14325 0.43764 0.56667 0.16143 1.321
0.33068 -0.14343 0.43820 0.56739 0.16324 1.322
0.33110 -0.14361 0.43875 0.56811 0.16506 1.425
0.33152 -0.14379 0.43931 0.56883 0.16688 0.594
0.33193 -0.14398 0.43986 0.56955 0.16869 1.270
0.33235 -0.14416 0.44042 0.57027 0.17051 1.218
0.33277 -0.14434 0.44098 0.57099 0.17233 1.062
0.33319 -0.14452 0.44153 0.57171 0.17414 1.062
0.33361 -0.14470 0.44209 0.57243 0.17596 1.585
0.33403 -0.14489 0.44265 0.57315 0.17778 0.959
0.33445 -0.14507 0.44320 0.57387 0.17959 1.064
0.33487 -0.14525 0.44376 0.57459 0.18141 0.803
0.33529 -0.14543 0.44431 0.57531 0.18323 1.430
0.33571 -0.14561 0.44487 0.57603 0.18505 0.492
0.33613 -0.14580 0.44543 0.57675 0.18686 1.381
0.33655 -0.14598 0.44598 0.57748 0.18868 0.963
0.33697 -0.14616 0.44654 0.57820 0.19050 1.069
0.33739 -0.14634 0.44710 0.57892 0.19232 1.176
0.33781 -0.14653 0.44765 0.57964 0.19413 1.073
0.33823 -0.14671 0.44821 0.58036 0.19595 1.335
0.33865 -0.14689 0.44876 0.58108 0.19777 0.865
0.33907 -0.14707 0.44932 0.58180 0.19959 1.127
0.33949 -0.14725 0.44988 0.58252 0.20141 1.389
0.33991 -0.14744 0.45043 0.58324 0.20322 0.927
0.34033 -0.14762 0.45099 0.58396 0.20504 0.785
0.34075 -0.14780 0.45155 0.58468 0.20686 1.021
0.34117 -0.14798 0.45210 0.58540 0.20868 0.969
0.34159 -0.14816 0.45266 0.58612 0.21050 0.967
0.34201 -0.14835 0.45322 0.58684 0.21231 1.208
0.34243 -0.14853 0.45377 0.58756 0.21413 1.146
0.34285 -0.14871 0.45433 0.58828 0.21595 0.812
0.34327 -0.14889 0.45489 0.58900 0.21777 1.413
0.34369 -0.14908 0.45544 0.58972 0.21959 0.721
0.34411 -0.14926 0.45600 0.59044 0.22141 0.858
0.34453 -0.14944 0.45656 0.59117 0.22323 1.231
0.34495 -0.14962 0.45711 0.59189 0.22504 0.926
0.34537 -0.14980 0.45767 0.59261 0.22686 1.206
0.34579 -0.14999 0.45823 0.59333 0.22868 0.803
0.34621 -0.15017 0.45878 0.59405 0.23050 0.990
0.34663 -0.15035 0.45934 0.59477 0.23232 1.405
0.34705 -0.15053 0.45990 0.59549 0.23414 1.456
0.34747 -0.15072 0.46045 0.59621 0.23596 1.237
0.34789 -0.15090 0.46101 0.59693 0.23778 0.974
0.34831 -0.15108 0.46157 0.59765 0.23960 1.290
0.34873 -0.15126 0.46212 0.59837 0.24142 1.027
0.34915 -0.15144 0.46268 0.59910 0.24323 1.081
0.34957 -0.15163 0.46324 0.59982 0.24505 0.817
0.34999 -0.15181 0.46379 0.60054 0.24687 0.870
0.35041 -0.15199 0.46435 0.60126 0.24869 1.030
0.35083 -0.15217 0.46491 0.60198 0.25051 0.874
0.35125 -0.15236 0.46546 0.60270 0.25233 0.927
0.35167 -0.15254 0.46602 0.60342 0.25415 0.978
0.35209 -0.15272 0.46658 0.60414 0.25597 0.711
0.35251 -0.15290 0.46714 0.60486 0.25779 1.029
0.35293 -0.15309 0.46769 0.60559 0.25961 0.869
0.35336 -0.15327 0.46825 0.60631 0.26143 1.131
0.35378 -0.15345 0.46881 0.60703 0.26325 1.037
0.35420 -0.15363 0.46936 0.60775 0.26507 0.845
0.35462 -0.15381 0.46992 0.60847 0.26689 1.195
0.35504 -0.15400 0.47048 0.60919 0.26871 1.334
0.35546 -0.15418 0.47104 0.60991 0.27053 1.201
0.35588 -0.15436 0.47159 0.61064 0.27235 1.560
0.35630 -0.15454 0.47215 0.61136 0.27417 0.923
0.35672 -0.15473 0.47271 0.61208 0.27599 1.291
0.35714 -0.15491 0.47326 0.61280 0.27782 1.140
0.35756 -0.15509 0.47382 0.61352 0.27964 0.408
0.35798 -0.15527 0.47438 0.61424 0.28146 1.018
0.35840 -0.15546 0.47494 0.61496 0.28328 1.378
0.35882 -0.15564 0.47549 0.61569 0.28510 1.579
0.35924 -0.15582 0.47605 0.61641 0.28692 1.003
0.35966 -0.15600 0.47661 0.61713 0.28874 1.490
0.36008 -0.15619 0.47717 0.61785 0.29056 1.182
0.36050 -0.15637 0.47772 0.61857 0.29238 0.991
0.36092 -0.15655 0.47828 0.61930 0.29420 1.402
0.36135 -0.15673 0.47884 0.62002 0.29602 0.819
0.36177 -0.15692 0.47939 0.62074 0.29785 0.819
0.36219 -0.15710 0.47995 0.62146 0.29967 0.873
0.36261 -0.15728 0.48051 0.62218 0.30149 1.296
0.36303 -0.15746 0.48107 0.62290 0.30331 1.030
0.36345 -0.15765 0.48162 0.62363 0.30513 0.501
0.36387 -0.15783 0.48218 0.62435 0.30695 1.136
0.36429 -0.15801 0.48274 0.62507 0.30877 0.870
0.36471 -0.15819 0.48330 0.62579 0.31060 0.763
0.36513 -0.15838 0.48386 0.62651 0.31242 1.241
0.36555 -0.15856 0.48441 0.62724 0.31424 0.817
0.36597 -0.15874 0.48497 0.62796 0.31606 0.872
0.36639 -0.15892 0.48553 0.62868 0.31788 1.084
0.36681 -0.15911 0.48609 0.62940 0.31971 1.138
0.36724 -0.15929 0.48664 0.63012 0.32153 1.350
0.36766 -0.15947 0.48720 0.63085 0.32335 1.297
0.36808 -0.15965 0.48776 0.63157 0.32517 1.192
0.36850 -0.15984 0.48832 0.63229 0.32699 1.190
0.36892 -0.16002 0.48887 0.63301 0.32882 0.981
0.36934 -0.16020 0.48943 0.63374 0.33064 1.775
0.36976 -0.16038 0.48999 0.63446 0.33246 1.086
0.37018 -0.16057 0.49055 0.63518 0.33428 0.822
0.37060 -0.16075 0.49111 0.63590 0.33611 1.247
0.37102 -0.16093 0.49166 0.63662 0.33793 0.928
0.37145 -0.16111 0.49222 0.63735 0.33975 1.036
0.37187 -0.16130 0.49278 0.63807 0.34157 0.932
0.37229 -0.16148 0.49334 0.63879 0.34340 0.666
0.37271 -0.16166 0.49390 0.63951 0.34522 1.196
0.37313 -0.16184 0.49445 0.64024 0.34704 0.860
0.37355 -0.16203 0.49501 0.64096 0.34887 0.880
0.37397 -0.16221 0.49557 0.64168 0.35069 1.030
0.37439 -0.16239 0.49613 0.64240 0.35251 0.831
0.37481 -0.16258 0.49669 0.64313 0.35434 0.938
0.37523 -0.16276 0.49724 0.64385 0.35616 1.365
0.37566 -0.16294 0.49780 0.64457 0.35798 0.726
0.37608 -0.16312 0.49836 0.64529 0.35981 1.048
0.37650 -0.16331 0.49892 0.64602 0.36163 1.154
0.37692 -0.16349 0.49948 0.64674 0.36345 1.046
0.37734 -0.16367 0.50003 0.64746 0.36528 1.580
0.37776 -0.16385 0.50059 0.64819 0.36710 0.407
