x y z dist_scaled dist_frac absorption
0.22142 -0.17791 0.41479 0.50273 0.00000 -0.282
0.22174 -0.17817 0.41538 0.50344 0.00181 -0.140
0.22205 -0.17842 0.41598 0.50416 0.00362 -0.244
0.22237 -0.17867 0.41657 0.50488 0.00543 -0.557
0.22269 -0.17893 0.41716 0.50560 0.00724 -0.034
0.22300 -0.17918 0.41775 0.50631 0.00906 0.035
0.22332 -0.17944 0.41834 0.50703 0.01087 0.384
0.22363 -0.17969 0.41894 0.50775 0.01268 0.211
0.22395 -0.17994 0.41953 0.50847 0.01449 0.419
0.22427 -0.18020 0.42012 0.50918 0.01630 0.142
0.22458 -0.18045 0.42071 0.50990 0.01811 0.421
0.22490 -0.18071 0.42131 0.51062 0.01992 0.421
0.22522 -0.18096 0.42190 0.51134 0.02174 0.215
0.22553 -0.18122 0.42249 0.51206 0.02355 0.354
0.22585 -0.18147 0.42308 0.51277 0.02536 0.216
0.22616 -0.18172 0.42367 0.51349 0.02717 -0.164
0.22648 -0.18198 0.42427 0.51421 0.02898 -0.197
0.22680 -0.18223 0.42486 0.51493 0.03080 0.184
0.22711 -0.18249 0.42545 0.51565 0.03261 -0.092
0.22743 -0.18274 0.42604 0.51636 0.03442 -0.093
0.22775 -0.18299 0.42664 0.51708 0.03623 0.115
0.22806 -0.18325 0.42723 0.51780 0.03804 0.116
0.22838 -0.18350 0.42782 0.51852 0.03986 -0.055
0.22869 -0.18376 0.42841 0.51924 0.04167 0.152
0.22901 -0.18401 0.42901 0.51995 0.04348 0.186
0.22933 -0.18426 0.42960 0.52067 0.04529 0.289
0.22964 -0.18452 0.43019 0.52139 0.04711 0.633
0.22996 -0.18477 0.43078 0.52211 0.04892 0.325
0.23028 -0.18503 0.43138 0.52283 0.05073 0.428
0.23059 -0.18528 0.43197 0.52355 0.05254 0.326
0.23091 -0.18554 0.43256 0.52426 0.05436 -0.085
0.23122 -0.18579 0.43316 0.52498 0.05617 0.075
0.23154 -0.18604 0.43375 0.52570 0.05798 -0.108
0.23186 -0.18630 0.43434 0.52642 0.05980 0.164
0.23217 -0.18655 0.43493 0.52714 0.06161 0.040
0.23249 -0.18681 0.43553 0.52786 0.06342 0.205
0.23281 -0.18706 0.43612 0.52857 0.06524 -0.105
0.23312 -0.18732 0.43671 0.52929 0.06705 0.269
0.23344 -0.18757 0.43730 0.53001 0.06886 -0.132
0.23376 -0.18782 0.43790 0.53073 0.07068 0.265
0.23407 -0.18808 0.43849 0.53145 0.07249 -0.073
0.23439 -0.18833 0.43908 0.53217 0.07430 -0.008
0.23471 -0.18859 0.43968 0.53289 0.07612 0.265
0.23502 -0.18884 0.44027 0.53360 0.07793 0.285
0.23534 -0.18910 0.44086 0.53432 0.07974 -0.135
0.23566 -0.18935 0.44146 0.53504 0.08156 0.133
0.23597 -0.18960 0.44205 0.53576 0.08337 -0.059
0.23629 -0.18986 0.44264 0.53648 0.08518 -0.070
0.23661 -0.19011 0.44323 0.53720 0.08700 0.152
0.23692 -0.19037 0.44383 0.53792 0.08881 0.025
0.23724 -0.19062 0.44442 0.53864 0.09063 -0.276
0.23755 -0.19088 0.44501 0.53935 0.09244 -0.174
0.23787 -0.19113 0.44561 0.54007 0.09426 0.030
0.23819 -0.19138 0.44620 0.54079 0.09607 -0.105
0.23850 -0.19164 0.44679 0.54151 0.09788 -0.206
0.23882 -0.19189 0.44739 0.54223 0.09970 -0.104
0.23914 -0.19215 0.44798 0.54295 0.10151 -0.070
0.23945 -0.19240 0.44857 0.54367 0.10333 0.065
0.23977 -0.19266 0.44917 0.54439 0.10514 -0.137
0.24009 -0.19291 0.44976 0.54511 0.10696 0.234
0.24040 -0.19317 0.45035 0.54582 0.10877 -0.575
0.24072 -0.19342 0.45095 0.54654 0.11059 -0.136
0.24104 -0.19367 0.45154 0.54726 0.11240 0.236
0.24135 -0.19393 0.45213 0.54798 0.11422 0.035
0.24167 -0.19418 0.45273 0.54870 0.11603 -0.099
0.24199 -0.19444 0.45332 0.54942 0.11785 -0.200
0.24231 -0.19469 0.45391 0.55014 0.11966 -0.032
0.24262 -0.19495 0.45451 0.55086 0.12148 0.031
0.24294 -0.19520 0.45510 0.55158 0.12329 0.001
0.24326 -0.19546 0.45569 0.55230 0.12511 0.138
0.24357 -0.19571 0.45629 0.55302 0.12692 -0.131
0.24389 -0.19597 0.45688 0.55374 0.12874 0.004
0.24421 -0.19622 0.45747 0.55446 0.13055 0.105
0.24452 -0.19647 0.45807 0.55517 0.13237 -0.231
0.24484 -0.19673 0.45866 0.55589 0.13418 -0.063
0.24516 -0.19698 0.45925 0.55661 0.13600 -0.062
0.24547 -0.19724 0.45985 0.55733 0.13782 0.308
0.24579 -0.19749 0.46044 0.55805 0.13963 -0.162
0.24611 -0.19775 0.46104 0.55877 0.14145 0.007
0.24642 -0.19800 0.46163 0.55949 0.14326 0.108
0.24674 -0.19826 0.46222 0.56021 0.14508 0.243
0.24706 -0.19851 0.46282 0.56093 0.14689 -0.160
0.24738 -0.19877 0.46341 0.56165 0.14871 0.042
0.24769 -0.19902 0.46400 0.56237 0.15053 0.511
0.24801 -0.19928 0.46460 0.56309 0.15234 0.108
0.24833 -0.19953 0.46519 0.56381 0.15416 0.175
0.24864 -0.19979 0.46579 0.56453 0.15598 -0.027
0.24896 -0.20004 0.46638 0.56525 0.15779 -0.128
0.24928 -0.20029 0.46697 0.56597 0.15961 0.107
0.24959 -0.20055 0.46757 0.56669 0.16143 0.108
0.24991 -0.20080 0.46816 0.56741 0.16324 -0.026
0.25023 -0.20106 0.46875 0.56813 0.16506 0.108
0.25055 -0.20131 0.46935 0.56885 0.16688 0.041
0.25086 -0.20157 0.46994 0.56957 0.16869 -0.362
0.25118 -0.20182 0.47054 0.57029 0.17051 -0.094
0.25150 -0.20208 0.47113 0.57101 0.17233 -0.128
0.25181 -0.20233 0.47172 0.57173 0.17414 0.140
0.25213 -0.20259 0.47232 0.57245 0.17596 0.139
0.25245 -0.20284 0.47291 0.57317 0.17778 0.073
0.25276 -0.20310 0.47351 0.57389 0.17959 0.073
0.25308 -0.20335 0.47410 0.57461 0.18141 -0.163
0.25340 -0.20361 0.47469 0.57533 0.18323 -0.129
0.25372 -0.20386 0.47529 0.57605 0.18505 -0.498
0.25403 -0.20412 0.47588 0.57677 0.18686 -0.163
0.25435 -0.20437 0.47648 0.57749 0.18868 0.039
0.25467 -0.20463 0.47707 0.57821 0.19050 0.072
0.25499 -0.20488 0.47767 0.57893 0.19232 0.139
0.25530 -0.20514 0.47826 0.57965 0.19413 -0.096
0.25562 -0.20539 0.47885 0.58037 0.19595 -0.398
0.25594 -0.20565 0.47945 0.58109 0.19777 -0.095
0.25625 -0.20590 0.48004 0.58181 0.19959 0.039
0.25657 -0.20616 0.48064 0.58253 0.20141 -0.195
0.25689 -0.20641 0.48123 0.58325 0.20322 0.005
0.25721 -0.20667 0.48183 0.58397 0.20504 0.065
0.25752 -0.20692 0.48242 0.58469 0.20686 0.178
0.25784 -0.20718 0.48301 0.58541 0.20868 0.232
0.25816 -0.20743 0.48361 0.58613 0.21050 -0.209
0.25848 -0.20769 0.48420 0.58685 0.21231 -0.035
0.25879 -0.20794 0.48480 0.58757 0.21413 -0.292
0.25911 -0.20820 0.48539 0.58829 0.21595 -0.133
0.25943 -0.20845 0.48599 0.58901 0.21777 0.381
0.25974 -0.20871 0.48658 0.58973 0.21959 -0.432
0.26006 -0.20896 0.48718 0.59046 0.22141 0.257
0.26038 -0.20922 0.48777 0.59118 0.22323 -0.218
0.26070 -0.20947 0.48837 0.59190 0.22504 0.169
0.26101 -0.20973 0.48896 0.59262 0.22686 0.285
0.26133 -0.20998 0.48955 0.59334 0.22868 0.343
0.26165 -0.21024 0.49015 0.59406 0.23050 -0.055
0.26197 -0.21049 0.49074 0.59478 0.23232 0.270
0.26228 -0.21075 0.49134 0.59550 0.23414 0.070
0.26260 -0.21100 0.49193 0.59622 0.23596 0.035
0.26292 -0.21126 0.49253 0.59694 0.23778 0.001
0.26324 -0.21151 0.49312 0.59766 0.23960 -0.337
0.26355 -0.21177 0.49372 0.59838 0.24142 -0.203
0.26387 -0.21202 0.49431 0.59910 0.24324 0.168
0.26419 -0.21228 0.49491 0.59983 0.24505 0.034
0.26451 -0.21253 0.49550 0.60055 0.24687 0.033
0.26482 -0.21279 0.49610 0.60127 0.24869 0.067
0.26514 -0.21304 0.49669 0.60199 0.25051 -0.068
0.26546 -0.21330 0.49729 0.60271 0.25233 0.368
0.26578 -0.21355 0.49788 0.60343 0.25415 0.026
0.26609 -0.21381 0.49848 0.60415 0.25597 -0.177
0.26641 -0.21406 0.49907 0.60487 0.25779 0.130
0.26673 -0.21432 0.49967 0.60559 0.25961 -0.072
0.26705 -0.21457 0.50026 0.60631 0.26143 0.129
0.26736 -0.21483 0.50086 0.60704 0.26325 -0.209
0.26768 -0.21508 0.50145 0.60776 0.26507 0.029
0.26800 -0.21534 0.50205 0.60848 0.26689 -0.097
0.26832 -0.21559 0.50264 0.60920 0.26871 0.060
0.26864 -0.21585 0.50324 0.60992 0.27053 0.224
0.26895 -0.21610 0.50383 0.61064 0.27235 -0.108
0.26927 -0.21636 0.50443 0.61136 0.27417 -0.082
0.26959 -0.21662 0.50502 0.61209 0.27599 0.010
0.26991 -0.21687 0.50562 0.61281 0.27782 -0.102
0.27022 -0.21713 0.50621 0.61353 0.27964 0.061
0.27054 -0.21738 0.50681 0.61425 0.28146 0.052
0.27086 -0.21764 0.50740 0.61497 0.28328 0.084
0.27118 -0.21789 0.50800 0.61569 0.28510 -0.018
0.27150 -0.21815 0.50859 0.61641 0.28692 -0.164
0.27181 -0.21840 0.50919 0.61714 0.28874 -0.429
0.27213 -0.21866 0.50978 0.61786 0.29056 -0.238
0.27245 -0.21891 0.51038 0.61858 0.29238 0.160
0.27277 -0.21917 0.51098 0.61930 0.29420 -0.351
0.27308 -0.21942 0.51157 0.62002 0.29602 0.124
0.27340 -0.21968 0.51217 0.62074 0.29785 0.090
0.27372 -0.21993 0.51276 0.62146 0.29967 -0.046
0.27404 -0.22019 0.51336 0.62219 0.30149 0.158
0.27436 -0.22045 0.51395 0.62291 0.30331 0.568
0.27467 -0.22070 0.51455 0.62363 0.30513 0.192
0.27499 -0.22096 0.51514 0.62435 0.30695 -0.014
0.27531 -0.22121 0.51574 0.62507 0.30877 0.123
0.27563 -0.22147 0.51634 0.62580 0.31060 0.157
0.27595 -0.22172 0.51693 0.62652 0.31242 -0.152
0.27626 -0.22198 0.51753 0.62724 0.31424 0.053
0.27658 -0.22223 0.51812 0.62796 0.31606 0.192
0.27690 -0.22249 0.51872 0.62868 0.31788 -0.185
0.27722 -0.22274 0.51931 0.62941 0.31971 -0.083
0.27754 -0.22300 0.51991 0.63013 0.32153 -0.049
0.27785 -0.22326 0.52050 0.63085 0.32335 0.260
0.27817 -0.22351 0.52110 0.63157 0.32517 -0.154
0.27849 -0.22377 0.52170 0.63229 0.32699 0.051
0.27881 -0.22402 0.52229 0.63302 0.32882 -0.327
0.27913 -0.22428 0.52289 0.63374 0.33064 0.085
0.27944 -0.22453 0.52348 0.63446 0.33246 0.222
0.27976 -0.22479 0.52408 0.63518 0.33428 0.152
0.28008 -0.22504 0.52468 0.63590 0.33611 -0.124
0.28040 -0.22530 0.52527 0.63663 0.33793 -0.021
0.28072 -0.22556 0.52587 0.63735 0.33975 0.324
0.28103 -0.22581 0.52646 0.63807 0.34158 -0.022
0.28135 -0.22607 0.52706 0.63879 0.34340 0.254
0.28167 -0.22632 0.52765 0.63952 0.34522 -0.022
0.28199 -0.22658 0.52825 0.64024 0.34704 0.012
0.28231 -0.22683 0.52885 0.64096 0.34887 -0.031
0.28262 -0.22709 0.52944 0.64168 0.35069 -0.315
0.28294 -0.22735 0.53004 0.64240 0.35251 -0.035
0.28326 -0.22760 0.53063 0.64313 0.35434 0.035
0.28358 -0.22786 0.53123 0.64385 0.35616 -0.036
0.28390 -0.22811 0.53183 0.64457 0.35798 -0.177
0.28422 -0.22837 0.53242 0.64529 0.35981 -0.459
0.28453 -0.22862 0.53302 0.64602 0.36163 -0.179
0.28485 -0.22888 0.53362 0.64674 0.36345 -0.391
0.28517 -0.22913 0.53421 0.64746 0.36528 0.241
0.28549 -0.22939 0.53481 0.64818 0.36710 0.592
0.28581 -0.22965 0.53540 0.64891 0.36892 -0.254
0.28613 -0.22990 0.53600 0.64963 0.37075 -0.043
0.28644 -0.23016 0.53660 0.65035 0.37257 -0.043
0.28676 -0.23041 0.53719 0.65108 0.37440 -0.257
0.28708 -0.23067 0.53779 0.65180 0.37622 -0.118
0.28740 -0.23093 0.53839 0.65252 0.37804 0.022
0.28772 -0.23118 0.53898 0.65324 0.37987 -0.331
0.28803 -0.23144 0.53958 0.65397 0.38169 0.235
0.28835 -0.23169 0.54017 0.65469 0.38352 0.518
0.28867 -0.23195 0.54077 0.65541 0.38534 0.730
0.28899 -0.23220 0.54137 0.65613 0.38716 0.588
0.28931 -0.23246 0.54196 0.65686 0.38899 0.801
0.28963 -0.23272 0.54256 0.65758 0.39081 0.871
0.28995 -0.23297 0.54316 0.65830 0.39264 0.587
0.29026 -0.23323 0.54375 0.65903 0.39446 0.871
0.29058 -0.23348 0.54435 0.65975 0.39629 0.941
0.29090 -0.23374 0.54495 0.66047 0.39811 0.656
0.29122 -0.23400 0.54554 0.66120 0.39994 0.585
0.29154 -0.23425 0.54614 0.66192 0.40176 0.656
