x y z dist_scaled dist_frac flux_norm
0.01953 -0.21469 0.45413 0.50270 0.00000 0.996
0.01956 -0.21499 0.45478 0.50342 0.00181 1.024
0.01959 -0.21530 0.45543 0.50413 0.00362 1.078
0.01961 -0.21561 0.45607 0.50485 0.00543 0.995
0.01964 -0.21591 0.45672 0.50557 0.00724 0.968
0.01967 -0.21622 0.45737 0.50629 0.00906 0.858
0.01970 -0.21653 0.45802 0.50700 0.01087 1.160
0.01973 -0.21683 0.45867 0.50772 0.01268 0.832
0.01975 -0.21714 0.45932 0.50844 0.01449 0.667
0.01978 -0.21745 0.45997 0.50916 0.01630 1.022
0.01981 -0.21775 0.46061 0.50988 0.01811 1.077
0.01984 -0.21806 0.46126 0.51059 0.01992 1.050
0.01987 -0.21836 0.46191 0.51131 0.02174 1.187
0.01989 -0.21867 0.46256 0.51203 0.02355 0.996
0.01992 -0.21898 0.46321 0.51275 0.02536 1.050
0.01995 -0.21928 0.46386 0.51347 0.02717 0.750
0.01998 -0.21959 0.46451 0.51418 0.02898 1.023
0.02001 -0.21990 0.46515 0.51490 0.03080 0.804
0.02003 -0.22020 0.46580 0.51562 0.03261 1.051
0.02006 -0.22051 0.46645 0.51634 0.03442 1.188
0.02009 -0.22082 0.46710 0.51706 0.03623 0.942
0.02012 -0.22113 0.46775 0.51778 0.03804 0.724
0.02015 -0.22143 0.46840 0.51849 0.03986 1.325
0.02017 -0.22174 0.46905 0.51921 0.04167 0.915
0.02020 -0.22205 0.46970 0.51993 0.04348 0.860
0.02023 -0.22235 0.47035 0.52065 0.04529 1.107
0.02026 -0.22266 0.47099 0.52137 0.04711 0.752
0.02028 -0.22297 0.47164 0.52209 0.04892 1.189
0.02031 -0.22327 0.47229 0.52280 0.05073 1.408
0.02034 -0.22358 0.47294 0.52352 0.05254 1.246
0.02037 -0.22389 0.47359 0.52424 0.05436 1.114
0.02040 -0.22419 0.47424 0.52496 0.05617 0.790
0.02042 -0.22450 0.47489 0.52568 0.05798 0.967
0.02045 -0.22481 0.47554 0.52640 0.05980 1.435
0.02048 -0.22511 0.47619 0.52711 0.06161 1.144
0.02051 -0.22542 0.47684 0.52783 0.06342 1.042
0.02054 -0.22573 0.47749 0.52855 0.06524 1.017
0.02056 -0.22603 0.47813 0.52927 0.06705 0.848
0.02059 -0.22634 0.47878 0.52999 0.06886 0.929
0.02062 -0.22665 0.47943 0.53071 0.07068 1.007
0.02065 -0.22696 0.48008 0.53143 0.07249 1.119
0.02068 -0.22726 0.48073 0.53214 0.07430 0.789
0.02070 -0.22757 0.48138 0.53286 0.07612 1.019
0.02073 -0.22788 0.48203 0.53358 0.07793 0.956
0.02076 -0.22818 0.48268 0.53430 0.07974 0.943
0.02079 -0.22849 0.48333 0.53502 0.08156 1.207
0.02082 -0.22880 0.48398 0.53574 0.08337 0.964
0.02084 -0.22910 0.48463 0.53646 0.08518 0.548
0.02087 -0.22941 0.48528 0.53718 0.08700 0.547
0.02090 -0.22972 0.48593 0.53790 0.08881 0.977
0.02093 -0.23002 0.48658 0.53861 0.09063 0.895
0.02095 -0.23033 0.48723 0.53933 0.09244 0.946
0.02098 -0.23064 0.48788 0.54005 0.09426 0.863
0.02101 -0.23095 0.48852 0.54077 0.09607 0.890
0.02104 -0.23125 0.48917 0.54149 0.09788 0.862
0.02107 -0.23156 0.48982 0.54221 0.09970 0.835
0.02109 -0.23187 0.49047 0.54293 0.10151 0.973
0.02112 -0.23217 0.49112 0.54365 0.10333 1.110
0.02115 -0.23248 0.49177 0.54437 0.10514 0.863
0.02118 -0.23279 0.49242 0.54509 0.10696 0.918
0.02121 -0.23310 0.49307 0.54581 0.10877 0.917
0.02123 -0.23340 0.49372 0.54652 0.11059 0.944
0.02126 -0.23371 0.49437 0.54724 0.11240 1.191
0.02129 -0.23402 0.49502 0.54796 0.11422 0.972
0.02132 -0.23432 0.49567 0.54868 0.11603 1.138
0.02135 -0.23463 0.49632 0.54940 0.11785 0.727
0.02137 -0.23494 0.49697 0.55012 0.11966 0.948
0.02140 -0.23525 0.49762 0.55084 0.12148 0.949
0.02143 -0.23555 0.49827 0.55156 0.12329 1.195
0.02146 -0.23586 0.49892 0.55228 0.12511 0.920
0.02149 -0.23617 0.49957 0.55300 0.12692 0.753
0.02151 -0.23648 0.50022 0.55372 0.12874 1.055
0.02154 -0.23678 0.50087 0.55444 0.13055 1.192
0.02157 -0.23709 0.50152 0.55516 0.13237 0.696
0.02160 -0.23740 0.50217 0.55588 0.13418 1.248
0.02163 -0.23770 0.50282 0.55660 0.13600 1.055
0.02165 -0.23801 0.50347 0.55732 0.13782 0.863
0.02168 -0.23832 0.50412 0.55804 0.13963 1.028
0.02171 -0.23863 0.50477 0.55876 0.14145 0.724
0.02174 -0.23893 0.50542 0.55948 0.14326 1.028
0.02177 -0.23924 0.50607 0.56019 0.14508 0.808
0.02179 -0.23955 0.50672 0.56091 0.14689 0.974
0.02182 -0.23986 0.50737 0.56163 0.14871 1.085
0.02185 -0.24016 0.50802 0.56235 0.15053 0.810
0.02188 -0.24047 0.50867 0.56307 0.15234 0.949
0.02191 -0.24078 0.50932 0.56379 0.15416 1.171
0.02193 -0.24109 0.50997 0.56451 0.15598 1.088
0.02196 -0.24139 0.51062 0.56523 0.15779 0.895
0.02199 -0.24170 0.51127 0.56595 0.15961 1.117
0.02202 -0.24201 0.51192 0.56667 0.16143 1.255
0.02204 -0.24232 0.51257 0.56739 0.16324 1.033
0.02207 -0.24262 0.51322 0.56811 0.16506 0.895
0.02210 -0.24293 0.51387 0.56883 0.16688 1.063
0.02213 -0.24324 0.51453 0.56955 0.16869 0.814
0.02216 -0.24355 0.51518 0.57027 0.17051 1.064
0.02218 -0.24385 0.51583 0.57099 0.17233 1.120
0.02221 -0.24416 0.51648 0.57171 0.17414 0.981
0.02224 -0.24447 0.51713 0.57243 0.17596 0.871
0.02227 -0.24478 0.51778 0.57315 0.17778 1.009
0.02230 -0.24508 0.51843 0.57387 0.17959 1.288
0.02232 -0.24539 0.51908 0.57459 0.18141 0.928
0.02235 -0.24570 0.51973 0.57531 0.18323 0.956
0.02238 -0.24601 0.52038 0.57603 0.18505 0.706
0.02241 -0.24631 0.52103 0.57675 0.18686 1.069
0.02244 -0.24662 0.52168 0.57748 0.18868 1.154
0.02246 -0.24693 0.52233 0.57820 0.19050 1.323
0.02249 -0.24724 0.52298 0.57892 0.19232 0.988
0.02252 -0.24754 0.52363 0.57964 0.19413 0.988
0.02255 -0.24785 0.52429 0.58036 0.19595 1.101
0.02258 -0.24816 0.52494 0.58108 0.19777 0.851
0.02260 -0.24847 0.52559 0.58180 0.19959 0.712
0.02263 -0.24877 0.52624 0.58252 0.20141 1.049
0.02266 -0.24908 0.52689 0.58324 0.20322 0.966
0.02269 -0.24939 0.52754 0.58396 0.20504 1.059
0.02272 -0.24970 0.52819 0.58468 0.20686 1.290
0.02274 -0.25001 0.52884 0.58540 0.20868 1.321
0.02277 -0.25031 0.52949 0.58612 0.21050 1.123
0.02280 -0.25062 0.53014 0.58684 0.21231 1.198
0.02283 -0.25093 0.53079 0.58756 0.21413 0.710
0.02286 -0.25124 0.53145 0.58828 0.21595 0.917
0.02288 -0.25154 0.53210 0.58900 0.21777 1.229
