x y z dist_scaled dist_frac absorption
0.01951 -0.21449 0.45372 0.50225 0.00000 0.061
0.01954 -0.21480 0.45437 0.50296 0.00181 0.060
0.01957 -0.21511 0.45502 0.50368 0.00362 -0.044
0.01960 -0.21541 0.45567 0.50440 0.00543 -0.097
0.01963 -0.21572 0.45632 0.50512 0.00724 0.266
0.01965 -0.21603 0.45696 0.50584 0.00906 0.135
0.01968 -0.21633 0.45761 0.50655 0.01087 -0.022
0.01971 -0.21664 0.45826 0.50727 0.01268 0.107
0.01974 -0.21695 0.45891 0.50799 0.01449 0.393
0.01976 -0.21725 0.45956 0.50871 0.01630 0.028
0.01979 -0.21756 0.46021 0.50942 0.01811 0.001
0.01982 -0.21787 0.46085 0.51014 0.01992 -0.104
0.01985 -0.21817 0.46150 0.51086 0.02174 0.051
0.01988 -0.21848 0.46215 0.51158 0.02355 -0.002
0.01990 -0.21878 0.46280 0.51230 0.02536 0.024
0.01993 -0.21909 0.46345 0.51301 0.02717 0.284
0.01996 -0.21940 0.46410 0.51373 0.02898 -0.110
0.01999 -0.21970 0.46475 0.51445 0.03080 0.387
0.02002 -0.22001 0.46539 0.51517 0.03261 -0.112
0.02004 -0.22032 0.46604 0.51589 0.03442 -0.061
0.02007 -0.22062 0.46669 0.51660 0.03623 -0.036
0.02010 -0.22093 0.46734 0.51732 0.03804 0.278
0.02013 -0.22124 0.46799 0.51804 0.03986 -0.143
0.02016 -0.22154 0.46864 0.51876 0.04167 0.119
0.02018 -0.22185 0.46929 0.51948 0.04348 0.224
0.02021 -0.22216 0.46994 0.52019 0.04529 -0.015
0.02024 -0.22246 0.47058 0.52091 0.04711 0.116
0.02027 -0.22277 0.47123 0.52163 0.04892 -0.096
0.02029 -0.22308 0.47188 0.52235 0.05073 -0.308
0.02032 -0.22338 0.47253 0.52307 0.05254 -0.152
0.02035 -0.22369 0.47318 0.52379 0.05436 -0.236
0.02038 -0.22400 0.47383 0.52450 0.05617 0.260
0.02041 -0.22431 0.47448 0.52522 0.05798 0.123
0.02043 -0.22461 0.47513 0.52594 0.05980 -0.304
0.02046 -0.22492 0.47578 0.52666 0.06161 -0.138
0.02049 -0.22523 0.47642 0.52738 0.06342 -0.012
0.02052 -0.22553 0.47707 0.52810 0.06524 0.128
0.02055 -0.22584 0.47772 0.52881 0.06705 0.088
0.02057 -0.22615 0.47837 0.52953 0.06886 -0.017
0.02060 -0.22645 0.47902 0.53025 0.07068 -0.035
0.02063 -0.22676 0.47967 0.53097 0.07249 0.034
0.02066 -0.22707 0.48032 0.53169 0.07430 0.160
0.02069 -0.22737 0.48097 0.53241 0.07612 0.016
0.02071 -0.22768 0.48162 0.53313 0.07793 -0.026
0.02074 -0.22799 0.48227 0.53384 0.07974 0.111
0.02077 -0.22829 0.48292 0.53456 0.08156 0.015
0.02080 -0.22860 0.48356 0.53528 0.08337 0.022
0.02083 -0.22891 0.48421 0.53600 0.08518 0.315
