x y z dist_scaled dist_frac flux_norm wavelength redshift
-0.02335 0.12144 0.48676 0.50222 0.00000 1.132 1574.214 0.01681
-0.02339 0.12161 0.48745 0.50294 0.00181 1.032 1574.251 0.01683
-0.02342 0.12179 0.48815 0.50365 0.00362 1.182 1574.288 0.01685
-0.02345 0.12196 0.48884 0.50437 0.00543 1.082 1574.325 0.01688
-0.02349 0.12213 0.48954 0.50509 0.00724 1.331 1574.361 0.01690
-0.02352 0.12231 0.49023 0.50581 0.00906 1.029 1574.398 0.01692
-0.02355 0.12248 0.49093 0.50653 0.01087 1.176 1574.435 0.01695
-0.02359 0.12265 0.49163 0.50724 0.01268 1.026 1574.471 0.01697
-0.02362 0.12283 0.49232 0.50796 0.01449 0.924 1574.508 0.01700
-0.02365 0.12300 0.49302 0.50868 0.01630 0.924 1574.545 0.01702
-0.02369 0.12318 0.49371 0.50940 0.01811 0.875 1574.582 0.01704
-0.02372 0.12335 0.49441 0.51012 0.01992 0.824 1574.618 0.01707
-0.02375 0.12352 0.49510 0.51083 0.02174 0.923 1574.655 0.01709
-0.02379 0.12370 0.49580 0.51155 0.02355 0.973 1574.692 0.01711
-0.02382 0.12387 0.49650 0.51227 0.02536 1.473 1574.728 0.01714
-0.02385 0.12404 0.49719 0.51299 0.02717 1.324 1574.765 0.01716
-0.02389 0.12422 0.49789 0.51371 0.02898 1.026 1574.802 0.01719
-0.02392 0.12439 0.49858 0.51442 0.03080 0.628 1574.839 0.01721
-0.02395 0.12456 0.49928 0.51514 0.03261 0.628 1574.875 0.01723
-0.02399 0.12474 0.49998 0.51586 0.03442 0.928 1574.912 0.01726
-0.02402 0.12491 0.50067 0.51658 0.03623 0.628 1574.949 0.01728
-0.02405 0.12509 0.50137 0.51730 0.03804 0.976 1574.986 0.01730
-0.02409 0.12526 0.50206 0.51801 0.03986 0.278 1575.022 0.01733
-0.02412 0.12543 0.50276 0.51873 0.04167 1.076 1575.059 0.01735
-0.02415 0.12561 0.50346 0.51945 0.04348 0.727 1575.096 0.01738
-0.02419 0.12578 0.50415 0.52017 0.04529 1.125 1575.132 0.01740
-0.02422 0.12595 0.50485 0.52089 0.04711 0.827 1575.169 0.01742
-0.02425 0.12613 0.50555 0.52161 0.04892 1.176 1575.206 0.01745
-0.02429 0.12630 0.50624 0.52232 0.05073 0.977 1575.243 0.01747
-0.02432 0.12648 0.50694 0.52304 0.05254 0.580 1575.279 0.01749
