x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.29382 0.06593 0.40253 0.50270 0.00000 0.795 0.154 1574.239 0.01682
-0.29424 0.06602 0.40310 0.50342 0.00181 1.015 0.169 1574.276 0.01685
-0.29466 0.06612 0.40368 0.50413 0.00362 0.905 0.162 1574.312 0.01687
-0.29508 0.06621 0.40425 0.50485 0.00543 0.812 0.155 1574.349 0.01689
-0.29550 0.06630 0.40483 0.50557 0.00724 1.069 0.172 1574.386 0.01692
-0.29592 0.06640 0.40540 0.50629 0.00906 1.106 0.175 1574.422 0.01694
-0.29634 0.06649 0.40598 0.50700 0.01087 1.161 0.178 1574.459 0.01696
-0.29676 0.06659 0.40655 0.50772 0.01268 0.813 0.155 1574.496 0.01699
-0.29718 0.06668 0.40712 0.50844 0.01449 0.795 0.154 1574.533 0.01701
-0.29760 0.06678 0.40770 0.50916 0.01630 1.125 0.176 1574.569 0.01704
-0.29802 0.06687 0.40827 0.50988 0.01811 0.998 0.168 1574.606 0.01706
-0.29844 0.06696 0.40885 0.51059 0.01992 1.015 0.169 1574.643 0.01708
-0.29886 0.06706 0.40942 0.51131 0.02174 1.181 0.179 1574.680 0.01711
-0.29928 0.06715 0.41000 0.51203 0.02355 0.778 0.152 1574.716 0.01713
-0.29970 0.06725 0.41057 0.51275 0.02536 0.887 0.160 1574.753 0.01715
-0.30011 0.06734 0.41115 0.51347 0.02717 0.630 0.141 1574.790 0.01718
-0.30053 0.06743 0.41172 0.51418 0.02898 0.813 0.155 1574.826 0.01720
-0.30095 0.06753 0.41230 0.51490 0.03080 0.813 0.155 1574.863 0.01723
-0.30137 0.06762 0.41287 0.51562 0.03261 1.180 0.179 1574.900 0.01725
-0.30179 0.06772 0.41345 0.51634 0.03442 1.034 0.170 1574.937 0.01727
-0.30221 0.06781 0.41402 0.51706 0.03623 1.052 0.171 1574.973 0.01730
-0.30263 0.06791 0.41460 0.51778 0.03804 0.941 0.164 1575.010 0.01732
-0.30305 0.06800 0.41517 0.51849 0.03986 1.437 0.194 1575.047 0.01734
-0.30347 0.06809 0.41575 0.51921 0.04167 1.345 0.189 1575.083 0.01737
-0.30389 0.06819 0.41633 0.51993 0.04348 1.199 0.180 1575.120 0.01739
-0.30431 0.06828 0.41690 0.52065 0.04529 0.905 0.161 1575.157 0.01742
-0.30473 0.06838 0.41748 0.52137 0.04711 0.961 0.165 1575.194 0.01744
-0.30515 0.06847 0.41805 0.52209 0.04892 0.924 0.162 1575.230 0.01746
-0.30557 0.06856 0.41863 0.52280 0.05073 0.943 0.164 1575.267 0.01749
-0.30599 0.06866 0.41920 0.52352 0.05254 0.869 0.159 1575.304 0.01751
-0.30641 0.06875 0.41978 0.52424 0.05436 0.998 0.167 1575.340 0.01753
-0.30683 0.06885 0.42035 0.52496 0.05617 1.015 0.169 1575.377 0.01756
-0.30725 0.06894 0.42093 0.52568 0.05798 1.162 0.178 1575.414 0.01758
-0.30767 0.06904 0.42150 0.52640 0.05980 0.832 0.156 1575.451 0.01760
-0.30809 0.06913 0.42208 0.52711 0.06161 0.905 0.161 1575.487 0.01763
-0.30851 0.06922 0.42265 0.52783 0.06342 0.984 0.166 1575.524 0.01765
-0.30893 0.06932 0.42323 0.52855 0.06524 1.218 0.181 1575.561 0.01768
-0.30935 0.06941 0.42380 0.52927 0.06705 0.926 0.163 1575.598 0.01770
-0.30977 0.06951 0.42438 0.52999 0.06886 1.014 0.169 1575.634 0.01772
-0.31019 0.06960 0.42496 0.53071 0.07068 0.972 0.167 1575.671 0.01775
-0.31061 0.06970 0.42553 0.53143 0.07249 1.008 0.169 1575.708 0.01777
-0.31103 0.06979 0.42611 0.53214 0.07430 0.821 0.156 1575.744 0.01779
-0.31145 0.06988 0.42668 0.53286 0.07612 1.007 0.168 1575.781 0.01782
-0.31187 0.06998 0.42726 0.53358 0.07793 0.923 0.162 1575.818 0.01784
-0.31229 0.07007 0.42783 0.53430 0.07974 0.798 0.153 1575.855 0.01787
-0.31271 0.07017 0.42841 0.53502 0.08156 1.063 0.172 1575.891 0.01789
