x y z dist_scaled dist_frac absorption
-0.29542 0.15331 0.37613 0.50225 0.00000 0.134
-0.29584 0.15353 0.37667 0.50296 0.00181 0.345
-0.29626 0.15375 0.37721 0.50368 0.00362 0.237
-0.29668 0.15397 0.37775 0.50440 0.00543 0.396
-0.29711 0.15419 0.37828 0.50512 0.00724 -0.309
-0.29753 0.15441 0.37882 0.50584 0.00906 -0.256
-0.29795 0.15463 0.37936 0.50655 0.01087 0.013
-0.29837 0.15485 0.37989 0.50727 0.01268 0.119
-0.29879 0.15507 0.38043 0.50799 0.01449 -0.318
-0.29922 0.15528 0.38097 0.50871 0.01630 0.280
-0.29964 0.15550 0.38151 0.50942 0.01811 -0.103
-0.30006 0.15572 0.38205 0.51014 0.01992 -0.106
-0.30048 0.15594 0.38258 0.51086 0.02174 -0.107
-0.30091 0.15616 0.38312 0.51158 0.02355 -0.164
-0.30133 0.15638 0.38366 0.51230 0.02536 0.385
-0.30175 0.15660 0.38420 0.51301 0.02717 0.162
-0.30217 0.15682 0.38473 0.51373 0.02898 -0.007
-0.30259 0.15704 0.38527 0.51445 0.03080 0.156
-0.30302 0.15726 0.38581 0.51517 0.03261 -0.119
-0.30344 0.15748 0.38635 0.51589 0.03442 -0.456
-0.30386 0.15770 0.38688 0.51660 0.03623 0.263
-0.30428 0.15791 0.38742 0.51732 0.03804 -0.129
-0.30471 0.15813 0.38796 0.51804 0.03986 -0.242
-0.30513 0.15835 0.38850 0.51876 0.04167 0.147
-0.30555 0.15857 0.38904 0.51948 0.04348 0.033
-0.30597 0.15879 0.38957 0.52019 0.04529 0.367
-0.30640 0.15901 0.39011 0.52091 0.04711 -0.477
-0.30682 0.15923 0.39065 0.52163 0.04892 0.194
-0.30724 0.15945 0.39119 0.52235 0.05073 0.194
-0.30766 0.15967 0.39172 0.52307 0.05254 0.078
-0.30809 0.15989 0.39226 0.52379 0.05436 0.134
-0.30851 0.16011 0.39280 0.52450 0.05617 -0.943
-0.30893 0.16033 0.39334 0.52522 0.05798 -0.209
-0.30935 0.16055 0.39388 0.52594 0.05980 0.070
-0.30978 0.16076 0.39441 0.52666 0.06161 -0.160
-0.31020 0.16098 0.39495 0.52738 0.06342 -0.003
-0.31062 0.16120 0.39549 0.52810 0.06524 0.342
-0.31104 0.16142 0.39603 0.52881 0.06705 0.346
-0.31147 0.16164 0.39657 0.52953 0.06886 -0.137
-0.31189 0.16186 0.39710 0.53025 0.07068 -0.142
-0.31231 0.16208 0.39764 0.53097 0.07249 -0.165
-0.31273 0.16230 0.39818 0.53169 0.07430 -0.280
-0.31316 0.16252 0.39872 0.53241 0.07612 -0.572
-0.31358 0.16274 0.39926 0.53313 0.07793 0.024
-0.31400 0.16296 0.39980 0.53384 0.07974 -0.200
-0.31443 0.16318 0.40033 0.53456 0.08156 0.356
-0.31485 0.16340 0.40087 0.53528 0.08337 0.032
-0.31527 0.16362 0.40141 0.53600 0.08518 0.048
-0.31569 0.16384 0.40195 0.53672 0.08700 0.124
-0.31612 0.16405 0.40249 0.53744 0.08881 -0.142
-0.31654 0.16427 0.40303 0.53816 0.09063 0.182
-0.31696 0.16449 0.40356 0.53887 0.09244 -0.092
-0.31738 0.16471 0.40410 0.53959 0.09426 0.510
-0.31781 0.16493 0.40464 0.54031 0.09607 0.039
-0.31823 0.16515 0.40518 0.54103 0.09788 -0.009
-0.31865 0.16537 0.40572 0.54175 0.09970 0.050
-0.31908 0.16559 0.40626 0.54247 0.10151 -0.012
-0.31950 0.16581 0.40679 0.54319 0.10333 -0.071
-0.31992 0.16603 0.40733 0.54391 0.10514 -0.191
-0.32034 0.16625 0.40787 0.54463 0.10696 -0.309
-0.32077 0.16647 0.40841 0.54535 0.10877 0.222
-0.32119 0.16669 0.40895 0.54606 0.11059 -0.075
-0.32161 0.16691 0.40949 0.54678 0.11240 -0.313
-0.32204 0.16713 0.41002 0.54750 0.11422 -0.078
-0.32246 0.16735 0.41056 0.54822 0.11603 -0.377
-0.32288 0.16757 0.41110 0.54894 0.11785 -0.201
-0.32331 0.16779 0.41164 0.54966 0.11966 -0.262
-0.32373 0.16801 0.41218 0.55038 0.12148 0.152
-0.32415 0.16822 0.41272 0.55110 0.12329 0.151
-0.32457 0.16844 0.41326 0.55182 0.12511 -0.506
-0.32500 0.16866 0.41380 0.55254 0.12692 0.084
-0.32542 0.16888 0.41433 0.55326 0.12874 0.080
-0.32584 0.16910 0.41487 0.55398 0.13055 0.207
-0.32627 0.16932 0.41541 0.55470 0.13237 0.386
-0.32669 0.16954 0.41595 0.55541 0.13418 -0.092
-0.32711 0.16976 0.41649 0.55613 0.13600 0.088
-0.32754 0.16998 0.41703 0.55685 0.13782 -0.094
-0.32796 0.17020 0.41757 0.55757 0.13963 -0.156
-0.32838 0.17042 0.41811 0.55829 0.14145 -0.398
-0.32881 0.17064 0.41864 0.55901 0.14326 0.443
-0.32923 0.17086 0.41918 0.55973 0.14508 0.324
-0.32965 0.17108 0.41972 0.56045 0.14689 0.444
-0.33008 0.17130 0.42026 0.56117 0.14871 0.142
-0.33050 0.17152 0.42080 0.56189 0.15053 0.323
-0.33092 0.17174 0.42134 0.56261 0.15234 0.142
-0.33135 0.17196 0.42188 0.56333 0.15416 0.503
-0.33177 0.17218 0.42242 0.56405 0.15598 0.202
-0.33219 0.17240 0.42296 0.56477 0.15779 -0.285
-0.33262 0.17262 0.42349 0.56549 0.15961 -0.168
-0.33304 0.17284 0.42403 0.56621 0.16143 0.198
-0.33346 0.17306 0.42457 0.56693 0.16324 -0.288
-0.33389 0.17328 0.42511 0.56765 0.16506 0.261
-0.33431 0.17350 0.42565 0.56837 0.16688 0.258
-0.33473 0.17372 0.42619 0.56909 0.16869 0.134
-0.33516 0.17394 0.42673 0.56981 0.17051 0.011
-0.33558 0.17416 0.42727 0.57053 0.17233 0.134
