x y z dist_scaled dist_frac flux_norm
-0.34073 0.09829 0.35600 0.50249 0.00000 0.937
-0.34122 0.09843 0.35651 0.50320 0.00181 1.055
-0.34170 0.09857 0.35701 0.50392 0.00362 1.046
-0.34219 0.09871 0.35752 0.50464 0.00543 0.869
-0.34268 0.09885 0.35803 0.50536 0.00724 1.028
-0.34316 0.09899 0.35854 0.50607 0.00906 1.047
-0.34365 0.09913 0.35905 0.50679 0.01087 0.900
-0.34414 0.09927 0.35956 0.50751 0.01268 0.979
-0.34462 0.09942 0.36007 0.50823 0.01449 1.068
-0.34511 0.09956 0.36057 0.50895 0.01630 0.763
-0.34560 0.09970 0.36108 0.50966 0.01811 1.088
-0.34608 0.09984 0.36159 0.51038 0.01992 1.108
-0.34657 0.09998 0.36210 0.51110 0.02174 0.921
-0.34706 0.10012 0.36261 0.51182 0.02355 1.079
-0.34754 0.10026 0.36312 0.51253 0.02536 0.931
-0.34803 0.10040 0.36363 0.51325 0.02717 1.069
-0.34852 0.10054 0.36413 0.51397 0.02898 0.813
-0.34900 0.10068 0.36464 0.51469 0.03080 1.030
-0.34949 0.10082 0.36515 0.51541 0.03261 1.188
-0.34998 0.10096 0.36566 0.51612 0.03442 0.814
-0.35046 0.10110 0.36617 0.51684 0.03623 0.933
-0.35095 0.10124 0.36668 0.51756 0.03804 0.923
-0.35144 0.10138 0.36719 0.51828 0.03986 1.092
-0.35193 0.10152 0.36769 0.51900 0.04167 1.013
-0.35241 0.10166 0.36820 0.51972 0.04348 0.914
-0.35290 0.10180 0.36871 0.52043 0.04529 0.935
-0.35339 0.10194 0.36922 0.52115 0.04711 1.083
-0.35387 0.10208 0.36973 0.52187 0.04892 1.053
-0.35436 0.10222 0.37024 0.52259 0.05073 1.113
-0.35485 0.10236 0.37075 0.52331 0.05254 1.233
-0.35533 0.10251 0.37126 0.52402 0.05436 1.164
-0.35582 0.10265 0.37177 0.52474 0.05617 0.788
-0.35631 0.10279 0.37227 0.52546 0.05798 1.187
-0.35680 0.10293 0.37278 0.52618 0.05980 1.063
-0.35728 0.10307 0.37329 0.52690 0.06161 1.023
-0.35777 0.10321 0.37380 0.52762 0.06342 1.005
-0.35826 0.10335 0.37431 0.52833 0.06524 0.926
-0.35874 0.10349 0.37482 0.52905 0.06705 0.999
-0.35923 0.10363 0.37533 0.52977 0.06886 0.904
-0.35972 0.10377 0.37584 0.53049 0.07068 0.909
-0.36021 0.10391 0.37635 0.53121 0.07249 0.940
-0.36069 0.10405 0.37686 0.53193 0.07430 0.971
-0.36118 0.10419 0.37736 0.53265 0.07612 1.020
-0.36167 0.10433 0.37787 0.53336 0.07793 0.986
-0.36216 0.10447 0.37838 0.53408 0.07974 1.042
-0.36264 0.10461 0.37889 0.53480 0.08156 0.999
-0.36313 0.10475 0.37940 0.53552 0.08337 1.092
-0.36362 0.10489 0.37991 0.53624 0.08518 0.774
-0.36411 0.10504 0.38042 0.53696 0.08700 1.018
-0.36459 0.10518 0.38093 0.53768 0.08881 1.039
-0.36508 0.10532 0.38144 0.53840 0.09063 0.986
-0.36557 0.10546 0.38195 0.53911 0.09244 0.995
-0.36605 0.10560 0.38246 0.53983 0.09426 0.943
-0.36654 0.10574 0.38297 0.54055 0.09607 1.072
-0.36703 0.10588 0.38348 0.54127 0.09788 1.023
-0.36752 0.10602 0.38398 0.54199 0.09970 1.003
-0.36800 0.10616 0.38449 0.54271 0.10151 1.043
-0.36849 0.10630 0.38500 0.54343 0.10333 1.023
-0.36898 0.10644 0.38551 0.54415 0.10514 1.063
-0.36947 0.10658 0.38602 0.54487 0.10696 0.923
-0.36995 0.10672 0.38653 0.54559 0.10877 0.775
-0.37044 0.10686 0.38704 0.54630 0.11059 1.105
-0.37093 0.10700 0.38755 0.54702 0.11240 1.025
-0.37142 0.10714 0.38806 0.54774 0.11422 0.904
-0.37191 0.10729 0.38857 0.54846 0.11603 0.894
-0.37239 0.10743 0.38908 0.54918 0.11785 0.874
-0.37288 0.10757 0.38959 0.54990 0.11966 0.945
-0.37337 0.10771 0.39010 0.55062 0.12148 0.925
-0.37386 0.10785 0.39061 0.55134 0.12329 1.135
-0.37434 0.10799 0.39112 0.55206 0.12511 0.915
-0.37483 0.10813 0.39163 0.55278 0.12692 1.076
-0.37532 0.10827 0.39214 0.55350 0.12874 1.117
-0.37581 0.10841 0.39265 0.55422 0.13055 1.056
-0.37629 0.10855 0.39316 0.55494 0.13237 0.977
-0.37678 0.10869 0.39367 0.55565 0.13418 1.098
-0.37727 0.10883 0.39418 0.55637 0.13600 0.818
-0.37776 0.10897 0.39469 0.55709 0.13782 0.858
-0.37825 0.10911 0.39519 0.55781 0.13963 0.979
-0.37873 0.10926 0.39570 0.55853 0.14145 0.949
-0.37922 0.10940 0.39621 0.55925 0.14326 0.899
-0.37971 0.10954 0.39672 0.55997 0.14508 1.010
-0.38020 0.10968 0.39723 0.56069 0.14689 1.000
-0.38069 0.10982 0.39774 0.56141 0.14871 1.031
-0.38117 0.10996 0.39825 0.56213 0.15053 0.820
-0.38166 0.11010 0.39876 0.56285 0.15234 1.081
-0.38215 0.11024 0.39927 0.56357 0.15416 1.242
-0.38264 0.11038 0.39978 0.56429 0.15598 1.141
-0.38313 0.11052 0.40029 0.56501 0.15779 1.122
-0.38361 0.11066 0.40080 0.56573 0.15961 0.930
-0.38410 0.11080 0.40131 0.56645 0.16143 1.021
-0.38459 0.11094 0.40182 0.56717 0.16324 1.132
-0.38508 0.11109 0.40233 0.56789 0.16506 0.971
-0.38557 0.11123 0.40284 0.56861 0.16688 0.860
-0.38605 0.11137 0.40335 0.56933 0.16869 0.840
-0.38654 0.11151 0.40386 0.57005 0.17051 0.890
-0.38703 0.11165 0.40437 0.57077 0.17233 1.042
-0.38752 0.11179 0.40488 0.57149 0.17414 0.912
-0.38801 0.11193 0.40539 0.57221 0.17596 0.943
-0.38850 0.11207 0.40590 0.57293 0.17778 1.024
-0.38898 0.11221 0.40641 0.57365 0.17959 0.974
-0.38947 0.11235 0.40692 0.57437 0.18141 1.046
-0.38996 0.11249 0.40743 0.57509 0.18323 0.884
-0.39045 0.11263 0.40794 0.57581 0.18505 1.087
-0.39094 0.11278 0.40845 0.57653 0.18686 1.188
-0.39143 0.11292 0.40896 0.57725 0.18868 1.026
-0.39191 0.11306 0.40947 0.57797 0.19050 0.784
-0.39240 0.11320 0.40998 0.57869 0.19232 0.845
-0.39289 0.11334 0.41049 0.57941 0.19413 0.754
-0.39338 0.11348 0.41101 0.58013 0.19595 0.623
-0.39387 0.11362 0.41152 0.58085 0.19777 0.420
-0.39436 0.11376 0.41203 0.58157 0.19959 0.532
-0.39484 0.11390 0.41254 0.58229 0.20141 0.603
-0.39533 0.11404 0.41305 0.58301 0.20322 0.684
-0.39582 0.11418 0.41356 0.58373 0.20504 0.898
-0.39631 0.11433 0.41407 0.58445 0.20686 0.817
-0.39680 0.11447 0.41458 0.58517 0.20868 0.684
-0.39729 0.11461 0.41509 0.58589 0.21050 0.805
-0.39777 0.11475 0.41560 0.58661 0.21231 0.979
-0.39826 0.11489 0.41611 0.58733 0.21413 0.974
-0.39875 0.11503 0.41662 0.58805 0.21595 1.002
-0.39924 0.11517 0.41713 0.58877 0.21777 0.902
-0.39973 0.11531 0.41764 0.58949 0.21959 0.916
-0.40022 0.11545 0.41815 0.59022 0.22141 0.965
-0.40071 0.11559 0.41866 0.59094 0.22323 1.043
-0.40120 0.11573 0.41917 0.59166 0.22504 0.913
-0.40168 0.11588 0.41968 0.59238 0.22686 1.027
-0.40217 0.11602 0.42019 0.59310 0.22868 0.869
-0.40266 0.11616 0.42070 0.59382 0.23050 0.932
-0.40315 0.11630 0.42121 0.59454 0.23232 0.993
-0.40364 0.11644 0.42172 0.59526 0.23414 1.062
-0.40413 0.11658 0.42224 0.59598 0.23596 1.018
-0.40462 0.11672 0.42275 0.59670 0.23778 1.056
-0.40511 0.11686 0.42326 0.59742 0.23960 0.973
-0.40559 0.11700 0.42377 0.59814 0.24142 0.933
-0.40608 0.11714 0.42428 0.59886 0.24324 0.994
-0.40657 0.11729 0.42479 0.59959 0.24505 1.045
-0.40706 0.11743 0.42530 0.60031 0.24687 1.198
-0.40755 0.11757 0.42581 0.60103 0.24869 0.841
-0.40804 0.11771 0.42632 0.60175 0.25051 1.198
-0.40853 0.11785 0.42683 0.60247 0.25233 1.025
-0.40902 0.11799 0.42734 0.60319 0.25415 0.902
-0.40951 0.11813 0.42785 0.60391 0.25597 1.058
-0.40999 0.11827 0.42836 0.60463 0.25779 0.853
-0.41048 0.11841 0.42888 0.60535 0.25961 0.975
-0.41097 0.11856 0.42939 0.60607 0.26143 0.832
-0.41146 0.11870 0.42990 0.60680 0.26325 1.097
-0.41195 0.11884 0.43041 0.60752 0.26507 0.995
-0.41244 0.11898 0.43092 0.60824 0.26689 0.967
-0.41293 0.11912 0.43143 0.60896 0.26871 1.098
-0.41342 0.11926 0.43194 0.60968 0.27053 1.053
-0.41391 0.11940 0.43245 0.61040 0.27235 0.854
-0.41440 0.11954 0.43296 0.61112 0.27417 0.924
-0.41488 0.11968 0.43347 0.61184 0.27599 1.225
-0.41537 0.11982 0.43399 0.61257 0.27782 0.949
-0.41586 0.11997 0.43450 0.61329 0.27964 0.991
-0.41635 0.12011 0.43501 0.61401 0.28146 0.914
-0.41684 0.12025 0.43552 0.61473 0.28328 0.978
-0.41733 0.12039 0.43603 0.61545 0.28510 0.969
-0.41782 0.12053 0.43654 0.61617 0.28692 1.036
-0.41831 0.12067 0.43705 0.61689 0.28874 0.858
-0.41880 0.12081 0.43756 0.61762 0.29056 0.917
-0.41929 0.12095 0.43808 0.61834 0.29238 0.853
-0.41978 0.12110 0.43859 0.61906 0.29420 0.993
-0.42027 0.12124 0.43910 0.61978 0.29602 0.983
-0.42076 0.12138 0.43961 0.62050 0.29785 1.045
-0.42124 0.12152 0.44012 0.62122 0.29967 0.895
-0.42173 0.12166 0.44063 0.62195 0.30149 0.887
-0.42222 0.12180 0.44114 0.62267 0.30331 1.052
-0.42271 0.12194 0.44165 0.62339 0.30513 0.816
-0.42320 0.12208 0.44217 0.62411 0.30695 0.837
-0.42369 0.12222 0.44268 0.62483 0.30877 0.960
-0.42418 0.12237 0.44319 0.62555 0.31060 0.878
-0.42467 0.12251 0.44370 0.62628 0.31242 0.869
-0.42516 0.12265 0.44421 0.62700 0.31424 0.838
-0.42565 0.12279 0.44472 0.62772 0.31606 0.952
-0.42614 0.12293 0.44523 0.62844 0.31788 0.942
-0.42663 0.12307 0.44575 0.62916 0.31971 0.973
-0.42712 0.12321 0.44626 0.62989 0.32153 1.097
-0.42761 0.12335 0.44677 0.63061 0.32335 1.055
-0.42810 0.12350 0.44728 0.63133 0.32517 0.828
-0.42859 0.12364 0.44779 0.63205 0.32699 0.828
-0.42908 0.12378 0.44830 0.63277 0.32882 1.066
