x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.17156 0.24944 0.40131 0.50270 0.00000 1.159 0.218 1574.239 0.01682
0.17180 0.24979 0.40189 0.50342 0.00181 0.873 0.196 1574.276 0.01685
0.17205 0.25015 0.40246 0.50413 0.00362 0.957 0.202 1574.312 0.01687
0.17229 0.25051 0.40303 0.50485 0.00543 1.191 0.219 1574.349 0.01689
0.17254 0.25086 0.40361 0.50557 0.00724 0.726 0.184 1574.386 0.01692
0.17278 0.25122 0.40418 0.50629 0.00906 0.874 0.197 1574.422 0.01694
0.17303 0.25158 0.40475 0.50700 0.01087 1.159 0.217 1574.459 0.01696
0.17327 0.25193 0.40533 0.50772 0.01268 0.832 0.192 1574.496 0.01699
0.17352 0.25229 0.40590 0.50844 0.01449 1.136 0.216 1574.533 0.01701
0.17376 0.25264 0.40647 0.50916 0.01630 1.031 0.209 1574.569 0.01704
0.17401 0.25300 0.40704 0.50988 0.01811 0.906 0.199 1574.606 0.01706
0.17425 0.25336 0.40762 0.51059 0.01992 1.105 0.214 1574.643 0.01708
0.17450 0.25371 0.40819 0.51131 0.02174 1.290 0.227 1574.680 0.01711
0.17474 0.25407 0.40876 0.51203 0.02355 0.996 0.205 1574.716 0.01713
0.17499 0.25443 0.40934 0.51275 0.02536 1.136 0.216 1574.753 0.01715
0.17523 0.25478 0.40991 0.51347 0.02717 0.900 0.197 1574.790 0.01718
0.17548 0.25514 0.41048 0.51418 0.02898 1.250 0.225 1574.826 0.01720
0.17572 0.25549 0.41106 0.51490 0.03080 0.950 0.201 1574.863 0.01723
0.17597 0.25585 0.41163 0.51562 0.03261 0.885 0.182 1574.900 0.01725
0.17621 0.25621 0.41220 0.51634 0.03442 1.176 0.193 1574.937 0.01727
0.17646 0.25656 0.41278 0.51706 0.03623 0.912 0.176 1574.973 0.01730
0.17670 0.25692 0.41335 0.51778 0.03804 1.009 0.183 1575.010 0.01732
0.17695 0.25728 0.41392 0.51849 0.03986 0.798 0.166 1575.047 0.01734
0.17720 0.25763 0.41450 0.51921 0.04167 0.966 0.181 1575.083 0.01737
0.17744 0.25799 0.41507 0.51993 0.04348 0.980 0.181 1575.120 0.01739
0.17769 0.25835 0.41564 0.52065 0.04529 1.189 0.193 1575.157 0.01742
0.17793 0.25870 0.41622 0.52137 0.04711 1.108 0.189 1575.194 0.01744
0.17818 0.25906 0.41679 0.52209 0.04892 0.857 0.172 1575.230 0.01746
0.17842 0.25941 0.41736 0.52280 0.05073 0.989 0.181 1575.267 0.01749
0.17867 0.25977 0.41794 0.52352 0.05254 0.967 0.178 1575.304 0.01751
0.17891 0.26013 0.41851 0.52424 0.05436 1.029 0.182 1575.340 0.01753
0.17916 0.26048 0.41909 0.52496 0.05617 0.883 0.172 1575.377 0.01756
0.17940 0.26084 0.41966 0.52568 0.05798 0.991 0.181 1575.414 0.01758
0.17965 0.26120 0.42023 0.52640 0.05980 1.034 0.184 1575.451 0.01760
0.17989 0.26155 0.42081 0.52711 0.06161 0.815 0.169 1575.487 0.01763
0.18014 0.26191 0.42138 0.52783 0.06342 0.892 0.175 1575.524 0.01765
0.18038 0.26227 0.42195 0.52855 0.06524 0.822 0.169 1575.561 0.01768
0.18063 0.26262 0.42253 0.52927 0.06705 0.870 0.172 1575.598 0.01770
0.18087 0.26298 0.42310 0.52999 0.06886 0.755 0.162 1575.634 0.01772
0.18112 0.26334 0.42367 0.53071 0.07068 1.080 0.187 1575.671 0.01775
0.18136 0.26369 0.42425 0.53143 0.07249 1.137 0.191 1575.708 0.01777
0.18161 0.26405 0.42482 0.53214 0.07430 1.013 0.183 1575.744 0.01779
0.18185 0.26441 0.42540 0.53286 0.07612 0.861 0.172 1575.781 0.01782
0.18210 0.26476 0.42597 0.53358 0.07793 0.947 0.179 1575.818 0.01784
0.18234 0.26512 0.42654 0.53430 0.07974 1.176 0.194 1575.855 0.01787
0.18259 0.26548 0.42712 0.53502 0.08156 1.007 0.183 1575.891 0.01789
0.18284 0.26583 0.42769 0.53574 0.08337 0.841 0.171 1575.928 0.01791
0.18308 0.26619 0.42827 0.53646 0.08518 0.892 0.174 1575.965 0.01794
0.18333 0.26655 0.42884 0.53718 0.08700 1.094 0.189 1576.001 0.01796
0.18357 0.26690 0.42941 0.53790 0.08881 1.096 0.189 1576.038 0.01798
0.18382 0.26726 0.42999 0.53861 0.09063 0.868 0.174 1576.075 0.01801
0.18406 0.26762 0.43056 0.53933 0.09244 0.919 0.176 1576.112 0.01803
0.18431 0.26797 0.43114 0.54005 0.09426 1.331 0.205 1576.148 0.01806
0.18455 0.26833 0.43171 0.54077 0.09607 1.055 0.186 1576.185 0.01808
0.18480 0.26869 0.43228 0.54149 0.09788 0.905 0.176 1576.222 0.01810
0.18504 0.26904 0.43286 0.54221 0.09970 1.028 0.185 1576.259 0.01813
0.18529 0.26940 0.43343 0.54293 0.10151 1.165 0.194 1576.295 0.01815
0.18553 0.26976 0.43401 0.54365 0.10333 0.964 0.179 1576.332 0.01817
0.18578 0.27011 0.43458 0.54437 0.10514 0.971 0.181 1576.369 0.01820
0.18603 0.27047 0.43515 0.54509 0.10696 0.981 0.181 1576.405 0.01822
0.18627 0.27083 0.43573 0.54581 0.10877 0.966 0.181 1576.442 0.01825
0.18652 0.27119 0.43630 0.54652 0.11059 1.053 0.187 1576.479 0.01827
0.18676 0.27154 0.43688 0.54724 0.11240 0.984 0.183 1576.516 0.01829
0.18701 0.27190 0.43745 0.54796 0.11422 1.127 0.193 1576.552 0.01832
0.18725 0.27226 0.43802 0.54868 0.11603 0.754 0.165 1576.589 0.01834
0.18750 0.27261 0.43860 0.54940 0.11785 1.022 0.185 1576.626 0.01836
0.18774 0.27297 0.43917 0.55012 0.11966 0.994 0.183 1576.662 0.01839
0.18799 0.27333 0.43975 0.55084 0.12148 0.754 0.166 1576.699 0.01841
0.18823 0.27368 0.44032 0.55156 0.12329 0.845 0.172 1576.736 0.01843
0.18848 0.27404 0.44090 0.55228 0.12511 0.975 0.181 1576.773 0.01846
0.18873 0.27440 0.44147 0.55300 0.12692 0.807 0.169 1576.809 0.01848
0.18897 0.27475 0.44204 0.55372 0.12874 0.871 0.174 1576.846 0.01851
0.18922 0.27511 0.44262 0.55444 0.13055 0.808 0.169 1576.883 0.01853
0.18946 0.27547 0.44319 0.55516 0.13237 0.852 0.172 1576.919 0.01855
0.18971 0.27583 0.44377 0.55588 0.13418 1.102 0.190 1576.956 0.01858
0.18995 0.27618 0.44434 0.55660 0.13600 1.147 0.193 1576.993 0.01860
0.19020 0.27654 0.44492 0.55732 0.13782 1.126 0.192 1577.030 0.01862
0.19044 0.27690 0.44549 0.55804 0.13963 0.884 0.176 1577.066 0.01865
0.19069 0.27725 0.44607 0.55876 0.14145 0.780 0.167 1577.103 0.01867
0.19094 0.27761 0.44664 0.55948 0.14326 1.168 0.195 1577.140 0.01870
0.19118 0.27797 0.44722 0.56019 0.14508 1.054 0.188 1577.177 0.01872
0.19143 0.27833 0.44779 0.56091 0.14689 1.106 0.191 1577.213 0.01874
0.19167 0.27868 0.44836 0.56163 0.14871 0.962 0.181 1577.250 0.01877
0.19192 0.27904 0.44894 0.56235 0.15053 1.146 0.194 1577.287 0.01879
0.19216 0.27940 0.44951 0.56307 0.15234 1.143 0.194 1577.323 0.01881
0.19241 0.27975 0.45009 0.56379 0.15416 1.055 0.188 1577.360 0.01884
0.19266 0.28011 0.45066 0.56451 0.15598 0.875 0.175 1577.397 0.01886
0.19290 0.28047 0.45124 0.56523 0.15779 1.115 0.191 1577.434 0.01889
0.19315 0.28083 0.45181 0.56595 0.15961 1.050 0.187 1577.470 0.01891
0.19339 0.28118 0.45239 0.56667 0.16143 0.622 0.154 1577.507 0.01893
0.19364 0.28154 0.45296 0.56739 0.16324 1.109 0.191 1577.544 0.01896
0.19388 0.28190 0.45354 0.56811 0.16506 1.206 0.219 1577.580 0.01898
0.19413 0.28225 0.45411 0.56883 0.16688 0.917 0.205 1577.617 0.01900
0.19438 0.28261 0.45469 0.56955 0.16869 1.068 0.218 1577.654 0.01903
0.19462 0.28297 0.45526 0.57027 0.17051 0.891 0.202 1577.691 0.01905
0.19487 0.28333 0.45584 0.57099 0.17233 1.015 0.213 1577.727 0.01908
0.19511 0.28368 0.45641 0.57171 0.17414 1.187 0.226 1577.764 0.01910
0.19536 0.28404 0.45699 0.57243 0.17596 0.848 0.201 1577.801 0.01912
0.19560 0.28440 0.45756 0.57315 0.17778 1.191 0.226 1577.837 0.01915
0.19585 0.28476 0.45814 0.57387 0.17959 1.271 0.232 1577.874 0.01917
0.19610 0.28511 0.45871 0.57459 0.18141 1.202 0.230 1577.911 0.01919
0.19634 0.28547 0.45929 0.57531 0.18323 1.148 0.224 1577.948 0.01922
0.19659 0.28583 0.45986 0.57603 0.18505 0.983 0.212 1577.984 0.01924
0.19683 0.28619 0.46044 0.57675 0.18686 1.167 0.226 1578.021 0.01927
0.19708 0.28654 0.46101 0.57748 0.18868 1.124 0.223 1578.058 0.01929
0.19732 0.28690 0.46159 0.57820 0.19050 1.047 0.217 1578.095 0.01931
0.19757 0.28726 0.46216 0.57892 0.19232 0.930 0.207 1578.131 0.01934
0.19782 0.28761 0.46274 0.57964 0.19413 0.895 0.205 1578.168 0.01936
0.19806 0.28797 0.46331 0.58036 0.19595 1.077 0.245 1578.205 0.01938
0.19831 0.28833 0.46389 0.58108 0.19777 1.045 0.257 1578.241 0.01941
0.19855 0.28869 0.46446 0.58180 0.19959 1.211 0.273 1578.278 0.01943
0.19880 0.28904 0.46504 0.58252 0.20141 1.255 0.275 1578.315 0.01945
0.19905 0.28940 0.46561 0.58324 0.20322 0.686 0.220 1578.352 0.01948
0.19929 0.28976 0.46619 0.58396 0.20504 0.825 0.212 1578.388 0.01950
0.19954 0.29012 0.46676 0.58468 0.20686 0.973 0.213 1578.425 0.01953
0.19978 0.29047 0.46734 0.58540 0.20868 1.182 0.227 1578.462 0.01955
0.20003 0.29083 0.46791 0.58612 0.21050 1.229 0.212 1578.498 0.01957
0.20028 0.29119 0.46849 0.58684 0.21231 0.766 0.170 1578.535 0.01960
0.20052 0.29155 0.46906 0.58756 0.21413 1.036 0.190 1578.572 0.01962
0.20077 0.29191 0.46964 0.58828 0.21595 1.120 0.196 1578.609 0.01964
