x y z dist_scaled dist_frac flux_norm
0.11808 0.29921 0.38603 0.50249 0.00000 0.785
0.11824 0.29964 0.38659 0.50320 0.00181 0.797
0.11841 0.30007 0.38714 0.50392 0.00362 0.677
0.11858 0.30049 0.38769 0.50464 0.00543 0.878
0.11875 0.30092 0.38824 0.50536 0.00724 0.800
0.11892 0.30135 0.38879 0.50607 0.00906 0.770
0.11909 0.30178 0.38934 0.50679 0.01087 0.811
0.11926 0.30220 0.38989 0.50751 0.01268 0.842
0.11942 0.30263 0.39045 0.50823 0.01449 0.842
0.11959 0.30306 0.39100 0.50895 0.01630 1.024
0.11976 0.30349 0.39155 0.50966 0.01811 0.905
0.11993 0.30391 0.39210 0.51038 0.01992 1.027
0.12010 0.30434 0.39265 0.51110 0.02174 0.946
0.12027 0.30477 0.39320 0.51182 0.02355 0.827
0.12044 0.30520 0.39375 0.51253 0.02536 0.989
0.12061 0.30562 0.39431 0.51325 0.02717 0.878
0.12077 0.30605 0.39486 0.51397 0.02898 1.121
0.12094 0.30648 0.39541 0.51469 0.03080 0.889
0.12111 0.30691 0.39596 0.51541 0.03261 1.024
0.12128 0.30733 0.39651 0.51612 0.03442 1.065
0.12145 0.30776 0.39706 0.51684 0.03623 1.027
0.12162 0.30819 0.39762 0.51756 0.03804 0.946
0.12179 0.30862 0.39817 0.51828 0.03986 1.183
0.12195 0.30904 0.39872 0.51900 0.04167 1.142
0.12212 0.30947 0.39927 0.51972 0.04348 1.081
0.12229 0.30990 0.39982 0.52043 0.04529 1.154
0.12246 0.31033 0.40037 0.52115 0.04711 1.022
0.12263 0.31075 0.40093 0.52187 0.04892 0.984
0.12280 0.31118 0.40148 0.52259 0.05073 1.024
0.12297 0.31161 0.40203 0.52331 0.05254 1.126
0.12314 0.31204 0.40258 0.52402 0.05436 1.199
0.12331 0.31246 0.40313 0.52474 0.05617 1.139
0.12347 0.31289 0.40369 0.52546 0.05798 0.954
0.12364 0.31332 0.40424 0.52618 0.05980 1.150
0.12381 0.31375 0.40479 0.52690 0.06161 1.246
0.12398 0.31418 0.40534 0.52762 0.06342 1.143
0.12415 0.31460 0.40589 0.52833 0.06524 1.145
0.12432 0.31503 0.40645 0.52905 0.06705 1.160
0.12449 0.31546 0.40700 0.52977 0.06886 1.035
0.12466 0.31589 0.40755 0.53049 0.07068 1.120
0.12482 0.31632 0.40810 0.53121 0.07249 1.090
0.12499 0.31674 0.40865 0.53193 0.07430 1.091
0.12516 0.31717 0.40921 0.53265 0.07612 0.925
0.12533 0.31760 0.40976 0.53336 0.07793 0.707
0.12550 0.31803 0.41031 0.53408 0.07974 0.895
0.12567 0.31845 0.41086 0.53480 0.08156 0.887
0.12584 0.31888 0.41141 0.53552 0.08337 1.075
0.12601 0.31931 0.41197 0.53624 0.08518 0.720
0.12618 0.31974 0.41252 0.53696 0.08700 1.076
0.12634 0.32017 0.41307 0.53768 0.08881 0.982
0.12651 0.32059 0.41362 0.53840 0.09063 0.941
0.12668 0.32102 0.41417 0.53911 0.09244 1.079
0.12685 0.32145 0.41473 0.53983 0.09426 1.006
0.12702 0.32188 0.41528 0.54055 0.09607 0.817
0.12719 0.32231 0.41583 0.54127 0.09788 0.849
0.12736 0.32274 0.41638 0.54199 0.09970 0.702
0.12753 0.32316 0.41694 0.54271 0.10151 0.828
0.12770 0.32359 0.41749 0.54343 0.10333 0.862
0.12786 0.32402 0.41804 0.54415 0.10514 1.032
0.12803 0.32445 0.41859 0.54487 0.10696 1.011
0.12820 0.32488 0.41915 0.54559 0.10877 1.012
0.12837 0.32530 0.41970 0.54630 0.11059 1.002
0.12854 0.32573 0.42025 0.54702 0.11240 0.769
0.12871 0.32616 0.42080 0.54774 0.11422 0.790
0.12888 0.32659 0.42136 0.54846 0.11603 1.016
0.12905 0.32702 0.42191 0.54918 0.11785 0.794
0.12922 0.32745 0.42246 0.54990 0.11966 0.869
0.12939 0.32787 0.42301 0.55062 0.12148 0.893
0.12955 0.32830 0.42357 0.55134 0.12329 0.806
0.12972 0.32873 0.42412 0.55206 0.12511 0.860
0.12989 0.32916 0.42467 0.55278 0.12692 0.990
0.13006 0.32959 0.42522 0.55350 0.12874 0.851
0.13023 0.33001 0.42578 0.55422 0.13055 1.121
0.13040 0.33044 0.42633 0.55494 0.13237 0.820
0.13057 0.33087 0.42688 0.55565 0.13418 0.778
0.13074 0.33130 0.42743 0.55637 0.13600 0.931
0.13091 0.33173 0.42799 0.55709 0.13782 0.997
0.13108 0.33216 0.42854 0.55781 0.13963 0.904
0.13124 0.33259 0.42909 0.55853 0.14145 0.829
0.13141 0.33301 0.42965 0.55925 0.14326 0.911
0.13158 0.33344 0.43020 0.55997 0.14508 0.887
0.13175 0.33387 0.43075 0.56069 0.14689 1.106
0.13192 0.33430 0.43130 0.56141 0.14871 0.899
0.13209 0.33473 0.43186 0.56213 0.15053 0.740
0.13226 0.33516 0.43241 0.56285 0.15234 1.004
0.13243 0.33558 0.43296 0.56357 0.15416 0.881
0.13260 0.33601 0.43351 0.56429 0.15598 0.780
0.13277 0.33644 0.43407 0.56501 0.15779 0.837
0.13294 0.33687 0.43462 0.56573 0.15961 0.942
0.13311 0.33730 0.43517 0.56645 0.16143 0.774
0.13327 0.33773 0.43573 0.56717 0.16324 0.779
0.13344 0.33816 0.43628 0.56789 0.16506 0.877
0.13361 0.33858 0.43683 0.56861 0.16688 0.960
0.13378 0.33901 0.43739 0.56933 0.16869 0.941
0.13395 0.33944 0.43794 0.57005 0.17051 0.777
0.13412 0.33987 0.43849 0.57077 0.17233 1.085
0.13429 0.34030 0.43905 0.57149 0.17414 0.988
0.13446 0.34073 0.43960 0.57221 0.17596 0.824
0.13463 0.34116 0.44015 0.57293 0.17778 0.747
0.13480 0.34159 0.44070 0.57365 0.17959 0.881
0.13497 0.34201 0.44126 0.57437 0.18141 0.848
0.13514 0.34244 0.44181 0.57509 0.18323 0.795
0.13530 0.34287 0.44236 0.57581 0.18505 0.785
0.13547 0.34330 0.44292 0.57653 0.18686 0.676
0.13564 0.34373 0.44347 0.57725 0.18868 0.776
0.13581 0.34416 0.44402 0.57797 0.19050 0.866
0.13598 0.34459 0.44458 0.57869 0.19232 0.800
0.13615 0.34502 0.44513 0.57941 0.19413 0.945
0.13632 0.34545 0.44568 0.58013 0.19595 0.835
0.13649 0.34587 0.44624 0.58085 0.19777 0.903
0.13666 0.34630 0.44679 0.58157 0.19959 0.826
0.13683 0.34673 0.44734 0.58229 0.20141 0.782
0.13700 0.34716 0.44790 0.58301 0.20322 0.916
0.13717 0.34759 0.44845 0.58373 0.20504 0.838
0.13734 0.34802 0.44900 0.58445 0.20686 0.861
0.13750 0.34845 0.44956 0.58517 0.20868 0.885
0.13767 0.34888 0.45011 0.58589 0.21050 1.021
0.13784 0.34931 0.45066 0.58661 0.21231 0.944
0.13801 0.34973 0.45122 0.58733 0.21413 0.719
0.13818 0.35016 0.45177 0.58805 0.21595 0.923
0.13835 0.35059 0.45233 0.58877 0.21777 1.015
0.13852 0.35102 0.45288 0.58949 0.21959 0.825
0.13869 0.35145 0.45343 0.59022 0.22141 0.973
0.13886 0.35188 0.45399 0.59094 0.22323 1.019
0.13903 0.35231 0.45454 0.59166 0.22504 0.893
0.13920 0.35274 0.45509 0.59238 0.22686 1.053
0.13937 0.35317 0.45565 0.59310 0.22868 0.885
0.13954 0.35360 0.45620 0.59382 0.23050 0.715
0.13971 0.35403 0.45675 0.59454 0.23232 0.932
0.13988 0.35446 0.45731 0.59526 0.23414 0.853
0.14004 0.35488 0.45786 0.59598 0.23596 0.956
0.14021 0.35531 0.45842 0.59670 0.23778 0.786
0.14038 0.35574 0.45897 0.59742 0.23960 0.797
0.14055 0.35617 0.45952 0.59814 0.24142 0.833
0.14072 0.35660 0.46008 0.59886 0.24324 0.674
0.14089 0.35703 0.46063 0.59959 0.24505 0.709
0.14106 0.35746 0.46118 0.60031 0.24687 0.825
0.14123 0.35789 0.46174 0.60103 0.24869 0.917
0.14140 0.35832 0.46229 0.60175 0.25051 0.779
0.14157 0.35875 0.46285 0.60247 0.25233 0.700
0.14174 0.35918 0.46340 0.60319 0.25415 0.966
