x y z dist_scaled dist_frac flux_norm wavelength redshift
-0.24328 -0.06168 0.43556 0.50270 0.00000 1.091 1574.239 0.01682
-0.24363 -0.06177 0.43618 0.50342 0.00181 1.242 1574.276 0.01685
-0.24398 -0.06186 0.43681 0.50413 0.00362 0.909 1574.312 0.01687
-0.24432 -0.06195 0.43743 0.50485 0.00543 0.582 1574.349 0.01689
-0.24467 -0.06203 0.43805 0.50557 0.00724 0.584 1574.386 0.01692
-0.24502 -0.06212 0.43867 0.50629 0.00906 0.766 1574.422 0.01694
-0.24536 -0.06221 0.43929 0.50700 0.01087 0.881 1574.459 0.01696
-0.24571 -0.06230 0.43992 0.50772 0.01268 0.923 1574.496 0.01699
-0.24606 -0.06239 0.44054 0.50844 0.01449 1.105 1574.533 0.01701
-0.24641 -0.06248 0.44116 0.50916 0.01630 1.297 1574.569 0.01704
-0.24675 -0.06256 0.44178 0.50988 0.01811 1.485 1574.606 0.01706
-0.24710 -0.06265 0.44240 0.51059 0.01992 0.740 1574.643 0.01708
-0.24745 -0.06274 0.44303 0.51131 0.02174 0.853 1574.680 0.01711
-0.24780 -0.06283 0.44365 0.51203 0.02355 0.967 1574.716 0.01713
-0.24814 -0.06292 0.44427 0.51275 0.02536 1.266 1574.753 0.01715
-0.24849 -0.06300 0.44489 0.51347 0.02717 1.232 1574.790 0.01718
-0.24884 -0.06309 0.44552 0.51418 0.02898 0.973 1574.826 0.01720
-0.24919 -0.06318 0.44614 0.51490 0.03080 0.823 1574.863 0.01723
-0.24953 -0.06327 0.44676 0.51562 0.03261 1.015 1574.900 0.01725
-0.24988 -0.06336 0.44738 0.51634 0.03442 0.863 1574.937 0.01727
-0.25023 -0.06344 0.44800 0.51706 0.03623 0.826 1574.973 0.01730
-0.25058 -0.06353 0.44863 0.51778 0.03804 1.129 1575.010 0.01732
-0.25092 -0.06362 0.44925 0.51849 0.03986 0.942 1575.047 0.01734
-0.25127 -0.06371 0.44987 0.51921 0.04167 0.794 1575.083 0.01737
-0.25162 -0.06380 0.45049 0.51993 0.04348 1.406 1575.120 0.01739
-0.25197 -0.06388 0.45112 0.52065 0.04529 0.948 1575.157 0.01742
-0.25232 -0.06397 0.45174 0.52137 0.04711 1.257 1575.194 0.01744
-0.25266 -0.06406 0.45236 0.52209 0.04892 1.067 1575.230 0.01746
-0.25301 -0.06415 0.45298 0.52280 0.05073 1.183 1575.267 0.01749
-0.25336 -0.06424 0.45361 0.52352 0.05254 1.260 1575.304 0.01751
-0.25371 -0.06433 0.45423 0.52424 0.05436 0.842 1575.340 0.01753
-0.25405 -0.06441 0.45485 0.52496 0.05617 1.305 1575.377 0.01756
-0.25440 -0.06450 0.45547 0.52568 0.05798 1.422 1575.414 0.01758
-0.25475 -0.06459 0.45610 0.52640 0.05980 0.881 1575.451 0.01760
-0.25510 -0.06468 0.45672 0.52711 0.06161 1.195 1575.487 0.01763
-0.25544 -0.06477 0.45734 0.52783 0.06342 1.156 1575.524 0.01765
-0.25579 -0.06485 0.45796 0.52855 0.06524 1.469 1575.561 0.01768
-0.25614 -0.06494 0.45859 0.52927 0.06705 1.004 1575.598 0.01770
-0.25649 -0.06503 0.45921 0.52999 0.06886 1.239 1575.634 0.01772
-0.25684 -0.06512 0.45983 0.53071 0.07068 0.853 1575.671 0.01775
-0.25718 -0.06521 0.46045 0.53143 0.07249 1.126 1575.708 0.01777
-0.25753 -0.06530 0.46108 0.53214 0.07430 0.774 1575.744 0.01779
-0.25788 -0.06538 0.46170 0.53286 0.07612 1.165 1575.781 0.01782
-0.25823 -0.06547 0.46232 0.53358 0.07793 1.208 1575.818 0.01784
-0.25857 -0.06556 0.46295 0.53430 0.07974 1.129 1575.855 0.01787
-0.25892 -0.06565 0.46357 0.53502 0.08156 0.779 1575.891 0.01789
-0.25927 -0.06574 0.46419 0.53574 0.08337 1.135 1575.928 0.01791
-0.25962 -0.06582 0.46481 0.53646 0.08518 1.094 1575.965 0.01794
-0.25997 -0.06591 0.46544 0.53718 0.08700 1.019 1576.001 0.01796
-0.26031 -0.06600 0.46606 0.53790 0.08881 1.139 1576.038 0.01798
-0.26066 -0.06609 0.46668 0.53861 0.09063 0.867 1576.075 0.01801
-0.26101 -0.06618 0.46731 0.53933 0.09244 1.104 1576.112 0.01803
-0.26136 -0.06627 0.46793 0.54005 0.09426 1.029 1576.148 0.01806
-0.26171 -0.06635 0.46855 0.54077 0.09607 0.749 1576.185 0.01808
-0.26205 -0.06644 0.46917 0.54149 0.09788 1.070 1576.222 0.01810
-0.26240 -0.06653 0.46980 0.54221 0.09970 0.751 1576.259 0.01813
-0.26275 -0.06662 0.47042 0.54293 0.10151 1.072 1576.295 0.01815
-0.26310 -0.06671 0.47104 0.54365 0.10333 0.954 1576.332 0.01817
-0.26345 -0.06680 0.47167 0.54437 0.10514 0.915 1576.369 0.01820
-0.26379 -0.06688 0.47229 0.54509 0.10696 1.077 1576.405 0.01822
-0.26414 -0.06697 0.47291 0.54581 0.10877 1.117 1576.442 0.01825
-0.26449 -0.06706 0.47354 0.54652 0.11059 0.999 1576.479 0.01827
-0.26484 -0.06715 0.47416 0.54724 0.11240 1.442 1576.516 0.01829
-0.26519 -0.06724 0.47478 0.54796 0.11422 0.962 1576.552 0.01832
-0.26553 -0.06732 0.47541 0.54868 0.11603 0.717 1576.589 0.01834
-0.26588 -0.06741 0.47603 0.54940 0.11785 0.843 1576.626 0.01836
-0.26623 -0.06750 0.47665 0.55012 0.11966 1.048 1576.662 0.01839
-0.26658 -0.06759 0.47728 0.55084 0.12148 0.885 1576.699 0.01841
-0.26693 -0.06768 0.47790 0.55156 0.12329 0.969 1576.736 0.01843
-0.26728 -0.06777 0.47852 0.55228 0.12511 0.928 1576.773 0.01846
-0.26762 -0.06785 0.47915 0.55300 0.12692 0.849 1576.809 0.01848
-0.26797 -0.06794 0.47977 0.55372 0.12874 0.686 1576.846 0.01851
-0.26832 -0.06803 0.48039 0.55444 0.13055 0.810 1576.883 0.01853
-0.26867 -0.06812 0.48102 0.55516 0.13237 0.768 1576.919 0.01855
-0.26902 -0.06821 0.48164 0.55588 0.13418 0.855 1576.956 0.01858
-0.26936 -0.06830 0.48226 0.55660 0.13600 0.894 1576.993 0.01860
-0.26971 -0.06838 0.48289 0.55732 0.13782 0.732 1577.030 0.01862
-0.27006 -0.06847 0.48351 0.55804 0.13963 0.776 1577.066 0.01865
