x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.01612 0.02589 0.04848 0.05727 0.00000 1.326 0.315 1568.036 0.01282
0.01615 0.02593 0.04857 0.05738 0.00106 1.410 0.321 1568.072 0.01284
0.01618 0.02598 0.04866 0.05749 0.00212 1.538 0.333 1568.109 0.01286
0.01621 0.02603 0.04875 0.05759 0.00318 1.076 0.294 1568.146 0.01289
0.01624 0.02608 0.04884 0.05770 0.00425 1.038 0.291 1568.183 0.01291
0.01627 0.02613 0.04893 0.05781 0.00531 1.205 0.306 1568.219 0.01293
0.01630 0.02618 0.04902 0.05791 0.00637 0.747 0.262 1568.256 0.01296
0.01633 0.02622 0.04911 0.05802 0.00743 0.591 0.243 1568.293 0.01298
0.01636 0.02627 0.04920 0.05813 0.00849 0.888 0.271 1568.329 0.01301
0.01639 0.02632 0.04929 0.05824 0.00956 1.449 0.326 1568.366 0.01303
0.01642 0.02637 0.04938 0.05834 0.01062 0.894 0.272 1568.403 0.01305
0.01645 0.02642 0.04947 0.05845 0.01168 1.184 0.300 1568.440 0.01308
0.01648 0.02647 0.04956 0.05856 0.01274 0.879 0.277 1568.476 0.01310
0.01651 0.02651 0.04966 0.05866 0.01380 0.934 0.277 1568.513 0.01312
0.01654 0.02656 0.04975 0.05877 0.01487 0.669 0.249 1568.550 0.01315
0.01657 0.02661 0.04984 0.05888 0.01593 0.728 0.260 1568.586 0.01317
0.01660 0.02666 0.04993 0.05898 0.01699 0.977 0.286 1568.623 0.01319
0.01663 0.02671 0.05002 0.05909 0.01805 1.108 0.294 1568.660 0.01322
0.01666 0.02676 0.05011 0.05920 0.01911 1.198 0.303 1568.697 0.01324
0.01669 0.02681 0.05020 0.05931 0.02018 0.990 0.283 1568.733 0.01327
0.01672 0.02685 0.05029 0.05941 0.02124 0.895 0.275 1568.770 0.01329
0.01675 0.02690 0.05038 0.05952 0.02230 1.348 0.320 1568.807 0.01331
0.01678 0.02695 0.05047 0.05963 0.02336 0.810 0.272 1568.843 0.01334
0.01681 0.02700 0.05056 0.05973 0.02443 0.942 0.285 1568.880 0.01336
0.01684 0.02705 0.05065 0.05984 0.02549 0.772 0.268 1568.917 0.01338
0.01687 0.02710 0.05074 0.05995 0.02655 1.164 0.307 1568.954 0.01341
0.01690 0.02714 0.05083 0.06006 0.02761 0.645 0.253 1568.990 0.01343
0.01693 0.02719 0.05092 0.06016 0.02868 0.602 0.249 1569.027 0.01346
0.01697 0.02724 0.05102 0.06027 0.02974 0.732 0.264 1569.064 0.01348
0.01700 0.02729 0.05111 0.06038 0.03080 0.906 0.283 1569.100 0.01350
0.01703 0.02734 0.05120 0.06048 0.03186 1.082 0.300 1569.137 0.01353
0.01706 0.02739 0.05129 0.06059 0.03293 0.908 0.284 1569.174 0.01355
0.01709 0.02743 0.05138 0.06070 0.03399 1.040 0.297 1569.211 0.01357
0.01712 0.02748 0.05147 0.06081 0.03505 0.739 0.266 1569.247 0.01360
0.01715 0.02753 0.05156 0.06091 0.03611 1.308 0.320 1569.284 0.01362
0.01718 0.02758 0.05165 0.06102 0.03718 0.745 0.266 1569.321 0.01365
0.01721 0.02763 0.05174 0.06113 0.03824 0.963 0.289 1569.357 0.01367
0.01724 0.02768 0.05183 0.06123 0.03930 1.271 0.319 1569.394 0.01369
0.01727 0.02773 0.05192 0.06134 0.04037 0.965 0.290 1569.431 0.01372
0.01730 0.02777 0.05201 0.06145 0.04143 0.893 0.282 1569.468 0.01374
0.01733 0.02782 0.05210 0.06156 0.04249 1.158 0.308 1569.504 0.01376
0.01736 0.02787 0.05219 0.06166 0.04355 1.242 0.311 1569.541 0.01379
0.01739 0.02792 0.05228 0.06177 0.04462 1.203 0.312 1569.578 0.01381
0.01742 0.02797 0.05238 0.06188 0.04568 1.214 0.313 1569.614 0.01384
0.01745 0.02802 0.05247 0.06198 0.04674 1.365 0.325 1569.651 0.01386
0.01748 0.02806 0.05256 0.06209 0.04781 1.143 0.305 1569.688 0.01388
0.01751 0.02811 0.05265 0.06220 0.04887 0.891 0.279 1569.725 0.01391
0.01754 0.02816 0.05274 0.06231 0.04993 0.549 0.244 1569.761 0.01393
0.01757 0.02821 0.05283 0.06241 0.05100 1.186 0.311 1569.798 0.01395
0.01760 0.02826 0.05292 0.06252 0.05206 1.165 0.307 1569.835 0.01398
0.01763 0.02831 0.05301 0.06263 0.05312 0.866 0.281 1569.871 0.01400
0.01766 0.02835 0.05310 0.06273 0.05419 1.021 0.295 1569.908 0.01402
0.01769 0.02840 0.05319 0.06284 0.05525 1.242 0.313 1569.945 0.01405
0.01772 0.02845 0.05328 0.06295 0.05631 1.147 0.309 1569.982 0.01407
0.01775 0.02850 0.05337 0.06306 0.05738 1.659 0.355 1570.018 0.01410
0.01778 0.02855 0.05346 0.06316 0.05844 0.903 0.288 1570.055 0.01412
0.01781 0.02860 0.05355 0.06327 0.05951 0.636 0.258 1570.092 0.01414
0.01784 0.02865 0.05365 0.06338 0.06057 1.442 0.338 1570.128 0.01417
0.01787 0.02869 0.05374 0.06348 0.06163 0.998 0.297 1570.165 0.01419
0.01790 0.02874 0.05383 0.06359 0.06270 1.406 0.335 1570.202 0.01421
0.01793 0.02879 0.05392 0.06370 0.06376 1.407 0.335 1570.239 0.01424
0.01796 0.02884 0.05401 0.06381 0.06482 0.957 0.294 1570.275 0.01426
0.01799 0.02889 0.05410 0.06391 0.06589 1.004 0.299 1570.312 0.01429
0.01802 0.02894 0.05419 0.06402 0.06695 0.553 0.249 1570.349 0.01431
0.01805 0.02898 0.05428 0.06413 0.06802 1.050 0.304 1570.385 0.01433
0.01808 0.02903 0.05437 0.06424 0.06908 0.826 0.281 1570.422 0.01436
0.01811 0.02908 0.05446 0.06434 0.07014 0.962 0.296 1570.459 0.01438
0.01814 0.02913 0.05455 0.06445 0.07121 0.826 0.282 1570.496 0.01440
0.01817 0.02918 0.05464 0.06456 0.07227 1.143 0.314 1570.532 0.01443
0.01820 0.02923 0.05473 0.06466 0.07334 0.964 0.297 1570.569 0.01445
0.01823 0.02928 0.05483 0.06477 0.07440 1.101 0.310 1570.606 0.01448
0.01826 0.02932 0.05492 0.06488 0.07546 0.965 0.297 1570.642 0.01450
0.01829 0.02937 0.05501 0.06499 0.07653 1.285 0.327 1570.679 0.01452
0.01832 0.02942 0.05510 0.06509 0.07759 0.922 0.292 1570.716 0.01455
0.01835 0.02947 0.05519 0.06520 0.07866 0.968 0.299 1570.753 0.01457
0.01838 0.02952 0.05528 0.06531 0.07972 1.881 0.377 1570.789 0.01459
0.01841 0.02957 0.05537 0.06541 0.08079 0.971 0.299 1570.826 0.01462
