x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.02630 0.00752 0.05032 0.05727 0.00000 0.868 0.142 1568.036 0.01282
0.02635 0.00753 0.05041 0.05738 0.00106 1.017 0.151 1568.072 0.01284
0.02640 0.00755 0.05051 0.05749 0.00212 0.945 0.147 1568.109 0.01286
0.02645 0.00756 0.05060 0.05759 0.00318 1.066 0.155 1568.146 0.01289
0.02650 0.00757 0.05069 0.05770 0.00425 0.754 0.134 1568.183 0.01291
0.02655 0.00759 0.05079 0.05781 0.00531 0.892 0.144 1568.219 0.01293
0.02660 0.00760 0.05088 0.05791 0.00637 1.020 0.153 1568.256 0.01296
0.02665 0.00762 0.05098 0.05802 0.00743 1.089 0.156 1568.293 0.01298
0.02669 0.00763 0.05107 0.05813 0.00849 1.001 0.151 1568.329 0.01301
0.02674 0.00764 0.05116 0.05824 0.00956 0.906 0.144 1568.366 0.01303
0.02679 0.00766 0.05126 0.05834 0.01062 0.712 0.131 1568.403 0.01305
0.02684 0.00767 0.05135 0.05845 0.01168 0.961 0.148 1568.440 0.01308
0.02689 0.00769 0.05145 0.05856 0.01274 1.087 0.156 1568.476 0.01310
0.02694 0.00770 0.05154 0.05866 0.01380 0.767 0.136 1568.513 0.01312
0.02699 0.00771 0.05163 0.05877 0.01487 1.058 0.154 1568.550 0.01315
0.02704 0.00773 0.05173 0.05888 0.01593 1.028 0.152 1568.586 0.01317
0.02709 0.00774 0.05182 0.05898 0.01699 0.952 0.148 1568.623 0.01319
0.02714 0.00776 0.05192 0.05909 0.01805 1.150 0.150 1568.660 0.01322
0.02719 0.00777 0.05201 0.05920 0.01911 0.889 0.144 1568.697 0.01324
0.02724 0.00778 0.05210 0.05931 0.02018 1.074 0.155 1568.733 0.01327
0.02728 0.00780 0.05220 0.05941 0.02124 1.181 0.161 1568.770 0.01329
0.02733 0.00781 0.05229 0.05952 0.02230 0.920 0.146 1568.807 0.01331
0.02738 0.00783 0.05239 0.05963 0.02336 0.843 0.141 1568.843 0.01334
0.02743 0.00784 0.05248 0.05973 0.02443 0.982 0.150 1568.880 0.01336
0.02748 0.00785 0.05257 0.05984 0.02549 0.797 0.139 1568.917 0.01338
0.02753 0.00787 0.05267 0.05995 0.02655 0.860 0.143 1568.954 0.01341
0.02758 0.00788 0.05276 0.06006 0.02761 0.953 0.149 1568.990 0.01343
0.02763 0.00790 0.05286 0.06016 0.02868 1.105 0.158 1569.027 0.01346
0.02768 0.00791 0.05295 0.06027 0.02974 1.135 0.150 1569.064 0.01348
0.02773 0.00793 0.05304 0.06038 0.03080 0.844 0.142 1569.100 0.01350
0.02778 0.00794 0.05314 0.06048 0.03186 1.000 0.151 1569.137 0.01353
0.02783 0.00795 0.05323 0.06059 0.03293 1.169 0.152 1569.174 0.01355
0.02788 0.00797 0.05333 0.06070 0.03399 0.984 0.151 1569.211 0.01357
0.02792 0.00798 0.05342 0.06081 0.03505 1.031 0.154 1569.247 0.01360
0.02797 0.00800 0.05352 0.06091 0.03611 1.050 0.154 1569.284 0.01362
0.02802 0.00801 0.05361 0.06102 0.03718 0.975 0.151 1569.321 0.01365
0.02807 0.00802 0.05370 0.06113 0.03824 1.077 0.156 1569.357 0.01367
0.02812 0.00804 0.05380 0.06123 0.03930 0.902 0.146 1569.394 0.01369
0.02817 0.00805 0.05389 0.06134 0.04037 0.985 0.151 1569.431 0.01372
0.02822 0.00807 0.05399 0.06145 0.04143 1.173 0.162 1569.468 0.01374
0.02827 0.00808 0.05408 0.06156 0.04249 0.795 0.138 1569.504 0.01376
0.02832 0.00809 0.05417 0.06166 0.04355 0.777 0.137 1569.541 0.01379
0.02837 0.00811 0.05427 0.06177 0.04462 0.954 0.148 1569.578 0.01381
0.02842 0.00812 0.05436 0.06188 0.04568 0.893 0.146 1569.614 0.01384
0.02847 0.00814 0.05446 0.06198 0.04674 1.037 0.154 1569.651 0.01386
0.02851 0.00815 0.05455 0.06209 0.04781 1.032 0.154 1569.688 0.01388
0.02856 0.00816 0.05464 0.06220 0.04887 0.965 0.149 1569.725 0.01391
0.02861 0.00818 0.05474 0.06231 0.04993 0.945 0.148 1569.761 0.01393
0.02866 0.00819 0.05483 0.06241 0.05100 0.975 0.151 1569.798 0.01395
0.02871 0.00821 0.05493 0.06252 0.05206 0.867 0.143 1569.835 0.01398
0.02876 0.00822 0.05502 0.06263 0.05312 1.051 0.156 1569.871 0.01400
0.02881 0.00823 0.05512 0.06273 0.05419 0.928 0.148 1569.908 0.01402
0.02886 0.00825 0.05521 0.06284 0.05525 0.943 0.149 1569.945 0.01405
0.02891 0.00826 0.05530 0.06295 0.05631 1.053 0.156 1569.982 0.01407
0.02896 0.00828 0.05540 0.06306 0.05738 0.899 0.146 1570.018 0.01410
0.02901 0.00829 0.05549 0.06316 0.05844 0.977 0.151 1570.055 0.01412
0.02906 0.00830 0.05559 0.06327 0.05951 1.087 0.158 1570.092 0.01414
0.02911 0.00832 0.05568 0.06338 0.06057 1.086 0.158 1570.128 0.01417
0.02915 0.00833 0.05577 0.06348 0.06163 1.228 0.166 1570.165 0.01419
0.02920 0.00835 0.05587 0.06359 0.06270 1.180 0.163 1570.202 0.01421
0.02925 0.00836 0.05596 0.06370 0.06376 0.916 0.148 1570.239 0.01424
0.02930 0.00838 0.05606 0.06381 0.06482 0.855 0.144 1570.275 0.01426
0.02935 0.00839 0.05615 0.06391 0.06589 1.042 0.155 1570.312 0.01429
0.02940 0.00840 0.05625 0.06402 0.06695 1.025 0.155 1570.349 0.01431
0.02945 0.00842 0.05634 0.06413 0.06802 1.103 0.149 1570.385 0.01433
0.02950 0.00843 0.05643 0.06424 0.06908 0.964 0.151 1570.422 0.01436
0.02955 0.00845 0.05653 0.06434 0.07014 1.139 0.161 1570.459 0.01438
0.02960 0.00846 0.05662 0.06445 0.07121 0.966 0.151 1570.496 0.01440
0.02965 0.00847 0.05672 0.06456 0.07227 0.983 0.141 1570.532 0.01443
0.02970 0.00849 0.05681 0.06466 0.07334 0.967 0.151 1570.569 0.01445
0.02975 0.00850 0.05691 0.06477 0.07440 0.889 0.147 1570.606 0.01448
0.02979 0.00852 0.05700 0.06488 0.07546 0.622 0.128 1570.642 0.01450
0.02984 0.00853 0.05709 0.06499 0.07653 0.780 0.139 1570.679 0.01452
0.02989 0.00854 0.05719 0.06509 0.07759 0.907 0.148 1570.716 0.01455
0.02994 0.00856 0.05728 0.06520 0.07866 0.971 0.152 1570.753 0.01457
0.02999 0.00857 0.05738 0.06531 0.07972 0.781 0.140 1570.789 0.01459
0.03004 0.00859 0.05747 0.06541 0.08079 0.862 0.145 1570.826 0.01462
0.03009 0.00860 0.05757 0.06552 0.08185 0.987 0.153 1570.863 0.01464
0.03014 0.00861 0.05766 0.06563 0.08291 1.082 0.158 1570.899 0.01467
0.03019 0.00863 0.05775 0.06574 0.08398 0.879 0.146 1570.936 0.01469
0.03024 0.00864 0.05785 0.06584 0.08504 0.815 0.142 1570.973 0.01471
0.03029 0.00866 0.05794 0.06595 0.08611 0.927 0.149 1571.010 0.01474
0.03034 0.00867 0.05804 0.06606 0.08717 0.958 0.151 1571.046 0.01476
0.03039 0.00869 0.05813 0.06617 0.08824 1.068 0.158 1571.083 0.01478
0.03044 0.00870 0.05823 0.06627 0.08930 0.832 0.143 1571.120 0.01481
0.03048 0.00871 0.05832 0.06638 0.09037 1.069 0.147 1571.156 0.01483
0.03053 0.00873 0.05841 0.06649 0.09143 1.070 0.158 1571.193 0.01485
0.03058 0.00874 0.05851 0.06660 0.09250 0.975 0.152 1571.230 0.01488
0.03063 0.00876 0.05860 0.06670 0.09356 1.007 0.155 1571.267 0.01490
