x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.03143 -0.01603 0.04506 0.05723 0.00000 0.902 0.162 1568.021 0.01281
0.03148 -0.01606 0.04515 0.05734 0.00106 0.902 0.162 1568.058 0.01283
0.03154 -0.01609 0.04523 0.05744 0.00212 0.772 0.153 1568.094 0.01285
0.03160 -0.01612 0.04532 0.05755 0.00318 0.922 0.164 1568.131 0.01288
0.03166 -0.01615 0.04540 0.05766 0.00425 0.959 0.166 1568.168 0.01290
0.03172 -0.01618 0.04548 0.05776 0.00531 0.960 0.166 1568.204 0.01292
0.03178 -0.01621 0.04557 0.05787 0.00637 0.905 0.163 1568.241 0.01295
0.03184 -0.01624 0.04565 0.05798 0.00743 0.811 0.156 1568.278 0.01297
0.03190 -0.01627 0.04574 0.05808 0.00849 0.624 0.142 1568.315 0.01300
0.03196 -0.01630 0.04582 0.05819 0.00956 0.960 0.166 1568.351 0.01302
0.03201 -0.01633 0.04591 0.05830 0.01062 0.791 0.155 1568.388 0.01304
0.03207 -0.01636 0.04599 0.05841 0.01168 0.961 0.167 1568.425 0.01307
0.03213 -0.01639 0.04607 0.05851 0.01274 1.055 0.173 1568.462 0.01309
0.03219 -0.01642 0.04616 0.05862 0.01380 0.942 0.166 1568.498 0.01311
0.03225 -0.01645 0.04624 0.05873 0.01487 1.055 0.173 1568.535 0.01314
0.03231 -0.01648 0.04633 0.05883 0.01593 0.717 0.150 1568.572 0.01316
0.03237 -0.01651 0.04641 0.05894 0.01699 0.981 0.169 1568.608 0.01319
0.03243 -0.01654 0.04650 0.05905 0.01805 1.095 0.176 1568.645 0.01321
0.03248 -0.01657 0.04658 0.05916 0.01911 0.982 0.169 1568.682 0.01323
0.03254 -0.01660 0.04666 0.05926 0.02018 1.058 0.174 1568.719 0.01326
0.03260 -0.01663 0.04675 0.05937 0.02124 0.589 0.139 1568.755 0.01328
0.03266 -0.01666 0.04683 0.05948 0.02230 1.021 0.171 1568.792 0.01330
0.03272 -0.01669 0.04692 0.05958 0.02336 1.246 0.186 1568.829 0.01333
0.03278 -0.01672 0.04700 0.05969 0.02443 1.122 0.178 1568.865 0.01335
0.03284 -0.01675 0.04709 0.05980 0.02549 1.068 0.174 1568.902 0.01338
0.03290 -0.01678 0.04717 0.05991 0.02655 1.093 0.177 1568.939 0.01340
0.03295 -0.01681 0.04726 0.06001 0.02761 0.875 0.163 1568.976 0.01342
0.03301 -0.01684 0.04734 0.06012 0.02868 1.013 0.171 1569.012 0.01345
0.03307 -0.01687 0.04742 0.06023 0.02974 1.096 0.177 1569.049 0.01347
0.03313 -0.01690 0.04751 0.06033 0.03080 1.144 0.180 1569.086 0.01349
0.03319 -0.01693 0.04759 0.06044 0.03186 0.510 0.133 1569.122 0.01352
0.03325 -0.01696 0.04768 0.06055 0.03293 1.087 0.176 1569.159 0.01354
0.03331 -0.01699 0.04776 0.06066 0.03399 0.754 0.152 1569.196 0.01356
0.03337 -0.01702 0.04785 0.06076 0.03505 0.779 0.155 1569.233 0.01359
0.03343 -0.01705 0.04793 0.06087 0.03611 0.984 0.170 1569.269 0.01361
0.03348 -0.01708 0.04801 0.06098 0.03718 0.973 0.169 1569.306 0.01364
0.03354 -0.01711 0.04810 0.06108 0.03824 0.897 0.163 1569.343 0.01366
0.03360 -0.01714 0.04818 0.06119 0.03930 0.822 0.158 1569.380 0.01368
0.03366 -0.01717 0.04827 0.06130 0.04037 0.938 0.168 1569.416 0.01371
0.03372 -0.01720 0.04835 0.06141 0.04143 0.878 0.163 1569.453 0.01373
0.03378 -0.01723 0.04844 0.06151 0.04249 0.989 0.170 1569.490 0.01375
0.03384 -0.01726 0.04852 0.06162 0.04355 0.970 0.169 1569.526 0.01378
0.03390 -0.01729 0.04861 0.06173 0.04462 0.970 0.169 1569.563 0.01380
0.03395 -0.01732 0.04869 0.06183 0.04568 1.009 0.172 1569.600 0.01383
0.03401 -0.01735 0.04877 0.06194 0.04674 0.952 0.168 1569.637 0.01385
0.03407 -0.01738 0.04886 0.06205 0.04781 0.857 0.162 1569.673 0.01387
0.03413 -0.01741 0.04894 0.06216 0.04887 0.857 0.162 1569.710 0.01390
0.03419 -0.01744 0.04903 0.06226 0.04993 1.069 0.176 1569.747 0.01392
0.03425 -0.01747 0.04911 0.06237 0.05100 0.822 0.159 1569.783 0.01394
0.03431 -0.01750 0.04920 0.06248 0.05206 1.071 0.176 1569.820 0.01397
0.03437 -0.01753 0.04928 0.06258 0.05312 0.711 0.151 1569.857 0.01399
0.03443 -0.01756 0.04936 0.06269 0.05419 0.944 0.167 1569.894 0.01402
0.03448 -0.01759 0.04945 0.06280 0.05525 1.172 0.183 1569.930 0.01404
0.03454 -0.01762 0.04953 0.06291 0.05631 0.945 0.167 1569.967 0.01406
0.03460 -0.01765 0.04962 0.06301 0.05738 0.917 0.166 1570.004 0.01409
0.03466 -0.01768 0.04970 0.06312 0.05844 0.761 0.154 1570.040 0.01411
0.03472 -0.01771 0.04979 0.06323 0.05951 1.126 0.179 1570.077 0.01413
0.03478 -0.01774 0.04987 0.06333 0.06057 1.181 0.183 1570.114 0.01416
0.03484 -0.01777 0.04996 0.06344 0.06163 1.253 0.187 1570.151 0.01418
0.03490 -0.01780 0.05004 0.06355 0.06270 1.211 0.185 1570.187 0.01421
0.03496 -0.01783 0.05012 0.06366 0.06376 1.038 0.174 1570.224 0.01423
0.03501 -0.01786 0.05021 0.06376 0.06482 0.711 0.151 1570.261 0.01425
