x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.01682 0.03343 0.04331 0.05724 0.00000 0.978 0.039 1568.024 0.01281
-0.01685 0.03349 0.04339 0.05734 0.00106 1.049 0.040 1568.060 0.01283
-0.01688 0.03355 0.04347 0.05745 0.00212 0.998 0.039 1568.097 0.01285
-0.01691 0.03361 0.04355 0.05756 0.00318 0.989 0.039 1568.134 0.01288
-0.01694 0.03368 0.04364 0.05766 0.00425 1.010 0.039 1568.170 0.01290
-0.01697 0.03374 0.04372 0.05777 0.00531 1.064 0.040 1568.207 0.01293
-0.01700 0.03380 0.04380 0.05788 0.00637 1.058 0.040 1568.244 0.01295
-0.01704 0.03386 0.04388 0.05799 0.00743 1.039 0.040 1568.281 0.01297
-0.01707 0.03393 0.04396 0.05809 0.00849 1.043 0.040 1568.317 0.01300
-0.01710 0.03399 0.04404 0.05820 0.00956 1.100 0.041 1568.354 0.01302
-0.01713 0.03405 0.04412 0.05831 0.01062 0.960 0.038 1568.391 0.01304
-0.01716 0.03411 0.04420 0.05841 0.01168 0.996 0.039 1568.427 0.01307
-0.01719 0.03418 0.04428 0.05852 0.01274 1.063 0.040 1568.464 0.01309
-0.01722 0.03424 0.04436 0.05863 0.01380 0.953 0.038 1568.501 0.01312
-0.01726 0.03430 0.04445 0.05873 0.01487 1.022 0.039 1568.537 0.01314
-0.01729 0.03436 0.04453 0.05884 0.01593 1.005 0.039 1568.574 0.01316
-0.01732 0.03443 0.04461 0.05895 0.01699 1.052 0.040 1568.611 0.01319
-0.01735 0.03449 0.04469 0.05906 0.01805 0.985 0.039 1568.648 0.01321
-0.01738 0.03455 0.04477 0.05916 0.01911 1.028 0.040 1568.684 0.01323
-0.01741 0.03461 0.04485 0.05927 0.02018 1.057 0.040 1568.721 0.01326
-0.01744 0.03468 0.04493 0.05938 0.02124 1.010 0.039 1568.758 0.01328
-0.01748 0.03474 0.04501 0.05948 0.02230 0.945 0.038 1568.794 0.01331
-0.01751 0.03480 0.04509 0.05959 0.02336 1.034 0.040 1568.831 0.01333
-0.01754 0.03486 0.04517 0.05970 0.02443 0.980 0.039 1568.868 0.01335
-0.01757 0.03493 0.04526 0.05981 0.02549 1.029 0.039 1568.905 0.01338
-0.01760 0.03499 0.04534 0.05991 0.02655 1.035 0.040 1568.941 0.01340
-0.01763 0.03505 0.04542 0.06002 0.02761 1.009 0.039 1568.978 0.01342
-0.01766 0.03511 0.04550 0.06013 0.02868 1.034 0.040 1569.015 0.01345
-0.01770 0.03518 0.04558 0.06023 0.02974 0.952 0.038 1569.051 0.01347
