x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.01518 0.01656 0.05263 0.05723 0.00000 0.452 0.062 1568.021 0.01281
-0.01521 0.01659 0.05273 0.05734 0.00106 0.478 0.064 1568.058 0.01283
-0.01524 0.01663 0.05283 0.05744 0.00212 0.416 0.060 1568.094 0.01285
-0.01527 0.01666 0.05293 0.05755 0.00318 0.527 0.063 1568.131 0.01288
-0.01529 0.01669 0.05303 0.05766 0.00425 0.590 0.062 1568.168 0.01290
-0.01532 0.01672 0.05313 0.05776 0.00531 0.653 0.062 1568.204 0.01292
-0.01535 0.01675 0.05322 0.05787 0.00637 0.598 0.063 1568.241 0.01295
-0.01538 0.01678 0.05332 0.05798 0.00743 0.679 0.067 1568.278 0.01297
-0.01541 0.01681 0.05342 0.05808 0.00849 0.889 0.072 1568.315 0.01300
-0.01544 0.01684 0.05352 0.05819 0.00956 0.906 0.073 1568.351 0.01302
-0.01546 0.01687 0.05362 0.05830 0.01062 0.882 0.072 1568.388 0.01304
-0.01549 0.01690 0.05372 0.05841 0.01168 0.848 0.071 1568.425 0.01307
-0.01552 0.01694 0.05382 0.05851 0.01274 0.877 0.072 1568.462 0.01309
-0.01555 0.01697 0.05391 0.05862 0.01380 1.033 0.078 1568.498 0.01311
-0.01558 0.01700 0.05401 0.05873 0.01487 1.034 0.078 1568.535 0.01314
-0.01561 0.01703 0.05411 0.05883 0.01593 0.915 0.074 1568.572 0.01316
-0.01563 0.01706 0.05421 0.05894 0.01699 0.827 0.070 1568.608 0.01319
-0.01566 0.01709 0.05431 0.05905 0.01805 0.982 0.076 1568.645 0.01321
-0.01569 0.01712 0.05441 0.05916 0.01911 0.899 0.073 1568.682 0.01323
-0.01572 0.01715 0.05450 0.05926 0.02018 0.888 0.073 1568.719 0.01326
-0.01575 0.01718 0.05460 0.05937 0.02124 1.015 0.078 1568.755 0.01328
-0.01578 0.01721 0.05470 0.05948 0.02230 1.032 0.078 1568.792 0.01330
-0.01581 0.01725 0.05480 0.05958 0.02336 0.861 0.071 1568.829 0.01333
-0.01583 0.01728 0.05490 0.05969 0.02443 0.888 0.073 1568.865 0.01335
-0.01586 0.01731 0.05500 0.05980 0.02549 0.972 0.076 1568.902 0.01338
-0.01589 0.01734 0.05510 0.05991 0.02655 0.816 0.070 1568.939 0.01340
-0.01592 0.01737 0.05519 0.06001 0.02761 0.832 0.070 1568.976 0.01342
-0.01595 0.01740 0.05529 0.06012 0.02868 0.757 0.067 1569.012 0.01345
-0.01598 0.01743 0.05539 0.06023 0.02974 0.848 0.071 1569.049 0.01347
-0.01600 0.01746 0.05549 0.06033 0.03080 0.842 0.071 1569.086 0.01349
-0.01603 0.01749 0.05559 0.06044 0.03186 0.768 0.068 1569.122 0.01352
-0.01606 0.01752 0.05569 0.06055 0.03293 0.525 0.063 1569.159 0.01354
-0.01609 0.01756 0.05579 0.06066 0.03399 0.398 0.056 1569.196 0.01356
-0.01612 0.01759 0.05588 0.06076 0.03505 0.231 0.048 1569.233 0.01359
-0.01615 0.01762 0.05598 0.06087 0.03611 0.100 0.036 1569.269 0.01361
-0.01617 0.01765 0.05608 0.06098 0.03718 0.102 0.036 1569.306 0.01364
-0.01620 0.01768 0.05618 0.06108 0.03824 0.051 0.030 1569.343 0.01366
-0.01623 0.01771 0.05628 0.06119 0.03930 0.166 0.043 1569.380 0.01368
-0.01626 0.01774 0.05638 0.06130 0.04037 0.141 0.040 1569.416 0.01371
-0.01629 0.01777 0.05648 0.06141 0.04143 0.205 0.046 1569.453 0.01373
-0.01632 0.01780 0.05657 0.06151 0.04249 0.184 0.044 1569.490 0.01375
-0.01635 0.01783 0.05667 0.06162 0.04355 0.267 0.051 1569.526 0.01378
-0.01637 0.01787 0.05677 0.06173 0.04462 0.322 0.055 1569.563 0.01380
-0.01640 0.01790 0.05687 0.06183 0.04568 0.334 0.056 1569.600 0.01383
-0.01643 0.01793 0.05697 0.06194 0.04674 0.312 0.055 1569.637 0.01385
-0.01646 0.01796 0.05707 0.06205 0.04781 0.352 0.057 1569.673 0.01387
-0.01649 0.01799 0.05717 0.06216 0.04887 0.551 0.065 1569.710 0.01390
-0.01652 0.01802 0.05726 0.06226 0.04993 0.694 0.065 1569.747 0.01392
-0.01654 0.01805 0.05736 0.06237 0.05100 0.795 0.069 1569.783 0.01394
-0.01657 0.01808 0.05746 0.06248 0.05206 0.940 0.075 1569.820 0.01397
-0.01660 0.01811 0.05756 0.06258 0.05312 0.923 0.075 1569.857 0.01399
