x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.04288 0.00903 0.03693 0.05731 0.00000 1.275 0.265 1568.048 0.01282
0.04296 0.00905 0.03700 0.05741 0.00106 1.222 0.260 1568.085 0.01285
0.04304 0.00906 0.03707 0.05752 0.00213 0.566 0.199 1568.121 0.01287
0.04312 0.00908 0.03714 0.05763 0.00319 1.194 0.256 1568.158 0.01289
0.04320 0.00910 0.03721 0.05774 0.00425 1.212 0.258 1568.195 0.01292
0.04328 0.00911 0.03727 0.05784 0.00531 1.137 0.253 1568.232 0.01294
0.04336 0.00913 0.03734 0.05795 0.00638 1.295 0.268 1568.268 0.01297
0.04344 0.00915 0.03741 0.05806 0.00744 1.040 0.247 1568.305 0.01299
0.04352 0.00917 0.03748 0.05816 0.00850 0.763 0.220 1568.342 0.01301
0.04360 0.00918 0.03755 0.05827 0.00957 0.950 0.238 1568.378 0.01304
0.04368 0.00920 0.03762 0.05838 0.01063 1.065 0.247 1568.415 0.01306
0.04376 0.00922 0.03769 0.05849 0.01169 1.112 0.253 1568.452 0.01308
0.04384 0.00923 0.03776 0.05859 0.01276 1.104 0.252 1568.489 0.01311
0.04392 0.00925 0.03783 0.05870 0.01382 0.941 0.239 1568.525 0.01313
0.04400 0.00927 0.03789 0.05881 0.01488 1.273 0.266 1568.562 0.01316
0.04408 0.00928 0.03796 0.05891 0.01594 0.806 0.227 1568.599 0.01318
0.04416 0.00930 0.03803 0.05902 0.01701 1.301 0.268 1568.635 0.01320
0.04424 0.00932 0.03810 0.05913 0.01807 1.004 0.244 1568.672 0.01323
0.04432 0.00933 0.03817 0.05923 0.01913 0.837 0.230 1568.709 0.01325
0.04440 0.00935 0.03824 0.05934 0.02020 0.936 0.238 1568.746 0.01327
0.04448 0.00937 0.03831 0.05945 0.02126 0.970 0.242 1568.782 0.01330
0.04456 0.00938 0.03838 0.05956 0.02233 1.036 0.247 1568.819 0.01332
0.04464 0.00940 0.03845 0.05966 0.02339 0.970 0.241 1568.856 0.01335
0.04472 0.00942 0.03852 0.05977 0.02445 1.139 0.256 1568.892 0.01337
0.04480 0.00943 0.03858 0.05988 0.02552 1.006 0.244 1568.929 0.01339
0.04488 0.00945 0.03865 0.05998 0.02658 0.808 0.226 1568.966 0.01342
0.04496 0.00947 0.03872 0.06009 0.02764 1.128 0.255 1569.003 0.01344
0.04504 0.00949 0.03879 0.06020 0.02871 1.184 0.258 1569.039 0.01346
0.04512 0.00950 0.03886 0.06031 0.02977 0.754 0.220 1569.076 0.01349
0.04521 0.00952 0.03893 0.06041 0.03083 1.002 0.245 1569.113 0.01351
0.04529 0.00954 0.03900 0.06052 0.03190 0.886 0.232 1569.149 0.01353
0.04537 0.00955 0.03907 0.06063 0.03296 0.823 0.226 1569.186 0.01356
0.04545 0.00957 0.03914 0.06073 0.03403 1.203 0.258 1569.223 0.01358
0.04553 0.00959 0.03921 0.06084 0.03509 1.177 0.258 1569.260 0.01361
0.04561 0.00960 0.03928 0.06095 0.03615 0.910 0.235 1569.296 0.01363
0.04569 0.00962 0.03934 0.06106 0.03722 0.640 0.207 1569.333 0.01365
0.04577 0.00964 0.03941 0.06116 0.03828 0.836 0.226 1569.370 0.01368
0.04585 0.00965 0.03948 0.06127 0.03935 1.070 0.247 1569.406 0.01370
0.04593 0.00967 0.03955 0.06138 0.04041 0.794 0.223 1569.443 0.01372
0.04601 0.00969 0.03962 0.06148 0.04147 0.769 0.220 1569.480 0.01375
0.04609 0.00971 0.03969 0.06159 0.04254 1.077 0.250 1569.517 0.01377
0.04617 0.00972 0.03976 0.06170 0.04360 1.567 0.288 1569.553 0.01380
0.04625 0.00974 0.03983 0.06181 0.04467 0.872 0.232 1569.590 0.01382
0.04633 0.00976 0.03990 0.06191 0.04573 1.103 0.253 1569.627 0.01384
0.04641 0.00977 0.03997 0.06202 0.04680 0.939 0.238 1569.663 0.01387
0.04649 0.00979 0.04003 0.06213 0.04786 0.938 0.238 1569.700 0.01389
0.04657 0.00981 0.04010 0.06223 0.04892 0.806 0.226 1569.737 0.01391
0.04665 0.00982 0.04017 0.06234 0.04999 0.904 0.235 1569.774 0.01394
0.04673 0.00984 0.04024 0.06245 0.05105 1.333 0.271 1569.810 0.01396
0.04681 0.00986 0.04031 0.06256 0.05212 1.005 0.244 1569.847 0.01399
0.04689 0.00987 0.04038 0.06266 0.05318 0.937 0.238 1569.884 0.01401
0.04697 0.00989 0.04045 0.06277 0.05425 0.805 0.226 1569.920 0.01403
0.04705 0.00991 0.04052 0.06288 0.05531 0.936 0.238 1569.957 0.01406
0.04713 0.00992 0.04059 0.06298 0.05638 1.037 0.247 1569.994 0.01408
0.04721 0.00994 0.04066 0.06309 0.05744 0.938 0.238 1570.031 0.01410
0.04729 0.00996 0.04073 0.06320 0.05851 0.870 0.232 1570.067 0.01413
0.04737 0.00998 0.04079 0.06331 0.05957 1.070 0.249 1570.104 0.01415
0.04745 0.00999 0.04086 0.06341 0.06064 1.270 0.265 1570.141 0.01417
0.04753 0.01001 0.04093 0.06352 0.06170 0.937 0.238 1570.177 0.01420
0.04761 0.01003 0.04100 0.06363 0.06277 1.369 0.272 1570.214 0.01422
0.04769 0.01004 0.04107 0.06373 0.06383 0.939 0.237 1570.251 0.01425
0.04777 0.01006 0.04114 0.06384 0.06490 0.874 0.232 1570.287 0.01427
0.04785 0.01008 0.04121 0.06395 0.06596 0.874 0.232 1570.324 0.01429
0.04793 0.01009 0.04128 0.06406 0.06703 1.269 0.265 1570.361 0.01432
0.04801 0.01011 0.04135 0.06416 0.06809 0.805 0.225 1570.398 0.01434
0.04809 0.01013 0.04142 0.06427 0.06916 1.034 0.245 1570.434 0.01436
0.04817 0.01014 0.04149 0.06438 0.07022 0.801 0.225 1570.471 0.01439
0.04825 0.01016 0.04155 0.06449 0.07129 1.195 0.259 1570.508 0.01441
0.04833 0.01018 0.04162 0.06459 0.07235 1.227 0.262 1570.544 0.01444
0.04841 0.01019 0.04169 0.06470 0.07342 1.161 0.256 1570.581 0.01446
0.04849 0.01021 0.04176 0.06481 0.07448 1.195 0.259 1570.618 0.01448
0.04857 0.01023 0.04183 0.06491 0.07555 1.852 0.305 1570.655 0.01451
0.04865 0.01025 0.04190 0.06502 0.07661 1.028 0.245 1570.691 0.01453
0.04873 0.01026 0.04197 0.06513 0.07768 0.927 0.236 1570.728 0.01455
0.04881 0.01028 0.04204 0.06524 0.07874 0.532 0.197 1570.765 0.01458
0.04889 0.01030 0.04211 0.06534 0.07981 0.695 0.215 1570.801 0.01460
0.04898 0.01031 0.04218 0.06545 0.08087 1.255 0.263 1570.838 0.01463
0.04906 0.01033 0.04225 0.06556 0.08194 1.253 0.264 1570.875 0.01465
0.04914 0.01035 0.04231 0.06567 0.08301 0.990 0.242 1570.912 0.01467
0.04922 0.01036 0.04238 0.06577 0.08407 1.023 0.245 1570.948 0.01470
0.04930 0.01038 0.04245 0.06588 0.08514 1.088 0.250 1570.985 0.01472
0.04938 0.01040 0.04252 0.06599 0.08620 0.759 0.221 1571.022 0.01474
0.04946 0.01041 0.04259 0.06609 0.08727 0.694 0.214 1571.058 0.01477
0.04954 0.01043 0.04266 0.06620 0.08833 0.857 0.230 1571.095 0.01479
0.04962 0.01045 0.04273 0.06631 0.08940 0.988 0.241 1571.132 0.01482
0.04970 0.01047 0.04280 0.06642 0.09047 0.758 0.220 1571.169 0.01484
0.04978 0.01048 0.04287 0.06652 0.09153 1.120 0.252 1571.205 0.01486
0.04986 0.01050 0.04294 0.06663 0.09260 1.117 0.252 1571.242 0.01489
0.04994 0.01052 0.04301 0.06674 0.09366 0.822 0.226 1571.279 0.01491
0.05002 0.01053 0.04308 0.06685 0.09473 1.082 0.248 1571.315 0.01493
0.05010 0.01055 0.04314 0.06695 0.09580 0.952 0.238 1571.352 0.01496
0.05018 0.01057 0.04321 0.06706 0.09686 1.082 0.248 1571.389 0.01498
0.05026 0.01058 0.04328 0.06717 0.09793 1.113 0.251 1571.426 0.01500
0.05034 0.01060 0.04335 0.06728 0.09899 1.308 0.266 1571.462 0.01503
0.05042 0.01062 0.04342 0.06738 0.10006 0.949 0.237 1571.499 0.01505
0.05050 0.01063 0.04349 0.06749 0.10113 1.241 0.261 1571.536 0.01508
0.05058 0.01065 0.04356 0.06760 0.10219 1.109 0.251 1571.572 0.01510
0.05066 0.01067 0.04363 0.06770 0.10326 1.241 0.261 1571.609 0.01512
0.05074 0.01069 0.04370 0.06781 0.10433 1.144 0.253 1571.646 0.01515
0.05082 0.01070 0.04377 0.06792 0.10539 0.982 0.239 1571.683 0.01517
0.05090 0.01072 0.04384 0.06803 0.10646 1.145 0.253 1571.719 0.01519
0.05098 0.01074 0.04391 0.06813 0.10753 1.373 0.270 1571.756 0.01522
0.05106 0.01075 0.04398 0.06824 0.10859 1.146 0.252 1571.793 0.01524
0.05114 0.01077 0.04404 0.06835 0.10966 1.438 0.274 1571.829 0.01527
0.05122 0.01079 0.04411 0.06846 0.11072 0.885 0.230 1571.866 0.01529
0.05130 0.01080 0.04418 0.06856 0.11179 0.949 0.236 1571.903 0.01531
0.05138 0.01082 0.04425 0.06867 0.11286 1.143 0.252 1571.940 0.01534
0.05147 0.01084 0.04432 0.06878 0.11392 1.241 0.259 1571.976 0.01536
0.05155 0.01085 0.04439 0.06889 0.11499 1.077 0.247 1572.013 0.01538
0.05163 0.01087 0.04446 0.06899 0.11606 0.720 0.214 1572.050 0.01541
0.05171 0.01089 0.04453 0.06910 0.11712 0.818 0.224 1572.086 0.01543
0.05179 0.01091 0.04460 0.06921 0.11819 1.204 0.256 1572.123 0.01546
0.05187 0.01092 0.04467 0.06932 0.11926 1.043 0.243 1572.160 0.01548
0.05195 0.01094 0.04474 0.06942 0.12033 0.880 0.229 1572.197 0.01550
0.05203 0.01096 0.04481 0.06953 0.12139 1.201 0.256 1572.233 0.01553
0.05211 0.01097 0.04487 0.06964 0.12246 0.942 0.235 1572.270 0.01555
0.05219 0.01099 0.04494 0.06975 0.12353 1.006 0.240 1572.307 0.01557
0.05227 0.01101 0.04501 0.06985 0.12459 0.812 0.223 1572.343 0.01560
0.05235 0.01102 0.04508 0.06996 0.12566 0.844 0.225 1572.380 0.01562
0.05243 0.01104 0.04515 0.07007 0.12673 1.390 0.269 1572.417 0.01565
0.05251 0.01106 0.04522 0.07018 0.12780 1.067 0.245 1572.454 0.01567
0.05259 0.01107 0.04529 0.07028 0.12886 1.420 0.271 1572.490 0.01569
0.05267 0.01109 0.04536 0.07039 0.12993 0.714 0.212 1572.527 0.01572
0.05275 0.01111 0.04543 0.07050 0.13100 1.065 0.244 1572.564 0.01574
0.05283 0.01113 0.04550 0.07060 0.13206 1.289 0.261 1572.600 0.01576
0.05291 0.01114 0.04557 0.07071 0.13313 0.712 0.212 1572.637 0.01579
0.05299 0.01116 0.04564 0.07082 0.13420 0.937 0.233 1572.674 0.01581
0.05307 0.01118 0.04571 0.07093 0.13527 1.351 0.266 1572.711 0.01583
0.05315 0.01119 0.04578 0.07103 0.13633 0.839 0.223 1572.747 0.01586
0.05323 0.01121 0.04584 0.07114 0.13740 1.285 0.259 1572.784 0.01588
0.05331 0.01123 0.04591 0.07125 0.13847 1.251 0.258 1572.821 0.01591
0.05339 0.01124 0.04598 0.07136 0.13954 1.121 0.248 1572.857 0.01593
0.05348 0.01126 0.04605 0.07146 0.14060 1.187 0.252 1572.894 0.01595
0.05356 0.01128 0.04612 0.07157 0.14167 1.122 0.247 1572.931 0.01598
0.05364 0.01129 0.04619 0.07168 0.14274 0.931 0.231 1572.968 0.01600
0.05372 0.01131 0.04626 0.07179 0.14381 0.962 0.233 1573.004 0.01602
0.05380 0.01133 0.04633 0.07189 0.14488 0.802 0.220 1573.041 0.01605
0.05388 0.01135 0.04640 0.07200 0.14594 0.929 0.230 1573.078 0.01607
0.05396 0.01136 0.04647 0.07211 0.14701 0.928 0.230 1573.114 0.01610
0.05404 0.01138 0.04654 0.07222 0.14808 1.087 0.244 1573.151 0.01612
0.05412 0.01140 0.04661 0.07232 0.14915 1.116 0.245 1573.188 0.01614
0.05420 0.01141 0.04668 0.07243 0.15021 1.148 0.248 1573.225 0.01617
0.05428 0.01143 0.04674 0.07254 0.15128 1.178 0.251 1573.261 0.01619
0.05436 0.01145 0.04681 0.07265 0.15235 0.955 0.233 1573.298 0.01621
0.05444 0.01146 0.04688 0.07275 0.15342 1.048 0.240 1573.335 0.01624
0.05452 0.01148 0.04695 0.07286 0.15449 0.765 0.215 1573.371 0.01626
0.05460 0.01150 0.04702 0.07297 0.15555 1.271 0.257 1573.408 0.01629
0.05468 0.01152 0.04709 0.07308 0.15662 1.281 0.257 1573.445 0.01631
0.05476 0.01153 0.04716 0.07319 0.15769 1.070 0.242 1573.482 0.01633
0.05484 0.01155 0.04723 0.07329 0.15876 1.118 0.243 1573.518 0.01636
0.05492 0.01157 0.04730 0.07340 0.15983 0.951 0.231 1573.555 0.01638
0.05500 0.01158 0.04737 0.07351 0.16090 1.238 0.253 1573.592 0.01640
0.05508 0.01160 0.04744 0.07362 0.16196 0.718 0.211 1573.628 0.01643
0.05517 0.01162 0.04751 0.07372 0.16303 0.986 0.230 1573.665 0.01645
0.05525 0.01163 0.04758 0.07383 0.16410 1.102 0.243 1573.702 0.01648
0.05533 0.01165 0.04765 0.07394 0.16517 1.123 0.245 1573.739 0.01650
0.05541 0.01167 0.04772 0.07405 0.16624 1.172 0.248 1573.775 0.01652
0.05549 0.01168 0.04778 0.07415 0.16731 1.058 0.237 1573.812 0.01655
0.05557 0.01170 0.04785 0.07426 0.16838 1.401 0.265 1573.849 0.01657
0.05565 0.01172 0.04792 0.07437 0.16944 1.246 0.252 1573.885 0.01659
0.05573 0.01174 0.04799 0.07448 0.17051 0.886 0.221 1573.922 0.01662
0.05581 0.01175 0.04806 0.07458 0.17158 1.052 0.236 1573.959 0.01664
0.05589 0.01177 0.04813 0.07469 0.17265 1.396 0.265 1573.996 0.01666
0.05597 0.01179 0.04820 0.07480 0.17372 0.831 0.217 1574.032 0.01669
0.05605 0.01180 0.04827 0.07491 0.17479 0.915 0.225 1574.069 0.01671
0.05613 0.01182 0.04834 0.07501 0.17586 1.035 0.235 1574.106 0.01674
0.05621 0.01184 0.04841 0.07512 0.17693 0.818 0.217 1574.142 0.01676
0.05629 0.01185 0.04848 0.07523 0.17799 1.217 0.249 1574.179 0.01678
0.05637 0.01187 0.04855 0.07534 0.17906 1.156 0.244 1574.216 0.01681
0.05645 0.01189 0.04862 0.07544 0.18013 1.031 0.235 1574.253 0.01683
0.05653 0.01190 0.04869 0.07555 0.18120 0.969 0.229 1574.289 0.01685
0.05661 0.01192 0.04876 0.07566 0.18227 1.090 0.239 1574.326 0.01688
0.05670 0.01194 0.04882 0.07577 0.18334 1.027 0.234 1574.363 0.01690
0.05678 0.01196 0.04889 0.07588 0.18441 0.842 0.218 1574.399 0.01693
0.05686 0.01197 0.04896 0.07598 0.18548 0.995 0.231 1574.436 0.01695
0.05694 0.01199 0.04903 0.07609 0.18655 1.272 0.251 1574.473 0.01697
0.05702 0.01201 0.04910 0.07620 0.18762 1.026 0.232 1574.510 0.01700
0.05710 0.01202 0.04917 0.07631 0.18869 1.210 0.247 1574.546 0.01702
0.05718 0.01204 0.04924 0.07641 0.18976 0.901 0.222 1574.583 0.01704
0.05726 0.01206 0.04931 0.07652 0.19082 0.962 0.227 1574.620 0.01707
0.05734 0.01207 0.04938 0.07663 0.19189 0.867 0.218 1574.656 0.01709
0.05742 0.01209 0.04945 0.07674 0.19296 0.987 0.229 1574.693 0.01712
0.05750 0.01211 0.04952 0.07684 0.19403 0.926 0.223 1574.730 0.01714
0.05758 0.01213 0.04959 0.07695 0.19510 0.558 0.187 1574.767 0.01716
0.05766 0.01214 0.04966 0.07706 0.19617 1.316 0.254 1574.803 0.01719
0.05774 0.01216 0.04973 0.07717 0.19724 0.678 0.201 1574.840 0.01721
