x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.02940 -0.02522 0.04223 0.05730 0.00000 0.987 0.071 1568.045 0.01282
0.02945 -0.02527 0.04231 0.05741 0.00106 0.983 0.071 1568.082 0.01285
0.02951 -0.02531 0.04239 0.05751 0.00213 0.966 0.070 1568.119 0.01287
0.02956 -0.02536 0.04246 0.05762 0.00319 1.035 0.073 1568.155 0.01289
0.02962 -0.02541 0.04254 0.05773 0.00425 0.924 0.069 1568.192 0.01292
0.02967 -0.02546 0.04262 0.05784 0.00531 0.956 0.070 1568.229 0.01294
0.02973 -0.02550 0.04270 0.05794 0.00638 0.987 0.071 1568.266 0.01296
0.02978 -0.02555 0.04278 0.05805 0.00744 0.927 0.069 1568.302 0.01299
0.02983 -0.02560 0.04286 0.05816 0.00850 0.960 0.070 1568.339 0.01301
0.02989 -0.02564 0.04294 0.05826 0.00957 1.010 0.072 1568.376 0.01304
0.02994 -0.02569 0.04302 0.05837 0.01063 0.831 0.065 1568.413 0.01306
0.03000 -0.02574 0.04310 0.05848 0.01169 1.087 0.075 1568.449 0.01308
0.03005 -0.02579 0.04317 0.05858 0.01276 1.056 0.074 1568.486 0.01311
0.03011 -0.02583 0.04325 0.05869 0.01382 1.003 0.072 1568.523 0.01313
0.03016 -0.02588 0.04333 0.05880 0.01488 0.993 0.071 1568.559 0.01315
0.03022 -0.02593 0.04341 0.05891 0.01594 0.914 0.068 1568.596 0.01318
0.03027 -0.02597 0.04349 0.05901 0.01701 1.097 0.075 1568.633 0.01320
0.03033 -0.02602 0.04357 0.05912 0.01807 0.946 0.070 1568.670 0.01322
0.03038 -0.02607 0.04365 0.05923 0.01913 1.009 0.072 1568.706 0.01325
0.03044 -0.02612 0.04373 0.05933 0.02020 1.030 0.073 1568.743 0.01327
0.03049 -0.02616 0.04381 0.05944 0.02126 0.983 0.071 1568.780 0.01330
0.03055 -0.02621 0.04388 0.05955 0.02233 1.009 0.072 1568.816 0.01332
0.03060 -0.02626 0.04396 0.05966 0.02339 0.947 0.070 1568.853 0.01334
0.03066 -0.02630 0.04404 0.05976 0.02445 0.983 0.071 1568.890 0.01337
0.03071 -0.02635 0.04412 0.05987 0.02552 1.036 0.073 1568.927 0.01339
0.03077 -0.02640 0.04420 0.05998 0.02658 1.025 0.073 1568.963 0.01341
0.03082 -0.02645 0.04428 0.06008 0.02764 0.879 0.067 1569.000 0.01344
0.03088 -0.02649 0.04436 0.06019 0.02871 1.046 0.073 1569.037 0.01346
0.03093 -0.02654 0.04444 0.06030 0.02977 0.936 0.069 1569.074 0.01349
0.03099 -0.02659 0.04452 0.06041 0.03083 0.855 0.066 1569.110 0.01351
0.03104 -0.02663 0.04459 0.06051 0.03190 0.918 0.069 1569.147 0.01353
0.03110 -0.02668 0.04467 0.06062 0.03296 1.016 0.072 1569.184 0.01356
0.03115 -0.02673 0.04475 0.06073 0.03403 0.951 0.070 1569.220 0.01358
0.03121 -0.02678 0.04483 0.06083 0.03509 0.878 0.067 1569.257 0.01360
0.03126 -0.02682 0.04491 0.06094 0.03615 0.905 0.068 1569.294 0.01363
0.03132 -0.02687 0.04499 0.06105 0.03722 1.003 0.072 1569.331 0.01365
0.03137 -0.02692 0.04507 0.06116 0.03828 0.830 0.065 1569.367 0.01368
0.03143 -0.02696 0.04515 0.06126 0.03935 0.870 0.067 1569.404 0.01370
0.03148 -0.02701 0.04523 0.06137 0.04041 0.977 0.071 1569.441 0.01372
0.03154 -0.02706 0.04531 0.06148 0.04147 0.809 0.065 1569.477 0.01375
0.03159 -0.02711 0.04538 0.06158 0.04254 1.036 0.073 1569.514 0.01377
0.03165 -0.02715 0.04546 0.06169 0.04360 0.985 0.071 1569.551 0.01379
0.03170 -0.02720 0.04554 0.06180 0.04467 1.098 0.089 1569.588 0.01382
0.03176 -0.02725 0.04562 0.06191 0.04573 1.026 0.086 1569.624 0.01384
0.03181 -0.02729 0.04570 0.06201 0.04680 0.981 0.084 1569.661 0.01387
0.03187 -0.02734 0.04578 0.06212 0.04786 0.966 0.084 1569.698 0.01389
0.03192 -0.02739 0.04586 0.06223 0.04892 1.040 0.087 1569.734 0.01391
0.03198 -0.02744 0.04594 0.06233 0.04999 0.996 0.085 1569.771 0.01394
0.03203 -0.02748 0.04602 0.06244 0.05105 0.893 0.081 1569.808 0.01396
0.03209 -0.02753 0.04610 0.06255 0.05212 0.856 0.079 1569.845 0.01398
0.03214 -0.02758 0.04617 0.06266 0.05318 0.967 0.084 1569.881 0.01401
0.03220 -0.02762 0.04625 0.06276 0.05425 1.064 0.088 1569.918 0.01403
0.03225 -0.02767 0.04633 0.06287 0.05531 0.982 0.085 1569.955 0.01405
0.03231 -0.02772 0.04641 0.06298 0.05638 0.878 0.080 1569.992 0.01408
0.03236 -0.02777 0.04649 0.06308 0.05744 0.945 0.083 1570.028 0.01410
0.03242 -0.02781 0.04657 0.06319 0.05851 1.056 0.088 1570.065 0.01413
0.03247 -0.02786 0.04665 0.06330 0.05957 1.020 0.086 1570.102 0.01415
0.03253 -0.02791 0.04673 0.06341 0.06064 0.834 0.078 1570.138 0.01417
0.03258 -0.02795 0.04681 0.06351 0.06170 0.864 0.079 1570.175 0.01420
0.03264 -0.02800 0.04689 0.06362 0.06277 1.006 0.086 1570.212 0.01422
0.03269 -0.02805 0.04696 0.06373 0.06383 0.924 0.082 1570.249 0.01424
0.03275 -0.02810 0.04704 0.06384 0.06490 0.939 0.083 1570.285 0.01427
0.03280 -0.02814 0.04712 0.06394 0.06596 0.946 0.083 1570.322 0.01429
0.03286 -0.02819 0.04720 0.06405 0.06703 1.161 0.092 1570.359 0.01432
0.03291 -0.02824 0.04728 0.06416 0.06809 0.976 0.084 1570.395 0.01434
0.03297 -0.02829 0.04736 0.06426 0.06916 0.984 0.085 1570.432 0.01436
0.03302 -0.02833 0.04744 0.06437 0.07022 1.028 0.087 1570.469 0.01439
0.03308 -0.02838 0.04752 0.06448 0.07129 1.006 0.086 1570.506 0.01441
0.03313 -0.02843 0.04760 0.06459 0.07235 0.932 0.082 1570.542 0.01443
0.03319 -0.02847 0.04768 0.06469 0.07342 0.858 0.079 1570.579 0.01446
0.03324 -0.02852 0.04776 0.06480 0.07448 0.962 0.084 1570.616 0.01448
0.03330 -0.02857 0.04783 0.06491 0.07555 1.007 0.086 1570.652 0.01451
0.03335 -0.02862 0.04791 0.06502 0.07661 0.992 0.085 1570.689 0.01453
0.03341 -0.02866 0.04799 0.06512 0.07768 1.068 0.088 1570.726 0.01455
0.03346 -0.02871 0.04807 0.06523 0.07874 1.009 0.086 1570.763 0.01458
0.03352 -0.02876 0.04815 0.06534 0.07981 0.881 0.080 1570.799 0.01460
