x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.04242 0.00414 0.03831 0.05731 0.00000 0.740 0.040 1568.048 0.01282
-0.04249 0.00415 0.03839 0.05741 0.00106 0.906 0.045 1568.085 0.01285
-0.04257 0.00416 0.03846 0.05752 0.00213 0.906 0.045 1568.121 0.01287
-0.04265 0.00416 0.03853 0.05763 0.00319 0.884 0.044 1568.158 0.01289
-0.04273 0.00417 0.03860 0.05774 0.00425 1.026 0.048 1568.195 0.01292
-0.04281 0.00418 0.03867 0.05784 0.00531 0.996 0.047 1568.232 0.01294
-0.04289 0.00419 0.03874 0.05795 0.00638 1.035 0.048 1568.268 0.01297
-0.04297 0.00420 0.03881 0.05806 0.00744 1.047 0.048 1568.305 0.01299
-0.04305 0.00420 0.03889 0.05816 0.00850 0.977 0.047 1568.342 0.01301
-0.04313 0.00421 0.03896 0.05827 0.00957 0.932 0.045 1568.378 0.01304
-0.04321 0.00422 0.03903 0.05838 0.01063 0.962 0.046 1568.415 0.01306
-0.04329 0.00423 0.03910 0.05849 0.01169 0.941 0.046 1568.452 0.01308
-0.04337 0.00423 0.03917 0.05859 0.01276 0.983 0.047 1568.489 0.01311
-0.04345 0.00424 0.03924 0.05870 0.01382 1.028 0.048 1568.525 0.01313
-0.04352 0.00425 0.03932 0.05881 0.01488 0.909 0.045 1568.562 0.01316
-0.04360 0.00426 0.03939 0.05891 0.01594 0.964 0.047 1568.599 0.01318
-0.04368 0.00427 0.03946 0.05902 0.01701 0.957 0.046 1568.635 0.01320
-0.04376 0.00427 0.03953 0.05913 0.01807 0.856 0.044 1568.672 0.01323
-0.04384 0.00428 0.03960 0.05923 0.01913 1.074 0.049 1568.709 0.01325
-0.04392 0.00429 0.03967 0.05934 0.02020 0.960 0.047 1568.746 0.01327
-0.04400 0.00430 0.03975 0.05945 0.02126 1.062 0.049 1568.782 0.01330
-0.04408 0.00430 0.03982 0.05956 0.02233 0.833 0.043 1568.819 0.01332
