x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.00664 0.03182 0.04716 0.05727 0.00000 0.992 0.110 1568.036 0.01282
0.00665 0.03188 0.04724 0.05738 0.00106 0.894 0.118 1568.072 0.01284
0.00666 0.03194 0.04733 0.05749 0.00212 1.239 0.116 1568.109 0.01286
0.00668 0.03199 0.04742 0.05759 0.00318 0.960 0.109 1568.146 0.01289
0.00669 0.03205 0.04751 0.05770 0.00425 1.047 0.120 1568.183 0.01291
0.00670 0.03211 0.04760 0.05781 0.00531 1.047 0.113 1568.219 0.01293
0.00671 0.03217 0.04769 0.05791 0.00637 0.937 0.114 1568.256 0.01296
0.00673 0.03223 0.04777 0.05802 0.00743 1.108 0.110 1568.293 0.01298
0.00674 0.03229 0.04786 0.05813 0.00849 1.008 0.118 1568.329 0.01301
0.00675 0.03235 0.04795 0.05824 0.00956 0.973 0.116 1568.366 0.01303
0.00676 0.03241 0.04804 0.05834 0.01062 0.864 0.110 1568.403 0.01305
0.00678 0.03247 0.04813 0.05845 0.01168 0.829 0.115 1568.440 0.01308
0.00679 0.03253 0.04821 0.05856 0.01274 0.944 0.114 1568.476 0.01310
0.00680 0.03259 0.04830 0.05866 0.01380 1.137 0.118 1568.513 0.01312
0.00681 0.03265 0.04839 0.05877 0.01487 0.774 0.105 1568.550 0.01315
0.00683 0.03271 0.04848 0.05888 0.01593 0.911 0.113 1568.586 0.01317
0.00684 0.03277 0.04857 0.05898 0.01699 1.058 0.114 1568.623 0.01319
0.00685 0.03283 0.04865 0.05909 0.01805 0.890 0.119 1568.660 0.01322
0.00686 0.03289 0.04874 0.05920 0.01911 0.947 0.115 1568.697 0.01324
0.00687 0.03295 0.04883 0.05931 0.02018 1.257 0.123 1568.733 0.01327
0.00689 0.03301 0.04892 0.05941 0.02124 0.994 0.118 1568.770 0.01329
0.00690 0.03307 0.04901 0.05952 0.02230 0.967 0.116 1568.807 0.01331
0.00691 0.03312 0.04910 0.05963 0.02336 0.983 0.117 1568.843 0.01334
0.00692 0.03318 0.04918 0.05973 0.02443 1.173 0.113 1568.880 0.01336
0.00694 0.03324 0.04927 0.05984 0.02549 1.073 0.115 1568.917 0.01338
0.00695 0.03330 0.04936 0.05995 0.02655 0.908 0.106 1568.954 0.01341
0.00696 0.03336 0.04945 0.06006 0.02761 0.941 0.115 1568.990 0.01343
0.00697 0.03342 0.04954 0.06016 0.02868 0.696 0.108 1569.027 0.01346
0.00699 0.03348 0.04962 0.06027 0.02974 0.807 0.114 1569.064 0.01348
0.00700 0.03354 0.04971 0.06038 0.03080 0.807 0.114 1569.100 0.01350
0.00701 0.03360 0.04980 0.06048 0.03186 0.774 0.113 1569.137 0.01353
0.00702 0.03366 0.04989 0.06059 0.03293 0.919 0.121 1569.174 0.01355
0.00704 0.03372 0.04998 0.06070 0.03399 1.131 0.118 1569.211 0.01357
0.00705 0.03378 0.05007 0.06081 0.03505 1.142 0.119 1569.247 0.01360
0.00706 0.03384 0.05015 0.06091 0.03611 1.009 0.112 1569.284 0.01362
0.00707 0.03390 0.05024 0.06102 0.03718 0.942 0.108 1569.321 0.01365
0.00709 0.03396 0.05033 0.06113 0.03824 0.786 0.113 1569.357 0.01367
0.00710 0.03402 0.05042 0.06123 0.03930 0.757 0.112 1569.394 0.01369
0.00711 0.03408 0.05051 0.06134 0.04037 0.925 0.114 1569.431 0.01372
0.00712 0.03414 0.05059 0.06145 0.04143 1.009 0.118 1569.468 0.01374
0.00714 0.03420 0.05068 0.06156 0.04249 0.983 0.110 1569.504 0.01376
0.00715 0.03426 0.05077 0.06166 0.04355 0.947 0.109 1569.541 0.01379
0.00716 0.03432 0.05086 0.06177 0.04462 0.928 0.114 1569.578 0.01381
0.00717 0.03437 0.05095 0.06188 0.04568 0.927 0.114 1569.614 0.01384
0.00719 0.03443 0.05104 0.06198 0.04674 1.058 0.120 1569.651 0.01386
0.00720 0.03449 0.05112 0.06209 0.04781 0.987 0.111 1569.688 0.01388
0.00721 0.03455 0.05121 0.06220 0.04887 1.092 0.116 1569.725 0.01391
0.00722 0.03461 0.05130 0.06231 0.04993 0.990 0.117 1569.761 0.01393
0.00723 0.03467 0.05139 0.06241 0.05100 1.065 0.115 1569.798 0.01395
