x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.02124 -0.00868 0.05243 0.05724 0.00000 1.021 0.169 1568.024 0.01281
0.02128 -0.00869 0.05253 0.05734 0.00106 0.839 0.157 1568.060 0.01283
0.02132 -0.00871 0.05263 0.05745 0.00212 1.146 0.196 1568.097 0.01285
0.02136 -0.00872 0.05273 0.05756 0.00318 1.024 0.170 1568.134 0.01288
0.02140 -0.00874 0.05283 0.05766 0.00425 0.841 0.157 1568.170 0.01290
0.02144 -0.00876 0.05292 0.05777 0.00531 0.769 0.152 1568.207 0.01293
0.02148 -0.00877 0.05302 0.05788 0.00637 0.806 0.155 1568.244 0.01295
0.02152 -0.00879 0.05312 0.05799 0.00743 0.879 0.160 1568.281 0.01297
0.02156 -0.00881 0.05322 0.05809 0.00849 0.787 0.154 1568.317 0.01300
0.02160 -0.00882 0.05332 0.05820 0.00956 0.954 0.165 1568.354 0.01302
0.02164 -0.00884 0.05342 0.05831 0.01062 0.807 0.155 1568.391 0.01304
0.02168 -0.00885 0.05351 0.05841 0.01168 0.902 0.183 1568.427 0.01307
0.02172 -0.00887 0.05361 0.05852 0.01274 0.753 0.151 1568.464 0.01309
0.02176 -0.00889 0.05371 0.05863 0.01380 0.938 0.164 1568.501 0.01312
0.02180 -0.00890 0.05381 0.05873 0.01487 0.643 0.143 1568.537 0.01314
0.02184 -0.00892 0.05391 0.05884 0.01593 1.050 0.172 1568.574 0.01316
0.02188 -0.00893 0.05400 0.05895 0.01699 0.959 0.166 1568.611 0.01319
0.02192 -0.00895 0.05410 0.05906 0.01805 1.052 0.172 1568.648 0.01321
0.02196 -0.00897 0.05420 0.05916 0.01911 0.886 0.161 1568.684 0.01323
0.02200 -0.00898 0.05430 0.05927 0.02018 0.961 0.166 1568.721 0.01326
0.02204 -0.00900 0.05440 0.05938 0.02124 1.017 0.170 1568.758 0.01328
0.02208 -0.00902 0.05449 0.05948 0.02230 0.887 0.161 1568.794 0.01331
0.02212 -0.00903 0.05459 0.05959 0.02336 0.945 0.174 1568.831 0.01333
0.02216 -0.00905 0.05469 0.05970 0.02443 0.907 0.163 1568.868 0.01335
0.02220 -0.00906 0.05479 0.05981 0.02549 1.166 0.179 1568.905 0.01338
0.02224 -0.00908 0.05489 0.05991 0.02655 1.151 0.185 1568.941 0.01340
0.02228 -0.00910 0.05498 0.06002 0.02761 0.889 0.162 1568.978 0.01342
0.02232 -0.00911 0.05508 0.06013 0.02868 1.100 0.175 1569.015 0.01345
0.02236 -0.00913 0.05518 0.06023 0.02974 1.053 0.173 1569.051 0.01347
0.02240 -0.00915 0.05528 0.06034 0.03080 0.907 0.162 1569.088 0.01350
0.02244 -0.00916 0.05538 0.06045 0.03186 0.762 0.152 1569.125 0.01352
0.02248 -0.00918 0.05548 0.06056 0.03293 1.081 0.175 1569.162 0.01354
0.02252 -0.00919 0.05557 0.06066 0.03399 1.019 0.171 1569.198 0.01357
0.02256 -0.00921 0.05567 0.06077 0.03505 0.966 0.167 1569.235 0.01359
0.02260 -0.00923 0.05577 0.06088 0.03611 1.039 0.172 1569.272 0.01361
0.02264 -0.00924 0.05587 0.06098 0.03718 0.916 0.164 1569.308 0.01364
0.02268 -0.00926 0.05597 0.06109 0.03824 1.212 0.183 1569.345 0.01366
0.02272 -0.00928 0.05606 0.06120 0.03930 1.075 0.175 1569.382 0.01368
0.02276 -0.00929 0.05616 0.06131 0.04037 1.021 0.171 1569.419 0.01371
0.02279 -0.00931 0.05626 0.06141 0.04143 1.090 0.176 1569.455 0.01373
0.02283 -0.00932 0.05636 0.06152 0.04249 0.922 0.164 1569.492 0.01376
0.02287 -0.00934 0.05646 0.06163 0.04355 0.799 0.156 1569.529 0.01378
0.02291 -0.00936 0.05655 0.06173 0.04462 0.880 0.162 1569.565 0.01380
0.02295 -0.00937 0.05665 0.06184 0.04568 1.105 0.176 1569.602 0.01383
0.02299 -0.00939 0.05675 0.06195 0.04674 1.031 0.172 1569.639 0.01385
0.02303 -0.00941 0.05685 0.06206 0.04781 1.031 0.172 1569.676 0.01387
0.02307 -0.00942 0.05695 0.06216 0.04887 0.975 0.168 1569.712 0.01390
0.02311 -0.00944 0.05705 0.06227 0.04993 0.676 0.147 1569.749 0.01392
0.02315 -0.00945 0.05714 0.06238 0.05100 0.976 0.168 1569.786 0.01395
0.02319 -0.00947 0.05724 0.06248 0.05206 1.089 0.175 1569.822 0.01397
0.02323 -0.00949 0.05734 0.06259 0.05312 1.145 0.179 1569.859 0.01399
0.02327 -0.00950 0.05744 0.06270 0.05419 1.033 0.172 1569.896 0.01402
0.02331 -0.00952 0.05754 0.06281 0.05525 1.108 0.177 1569.933 0.01404
0.02335 -0.00954 0.05763 0.06291 0.05631 1.051 0.174 1569.969 0.01406
0.02339 -0.00955 0.05773 0.06302 0.05738 0.844 0.160 1570.006 0.01409
0.02343 -0.00957 0.05783 0.06313 0.05844 0.958 0.167 1570.043 0.01411
0.02347 -0.00958 0.05793 0.06323 0.05951 1.070 0.175 1570.079 0.01414
0.02351 -0.00960 0.05803 0.06334 0.06057 0.807 0.157 1570.116 0.01416
0.02355 -0.00962 0.05813 0.06345 0.06163 1.110 0.178 1570.153 0.01418
0.02359 -0.00963 0.05822 0.06356 0.06270 0.903 0.164 1570.190 0.01421
0.02363 -0.00965 0.05832 0.06366 0.06376 1.054 0.174 1570.226 0.01423
0.02367 -0.00967 0.05842 0.06377 0.06482 0.979 0.169 1570.263 0.01425
0.02371 -0.00968 0.05852 0.06388 0.06589 0.998 0.171 1570.300 0.01428
